line_id,segment_id,global_segment_id,line_segment_count,line_total_length_km,segment_length_km,start_x_km,start_y_km,end_x_km,end_y_km,mid_x_km,mid_y_km,start_lon,start_lat,end_lon,end_lat,mid_lon,mid_lat,along_line_start_km,along_line_end_km,along_line_mid_km,raw_azimuth_deg,strike_deg,first_associated_event_time,first_associated_event_elapsed_minutes,total_associated_events,activated,activation_bin,activation_minutes,activation_hours,peak_count,peak_rate_events_per_hour,peak_bin,peak_bin_start_minutes,max_cumulative_count,first_associated_event_elapsed_hours,activation_delay_from_first_event_minutes,activation_delay_from_first_event_hours,activation_threshold_count_per_bin,activation_threshold_rate_per_hour,ever_associated,segment_dx_km,segment_dy_km,segment_mid_distance_from_origin_km,bend_flag,local_turn_angle_deg,distance_to_mw64_km,distance_to_mw71_km,is_nearest_to_mw71,neighborhood_type
1,0,1,1,0.4312136730214319,0.4261916408678962,-5.527241391151216,4.125606586506087,-5.609389997579839,4.543806205357545,-5.568315694365527,4.334706395931816,-117.604520956277,35.77738732916201,-117.605432442,35.78115595800009,-117.60497668836584,35.779271644743446,0.0,0.4312136730214319,0.2156068365107159,101.11333770608098,168.88666229391902,2019-07-05 14:24:02.160000+00:00,1250.2186666666666,5,False,,,,1.0,2.0,41.0,1230.0,5.0,20.83697777777778,,,5,10.0,True,-0.08214860642862298,0.4181996188514585,7.056615280079369,False,,13.049173815526078,1.1463462114547875,,spatial_within_3km
888,0,928,1,0.6659478842471735,0.6628336069869002,-5.479896588831507,3.990533692861461,-5.798569289006684,4.571735981840373,-5.639232938919095,4.281134837350917,-117.603996402186,35.77617022652101,-117.607525053793,35.781406582709415,-117.60576067011957,35.778788418139584,0.0,0.6659478842471735,0.3329739421235868,118.73591960067796,151.26408039932204,,,0,False,,,,,,,,,,,,5,10.0,False,-0.3186727001751768,0.5812022889789117,7.080188107315353,False,,13.069858838182974,1.2004756053604637,,spatial_within_3km
162,0,163,1,0.0402343568699335,0.0402343568699335,-5.332307556723261,3.15055039877764,-5.327370149843832,3.1106201410018115,-5.329838853283547,3.1305852698897256,-117.602358513934,35.76860053908361,-117.602303647196,35.76824068705812,-117.60233108050303,35.7684206130767,0.0,0.0402343568699335,0.0201171784349667,277.0488875374198,172.95111246258023,,,0,False,,,,,,,,,,,,5,10.0,False,0.004937406879429673,-0.039930257775828704,6.181241488084849,False,,12.121809083316654,1.2182841778819398,,spatial_within_3km
783,0,820,1,0.2611371906598256,0.2590223845583576,-4.318334905766267,2.6932078304894707,-4.527895221592893,2.84544800170897,-4.42311506367958,2.76932791609922,-117.591142809693,35.7644836262184,-117.593461019111,35.76585477757602,-117.59230190445574,35.765169207521666,0.0,0.2611371906598256,0.1305685953299128,144.00256091450683,125.99743908549316,2019-07-04 23:50:57.100000+00:00,377.13433333333336,4,False,,,,2.0,4.0,61.0,1830.0,4.0,6.285572222222223,,,5,10.0,True,-0.20956031582662593,0.1522401712194994,5.218536573929099,False,,11.178500938734409,1.228284763991586,,spatial_within_3km
163,0,164,1,0.3008266201386341,0.3003357294114174,-5.178522093760115,2.819359197768843,-5.315050810213183,3.086868935806108,-5.246786451986649,2.953114066787476,-117.600655704297,35.765616438348005,-117.602167254215,35.7680266915786,-117.60141146784956,35.76682156746129,0.0,0.3008266201386341,0.150413310069317,117.0383638522856,152.9616361477144,,,0,False,,,,,,,,,,,,5,10.0,False,-0.13652871645306774,0.2675097380372651,6.020768286872425,False,,11.950680151086893,1.299101508070705,,spatial_within_3km
884,0,924,1,0.0866409004647109,0.0864836503880453,-5.630642682236732,4.653320496458107,-5.608792115757718,4.569642694569029,-5.619717398997225,4.611481595513569,-117.605668276,35.782142852000014,-117.60542601000002,35.781388817,-117.60554714242735,35.78176583457301,0.0,0.0866409004647109,0.0433204502323554,284.63470444900446,165.36529555099554,2019-07-05 23:00:01.920000+00:00,1766.2146666666667,1,False,,,,1.0,2.0,58.0,1740.0,1.0,29.43691111111111,,,5,10.0,True,0.021850566479013622,-0.08367780188907847,7.269593258934953,False,,13.266627750625313,1.301199699736787,,spatial_within_3km
821,0,859,2,1.2464464121602017,0.614229399139829,-5.444428605644871,3.326503610673835,-5.286929820987905,2.732810181706279,-5.365679213316388,3.029656896190057,-117.60359962422298,35.77018573538339,-117.60185393963128,35.764835822558446,-117.60272675266545,35.767510782742,0.0,0.6232232060801008,0.3116116030400504,284.8575580330885,165.14244196691152,2019-07-06 01:28:31.680000+00:00,1914.7106666666664,1,False,,,,1.0,2.0,63.0,1890.0,1.0,31.91184444444444,,,5,10.0,True,0.15749878465696643,-0.5936934289675557,6.161926186578961,False,,12.091917847292738,1.3160242524894608,,spatial_within_3km
883,0,923,1,0.0420419912137624,0.0420419912137624,-5.6570315701110525,4.6962647899033785,-5.647381901702133,4.655345198937486,-5.652206735906592,4.675804994420432,-117.605960456,35.782529743000104,-117.605853436,35.782161003999995,-117.60590694587628,35.78234537351482,0.0,0.0420419912137624,0.0210209956068812,283.26908065526703,166.73091934473297,2019-07-06 00:54:01.610000+00:00,1880.2095,1,False,,,,1.0,2.0,62.0,1860.0,1.0,31.336825,,,5,10.0,True,0.009649668408919787,-0.040919590965892816,7.335570416216786,False,,13.333108590522535,1.3608565882921198,,spatial_within_3km
882,0,922,1,0.0414069743773903,0.0414069743773903,-5.680490494536915,4.783586300378493,-5.679308060366598,4.742196212476645,-5.6798992774517565,4.762891256427569,-117.606220546,35.78331660700011,-117.606207174,35.7829435790001,-117.60621385998418,35.78313009300319,0.0,0.0414069743773903,0.0207034871886951,271.6363837179219,178.3636162820781,,,0,False,,,,,,,,,,,,5,10.0,False,0.0011824341703174923,-0.04139008790184828,7.41258314776645,False,,13.410862752600519,1.4296477542624002,,spatial_within_3km
881,0,921,1,0.0421131947335186,0.0421131947335186,-5.670327578417423,4.834673698168396,-5.675883831696146,4.7929286479209,-5.673105705056784,4.813801173044648,-117.606108498,35.783777099000105,-117.606169659,35.783400833000016,-117.6061390785718,35.783588966006874,0.0,0.0421131947335186,0.0210565973667593,262.4185099377105,7.581490062289504,,,0,False,,,,,,,,,,,,5,10.0,False,-0.005556253278723666,-0.04174505024749653,7.440215727675768,False,,13.439030185635676,1.451948846455641,,spatial_within_3km
