subset,phase_name,event_count,total_moment_proxy,top1_fraction,top3_fraction,top10pct_fraction,largest_mag
combined_local_m2aware,M1_related_sens_M1minus14d_to_M1plus28d,3307,5.145234044287547e+19,0.5477657395184109,0.8395284116740063,0.999861620068144,6.9
combined_local_m2aware,middle_primary,1358,4.1307961995849487e+18,0.43049313597644917,0.9375399799398989,0.9997775827967083,6.1
combined_local_m2aware,preM3_primary,854,4.609533421070845e+20,0.9690429623725175,0.999773157533988,0.9999987418580973,7.7
combined_local_m2aware,preM3_sens_M3minus42d_to_M3,934,4.6103303437007127e+20,0.9688754576150582,0.9996862828937904,0.9999987250437751,7.7
combined_local_m2aware,preM3_sens_M3minus28d_to_M3,792,4.6095264880038484e+20,0.9690444198844329,0.999774661266378,0.9999988527879351,7.7
combined_local_m2aware,full_M1_to_M3,4796,5.1480339203681426e+20,0.867678028273401,0.9498631991820002,0.9999876262020063,7.7
combined_local_m2aware,postM3_context,3186,2.0128524689566275e+18,0.1571042939777679,0.42542991058574325,0.9977714427377585,5.6
M1_extended,baseline_primary,299,4185229711469541.5,0.21295149838282187,0.5014610396492212,0.9692951328715622,3.9
M1_extended,baseline_sensitivity_M1minus7d,313,4274108331148433.5,0.2085232448692448,0.4910333289845293,0.9669641536285319,3.9
M1_extended,M1_related_primary,3101,5.140133321835082e+19,0.548309305381651,0.8403615031817143,0.9998597783980738,6.9
M1_extended,M1_related_sens_M1minus7d_to_M1plus14d,2830,5.138732836386939e+19,0.5484587389536458,0.8405905312502786,0.9998481931368546,6.9
M1_extended,M1_related_sens_M1minus14d_to_M1plus28d,3252,5.142194126032821e+19,0.5480895629739365,0.8400247168856452,0.9998620205697912,6.9
M1_extended,middle_primary,1113,2.349914749514068e+18,0.7567420947532876,0.9251144110558611,0.9996720306637772,6.1
M1_extended,preM3_primary,765,4.6095271206871256e+20,0.9690442868776877,0.9997745240417361,0.9999987418257106,7.7
M1_extended,preM3_sens_M3minus42d_to_M3,842,4.61032403837136e+20,0.968876782701714,0.9996876501190028,0.9999987260840995,7.7
M1_extended,preM3_sens_M3minus28d_to_M3,712,4.6095202468885666e+20,0.96904573193376,0.9997760149232844,0.9999988615921139,7.7
M1_extended,full_M1_to_M3,4434,5.130200256743806e+20,0.8706942610354875,0.9531651250202909,0.9999876421351532,7.7
M1_extended,postM3_context,2123,1.4667601072018563e+18,0.21559610495550416,0.5208568122212838,0.9971951626621891,5.6
M3_extended,baseline_primary,464,3610855262960175.0,0.24682543974446033,0.4581081699036214,0.972685273940006,3.9
M3_extended,baseline_sensitivity_M1minus7d,479,3696540100429888.0,0.24110409028975402,0.44748934175208194,0.9709442087091606,3.9
M3_extended,M1_related_primary,2007,5.058622949374634e+19,0.5571442978593396,0.8539023778053569,0.9998434732108143,6.9
M3_extended,M1_related_sens_M1minus7d_to_M1plus14d,1840,5.057997729188604e+19,0.557213166585702,0.8540079288617408,0.9998267987785896,6.9
