event_code,origin_time,lat_deg,lon_deg,depth_km_mecha,mag_1,mag_1_type,mag_2,mag_2_type,region_name,n_hypo_stations,m_method,m_source,P_axis_azimuth,P_axis_dip,T_axis_azimuth,T_axis_dip,N_axis_azimuth,N_axis_dip,strike_plane1,dip_plane1,rake_plane1,strike_plane2,dip_plane2,rake_plane2,focal_mech_score,n_mech_stations,focal_mech_projection,source_file,time_round_s,event_id,time,lat,lon,depth_km_cat,mag,phase_primary,within_60km_either_m1_m3,within_60km_m1,within_60km_m3,along_axis_30km,dist_match_km,depth_abs_diff_km,time_abs_s
J2025120823222684,2025-12-08 14:22:26.840000+00:00,40.986666666666665,143.12433333333334,19.03,3.6,V,,,E OFF AOMORI PREF,24,,,,,,,,,,,,,,,,,,mecha_20251203_7.txt,2025-12-08 14:22:27+00:00,8486.0,2025-12-08 14:22:26.840000+00:00,40.985962,143.124186,19.2,3.6,middle_M1plus21d_to_M3minus35d,False,False,False,False,0.07932527326840491,0.16999999999999815,0.0
J2025120823225346,2025-12-08 14:22:53.460000+00:00,41.16616666666667,143.25483333333332,11.43,3.9,V,,,E OFF AOMORI PREF,17,,,,,,,,,,,,,,,,,,mecha_20251203_7.txt,2025-12-08 14:22:53+00:00,8487.0,2025-12-08 14:22:53.480000+00:00,41.167216,143.251758,11.73,3.9,middle_M1plus21d_to_M3minus35d,False,False,False,False,0.2826365594896628,0.3000000000000007,0.02
J2025120823232985,2025-12-08 14:23:29.850000+00:00,40.93333333333333,143.03333333333333,18.16,3.6,V,,,E OFF AOMORI PREF,21,,,,,,,,,,,,,,,,,,mecha_20251203_7.txt,2025-12-08 14:23:30+00:00,8488.0,2025-12-08 14:23:29.840000+00:00,40.933818,143.033805,18.33,3.6,middle_M1plus21d_to_M3minus35d,False,False,False,False,0.0668902638608377,0.16999999999999815,0.01
J2025120823254773,2025-12-08 14:25:47.730000+00:00,41.0665,143.09533333333334,26.82,3.6,V,,,E OFF AOMORI PREF,14,,,,,,,,,,,,,,,,,,mecha_20251203_7.txt,2025-12-08 14:25:48+00:00,8493.0,2025-12-08 14:25:47.740000+00:00,41.065572,143.098942,26.7,3.6,middle_M1plus21d_to_M3minus35d,False,False,False,False,0.31964906291836614,0.120000000000001,0.01
J2025120823304731,2025-12-08 14:30:47.310000+00:00,41.023833333333336,142.542,40.86,3.9,V,,,E OFF AOMORI PREF,35,,,,,,,,,,,,,,,,,,mecha_20251203_7.txt,2025-12-08 14:30:47+00:00,8500.0,2025-12-08 14:30:47.300000+00:00,41.024178,142.542936,40.79,3.9,middle_M1plus21d_to_M3minus35d,False,False,False,False,0.08737431695113641,0.07000000000000028,0.01
J2025120823314255,2025-12-08 14:31:42.550000+00:00,40.952,143.1205,19.51,3.8,V,,,E OFF AOMORI PREF,14,,,,,,,,,,,,,,,,,,mecha_20251203_7.txt,2025-12-08 14:31:43+00:00,8501.0,2025-12-08 14:31:42.550000+00:00,40.952852,143.119499,19.61,3.8,middle_M1plus21d_to_M3minus35d,False,False,False,False,0.12665751745842108,0.09999999999999787,0.0
J2025120823322807,2025-12-08 14:32:28.070000+00:00,40.90083333333333,143.1605,10.96,3.5,V,,,E OFF AOMORI PREF,10,,,,,,,,,,,,,,,,,,mecha_20251203_7.txt,2025-12-08 14:32:28+00:00,8503.0,2025-12-08 14:32:28.080000+00:00,40.90107,143.158447,10.55,3.5,middle_M1plus21d_to_M3minus35d,False,False,False,False,0.1745414397446011,0.41000000000000014,0.01
J2025120823333927,2025-12-08 14:33:39.270000+00:00,40.884,142.58766666666668,41.62,5.9,D,5.3,V,E OFF AOMORI PREF,39,,,,,,,,,,,,,,,,,,mecha_20251203_7.txt,2025-12-08 14:33:39+00:00,8505.0,2025-12-08 14:33:39.270000+00:00,40.884871,142.585889,41.59,5.9,middle_M1plus21d_to_M3minus35d,False,False,False,False,0.17808209570938155,0.02999999999999403,0.0
J2025120823404193,2025-12-08 14:40:41.930000+00:00,40.918,143.16283333333334,17.22,3.6,V,,,E OFF AOMORI PREF,12,,,,,,,,,,,,,,,,,,mecha_20251203_7.txt,2025-12-08 14:40:42+00:00,8510.0,2025-12-08 14:40:41.920000+00:00,40.918213,143.16263,17.0,3.6,middle_M1plus21d_to_M3minus35d,False,False,False,False,0.029203595604203793,0.21999999999999886,0.01
J2025120823420105,2025-12-08 14:42:01.050000+00:00,40.90083333333333,143.1415,16.72,3.6,V,,,E OFF AOMORI PREF,23,,,,,,,,,,,,,,,,,,mecha_20251203_7.txt,2025-12-08 14:42:01+00:00,8511.0,2025-12-08 14:42:01.060000+00:00,40.901571,143.142578,16.67,3.6,middle_M1plus21d_to_M3minus35d,False,False,False,False,0.12221548549126787,0.04999999999999716,0.01
J2025120823593570,2025-12-08 14:59:35.700000+00:00,41.05283333333333,142.47683333333333,40.88,3.5,V,,,E OFF AOMORI PREF,26,,,,,,,,,,,,,,,,,,mecha_20251203_7.txt,2025-12-08 14:59:36+00:00,8533.0,2025-12-08 14:59:35.700000+00:00,41.052474,142.475277,41.01,3.5,middle_M1plus21d_to_M3minus35d,False,False,False,False,0.13648258041674094,0.12999999999999545,0.0
J2025120900053163,2025-12-08 15:05:31.630000+00:00,41.13183333333333,142.70216666666667,20.74,3.7,V,,,E OFF AOMORI PREF,37,,,,,,,,,,,,,,,,,,mecha_20251203_7.txt,2025-12-08 15:05:32+00:00,8539.0,2025-12-08 15:05:31.630000+00:00,41.131624,142.70223,20.7,3.7,middle_M1plus21d_to_M3minus35d,False,False,False,False,0.02387352337178524,0.03999999999999915,0.0
J2025120900095567,2025-12-08 15:09:55.670000+00:00,40.99216666666667,142.6995,36.69,3.9,V,,,E OFF AOMORI PREF,37,,,,,,,,,,,,,,,,,,mecha_20251203_7.txt,2025-12-08 15:09:56+00:00,8544.0,2025-12-08 15:09:55.680000+00:00,40.992143,142.700098,36.69,3.9,middle_M1plus21d_to_M3minus35d,False,False,False,False,0.050259003125572035,0.0,0.01
J2025120900220526,2025-12-08 15:22:05.260000+00:00,41.144333333333336,143.11583333333334,19.38,3.5,V,,,E OFF AOMORI PREF,36,,,,,,,,,,,,,,,,,,mecha_20251203_7.txt,2025-12-08 15:22:05+00:00,8562.0,2025-12-08 15:22:05.250000+00:00,41.14412,143.115104,19.47,3.5,middle_M1plus21d_to_M3minus35d,False,False,False,False,0.06551667203424624,0.08999999999999986,0.01
J2025120900252205,2025-12-08 15:25:22.050000+00:00,41.14866666666666,142.25966666666667,51.22,3.5,V,,,E OFF AOMORI PREF,37,,,,,,,,,,,,,,,,,,mecha_20251203_7.txt,2025-12-08 15:25:22+00:00,8565.0,2025-12-08 15:25:22.070000+00:00,41.148409,142.25944,50.98,3.5,middle_M1plus21d_to_M3minus35d,False,False,False,False,0.03436701429426626,0.240000000000002,0.02
J2025120900501705,2025-12-08 15:50:17.050000+00:00,41.026833333333336,142.9275,25.22,3.5,V,,,E OFF AOMORI PREF,30,,,,,,,,,,,,,,,,,,mecha_20251203_7.txt,2025-12-08 15:50:17+00:00,8592.0,2025-12-08 15:50:17.030000+00:00,41.027612,142.928434,25.59,3.5,middle_M1plus21d_to_M3minus35d,False,False,False,False,0.11677021543717435,0.370000000000001,0.02
J2025120900575558,2025-12-08 15:57:55.580000+00:00,40.889,143.13883333333334,20.12,4.9,D,4.6,V,E OFF AOMORI PREF,34,I,JMAM,113.0,15.0,335.0,70.0,206.0,13.0,185.0,32.0,65.0,34.0,61.0,105.0,87.0,103.0,LOW,mecha_20251203_7.txt,2025-12-08 15:57:56+00:00,8599.0,2025-12-08 15:57:55.580000+00:00,40.889636,143.138053,20.26,4.9,middle_M1plus21d_to_M3minus35d,False,False,False,False,0.09645755984813205,0.14000000000000057,0.0
J2025120900585878,2025-12-08 15:58:58.780000+00:00,40.89416666666666,143.092,15.5,3.9,V,,,E OFF AOMORI PREF,16,,,,,,,,,,,,,,,,,,mecha_20251203_7.txt,2025-12-08 15:58:59+00:00,8600.0,2025-12-08 15:58:58.780000+00:00,40.8946,143.092155,15.69,3.9,middle_M1plus21d_to_M3minus35d,False,False,False,False,0.04991474972453312,0.1899999999999995,0.0
J2025120901012330,2025-12-08 16:01:23.300000+00:00,41.2205,143.06683333333334,20.7,3.5,V,,,E OFF AOMORI PREF,30,,,,,,,,,,,,,,,,,,mecha_20251203_7.txt,2025-12-08 16:01:23+00:00,8603.0,2025-12-08 16:01:23.320000+00:00,41.220846,143.067057,20.14,3.5,middle_M1plus21d_to_M3minus35d,False,False,False,False,0.04278038597402728,0.5599999999999987,0.02
J2025120901081062,2025-12-08 16:08:10.620000+00:00,40.98016666666667,142.113,55.77,3.7,V,,,E OFF AOMORI PREF,38,I,JMAM,119.0,24.0,309.0,66.0,211.0,4.0,201.0,21.0,80.0,32.0,69.0,94.0,96.0,80.0,LOW,mecha_20251203_7.txt,2025-12-08 16:08:11+00:00,8606.0,2025-12-08 16:08:10.630000+00:00,40.980965,142.111165,55.82,3.7,middle_M1plus21d_to_M3minus35d,False,False,False,False,0.17778650592515371,0.04999999999999716,0.01
J2025120901184301,2025-12-08 16:18:43.010000+00:00,40.9005,143.14366666666666,18.48,4.0,V,,,E OFF AOMORI PREF,33,,,,,,,,,,,,,,,,,,mecha_20251203_7.txt,2025-12-08 16:18:43+00:00,8618.0,2025-12-08 16:18:43.020000+00:00,40.900399,143.144352,18.27,4.0,middle_M1plus21d_to_M3minus35d,False,False,False,False,0.0586845220545978,0.21000000000000085,0.01
J2025120901205627,2025-12-08 16:20:56.270000+00:00,41.16483333333333,143.2595,17.06,3.7,V,,,E OFF AOMORI PREF,30,,,,,,,,,,,,,,,,,,mecha_20251203_7.txt,2025-12-08 16:20:56+00:00,8620.0,2025-12-08 16:20:56.280000+00:00,41.164205,143.259277,16.7,3.7,middle_M1plus21d_to_M3minus35d,False,False,False,False,0.07231828485404715,0.35999999999999943,0.01
J2025120901215759,2025-12-08 16:21:57.590000+00:00,40.989,143.1805,18.17,3.7,V,,,E OFF AOMORI PREF,30,,,,,,,,,,,,,,,,,,mecha_20251203_7.txt,2025-12-08 16:21:58+00:00,8622.0,2025-12-08 16:21:57.600000+00:00,40.987712,143.180225,18.27,3.7,middle_M1plus21d_to_M3minus35d,False,False,False,False,0.14506716173942188,0.09999999999999787,0.01
J2025120901290288,2025-12-08 16:29:02.880000+00:00,40.931,143.03616666666667,18.69,3.5,V,,,E OFF AOMORI PREF,32,,,,,,,,,,,,,,,,,,mecha_20251203_7.txt,2025-12-08 16:29:03+00:00,8629.0,2025-12-08 16:29:02.870000+00:00,40.930839,143.036963,18.63,3.5,middle_M1plus21d_to_M3minus35d,False,False,False,False,0.0692521686443438,0.060000000000002274,0.01
J2025120902124411,2025-12-08 17:12:44.110000+00:00,41.06433333333333,142.9375,26.04,4.1,D,4.2,V,E OFF AOMORI PREF,31,,,,,,,,,,,,,,,,,,mecha_20251203_7.txt,2025-12-08 17:12:44+00:00,8671.0,2025-12-08 17:12:44.120000+00:00,41.062004,142.937826,25.96,4.1,middle_M1plus21d_to_M3minus35d,False,False,False,False,0.26044812207207146,0.0799999999999983,0.01
J2025120902582677,2025-12-08 17:58:26.770000+00:00,40.989666666666665,143.15316666666666,21.16,4.4,D,4.4,V,E OFF AOMORI PREF,35,,,,,,,,,,,,,,,,,,mecha_20251203_7.txt,2025-12-08 17:58:27+00:00,8707.0,2025-12-08 17:58:26.760000+00:00,40.990348,143.153304,21.2,4.4,middle_M1plus21d_to_M3minus35d,False,False,False,False,0.07663267025132033,0.03999999999999915,0.01
J2025120903535291,2025-12-08 18:53:52.910000+00:00,40.88016666666667,143.15183333333334,16.56,3.5,V,,,E OFF AOMORI PREF,31,,,,,,,,,,,,,,,,,,mecha_20251203_7.txt,2025-12-08 18:53:53+00:00,8756.0,2025-12-08 18:53:52.920000+00:00,40.880229,143.151628,16.68,3.5,middle_M1plus21d_to_M3minus35d,False,False,False,False,0.018602316362802348,0.120000000000001,0.01
J2025120903562953,2025-12-08 18:56:29.530000+00:00,40.95033333333333,143.12783333333334,19.15,6.1,D,6.0,W,E OFF AOMORI PREF,33,I,JMAM,88.0,10.0,247.0,79.0,357.0,4.0,183.0,35.0,97.0,355.0,55.0,85.0,95.0,93.0,LOW,mecha_20251203_7.txt,2025-12-08 18:56:30+00:00,8757.0,2025-12-08 18:56:29.520000+00:00,40.95085,143.128711,19.08,6.1,middle_M1plus21d_to_M3minus35d,False,False,False,False,0.09345362917776986,0.07000000000000028,0.01
J2025120904011085,2025-12-08 19:01:10.850000+00:00,40.94016666666667,143.195,17.51,4.8,V,,,E OFF AOMORI PREF,34,,,,,,,,,,,,,,,,,,mecha_20251203_7.txt,2025-12-08 19:01:11+00:00,8758.0,2025-12-08 19:01:10.840000+00:00,40.941707,143.196045,17.55,4.8,middle_M1plus21d_to_M3minus35d,False,False,False,False,0.1924586037238349,0.03999999999999915,0.01
