event_time,latitude,longitude,depth_km,magnitude,x_km_local,y_km_local,elapsed_hours_since_mainshock64,elapsed_hours_since_mainshock71,sequence_segment_label
2019-07-04T17:12:37.680000Z,35.70706179518505,-117.4912430255384,10.37664143,1.74,3.442678778777594,-9.363113200641529,-0.3531555555555555,-34.12093333333333,pre_mainshock64
2019-07-04T17:13:25.720000Z,35.70709879518505,-117.48942802820922,10.260510710000002,0.76,3.606384451464848,-9.358998988355681,-0.3398111111111111,-34.10758888888889,pre_mainshock64
2019-07-04T17:13:51.440000Z,35.70722879518505,-117.48923303759318,10.40567411,0.88,3.623971843718695,-9.344543647891317,-0.33266666666666667,-34.10044444444445,pre_mainshock64
2019-07-04T17:14:44.120000Z,35.708241795185046,-117.48702711071796,9.49840286,0.55,3.8229378351298102,-9.23190318720132,-0.31803333333333333,-34.08581111111111,pre_mainshock64
2019-07-04T17:15:05.120000Z,35.70383879518505,-117.50062579290795,10.36938326,0.37,2.5963897957526654,-9.721494449216507,-0.31220000000000003,-34.07997777777778,pre_mainshock64
2019-07-04T17:15:46.640000Z,35.70787179518505,-117.4921540840086,10.420190450000002,1.5,3.360504861865386,-9.273045310059091,-0.3006666666666667,-34.068444444444445,pre_mainshock64
2019-07-04T17:16:18.160000Z,35.70816879518505,-117.49184510544823,9.90486038,0.81,3.388373521648823,-9.240020416845224,-0.2919111111111111,-34.05968888888889,pre_mainshock64
2019-07-04T17:16:50.520000Z,35.72837579518505,-117.4360685648774,3.32170019,0.38,8.419199709401811,-6.993104534138999,-0.28292222222222224,-34.0507,pre_mainshock64
2019-07-04T17:17:41.240000Z,35.72340279518505,-117.45568120557266,6.54432767,0.42,6.650216093514522,-7.546076904342508,-0.2688333333333333,-34.036611111111114,pre_mainshock64
2019-07-04T17:18:07.180000Z,35.70730579518505,-117.4899250431514,9.9484094,0.54,3.56155564420625,-9.335981638539785,-0.2616277777777778,-34.029405555555556,pre_mainshock64
2019-07-04T17:18:44.940000Z,35.72778579518505,-117.44262752224463,5.02011197,0.19,7.82760736341236,-7.058709540859811,-0.2511388888888889,-34.01891666666667,pre_mainshock64
2019-07-04T17:20:54.600000Z,35.72284179518505,-117.45916416504534,6.370131590000001,0.48,6.336066747807981,-7.608457258190609,-0.21512222222222224,-33.9829,pre_mainshock64
