mainshock,radius_km,time_window_days,depth_strategy,mag_threshold,n_events,n_pre,n_post,has_post_omori_fit
M1,80,30,all,2.0,1333,207,1125,True
M1,80,30,all,2.5,649,115,533,True
M1,80,30,mainshock_window,,3483,590,2892,True
M1,80,30,mainshock_window,1.2,3329,558,2770,True
M1,80,30,mainshock_window,1.5,2689,431,2257,True
M1,80,30,mainshock_window,2.0,1333,207,1125,True
M1,80,30,mainshock_window,2.5,649,115,533,True
M1,80,30,stratified,,3358,584,2773,True
M1,80,30,stratified,1.2,3229,553,2675,True
M1,80,30,stratified,1.5,2625,427,2197,True
M1,80,30,stratified,2.0,1305,205,1099,True
M1,80,30,stratified,2.5,636,113,522,True
M1,80,60,all,,4009,642,3366,True
M1,80,60,all,1.2,3792,602,3189,True
M1,80,60,all,1.5,3012,454,2557,True
M1,80,60,all,2.0,1454,216,1237,True
M1,80,60,all,2.5,705,121,583,True
M1,80,60,mainshock_window,,4005,640,3364,True
M1,80,60,mainshock_window,1.2,3789,601,3187,True
M1,80,60,mainshock_window,1.5,3010,454,2555,True
M1,80,60,mainshock_window,2.0,1453,216,1236,True
M1,80,60,mainshock_window,2.5,704,121,582,True
M1,80,60,stratified,,3789,625,3163,True
M1,80,60,stratified,1.2,3625,590,3034,True
M1,80,60,stratified,1.5,2907,448,2458,True
M1,80,60,stratified,2.0,1407,213,1193,True
M1,80,60,stratified,2.5,682,119,562,True
M1,80,90,all,,4344,709,3634,True
M1,80,90,all,1.2,4073,647,3425,True
M1,80,90,all,1.5,3210,480,2729,True
M1,80,90,all,2.0,1535,227,1307,True
M1,80,90,all,2.5,738,125,612,True
M1,80,90,mainshock_window,,4335,703,3631,True
M1,80,90,mainshock_window,1.2,4068,644,3423,True
M1,80,90,mainshock_window,1.5,3207,479,2727,True
M1,80,90,mainshock_window,2.0,1534,227,1306,True
M1,80,90,mainshock_window,2.5,737,125,611,True
M1,80,90,stratified,,4079,677,3401,True
M1,80,90,stratified,1.2,3876,625,3250,True
M1,80,90,stratified,1.5,3086,469,2616,True
M1,80,90,stratified,2.0,1480,222,1257,True
M1,80,90,stratified,2.5,710,121,588,True
M1,100,7,all,,2364,568,1795,False
M1,100,7,all,1.2,2273,527,1745,False
M1,100,7,all,1.5,1935,411,1523,False
M1,100,7,all,2.0,1034,195,838,False
M1,100,7,all,2.5,523,107,415,False
M1,100,7,mainshock_window,,2361,567,1793,False
M1,100,7,mainshock_window,1.2,2273,527,1745,False
M1,100,7,mainshock_window,1.5,1935,411,1523,False
M1,100,7,mainshock_window,2.0,1034,195,838,False
M1,100,7,mainshock_window,2.5,523,107,415,False
M1,100,7,stratified,,2330,549,1780,False
M1,100,7,stratified,1.2,2252,517,1734,False
M1,100,7,stratified,1.5,1920,404,1515,False
M1,100,7,stratified,2.0,1026,192,833,False
M1,100,7,stratified,2.5,522,107,414,False
M1,100,30,all,,3659,665,2993,True
M1,100,30,all,1.2,3456,606,2849,True
M1,100,30,all,1.5,2763,463,2299,True
M1,100,30,all,2.0,1361,220,1140,True
M1,100,30,all,2.5,660,117,542,True
M1,100,30,mainshock_window,,3654,664,2989,True
M1,100,30,mainshock_window,1.2,3455,606,2848,True
M1,100,30,mainshock_window,1.5,2763,463,2299,True
M1,100,30,mainshock_window,2.0,1361,220,1140,True
M1,100,30,mainshock_window,2.5,660,117,542,True
M1,100,30,stratified,,3403,608,2794,True
M1,100,30,stratified,1.2,3262,568,2693,True
M1,100,30,stratified,1.5,2647,438,2208,True
M1,100,30,stratified,2.0,1312,210,1101,True
M1,100,30,stratified,2.5,637,114,522,True
M1,100,60,all,,4402,810,3591,True
M1,100,60,all,1.2,4066,718,3347,True
M1,100,60,all,1.5,3172,523,2648,True
M1,100,60,all,2.0,1514,239,1274,True
M1,100,60,all,2.5,731,126,604,True
M1,100,60,mainshock_window,,4385,802,3582,True
M1,100,60,mainshock_window,1.2,4060,716,3343,True
M1,100,60,mainshock_window,1.5,3170,523,2646,True
M1,100,60,mainshock_window,2.0,1513,239,1273,True
M1,100,60,mainshock_window,2.5,730,126,603,True
