line_id,classification,eligible_for_propagation,n_activated_segments,activation_fraction,spearman_rho,slope_minutes_per_km,activation_span_km,activation_time_span_minutes
146,complex/indeterminate,False,0,0.0,,,0.0,
147,complex/indeterminate,False,0,0.0,,,0.0,
148,complex/indeterminate,False,0,0.0,,,0.0,
149,complex/indeterminate,False,0,0.0,,,0.0,
150,complex/indeterminate,False,0,0.0,,,0.0,
151,complex/indeterminate,False,0,0.0,,,0.0,
152,complex/indeterminate,False,0,0.0,,,0.0,
153,complex/indeterminate,False,0,0.0,,,0.0,
154,complex/indeterminate,False,0,0.0,,,0.0,
155,complex/indeterminate,False,0,0.0,,,0.0,
156,complex/indeterminate,False,0,0.0,,,0.0,
157,complex/indeterminate,False,0,0.0,,,0.0,
158,complex/indeterminate,False,0,0.0,,,0.0,
159,complex/indeterminate,False,0,0.0,,,0.0,
160,complex/indeterminate,False,0,0.0,,,0.0,
161,complex/indeterminate,False,0,0.0,,,0.0,
162,complex/indeterminate,False,0,0.0,,,0.0,
163,complex/indeterminate,False,0,0.0,,,0.0,
164,complex/indeterminate,False,0,0.0,,,0.0,
165,complex/indeterminate,False,0,0.0,,,0.0,
166,complex/indeterminate,False,0,0.0,,,0.0,
167,complex/indeterminate,False,0,0.0,,,0.0,
168,complex/indeterminate,False,0,0.0,,,0.0,
169,complex/indeterminate,False,0,0.0,,,0.0,
170,complex/indeterminate,False,0,0.0,,,0.0,
171,complex/indeterminate,False,0,0.0,,,0.0,
172,complex/indeterminate,False,0,0.0,,,0.0,
173,complex/indeterminate,False,0,0.0,,,0.0,
174,complex/indeterminate,False,0,0.0,,,0.0,
175,complex/indeterminate,False,0,0.0,,,0.0,
176,complex/indeterminate,False,0,0.0,,,0.0,
177,complex/indeterminate,False,0,0.0,,,0.0,
178,complex/indeterminate,False,0,0.0,,,0.0,
179,complex/indeterminate,False,0,0.0,,,0.0,
180,complex/indeterminate,False,0,0.0,,,0.0,
181,complex/indeterminate,False,0,0.0,,,0.0,
182,complex/indeterminate,False,0,0.0,,,0.0,
183,complex/indeterminate,False,0,0.0,,,0.0,
184,complex/indeterminate,False,0,0.0,,,0.0,
185,complex/indeterminate,False,0,0.0,,,0.0,
186,complex/indeterminate,False,0,0.0,,,0.0,
187,complex/indeterminate,False,0,0.0,,,0.0,
188,complex/indeterminate,False,0,0.0,,,0.0,
190,complex/indeterminate,False,0,0.0,,,0.0,
191,complex/indeterminate,False,0,0.0,,,0.0,
192,complex/indeterminate,False,0,0.0,,,0.0,
193,complex/indeterminate,False,0,0.0,,,0.0,
195,complex/indeterminate,False,0,0.0,,,0.0,
196,complex/indeterminate,False,0,0.0,,,0.0,
197,complex/indeterminate,False,0,0.0,,,0.0,
198,complex/indeterminate,False,0,0.0,,,0.0,
199,complex/indeterminate,False,0,0.0,,,0.0,
200,complex/indeterminate,False,0,0.0,,,0.0,
201,complex/indeterminate,False,0,0.0,,,0.0,
202,complex/indeterminate,False,0,0.0,,,0.0,
203,complex/indeterminate,False,0,0.0,,,0.0,
204,complex/indeterminate,False,0,0.0,,,0.0,
205,complex/indeterminate,False,0,0.0,,,0.0,
206,complex/indeterminate,False,0,0.0,,,0.0,
207,complex/indeterminate,False,0,0.0,,,0.0,
208,complex/indeterminate,False,0,0.0,,,0.0,
210,complex/indeterminate,False,0,0.0,,,0.0,
211,complex/indeterminate,False,0,0.0,,,0.0,
212,complex/indeterminate,False,0,0.0,,,0.0,
213,complex/indeterminate,False,0,0.0,,,0.0,
214,complex/indeterminate,False,0,0.0,,,0.0,
215,complex/indeterminate,False,0,0.0,,,0.0,
216,complex/indeterminate,False,0,0.0,,,0.0,
217,complex/indeterminate,False,0,0.0,,,0.0,
218,complex/indeterminate,False,0,0.0,,,0.0,
219,complex/indeterminate,False,0,0.0,,,0.0,
220,complex/indeterminate,False,0,0.0,,,0.0,
221,complex/indeterminate,False,0,0.0,,,0.0,
222,complex/indeterminate,False,0,0.0,,,0.0,
223,complex/indeterminate,False,0,0.0,,,0.0,
224,complex/indeterminate,False,0,0.0,,,0.0,
225,complex/indeterminate,False,0,0.0,,,0.0,
226,complex/indeterminate,False,0,0.0,,,0.0,
227,complex/indeterminate,False,0,0.0,,,0.0,
228,complex/indeterminate,False,0,0.0,,,0.0,
229,complex/indeterminate,False,0,0.0,,,0.0,
230,complex/indeterminate,False,0,0.0,,,0.0,
231,complex/indeterminate,False,0,0.0,,,0.0,
232,complex/indeterminate,False,0,0.0,,,0.0,
233,complex/indeterminate,False,0,0.0,,,0.0,
234,complex/indeterminate,False,0,0.0,,,0.0,
235,complex/indeterminate,False,0,0.0,,,0.0,
236,complex/indeterminate,False,0,0.0,,,0.0,
237,complex/indeterminate,False,0,0.0,,,0.0,
238,complex/indeterminate,False,0,0.0,,,0.0,
239,complex/indeterminate,False,0,0.0,,,0.0,
240,complex/indeterminate,False,0,0.0,,,0.0,
241,complex/indeterminate,False,0,0.0,,,0.0,
242,complex/indeterminate,False,0,0.0,,,0.0,
243,complex/indeterminate,False,0,0.0,,,0.0,
244,complex/indeterminate,False,0,0.0,,,0.0,
245,complex/indeterminate,False,0,0.0,,,0.0,
246,complex/indeterminate,False,0,0.0,,,0.0,
248,complex/indeterminate,False,0,0.0,,,0.0,
249,complex/indeterminate,False,0,0.0,,,0.0,
250,complex/indeterminate,False,0,0.0,,,0.0,
251,complex/indeterminate,False,0,0.0,,,0.0,
252,complex/indeterminate,False,0,0.0,,,0.0,
253,complex/indeterminate,False,0,0.0,,,0.0,
254,complex/indeterminate,False,0,0.0,,,0.0,
255,complex/indeterminate,False,0,0.0,,,0.0,
256,complex/indeterminate,False,0,0.0,,,0.0,
257,complex/indeterminate,False,0,0.0,,,0.0,
258,complex/indeterminate,False,0,0.0,,,0.0,
260,complex/indeterminate,False,0,0.0,,,0.0,
261,complex/indeterminate,False,0,0.0,,,0.0,
262,complex/indeterminate,False,0,0.0,,,0.0,
263,complex/indeterminate,False,0,0.0,,,0.0,
264,complex/indeterminate,False,0,0.0,,,0.0,
265,complex/indeterminate,False,0,0.0,,,0.0,
266,complex/indeterminate,False,0,0.0,,,0.0,
267,complex/indeterminate,False,0,0.0,,,0.0,
268,complex/indeterminate,False,0,0.0,,,0.0,
269,complex/indeterminate,False,0,0.0,,,0.0,
270,complex/indeterminate,False,0,0.0,,,0.0,
271,complex/indeterminate,False,0,0.0,,,0.0,
272,complex/indeterminate,False,0,0.0,,,0.0,
273,complex/indeterminate,False,0,0.0,,,0.0,
274,complex/indeterminate,False,0,0.0,,,0.0,
275,complex/indeterminate,False,0,0.0,,,0.0,
276,complex/indeterminate,False,0,0.0,,,0.0,
277,complex/indeterminate,False,0,0.0,,,0.0,
278,complex/indeterminate,False,0,0.0,,,0.0,
279,complex/indeterminate,False,0,0.0,,,0.0,
280,complex/indeterminate,False,0,0.0,,,0.0,
281,complex/indeterminate,False,0,0.0,,,0.0,
282,complex/indeterminate,False,0,0.0,,,0.0,
283,complex/indeterminate,False,0,0.0,,,0.0,
285,complex/indeterminate,False,0,0.0,,,0.0,
286,complex/indeterminate,False,0,0.0,,,0.0,
287,complex/indeterminate,False,0,0.0,,,0.0,
288,complex/indeterminate,False,0,0.0,,,0.0,
289,complex/indeterminate,False,0,0.0,,,0.0,
290,complex/indeterminate,False,0,0.0,,,0.0,
291,complex/indeterminate,False,0,0.0,,,0.0,
292,complex/indeterminate,False,0,0.0,,,0.0,
293,complex/indeterminate,False,0,0.0,,,0.0,
294,complex/indeterminate,False,0,0.0,,,0.0,
295,complex/indeterminate,False,0,0.0,,,0.0,
296,complex/indeterminate,False,0,0.0,,,0.0,
297,complex/indeterminate,False,0,0.0,,,0.0,
298,complex/indeterminate,False,0,0.0,,,0.0,
299,complex/indeterminate,False,0,0.0,,,0.0,
300,complex/indeterminate,False,0,0.0,,,0.0,
301,complex/indeterminate,False,0,0.0,,,0.0,
302,complex/indeterminate,False,0,0.0,,,0.0,
303,complex/indeterminate,False,0,0.0,,,0.0,
304,complex/indeterminate,False,0,0.0,,,0.0,
305,complex/indeterminate,False,0,0.0,,,0.0,
306,complex/indeterminate,False,0,0.0,,,0.0,
307,complex/indeterminate,False,0,0.0,,,0.0,
308,complex/indeterminate,False,0,0.0,,,0.0,
309,complex/indeterminate,False,0,0.0,,,0.0,
310,complex/indeterminate,False,0,0.0,,,0.0,
311,complex/indeterminate,False,0,0.0,,,0.0,
312,complex/indeterminate,False,0,0.0,,,0.0,
313,complex/indeterminate,False,0,0.0,,,0.0,
314,complex/indeterminate,False,0,0.0,,,0.0,
315,complex/indeterminate,False,0,0.0,,,0.0,
316,complex/indeterminate,False,0,0.0,,,0.0,
317,complex/indeterminate,False,0,0.0,,,0.0,
318,complex/indeterminate,False,0,0.0,,,0.0,
319,complex/indeterminate,False,0,0.0,,,0.0,
320,complex/indeterminate,False,0,0.0,,,0.0,
321,complex/indeterminate,False,0,0.0,,,0.0,
322,complex/indeterminate,False,0,0.0,,,0.0,
323,complex/indeterminate,False,0,0.0,,,0.0,
324,complex/indeterminate,False,0,0.0,,,0.0,
325,complex/indeterminate,False,0,0.0,,,0.0,
326,complex/indeterminate,False,0,0.0,,,0.0,
327,complex/indeterminate,False,0,0.0,,,0.0,
328,complex/indeterminate,False,0,0.0,,,0.0,
329,complex/indeterminate,False,0,0.0,,,0.0,
330,complex/indeterminate,False,0,0.0,,,0.0,
331,complex/indeterminate,False,0,0.0,,,0.0,
332,complex/indeterminate,False,0,0.0,,,0.0,
333,complex/indeterminate,False,0,0.0,,,0.0,
334,complex/indeterminate,False,0,0.0,,,0.0,
335,complex/indeterminate,False,0,0.0,,,0.0,
336,complex/indeterminate,False,0,0.0,,,0.0,
337,complex/indeterminate,False,0,0.0,,,0.0,
338,complex/indeterminate,False,0,0.0,,,0.0,
339,complex/indeterminate,False,0,0.0,,,0.0,
340,complex/indeterminate,False,0,0.0,,,0.0,
341,complex/indeterminate,False,0,0.0,,,0.0,
342,complex/indeterminate,False,0,0.0,,,0.0,
343,complex/indeterminate,False,0,0.0,,,0.0,
344,complex/indeterminate,False,0,0.0,,,0.0,
345,complex/indeterminate,False,0,0.0,,,0.0,
346,complex/indeterminate,False,0,0.0,,,0.0,
347,complex/indeterminate,False,0,0.0,,,0.0,
348,complex/indeterminate,False,0,0.0,,,0.0,
349,complex/indeterminate,False,0,0.0,,,0.0,
350,complex/indeterminate,False,0,0.0,,,0.0,
351,complex/indeterminate,False,0,0.0,,,0.0,
352,complex/indeterminate,False,0,0.0,,,0.0,
353,complex/indeterminate,False,0,0.0,,,0.0,
354,complex/indeterminate,False,0,0.0,,,0.0,
355,complex/indeterminate,False,0,0.0,,,0.0,
356,complex/indeterminate,False,0,0.0,,,0.0,
357,complex/indeterminate,False,0,0.0,,,0.0,
358,complex/indeterminate,False,0,0.0,,,0.0,
359,complex/indeterminate,False,0,0.0,,,0.0,
360,complex/indeterminate,False,0,0.0,,,0.0,
361,complex/indeterminate,False,0,0.0,,,0.0,
362,complex/indeterminate,False,0,0.0,,,0.0,
363,complex/indeterminate,False,0,0.0,,,0.0,
364,complex/indeterminate,False,0,0.0,,,0.0,
365,complex/indeterminate,False,0,0.0,,,0.0,
366,complex/indeterminate,False,0,0.0,,,0.0,
367,complex/indeterminate,False,0,0.0,,,0.0,
368,complex/indeterminate,False,0,0.0,,,0.0,
369,complex/indeterminate,False,0,0.0,,,0.0,
370,complex/indeterminate,False,0,0.0,,,0.0,
371,complex/indeterminate,False,0,0.0,,,0.0,
372,complex/indeterminate,False,0,0.0,,,0.0,
373,complex/indeterminate,False,0,0.0,,,0.0,
374,complex/indeterminate,False,0,0.0,,,0.0,
