line_id,n_total_segments,n_activated_segments,activation_fraction,eligible_for_propagation,spearman_rho,spearman_pvalue,slope_minutes_per_km,intercept_minutes,r2_linear,activation_span_km,activation_time_span_minutes,median_activation_minutes,iqr_activation_minutes,n_early_jump_pairs,bend_fraction_activated,late_residual_fraction,classification
201,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
202,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
203,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
204,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
205,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
206,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
207,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
208,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
210,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
211,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
212,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
213,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
214,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
215,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
216,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
217,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
218,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
219,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
220,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
221,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
222,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
223,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
224,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
225,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
226,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
227,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
228,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
229,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
230,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
231,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
232,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
233,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
234,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
235,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
236,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
237,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
238,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
239,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
240,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
241,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
242,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
243,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
244,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
245,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
246,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
248,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
249,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
250,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
251,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
252,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
253,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
254,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
255,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
256,1,0,0.0,False,,,,,,0.0,,,,0,0.0,,complex/indeterminate
