line_id,segment_id,global_segment_id,line_segment_count,line_total_length_km,segment_length_km,start_x_km,start_y_km,end_x_km,end_y_km,mid_x_km,mid_y_km,start_lon,start_lat,end_lon,end_lat,mid_lon,mid_lat,along_line_start_km,along_line_end_km,along_line_mid_km,raw_azimuth_deg,strike_deg,first_associated_event_time,first_associated_event_elapsed_minutes,total_associated_events,activated,activation_bin,activation_minutes,activation_hours,peak_count,peak_rate_events_per_hour,peak_bin,peak_bin_start_minutes,max_cumulative_count,first_associated_event_elapsed_hours,activation_delay_from_first_event_minutes,activation_delay_from_first_event_hours,activation_threshold_count_per_bin,activation_threshold_rate_per_hour,ever_associated,segment_dx_km,segment_dy_km,segment_mid_distance_from_origin_km,bend_flag,local_turn_angle_deg,distance_to_mw64_km,distance_to_mw71_km
291,0,295,1,0.0967541674576119,0.0967541674576119,3.126856579740078,-4.101103066214558,3.065067244933499,-4.175557394662111,3.0959619123367883,-4.138330230438334,-117.508839200569,35.7032527963795,-117.509522237461,35.7025819497972,-117.50918072044628,35.702917373582785,0.0,0.0967541674576119,0.0483770837288059,230.3108618527435,39.6891381472565,2019-07-04 19:42:06.680000+00:00,128.294,27,False,,,,2.0,4.0,5.0,150.0,27.0,2.138233333333333,,,5,10.0,True,-0.061789334806579,-0.07445432844755384,5.168245085016756,False,,1.3885208815186774,11.111514242022228
292,0,296,1,0.1689497742657148,0.168907087772534,4.416893360728919,-6.04426161173487,4.333517906694378,-6.191156601316996,4.375205633711648,-6.117709106525933,-117.494595367482,35.6857345676962,-117.495517230136,35.6844110012668,-117.4950563026194,35.68507278540208,0.0,0.1689497742657148,0.0844748871328574,240.4213877693853,29.57861223061468,2019-07-05 01:52:51.100000+00:00,499.0343333333333,2,False,,,,1.0,2.0,16.0,480.0,2.0,8.317238888888888,,,5,10.0,True,-0.08337545403454083,-0.1468949895821252,7.521222576771177,False,,2.125827564268679,13.438354740542682
293,0,297,1,0.2520644713995051,0.2483884274860022,-18.762648613114266,0.902484144619388,-18.794748496208896,0.6561786261788144,-18.77869855466158,0.7793313853991013,-117.750828065363,35.74817502166,-117.751177188476,35.745954535273704,-117.75100262931755,35.747064778693435,0.0,0.2520644713995051,0.1260322356997525,262.5747503459122,7.425249654087821,2019-07-05 18:15:54.460000+00:00,1482.090333333333,1,False,,,,1.0,2.0,49.0,1470.0,1.0,24.701505555555556,,,5,10.0,True,-0.032099883094630854,-0.24630551844057358,18.79486304326576,False,,23.740577287349904,14.663043609250689
294,0,298,1,0.0636887991009802,0.0636887991009802,-18.8326947929791,0.4270829867574004,-18.831690113105,0.3634021124757481,-18.83219245304205,0.3952425496165743,-117.751591329876,35.743889042545305,-117.75157872857498,35.7433151257925,-117.75158502920114,35.74360208417595,0.0,0.0636887991009802,0.0318443995504901,270.90386857728726,179.09613142271274,,,0,False,,,,,,,,,,,,5,10.0,False,0.001004679874100134,-0.06368087428165231,18.836339592963423,False,,23.718905093436874,14.803959170946953
295,0,299,1,0.5383285172625526,0.5259409644643795,1.6529852345348115,-5.176059459405202,1.2761663542830852,-5.54296739007386,1.4645757944089484,-5.359513424739531,-117.525127233135,35.69356801435241,-117.52929104384698,35.6902617063128,-117.52720918147251,35.69191487858014,0.0,0.5383285172625526,0.2691642586312763,224.23651808256457,45.76348191743543,2019-07-05 07:31:18.490000+00:00,837.4908333333333,2,False,,,,1.0,2.0,27.0,810.0,2.0,13.958180555555554,,,5,10.0,True,-0.3768188802517263,-0.366907930668658,5.5560207349803745,False,,3.3073282922732967,11.08112163313917
296,0,300,1,0.2087426181775983,0.2084616217929851,1.216014973012308,-5.573630477387104,1.0939143022558724,-5.7425910466374175,1.15496463763409,-5.65811076201226,-117.529955636543,35.68998542198971,-117.531304817463,35.68846275645111,-117.53063023341647,35.6892240911607,0.0,0.2087426181775983,0.1043713090887991,234.1459493860104,35.854050613989614,,,0,False,,,,,,,,,,,,5,10.0,False,-0.1221006707564356,-0.16896056925031377,5.774786637563695,False,,3.715384653861435,11.175287028186846
297,0,301,1,0.1432053016162899,0.1427201806721654,1.0939143022558724,-5.7425910466374175,1.076291632595076,-5.884219050524791,1.0851029674254742,-5.813405048581105,-117.531304817463,35.68846275645111,-117.531499696054,35.68718631000021,-117.53140225753546,35.68782453329908,0.0,0.1432053016162899,0.0716026508081449,262.9071830370166,7.0928169629834485,,,0,False,,,,,,,,,,,,5,10.0,False,-0.017622669660796397,-0.14162800388737384,5.913808139328148,False,,3.8488959007645267,11.275119827561639
298,0,302,1,0.5207918419464641,0.5207918419464641,2.3295500621224217,-4.2570684700756605,2.779169889463616,-4.519872871674389,2.5543599757930187,-4.388470670875025,-117.517649642817,35.70184932158901,-117.512682478514,35.699479555836895,-117.51516602391372,35.70066446446224,0.0,0.5207918419464641,0.260395920973232,329.69356095457346,120.30643904542652,2019-07-04 22:17:17.920000+00:00,283.48133333333334,3,False,,,,1.0,2.0,9.0,270.0,3.0,4.724688888888889,,,5,10.0,True,0.44961982734119443,-0.26280440159872853,5.0777386418624975,False,,1.9626203681955499,10.940416428338281
299,0,303,1,0.2327448602088187,0.2322169964504729,-18.794748496208896,0.6561786261788144,-18.8326947929791,0.4270829867574004,-18.813721644594,0.5416308064681075,-117.751177188476,35.745954535273704,-117.751591329876,35.743889042545305,-117.75138426182804,35.74492178917353,0.0,0.2327448602088187,0.1163724301044093,260.5951901034784,9.404809896521613,,,0,False,,,,,,,,,,,,5,10.0,False,-0.03794629677020467,-0.22909563942141398,18.82151657148754,False,,23.728301904025123,14.751072220216882
300,0,304,1,0.721518128776542,0.7135319629554904,-9.67422581743947,9.606602211209946,-9.533765654952266,8.907031768071313,-9.603995736195868,9.25681698964063,-117.65045255544102,35.826753456307,-117.648889776542,35.820449884154904,-117.6496711350147,35.82360167361302,0.0,0.721518128776542,0.360759064388271,281.3529300486165,168.64706995138354,2019-07-05 08:50:58.020000+00:00,917.1496666666668,2,False,,,,1.0,2.0,30.0,900.0,2.0,15.28582777777778,,,5,10.0,True,0.14046016248720505,-0.6995704431386329,13.338867826040104,False,,19.33563851217751,7.348289368399725
