domain_label,domain_flag_column,split_latitude_deg,period_days,event_index_within_window,event_time_days
Entire area,in_entire_corridor,,0.68,77,0.4257541666666667
Entire area,in_entire_corridor,,0.68,78,0.4429326388888888
Entire area,in_entire_corridor,,0.68,79,0.4450924768518518
Entire area,in_entire_corridor,,0.68,80,0.4838907407407408
Entire area,in_entire_corridor,,0.68,81,0.4893076388888889
Entire area,in_entire_corridor,,0.68,82,0.5044320601851852
Entire area,in_entire_corridor,,0.68,83,0.5464502314814815
Entire area,in_entire_corridor,,0.68,84,0.561494675925926
Entire area,in_entire_corridor,,0.68,85,0.5790253472222222
Entire area,in_entire_corridor,,0.68,86,0.5870836805555555
Entire area,in_entire_corridor,,0.68,87,0.6020137731481481
Entire area,in_entire_corridor,,0.68,88,0.6340310185185185
Entire area,in_entire_corridor,,0.68,89,0.6390401620370371
Entire area,in_entire_corridor,,0.732,1,0.0014212962962962
Entire area,in_entire_corridor,,0.732,2,0.0022027777777777
Entire area,in_entire_corridor,,0.732,3,0.0023800925925925
Entire area,in_entire_corridor,,0.732,4,0.0025037037037037
Entire area,in_entire_corridor,,0.732,5,0.002849537037037
Entire area,in_entire_corridor,,0.732,6,0.0040034722222222
Entire area,in_entire_corridor,,0.732,7,0.0043162037037037
Entire area,in_entire_corridor,,0.732,8,0.0045018518518518
Entire area,in_entire_corridor,,0.732,9,0.0052310185185185
Entire area,in_entire_corridor,,0.732,10,0.006305324074074
Entire area,in_entire_corridor,,0.732,11,0.006943287037037
Entire area,in_entire_corridor,,0.732,12,0.0074483796296296
Entire area,in_entire_corridor,,0.732,13,0.0078310185185185
Entire area,in_entire_corridor,,0.732,14,0.0080388888888888
Entire area,in_entire_corridor,,0.732,15,0.0080986111111111
Entire area,in_entire_corridor,,0.732,16,0.0093576388888888
Entire area,in_entire_corridor,,0.732,17,0.0096259259259259
Entire area,in_entire_corridor,,0.732,18,0.009786574074074
Entire area,in_entire_corridor,,0.732,19,0.0100268518518518
Entire area,in_entire_corridor,,0.732,20,0.0124680555555555
Entire area,in_entire_corridor,,0.732,21,0.0168208333333333
Entire area,in_entire_corridor,,0.732,22,0.0225337962962963
Entire area,in_entire_corridor,,0.732,23,0.0241201388888888
Entire area,in_entire_corridor,,0.732,24,0.0255004629629629
Entire area,in_entire_corridor,,0.732,25,0.0278011574074074
Entire area,in_entire_corridor,,0.732,26,0.0287453703703703
Entire area,in_entire_corridor,,0.732,27,0.0296805555555555
Entire area,in_entire_corridor,,0.732,28,0.0362798611111111
Entire area,in_entire_corridor,,0.732,29,0.0372402777777777
Entire area,in_entire_corridor,,0.732,30,0.0376173611111111
Entire area,in_entire_corridor,,0.732,31,0.0468180555555555
Entire area,in_entire_corridor,,0.732,32,0.0490256944444444
Entire area,in_entire_corridor,,0.732,33,0.050892824074074
Entire area,in_entire_corridor,,0.732,34,0.0515018518518518
Entire area,in_entire_corridor,,0.732,35,0.0530854166666666
Entire area,in_entire_corridor,,0.732,36,0.0553050925925925
Entire area,in_entire_corridor,,0.732,37,0.0563625
Entire area,in_entire_corridor,,0.732,38,0.0566930555555555
Entire area,in_entire_corridor,,0.732,39,0.0571444444444444
Entire area,in_entire_corridor,,0.732,40,0.0579504629629629
Entire area,in_entire_corridor,,0.732,41,0.0582509259259259
Entire area,in_entire_corridor,,0.732,42,0.0583701388888888
Entire area,in_entire_corridor,,0.732,43,0.05855
Entire area,in_entire_corridor,,0.732,44,0.0599592592592592
Entire area,in_entire_corridor,,0.732,45,0.0606659722222222
Entire area,in_entire_corridor,,0.732,46,0.0670203703703703
Entire area,in_entire_corridor,,0.732,47,0.0748
Entire area,in_entire_corridor,,0.732,48,0.0939319444444444
Entire area,in_entire_corridor,,0.732,49,0.0954606481481481
Entire area,in_entire_corridor,,0.732,50,0.0987421296296296
Entire area,in_entire_corridor,,0.732,51,0.0990342592592592
Entire area,in_entire_corridor,,0.732,52,0.1057726851851851
Entire area,in_entire_corridor,,0.732,53,0.1118175925925926
Entire area,in_entire_corridor,,0.732,54,0.1137453703703703
Entire area,in_entire_corridor,,0.732,55,0.1330726851851851
Entire area,in_entire_corridor,,0.732,56,0.1399983796296296
Entire area,in_entire_corridor,,0.732,57,0.1452131944444444
Entire area,in_entire_corridor,,0.732,58,0.1616384259259259
Entire area,in_entire_corridor,,0.732,59,0.1713453703703703
Entire area,in_entire_corridor,,0.732,60,0.1866418981481481
Entire area,in_entire_corridor,,0.732,61,0.1885763888888889
Entire area,in_entire_corridor,,0.732,62,0.1932782407407407
Entire area,in_entire_corridor,,0.732,63,0.2142648148148148
Entire area,in_entire_corridor,,0.732,64,0.2353122685185185
Entire area,in_entire_corridor,,0.732,65,0.2355988425925926
Entire area,in_entire_corridor,,0.732,66,0.2560712962962963
Entire area,in_entire_corridor,,0.732,67,0.2644351851851852
Entire area,in_entire_corridor,,0.732,68,0.2806966435185185
Entire area,in_entire_corridor,,0.732,69,0.2904790509259259
Entire area,in_entire_corridor,,0.732,70,0.2998854166666666
Entire area,in_entire_corridor,,0.732,71,0.3160216435185185
Entire area,in_entire_corridor,,0.732,72,0.3225016203703704
Entire area,in_entire_corridor,,0.732,73,0.3526841435185185
Entire area,in_entire_corridor,,0.732,74,0.3552075231481481
Entire area,in_entire_corridor,,0.732,75,0.3651923611111111
Entire area,in_entire_corridor,,0.732,76,0.4069945601851852
Entire area,in_entire_corridor,,0.732,77,0.4257541666666667
Entire area,in_entire_corridor,,0.732,78,0.4429326388888888
Entire area,in_entire_corridor,,0.732,79,0.4450924768518518
Entire area,in_entire_corridor,,0.732,80,0.4838907407407408
Entire area,in_entire_corridor,,0.732,81,0.4893076388888889
Entire area,in_entire_corridor,,0.732,82,0.5044320601851852
Entire area,in_entire_corridor,,0.732,83,0.5464502314814815
Entire area,in_entire_corridor,,0.732,84,0.561494675925926
Entire area,in_entire_corridor,,0.732,85,0.5790253472222222
Entire area,in_entire_corridor,,0.732,86,0.5870836805555555
Entire area,in_entire_corridor,,0.732,87,0.6020137731481481
Entire area,in_entire_corridor,,0.732,88,0.6340310185185185
Entire area,in_entire_corridor,,0.732,89,0.6390401620370371
Entire area,in_entire_corridor,,0.732,90,0.6963554398148148
Entire area,in_entire_corridor,,0.732,91,0.7247356481481482
Entire area,in_entire_corridor,,0.732,92,0.7319883101851852
Entire area,in_entire_corridor,,0.85,1,0.0014212962962962
Entire area,in_entire_corridor,,0.85,2,0.0022027777777777
Entire area,in_entire_corridor,,0.85,3,0.0023800925925925
Entire area,in_entire_corridor,,0.85,4,0.0025037037037037
Entire area,in_entire_corridor,,0.85,5,0.002849537037037
Entire area,in_entire_corridor,,0.85,6,0.0040034722222222
Entire area,in_entire_corridor,,0.85,7,0.0043162037037037
Entire area,in_entire_corridor,,0.85,8,0.0045018518518518
Entire area,in_entire_corridor,,0.85,9,0.0052310185185185
Entire area,in_entire_corridor,,0.85,10,0.006305324074074
Entire area,in_entire_corridor,,0.85,11,0.006943287037037
Entire area,in_entire_corridor,,0.85,12,0.0074483796296296
Entire area,in_entire_corridor,,0.85,13,0.0078310185185185
Entire area,in_entire_corridor,,0.85,14,0.0080388888888888
Entire area,in_entire_corridor,,0.85,15,0.0080986111111111
Entire area,in_entire_corridor,,0.85,16,0.0093576388888888
Entire area,in_entire_corridor,,0.85,17,0.0096259259259259
Entire area,in_entire_corridor,,0.85,18,0.009786574074074
Entire area,in_entire_corridor,,0.85,19,0.0100268518518518
Entire area,in_entire_corridor,,0.85,20,0.0124680555555555
Entire area,in_entire_corridor,,0.85,21,0.0168208333333333
Entire area,in_entire_corridor,,0.85,22,0.0225337962962963
Entire area,in_entire_corridor,,0.85,23,0.0241201388888888
Entire area,in_entire_corridor,,0.85,24,0.0255004629629629
Entire area,in_entire_corridor,,0.85,25,0.0278011574074074
Entire area,in_entire_corridor,,0.85,26,0.0287453703703703
Entire area,in_entire_corridor,,0.85,27,0.0296805555555555
Entire area,in_entire_corridor,,0.85,28,0.0362798611111111
Entire area,in_entire_corridor,,0.85,29,0.0372402777777777
Entire area,in_entire_corridor,,0.85,30,0.0376173611111111
Entire area,in_entire_corridor,,0.85,31,0.0468180555555555
Entire area,in_entire_corridor,,0.85,32,0.0490256944444444
Entire area,in_entire_corridor,,0.85,33,0.050892824074074
Entire area,in_entire_corridor,,0.85,34,0.0515018518518518
Entire area,in_entire_corridor,,0.85,35,0.0530854166666666
Entire area,in_entire_corridor,,0.85,36,0.0553050925925925
Entire area,in_entire_corridor,,0.85,37,0.0563625
Entire area,in_entire_corridor,,0.85,38,0.0566930555555555
Entire area,in_entire_corridor,,0.85,39,0.0571444444444444
Entire area,in_entire_corridor,,0.85,40,0.0579504629629629
Entire area,in_entire_corridor,,0.85,41,0.0582509259259259
Entire area,in_entire_corridor,,0.85,42,0.0583701388888888
Entire area,in_entire_corridor,,0.85,43,0.05855
Entire area,in_entire_corridor,,0.85,44,0.0599592592592592
Entire area,in_entire_corridor,,0.85,45,0.0606659722222222
Entire area,in_entire_corridor,,0.85,46,0.0670203703703703
Entire area,in_entire_corridor,,0.85,47,0.0748
