event_time,latitude,longitude,depth_km,magnitude,event_id,time_rel_sec_from_64,time_rel_min_from_64,time_rel_hr_from_64,x_km,y_km
2019-07-24 15:51:17+00:00,36.101019795185046,-117.927168741383,5.484634850000001,0.32,79424,1721847.96,28697.466,478.2911,416.5420659966128,3995.551012987724
2019-07-24 15:52:15.260000+00:00,35.604140795185046,-117.43620661513503,6.464487800000001,-0.07,79425,1721906.22,28698.436999999998,478.3072833333333,460.49007330570515,3940.130891572252
2019-07-24 15:52:43.320000+00:00,35.93813279518505,-117.66557580067352,3.6338015,2.3,79426,1721934.28,28698.904666666665,478.3150777777778,439.96599317824894,3977.291168228212
2019-07-24 15:53:42.730000+00:00,35.869053795185046,-117.69725276565168,7.633053170000001,0.74,79427,1721993.69,28699.894833333332,478.33158055555555,437.0540507120757,3969.649186860194
2019-07-24 15:53:49.960000+00:00,35.87909179518505,-117.68904149623413,5.41931132,0.82,79428,1722000.92,28700.015333333333,478.33358888888887,437.80319819046025,3970.7572948852967
2019-07-24 15:54:24.800000+00:00,35.63141079518505,-117.435223574934,5.09269367,0.87,79429,1722035.76,28700.596,478.3432666666667,460.59249373893107,3943.1549745776683
2019-07-24 15:54:34.900000+00:00,35.59100179518505,-117.4820706718228,4.410425690000001,1.71,79430,1722045.86,28700.764333333336,478.34607222222223,456.3287151549746,3938.6930465046394
2019-07-24 15:55:17.550000+00:00,35.66535479518505,-117.43258101805894,3.55396163,0.61,79431,1722088.51,28701.475166666667,478.35791944444446,460.8483323777007,3946.918618708829
2019-07-24 15:55:21.300000+00:00,35.82496979518505,-117.65826856142806,4.475749220000001,0.86,79432,1722092.26,28701.537666666667,478.3589611111111,440.54058234542833,3964.735254732289
2019-07-24 15:56:18.960000+00:00,35.65452279518505,-117.48477723797912,5.571732890000001,0.29,79433,1722149.92,28702.498666666666,478.37497777777776,456.1182417882543,3945.739296713499
2019-07-24 15:56:29.470000+00:00,35.622658795185046,-117.48248894567102,4.40316752,0.05,79434,1722160.43,28702.67383333333,478.3778972222222,456.3080376104513,3942.2042665231697
2019-07-24 15:56:47.100000+00:00,35.90633379518505,-117.7838354807784,4.88220674,0.62,79435,1722178.06,28702.967666666667,478.38279444444447,429.27063184835333,3973.8433279949436
2019-07-24 15:56:56.800000+00:00,35.59153479518505,-117.39046171007752,5.477376680000001,0.54,79436,1722187.76,28703.129333333334,478.3854888888889,464.6279477124335,3938.71538287876
2019-07-24 15:56:59.840000+00:00,36.075831795185046,-117.85123888864962,3.00959888,1.22,79437,1722190.8,28703.18,478.38633333333337,423.35250727808597,3992.6946538494
2019-07-24 15:57:31.390000+00:00,35.58643579518505,-117.49346434415084,6.44271329,1.01,79438,1722222.35,28703.705833333333,478.39509722222226,455.2940040075304,3938.1917531031363
2019-07-24 15:58:03.270000+00:00,35.889223795185046,-117.63990523402536,14.666219900000002,0.62,79439,1722254.23,28704.237166666666,478.40395277777776,442.2459340272697,3971.8509340900746
2019-07-24 15:58:07.610000+00:00,35.64107879518505,-117.46736127037296,3.19105313,0.26,79440,1722258.57,28704.3095,478.40515833333336,457.68764819147515,3944.240596534663
2019-07-24 15:58:52.660000+00:00,35.62796079518505,-117.56316932684884,4.93301393,0.07,79441,1722303.62,28705.060333333335,478.4176722222223,449.0052922388851,3942.8311403519447
2019-07-24 15:59:10.420000+00:00,35.68829979518505,-117.56347467184978,4.2144551,-0.07,79442,1722321.38,28705.356333333333,478.42260555555555,449.01601068205525,3949.5234989337114
2019-07-24 15:59:29.270000+00:00,35.71251079518505,-117.4841714189218,0.78859886,0.05,79443,1722340.23,28705.6705,478.42784166666667,456.2047831062795,3952.1704778359554
2019-07-24 15:59:52.860000+00:00,35.64203479518505,-117.464236339158,3.38702372,0.79,79444,1722363.82,28706.06366666667,478.4343944444445,457.97106512525795,3944.3452854279385
2019-07-24 16:00:00.420000+00:00,35.67434679518505,-117.55977066594583,6.91449434,0.92,79445,1722371.38,28706.189666666665,478.4364944444444,449.34233891968086,3947.974049156018
2019-07-24 16:00:35.680000+00:00,35.90207779518505,-117.72564017055836,5.658830930000001,0.77,79446,1722406.64,28706.77733333333,478.4462888888889,434.51846950688787,3973.330700622212
2019-07-24 16:00:42.510000+00:00,35.69376879518505,-117.46225406631166,7.908863630000001,1.04,79447,1722413.47,28706.891166666665,478.4481861111111,458.1775211241096,3950.0822392554555
2019-07-24 16:01:16.230000+00:00,35.67991379518505,-117.50439206720064,8.402419190000002,1.79,79448,1722447.19,28707.453166666666,478.4575527777778,454.3571596011968,3948.564342818
2019-07-24 16:02:01.720000+00:00,35.668959795185046,-117.55696327777,6.2612590400000006,1.11,79449,1722492.68,28708.211333333333,478.47018888888886,449.5930152442954,3947.3751317591605
2019-07-24 16:02:20.150000+00:00,36.07803779518505,-117.8426050508225,2.4942688100000003,1.62,79450,1722511.11,28708.518500000002,478.4753083333334,424.13205434903745,3992.9325754300253
2019-07-24 16:02:30.180000+00:00,35.65586179518505,-117.48927833438628,3.82977209,1.56,79451,1722521.14,28708.685666666664,478.4780944444444,455.71154117991216,3945.8898234140347
2019-07-24 16:02:58.730000+00:00,35.77435879518505,-117.58336189138248,9.11371985,0.87,79452,1722549.69,28709.1615,478.486025,447.2733222292684,3959.078937226035
2019-07-24 16:03:14.600000+00:00,35.67826579518505,-117.48382694840562,4.19268059,0.4,79453,1722565.56,28709.426,478.4904333333333,456.2172279352277,3948.372202470996
2019-07-24 16:03:51.690000+00:00,35.94732479518505,-117.6099294719546,2.73378842,0.2,79454,1722602.65,28710.044166666667,478.5007361111111,444.9916473152138,3978.2779122109678
2019-07-24 16:04:18.450000+00:00,35.67952279518505,-117.5193980390148,7.277402840000001,0.14,79455,1722629.41,28710.490166666666,478.50816944444443,452.99901612539384,3948.5280531728395
2019-07-24 16:04:26.750000+00:00,35.73899979518505,-117.58453133276872,8.17015775,0.26,79456,1722637.71,28710.6285,478.510475,447.1442419137407,3955.15783096424
2019-07-24 16:05:21.760000+00:00,35.64655579518505,-117.49852166449202,3.58299431,0.41,79457,1722692.72,28711.54533333333,478.5257555555555,454.8696130434778,3944.8619037268004
2019-07-24 16:05:25.470000+00:00,35.59197779518505,-117.39610074187352,5.738670800000001,0.82,79458,1722696.43,28711.607166666665,478.5267861111111,464.11730106232795,3938.7665558964027
2019-07-24 16:05:59.120000+00:00,35.52841179518505,-117.36673418657502,6.72578192,0.34,79459,1722730.08,28712.168,478.53613333333334,466.7513816789835,3931.7063194988937
2019-07-24 16:06:14.550000+00:00,35.69971379518505,-117.58917549522675,6.5370695,0.43,79460,1722745.51,28712.425166666668,478.54041944444447,446.6981333327831,3950.803081756571
2019-07-24 16:06:31.570000+00:00,35.56542779518505,-117.3864718374955,4.5410727500000005,0.32,79461,1722762.53,28712.708833333334,478.5451472222222,464.9780299803699,3935.818490629173
2019-07-24 16:06:36.260000+00:00,35.54664479518505,-117.52568749173558,1.78296815,0.32,79462,1722767.22,28712.787,478.54645,452.3511314317646,3933.7937172732763
2019-07-24 16:06:41.660000+00:00,35.673276795185046,-117.42168458883567,0.66520997,0.05,79463,1722772.62,28712.877,478.54795,461.83831348902663,3947.7929568328736
