event_id,origin_time,latitude,longitude,depth_km,magnitude,dist_a_km,dist_b_km,nearest_mainshock,second_nearest_mainshock,nearest_dist_km,second_nearest_dist_km,nearest_margin_km,nearest_ratio,proj_km,pos_norm,cross_km,midpoint_dist_km,dt_a_days,dt_b_days,pair_name,in_corridor,in_core_segment,in_sideband,endpoint_a_near,endpoint_b_near,shared_overlap,outer_band,assignment,corridor_width_km,assignment_stable_across_widths
17863,2026-04-16 14:34:11.570000+00:00,39.46606,142.494629,27.94,0.3,87.2354004685757,167.92696949660515,M3,M1,70.44823432258416,87.2354004685757,16.78716614599155,0.8075647494500964,50.61933624940827,0.24957361558390764,-71.16817483150739,87.43435597868765,158.27120752314815,129.0132105324074,M1_M2,False,False,True,False,False,False,True,outer_cluster,36.46616341836339,True
17864,2026-04-16 14:49:09.470000+00:00,38.782646,141.739518,52.73,1.1,167.35902332647362,247.46518426480267,M1,M3,167.35902332647362,169.54506657735377,2.1860432508801466,0.9871064178096696,18.794423005856885,0.09266403809156838,-166.49405306565296,185.86520178758974,158.28159988425926,129.0236028935185,M1_M2,False,False,False,False,False,False,False,regional_background,36.46616341836339,True
17865,2026-04-16 14:55:36.260000+00:00,40.794503,142.627767,29.89,1.2,171.95101483944325,34.4689590781665,M2,M3,34.4689590781665,115.02512791769246,80.55616883952595,0.2996646011368156,171.50261810018887,0.8455766442783139,14.881677177405852,71.65340457630145,158.28607662037035,129.02807962962964,M1_M2,True,True,False,False,True,False,False,unique_M2,36.46616341836339,True
17866,2026-04-16 15:07:35.650000+00:00,39.45212,142.583024,27.6,1.4,79.55604433691303,170.40944608882563,M3,M1,65.53222482707726,79.55604433691303,14.023819509835775,0.8237240221441113,45.404977275998505,0.22386473596655626,-65.43588365629009,86.13129774707012,158.2944028935185,129.03640590277777,M1_M2,False,False,True,False,False,False,True,outer_cluster,36.46616341836339,True
17867,2026-04-16 15:41:31.090000+00:00,40.803247,142.640397,32.2,0.8,172.36294719657315,34.83118728876855,M2,M3,34.83118728876855,115.50971151217027,80.67852422340172,0.30154336663803966,171.78710454066677,0.8469792764500366,16.30766122204161,72.24020132905567,158.31796122685185,129.0599642361111,M1_M2,True,True,False,False,True,False,False,unique_M2,36.46616341836339,True
17868,2026-04-16 16:13:45.470000+00:00,39.795471,142.953955,25.11,2.3,64.49390120953109,142.0571431464415,M3,M1,18.096599307874822,64.49390120953109,46.39730190165626,0.28059396266139436,61.89402876670809,0.3051623685117424,-18.384479417296294,43.58474728333281,158.34034988425927,129.0823528935185,M1_M2,True,True,False,False,False,False,True,corridor_like,36.46616341836339,True
17869,2026-04-16 16:24:49.790000+00:00,39.211495,142.388167,33.13,1.1,98.56551370279408,195.5001851053344,M3,M1,96.24618221880256,98.56551370279408,2.319331483991519,0.9764691381715411,31.030934015089976,0.15299494167472813,-93.67098569278393,117.16525283253914,158.34803877314815,129.0900417824074,M1_M2,False,False,False,False,False,False,True,outer_cluster,36.46616341836339,True
17870,2026-04-16 16:26:11.600000+00:00,39.792855,142.954102,25.08,2.7,64.28830334605493,142.32952699698393,M3,M1,18.170240532149037,64.28830334605493,46.118062813905894,0.2826368030641776,61.63774328552768,0.3038987783721027,-18.5232599480643,43.87565988713187,158.34898564814813,129.0909886574074,M1_M2,True,True,False,False,False,False,True,corridor_like,36.46616341836339,True
17871,2026-04-16 16:32:13.760000+00:00,39.794796,142.952572,24.65,1.9,64.53035373133841,142.07969691829217,M3,M1,18.231366018684938,64.53035373133841,46.29898771265347,0.2825238816230305,61.89019729783378,0.3051434778345662,-18.525045697320415,43.647694853482975,158.35317731481481,129.09518032407408,M1_M2,True,True,False,False,False,False,True,corridor_like,36.46616341836339,True
17872,2026-04-16 16:34:24.230000+00:00,39.793477,142.95166,24.61,2.0,64.48913999513339,142.18403401832038,M3,M1,18.34872453842457,64.48913999513339,46.140415456708816,0.2845242553988042,61.804211853127086,0.3047195351298001,-18.667722054189998,43.78620473072121,158.35468738425925,129.09669039351851,M1_M2,True,True,False,False,False,False,True,corridor_like,36.46616341836339,True
