mainshock,control_type,time_window_days,radius_km,mag_threshold,n_total,n_pre,n_post,pre_rate,post_rate,rate_ratio
M2,shifted_background,60.0,50.0,2.0,56,43,13,0.7166666666666667,0.21666666666666667,0.3023255813953488
M2,observed_baseline,90.0,50.0,,2370,91,2278,1.011111111111111,25.31111111111111,25.032967032967033
M2,shifted_background,90.0,50.0,,829,753,76,8.366666666666667,0.8444444444444444,0.10092961487383798
M2,observed_baseline,90.0,50.0,1.2,1589,49,1539,0.5444444444444444,17.1,31.40816326530613
M2,shifted_background,90.0,50.0,1.2,495,457,38,5.0777777777777775,0.4222222222222222,0.08315098468271336
M2,observed_baseline,90.0,50.0,1.5,980,28,951,0.3111111111111111,10.566666666666666,33.964285714285715
M2,shifted_background,90.0,50.0,1.5,281,260,21,2.888888888888889,0.23333333333333334,0.08076923076923077
M2,observed_baseline,90.0,50.0,2.0,452,8,443,0.08888888888888889,4.9222222222222225,55.375
M2,shifted_background,90.0,50.0,2.0,117,104,13,1.1555555555555554,0.14444444444444443,0.125
M3,observed_baseline,7.0,50.0,,2335,72,2262,10.285714285714286,323.14285714285717,31.416666666666668
M3,shifted_background,7.0,50.0,,0,0,0,0.0,0.0,
M3,observed_baseline,7.0,50.0,1.2,2108,54,2053,7.714285714285714,293.2857142857143,38.01851851851852
M3,shifted_background,7.0,50.0,1.2,0,0,0,0.0,0.0,
M3,observed_baseline,7.0,50.0,1.5,1638,31,1606,4.428571428571429,229.42857142857142,51.80645161290322
M3,shifted_background,7.0,50.0,1.5,0,0,0,0.0,0.0,
M3,observed_baseline,7.0,50.0,2.0,860,9,850,1.2857142857142858,121.42857142857143,94.44444444444444
M3,shifted_background,7.0,50.0,2.0,0,0,0,0.0,0.0,
M3,observed_baseline,30.0,50.0,,3328,550,2777,18.333333333333332,92.56666666666666,5.049090909090909
M3,shifted_background,30.0,50.0,,0,0,0,0.0,0.0,
M3,observed_baseline,30.0,50.0,1.2,2954,467,2486,15.566666666666666,82.86666666666666,5.323340471092076
M3,shifted_background,30.0,50.0,1.2,0,0,0,0.0,0.0,
M3,observed_baseline,30.0,50.0,1.5,2232,317,1914,10.566666666666666,63.8,6.037854889589905
M3,shifted_background,30.0,50.0,1.5,0,0,0,0.0,0.0,
M3,observed_baseline,30.0,50.0,2.0,1118,145,972,4.833333333333333,32.4,6.703448275862069
M3,shifted_background,30.0,50.0,2.0,0,0,0,0.0,0.0,
M3,observed_baseline,60.0,50.0,,3486,708,2777,11.8,46.28333333333333,3.9223163841807906
M3,shifted_background,60.0,50.0,,0,0,0,0.0,0.0,
