event_code,origin_time,latitude,longitude,depth_km,mag_1,mag_2,P_axis_azimuth,P_axis_dip,T_axis_azimuth,T_axis_dip,N_axis_azimuth,N_axis_dip,strike_plane1,dip_plane1,rake_plane1,strike_plane2,dip_plane2,rake_plane2,focal_mech_score,n_hypo_stations,n_mech_stations,has_geometry,has_mechanism_core
J2025120102255059,2025-11-30 17:25:50.590000+00:00,38.21233333333333,141.7955,58.81,4.7,4.7,278.0,9.0,140.0,78.0,9.0,8.0,359.0,37.0,77.0,195.0,54.0,100.0,99.0,40,179.0,True,True
J2025120109480157,2025-12-01 00:48:01.570000+00:00,42.111666666666665,142.55216666666666,45.89,4.5,4.6,6.0,7.0,102.0,39.0,268.0,50.0,136.0,58.0,155.0,240.0,69.0,35.0,96.0,40,128.0,True,True
J2025120219030437,2025-12-02 10:03:04.370000+00:00,42.93833333333333,145.45916666666668,45.28,5.2,5.0,128.0,11.0,255.0,72.0,35.0,14.0,235.0,36.0,114.0,26.0,58.0,73.0,98.0,39,179.0,True,True
J2025120315202322,2025-12-03 06:20:23.220000+00:00,42.355,143.98133333333334,67.16,3.9,4.1,266.0,22.0,19.0,44.0,158.0,38.0,42.0,41.0,160.0,147.0,77.0,51.0,94.0,39,114.0,True,True
J2025120322172061,2025-12-03 13:17:20.610000+00:00,38.43933333333333,141.6805,53.4,3.3,,97.0,20.0,299.0,69.0,190.0,7.0,175.0,26.0,73.0,13.0,65.0,98.0,98.0,39,101.0,True,True
J2025120323410142,2025-12-03 14:41:01.420000+00:00,38.3115,141.89316666666667,45.79,3.9,4.1,102.0,23.0,290.0,67.0,193.0,3.0,186.0,22.0,82.0,14.0,68.0,93.0,98.0,40,131.0,True,True
J2025120418035147,2025-12-04 09:03:51.470000+00:00,42.751666666666665,143.21966666666663,55.82,3.6,3.8,,,,,,,,,,,,,,39,,False,False
J2025120823151018,2025-12-08 14:15:10.180000+00:00,40.967666666666666,142.28816666666663,53.5,7.5,7.4,108.0,27.0,298.0,63.0,200.0,4.0,188.0,19.0,77.0,21.0,72.0,94.0,94.0,40,310.0,True,True
J2025120823200429,2025-12-08 14:20:04.290000+00:00,41.02933333333333,142.501,40.83,4.0,,,,,,,,,,,,,,,34,,False,False
J2025120823222684,2025-12-08 14:22:26.840000+00:00,40.986666666666665,143.12433333333334,19.03,3.6,,,,,,,,,,,,,,,24,,False,False
J2025120823225346,2025-12-08 14:22:53.460000+00:00,41.16616666666667,143.25483333333332,11.43,3.9,,,,,,,,,,,,,,,17,,False,False
J2025120823232985,2025-12-08 14:23:29.850000+00:00,40.93333333333333,143.03333333333333,18.16,3.6,,,,,,,,,,,,,,,21,,False,False
J2025120823254773,2025-12-08 14:25:47.730000+00:00,41.0665,143.09533333333334,26.82,3.6,,,,,,,,,,,,,,,14,,False,False
J2025120823304731,2025-12-08 14:30:47.310000+00:00,41.023833333333336,142.542,40.86,3.9,,,,,,,,,,,,,,,35,,False,False
J2025120823314255,2025-12-08 14:31:42.550000+00:00,40.952,143.1205,19.51,3.8,,,,,,,,,,,,,,,14,,False,False
J2025120823322807,2025-12-08 14:32:28.070000+00:00,40.90083333333333,143.1605,10.96,3.5,,,,,,,,,,,,,,,10,,False,False
J2025120823333927,2025-12-08 14:33:39.270000+00:00,40.884,142.58766666666668,41.62,5.9,5.3,,,,,,,,,,,,,,39,,False,False
J2025120823404193,2025-12-08 14:40:41.930000+00:00,40.918,143.16283333333334,17.22,3.6,,,,,,,,,,,,,,,12,,False,False
J2025120823420105,2025-12-08 14:42:01.050000+00:00,40.90083333333333,143.1415,16.72,3.6,,,,,,,,,,,,,,,23,,False,False
J2025120823593570,2025-12-08 14:59:35.700000+00:00,41.05283333333333,142.47683333333333,40.88,3.5,,,,,,,,,,,,,,,26,,False,False
J2025120900033283,2025-12-08 15:03:32.830000+00:00,41.04883333333333,142.78633333333337,29.5,3.9,,,,,,,,,,,,,,,38,,False,False
J2025120900053163,2025-12-08 15:05:31.630000+00:00,41.13183333333333,142.70216666666667,20.74,3.7,,,,,,,,,,,,,,,37,,False,False
J2025120900095567,2025-12-08 15:09:55.670000+00:00,40.99216666666667,142.6995,36.69,3.9,,,,,,,,,,,,,,,37,,False,False
J2025120900220526,2025-12-08 15:22:05.260000+00:00,41.144333333333336,143.11583333333334,19.38,3.5,,,,,,,,,,,,,,,36,,False,False
J2025120900252205,2025-12-08 15:25:22.050000+00:00,41.14866666666666,142.25966666666667,51.22,3.5,,,,,,,,,,,,,,,37,,False,False
J2025120900501705,2025-12-08 15:50:17.050000+00:00,41.026833333333336,142.9275,25.22,3.5,,,,,,,,,,,,,,,30,,False,False
J2025120900575558,2025-12-08 15:57:55.580000+00:00,40.889,143.13883333333334,20.12,4.9,4.6,113.0,15.0,335.0,70.0,206.0,13.0,185.0,32.0,65.0,34.0,61.0,105.0,87.0,34,103.0,True,True
J2025120900585878,2025-12-08 15:58:58.780000+00:00,40.89416666666666,143.092,15.5,3.9,,,,,,,,,,,,,,,16,,False,False
J2025120901012330,2025-12-08 16:01:23.300000+00:00,41.2205,143.06683333333334,20.7,3.5,,,,,,,,,,,,,,,30,,False,False
J2025120901081062,2025-12-08 16:08:10.620000+00:00,40.98016666666667,142.113,55.77,3.7,,119.0,24.0,309.0,66.0,211.0,4.0,201.0,21.0,80.0,32.0,69.0,94.0,96.0,38,80.0,True,True
J2025120901184301,2025-12-08 16:18:43.010000+00:00,40.9005,143.14366666666666,18.48,4.0,,,,,,,,,,,,,,,33,,False,False
J2025120901205627,2025-12-08 16:20:56.270000+00:00,41.16483333333333,143.2595,17.06,3.7,,,,,,,,,,,,,,,30,,False,False
J2025120901215759,2025-12-08 16:21:57.590000+00:00,40.989,143.1805,18.17,3.7,,,,,,,,,,,,,,,30,,False,False
J2025120901290288,2025-12-08 16:29:02.880000+00:00,40.931,143.03616666666667,18.69,3.5,,,,,,,,,,,,,,,32,,False,False
J2025120902124411,2025-12-08 17:12:44.110000+00:00,41.06433333333333,142.9375,26.04,4.1,4.2,,,,,,,,,,,,,,31,,False,False
J2025120902161558,2025-12-08 17:16:15.580000+00:00,42.92766666666667,145.44933333333333,44.3,4.1,3.6,,,,,,,,,,,,,,39,,False,False
J2025120902582677,2025-12-08 17:58:26.770000+00:00,40.989666666666665,143.15316666666666,21.16,4.4,4.4,,,,,,,,,,,,,,35,,False,False
J2025120903535291,2025-12-08 18:53:52.910000+00:00,40.88016666666667,143.15183333333334,16.56,3.5,,,,,,,,,,,,,,,31,,False,False
J2025120903562953,2025-12-08 18:56:29.530000+00:00,40.95033333333333,143.12783333333334,19.15,6.1,6.0,88.0,10.0,247.0,79.0,357.0,4.0,183.0,35.0,97.0,355.0,55.0,85.0,95.0,33,93.0,True,True
J2025120904011085,2025-12-08 19:01:10.850000+00:00,40.94016666666667,143.195,17.51,4.8,,,,,,,,,,,,,,,34,,False,False
J2025120904042714,2025-12-08 19:04:27.140000+00:00,40.96633333333333,143.1265,20.06,3.7,,,,,,,,,,,,,,,31,,False,False
J2025120904144184,2025-12-08 19:14:41.840000+00:00,40.96416666666666,143.13,20.88,4.0,,,,,,,,,,,,,,,34,,False,False
J2025120904154184,2025-12-08 19:15:41.840000+00:00,40.98483333333333,143.141,20.28,3.6,,,,,,,,,,,,,,,28,,False,False
J2025120904453162,2025-12-08 19:45:31.620000+00:00,40.891333333333336,143.113,19.99,3.8,,,,,,,,,,,,,,,32,,False,False
J2025120905432258,2025-12-08 20:43:22.580000+00:00,40.89833333333333,143.21583333333334,15.72,3.5,,,,,,,,,,,,,,,31,,False,False
J2025120906243103,2025-12-08 21:24:31.030000+00:00,41.035,143.14116666666666,22.06,3.6,,,,,,,,,,,,,,,35,,False,False
J2025120906254092,2025-12-08 21:25:40.920000+00:00,40.86683333333333,143.151,13.47,3.5,,,,,,,,,,,,,,,24,,False,False
J2025120906312554,2025-12-08 21:31:25.540000+00:00,39.15,142.34583333333333,45.6,3.7,,,,,,,,,,,,,,,37,,False,False
J2025120906320487,2025-12-08 21:32:04.870000+00:00,41.15566666666667,142.62216666666666,38.01,3.5,,,,,,,,,,,,,,,37,,False,False
J2025120906524271,2025-12-08 21:52:42.710000+00:00,40.943333333333335,143.301,14.64,6.6,6.5,,,,,,,,,,,,,,34,,False,False
J2025120907071657,2025-12-08 22:07:16.570000+00:00,41.00066666666667,143.22116666666668,19.42,4.7,,,,,,,,,,,,,,,36,,False,False
J2025120907091323,2025-12-08 22:09:13.230000+00:00,41.01766666666666,142.522,41.62,3.9,,,,,,,,,,,,,,,25,,False,False
J2025120907392894,2025-12-08 22:39:28.940000+00:00,41.1565,142.615,39.53,3.7,,,,,,,,,,,,,,,38,,False,False
J2025120908030994,2025-12-08 23:03:09.940000+00:00,40.864333333333335,143.18166666666667,14.38,3.5,,,,,,,,,,,,,,,34,,False,False
J2025120908302277,2025-12-08 23:30:22.770000+00:00,40.87433333333333,143.18383333333333,16.7,3.7,,,,,,,,,,,,,,,32,,False,False
J2025120908305894,2025-12-08 23:30:58.940000+00:00,40.80166666666667,143.33066666666667,754.0,3.5,,,,,,,,,,,,,,,15,,False,False
J2025120908590563,2025-12-08 23:59:05.630000+00:00,40.813833333333335,142.92333333333335,26.23,5.4,5.4,,,,,,,,,,,,,,40,,False,False
J2025120909090467,2025-12-09 00:09:04.670000+00:00,40.957166666666666,143.1125,21.69,3.9,,,,,,,,,,,,,,,33,,False,False
J2025120909182715,2025-12-09 00:18:27.150000+00:00,41.15616666666666,142.25633333333334,52.22,4.4,4.6,109.0,22.0,310.0,67.0,202.0,7.0,185.0,24.0,71.0,25.0,67.0,98.0,95.0,40,148.0,True,True
J2025120913472621,2025-12-09 04:47:26.210000+00:00,41.155166666666666,142.61083333333335,40.32,3.9,4.1,,,,,,,,,,,,,,40,,False,False
J2025120914154775,2025-12-09 05:15:47.750000+00:00,41.216166666666666,143.07483333333334,23.97,4.4,4.3,,,,,,,,,,,,,,37,,False,False
J2025120914482455,2025-12-09 05:48:24.550000+00:00,40.8495,143.00383333333335,20.5,3.7,,,,,,,,,,,,,,,35,,False,False
J2025120917403053,2025-12-09 08:40:30.530000+00:00,41.07783333333333,142.981,25.02,3.5,,,,,,,,,,,,,,,40,,False,False
J2025120918094599,2025-12-09 09:09:45.990000+00:00,41.268,142.41933333333333,46.93,5.3,5.2,116.0,21.0,319.0,67.0,209.0,8.0,191.0,25.0,70.0,33.0,67.0,99.0,91.0,40,234.0,True,True
J2025120918200217,2025-12-09 09:20:02.170000+00:00,41.20933333333333,143.04916666666668,28.22,4.4,4.3,,,,,,,,,,,,,,39,,False,False
J2025120919044907,2025-12-09 10:04:49.070000+00:00,40.901833333333336,143.09616666666668,19.45,4.1,,,,,,,,,,,,,,,32,,False,False
J2025121007143897,2025-12-09 22:14:38.970000+00:00,41.17583333333334,142.558,43.7,3.8,3.9,104.0,24.0,284.0,66.0,14.0,0.0,194.0,21.0,90.0,14.0,69.0,90.0,97.0,40,90.0,True,True
J2025121007200270,2025-12-09 22:20:02.700000+00:00,40.85233333333333,143.00233333333333,16.59,4.4,4.4,,,,,,,,,,,,,,30,,False,False
J2025121007494671,2025-12-09 22:49:46.710000+00:00,40.85066666666667,143.0045,17.66,3.8,,,,,,,,,,,,,,,34,,False,False
J2025121008043604,2025-12-09 23:04:36.040000+00:00,41.2695,142.39816666666667,47.67,4.3,4.4,113.0,22.0,325.0,65.0,208.0,12.0,182.0,26.0,61.0,33.0,68.0,103.0,93.0,36,148.0,True,True
J2025121015234827,2025-12-10 06:23:48.270000+00:00,41.031666666666666,142.7155,36.0,4.3,4.3,,,,,,,,,,,,,,40,,False,False
