event_code,origin_time_mech,latitude_mech,longitude_mech,depth_km_mech,mag_1,mag_2,P_axis_azimuth,P_axis_dip,T_axis_azimuth,T_axis_dip,N_axis_azimuth,N_axis_dip,strike_plane1,dip_plane1,rake_plane1,strike_plane2,dip_plane2,rake_plane2,focal_mech_score,n_hypo_stations,n_mech_stations,has_geometry,has_mechanism_core,time_key,origin_time_cat,latitude_cat,longitude_cat,depth_km_cat,magnitude
J2025102819050245,2025-10-28 10:05:02.450000+00:00,41.58683333333333,141.95783333333333,60.34,3.9,,117.0,29.0,305.0,61.0,209.0,3.0,197.0,16.0,78.0,30.0,74.0,94.0,95.0,39,97.0,True,True,2025-10-28 10:05:02,,,,,
J2025110123440618,2025-11-01 14:44:06.180000+00:00,39.10333333333333,142.19016666666667,49.62,4.4,4.6,292.0,29.0,55.0,44.0,182.0,32.0,73.0,33.0,164.0,177.0,81.0,58.0,95.0,38,128.0,True,True,2025-11-01 14:44:06,,,,,
J2025110720422546,2025-11-07 11:42:25.460000+00:00,40.25416666666667,142.51733333333334,41.38,3.9,,106.0,31.0,292.0,59.0,198.0,3.0,187.0,14.0,79.0,18.0,76.0,93.0,95.0,39,123.0,True,True,2025-11-07 11:42:25,,,,,
J2025110818172702,2025-11-08 09:17:27.020000+00:00,38.296,141.87416666666667,62.6,3.9,4.3,295.0,11.0,179.0,66.0,29.0,21.0,1.0,39.0,55.0,222.0,59.0,115.0,98.0,40,184.0,True,True,2025-11-08 09:17:27,,,,,
J2025110913164023,2025-11-09 04:16:40.230000+00:00,41.9585,142.33783333333332,70.75,4.0,4.0,113.0,15.0,308.0,74.0,204.0,4.0,197.0,30.0,82.0,26.0,60.0,95.0,98.0,40,127.0,True,True,2025-11-09 04:16:40,,,,,
J2025111310384665,2025-11-13 01:38:46.650000+00:00,42.92316666666667,145.4685,42.07,3.9,,,,,,,,,,,,,,,39,,False,False,2025-11-13 01:38:47,,,,,
J2025111311334922,2025-11-13 02:33:49.220000+00:00,39.80866666666667,142.34866666666667,13.63,3.7,,,,,,,,,,,,,,,40,,False,False,2025-11-13 02:33:49,2025-11-13 02:33:49.210000+00:00,39.809644,142.348877,13.71,3.7
J2025111323013164,2025-11-13 14:01:31.640000+00:00,38.323166666666665,141.616,54.98,3.5,,,,,,,,,,,,,,,40,,False,False,2025-11-13 14:01:32,,,,,
J2025111406233075,2025-11-13 21:23:30.750000+00:00,40.1275,142.47583333333333,38.38,3.7,,,,,,,,,,,,,,,40,,False,False,2025-11-13 21:23:31,2025-11-13 21:23:30.760000+00:00,40.12819,142.475081,38.32,3.7
J2025111408052175,2025-11-13 23:05:21.750000+00:00,39.614333333333335,141.35966666666667,84.99,3.7,,273.0,20.0,180.0,8.0,69.0,68.0,315.0,70.0,-9.0,48.0,82.0,-160.0,98.0,39,175.0,True,True,2025-11-13 23:05:22,2025-11-13 23:05:21.760000+00:00,39.614091,141.355485,85.01,3.7
J2025111507325083,2025-11-14 22:32:50.830000+00:00,40.535,142.3425,82.73,3.6,,36.0,67.0,284.0,9.0,191.0,21.0,37.0,40.0,-56.0,176.0,57.0,-115.0,99.0,39,108.0,True,True,2025-11-14 22:32:51,,,,,
J2025111516570429,2025-11-15 07:57:04.290000+00:00,38.64233333333333,141.90533333333337,46.79,3.5,,117.0,29.0,311.0,60.0,210.0,6.0,190.0,17.0,69.0,32.0,74.0,96.0,98.0,35,108.0,True,True,2025-11-15 07:57:04,2025-11-15 07:57:04.270000+00:00,38.641715,141.903971,46.94,3.5
J2025111611244860,2025-11-16 02:24:48.600000+00:00,38.81783333333333,141.99866666666668,46.62,3.3,,270.0,8.0,23.0,70.0,177.0,18.0,20.0,40.0,119.0,164.0,56.0,68.0,95.0,40,77.0,True,True,2025-11-16 02:24:49,,,,,
J2025111806243123,2025-11-17 21:24:31.230000+00:00,38.6175,141.445,73.98,3.5,,286.0,25.0,175.0,37.0,41.0,43.0,326.0,43.0,11.0,228.0,83.0,133.0,100.0,38,130.0,True,True,2025-11-17 21:24:31,2025-11-17 21:24:31.240000+00:00,38.617383,141.448079,73.91,3.5
J2025111808461483,2025-11-17 23:46:14.830000+00:00,41.91516666666666,142.505,53.52,3.6,,,,,,,,,,,,,,,39,,False,False,2025-11-17 23:46:15,,,,,
J2025111811054928,2025-11-18 02:05:49.280000+00:00,39.23016666666667,142.47933333333333,27.38,4.3,4.0,,,,,,,,,,,,,,38,,False,False,2025-11-18 02:05:49,2025-11-18 02:05:49.270000+00:00,39.229305,142.479378,27.4,4.3
J2025111812033664,2025-11-18 03:03:36.640000+00:00,38.538,141.73033333333333,52.82,3.6,,96.0,17.0,286.0,73.0,187.0,3.0,182.0,28.0,84.0,8.0,62.0,93.0,96.0,39,115.0,True,True,2025-11-18 03:03:37,2025-11-18 03:03:36.650000+00:00,38.538619,141.732747,52.53,3.6
J2025111817212096,2025-11-18 08:21:20.960000+00:00,40.934333333333335,142.6225,44.62,4.8,4.6,,,,,,,,,,,,,,39,,False,False,2025-11-18 08:21:21,2025-11-18 08:21:20.970000+00:00,40.935177,142.622087,44.62,4.8
J2025112216221647,2025-11-22 07:22:16.470000+00:00,42.034333333333336,142.603,64.37,3.5,,115.0,15.0,295.0,75.0,25.0,0.0,205.0,30.0,90.0,25.0,60.0,90.0,99.0,40,78.0,True,True,2025-11-22 07:22:16,,,,,
J2025112312374483,2025-11-23 03:37:44.830000+00:00,39.44883333333333,142.58466666666666,29.81,4.2,4.0,,,,,,,,,,,,,,39,,False,False,2025-11-23 03:37:45,2025-11-23 03:37:44.830000+00:00,39.448751,142.585189,29.78,4.2
J2025112419095167,2025-11-24 10:09:51.670000+00:00,38.88966666666666,141.96933333333334,48.8,3.7,3.6,110.0,25.0,302.0,65.0,202.0,5.0,190.0,21.0,77.0,24.0,70.0,95.0,100.0,40,139.0,True,True,2025-11-24 10:09:52,2025-11-24 10:09:51.690000+00:00,38.890141,141.97015,48.64,3.7
J2025112512175877,2025-11-25 03:17:58.770000+00:00,38.623333333333335,141.89733333333334,46.62,3.7,,114.0,26.0,310.0,63.0,207.0,6.0,189.0,20.0,71.0,29.0,71.0,97.0,98.0,40,147.0,True,True,2025-11-25 03:17:59,2025-11-25 03:17:58.790000+00:00,38.623816,141.898584,46.49,3.7
J2025112520430470,2025-11-25 11:43:04.700000+00:00,39.4495,142.58833333333334,29.74,3.5,,,,,,,,,,,,,,,39,,False,False,2025-11-25 11:43:05,2025-11-25 11:43:04.690000+00:00,39.449866,142.587939,29.83,3.5
J2025112701435693,2025-11-26 16:43:56.930000+00:00,42.46033333333333,144.3235,74.05,4.6,4.7,212.0,41.0,346.0,39.0,98.0,25.0,11.0,25.0,-177.0,279.0,89.0,-65.0,90.0,34,144.0,True,True,2025-11-26 16:43:57,,,,,
J2025113008033829,2025-11-29 23:03:38.290000+00:00,40.60683333333333,141.96916666666667,61.29,3.5,,287.0,12.0,184.0,46.0,28.0,41.0,338.0,49.0,29.0,228.0,69.0,135.0,94.0,39,118.0,True,True,2025-11-29 23:03:38,,,,,
J2025120102255059,2025-11-30 17:25:50.590000+00:00,38.21233333333333,141.7955,58.81,4.7,4.7,278.0,9.0,140.0,78.0,9.0,8.0,359.0,37.0,77.0,195.0,54.0,100.0,99.0,40,179.0,True,True,2025-11-30 17:25:51,,,,,
J2025120109480157,2025-12-01 00:48:01.570000+00:00,42.111666666666665,142.55216666666666,45.89,4.5,4.6,6.0,7.0,102.0,39.0,268.0,50.0,136.0,58.0,155.0,240.0,69.0,35.0,96.0,40,128.0,True,True,2025-12-01 00:48:02,2025-12-01 00:48:01.550000+00:00,42.112264,142.551644,46.1,4.5
J2025120219030437,2025-12-02 10:03:04.370000+00:00,42.93833333333333,145.45916666666668,45.28,5.2,5.0,128.0,11.0,255.0,72.0,35.0,14.0,235.0,36.0,114.0,26.0,58.0,73.0,98.0,39,179.0,True,True,2025-12-02 10:03:04,,,,,
J2025120315202322,2025-12-03 06:20:23.220000+00:00,42.355,143.98133333333334,67.16,3.9,4.1,266.0,22.0,19.0,44.0,158.0,38.0,42.0,41.0,160.0,147.0,77.0,51.0,94.0,39,114.0,True,True,2025-12-03 06:20:23,,,,,
J2025120322172061,2025-12-03 13:17:20.610000+00:00,38.43933333333333,141.6805,53.4,3.3,,97.0,20.0,299.0,69.0,190.0,7.0,175.0,26.0,73.0,13.0,65.0,98.0,98.0,39,101.0,True,True,2025-12-03 13:17:21,,,,,
J2025120323410142,2025-12-03 14:41:01.420000+00:00,38.3115,141.89316666666667,45.79,3.9,4.1,102.0,23.0,290.0,67.0,193.0,3.0,186.0,22.0,82.0,14.0,68.0,93.0,98.0,40,131.0,True,True,2025-12-03 14:41:01,,,,,
J2025120418035147,2025-12-04 09:03:51.470000+00:00,42.751666666666665,143.21966666666663,55.82,3.6,3.8,,,,,,,,,,,,,,39,,False,False,2025-12-04 09:03:51,,,,,
J2025120823151018,2025-12-08 14:15:10.180000+00:00,40.967666666666666,142.28816666666663,53.5,7.5,7.4,108.0,27.0,298.0,63.0,200.0,4.0,188.0,19.0,77.0,21.0,72.0,94.0,94.0,40,310.0,True,True,2025-12-08 14:15:10,2025-12-08 14:15:10.180000+00:00,40.966239,142.290218,53.46,7.5
J2025120823200429,2025-12-08 14:20:04.290000+00:00,41.02933333333333,142.501,40.83,4.0,,,,,,,,,,,,,,,34,,False,False,2025-12-08 14:20:04,2025-12-08 14:20:04.280000+00:00,41.028788,142.500798,40.77,4.0
J2025120823222684,2025-12-08 14:22:26.840000+00:00,40.986666666666665,143.12433333333334,19.03,3.6,,,,,,,,,,,,,,,24,,False,False,2025-12-08 14:22:27,2025-12-08 14:22:26.840000+00:00,40.985962,143.124186,19.2,3.6
J2025120823225346,2025-12-08 14:22:53.460000+00:00,41.16616666666667,143.25483333333332,11.43,3.9,,,,,,,,,,,,,,,17,,False,False,2025-12-08 14:22:53,2025-12-08 14:22:53.480000+00:00,41.167216,143.251758,11.73,3.9
J2025120823232985,2025-12-08 14:23:29.850000+00:00,40.93333333333333,143.03333333333333,18.16,3.6,,,,,,,,,,,,,,,21,,False,False,2025-12-08 14:23:30,2025-12-08 14:23:29.840000+00:00,40.933818,143.033805,18.33,3.6
J2025120823254773,2025-12-08 14:25:47.730000+00:00,41.0665,143.09533333333334,26.82,3.6,,,,,,,,,,,,,,,14,,False,False,2025-12-08 14:25:48,2025-12-08 14:25:47.740000+00:00,41.065572,143.098942,26.7,3.6
J2025120823304731,2025-12-08 14:30:47.310000+00:00,41.023833333333336,142.542,40.86,3.9,,,,,,,,,,,,,,,35,,False,False,2025-12-08 14:30:47,2025-12-08 14:30:47.300000+00:00,41.024178,142.542936,40.79,3.9
J2025120823314255,2025-12-08 14:31:42.550000+00:00,40.952,143.1205,19.51,3.8,,,,,,,,,,,,,,,14,,False,False,2025-12-08 14:31:43,2025-12-08 14:31:42.550000+00:00,40.952852,143.119499,19.61,3.8
J2025120823322807,2025-12-08 14:32:28.070000+00:00,40.90083333333333,143.1605,10.96,3.5,,,,,,,,,,,,,,,10,,False,False,2025-12-08 14:32:28,2025-12-08 14:32:28.080000+00:00,40.90107,143.158447,10.55,3.5
J2025120823333927,2025-12-08 14:33:39.270000+00:00,40.884,142.58766666666668,41.62,5.9,5.3,,,,,,,,,,,,,,39,,False,False,2025-12-08 14:33:39,2025-12-08 14:33:39.270000+00:00,40.884871,142.585889,41.59,5.9
J2025120823404193,2025-12-08 14:40:41.930000+00:00,40.918,143.16283333333334,17.22,3.6,,,,,,,,,,,,,,,12,,False,False,2025-12-08 14:40:42,2025-12-08 14:40:41.920000+00:00,40.918213,143.16263,17.0,3.6
J2025120823420105,2025-12-08 14:42:01.050000+00:00,40.90083333333333,143.1415,16.72,3.6,,,,,,,,,,,,,,,23,,False,False,2025-12-08 14:42:01,2025-12-08 14:42:01.060000+00:00,40.901571,143.142578,16.67,3.6
J2025120823593570,2025-12-08 14:59:35.700000+00:00,41.05283333333333,142.47683333333333,40.88,3.5,,,,,,,,,,,,,,,26,,False,False,2025-12-08 14:59:36,2025-12-08 14:59:35.700000+00:00,41.052474,142.475277,41.01,3.5
J2025120900033283,2025-12-08 15:03:32.830000+00:00,41.04883333333333,142.78633333333337,29.5,3.9,,,,,,,,,,,,,,,38,,False,False,2025-12-08 15:03:33,,,,,
J2025120900053163,2025-12-08 15:05:31.630000+00:00,41.13183333333333,142.70216666666667,20.74,3.7,,,,,,,,,,,,,,,37,,False,False,2025-12-08 15:05:32,2025-12-08 15:05:31.630000+00:00,41.131624,142.70223,20.7,3.7
J2025120900095567,2025-12-08 15:09:55.670000+00:00,40.99216666666667,142.6995,36.69,3.9,,,,,,,,,,,,,,,37,,False,False,2025-12-08 15:09:56,2025-12-08 15:09:55.680000+00:00,40.992143,142.700098,36.69,3.9
J2025120900220526,2025-12-08 15:22:05.260000+00:00,41.144333333333336,143.11583333333334,19.38,3.5,,,,,,,,,,,,,,,36,,False,False,2025-12-08 15:22:05,2025-12-08 15:22:05.250000+00:00,41.14412,143.115104,19.47,3.5
J2025120900252205,2025-12-08 15:25:22.050000+00:00,41.14866666666666,142.25966666666667,51.22,3.5,,,,,,,,,,,,,,,37,,False,False,2025-12-08 15:25:22,2025-12-08 15:25:22.070000+00:00,41.148409,142.25944,50.98,3.5
J2025120900501705,2025-12-08 15:50:17.050000+00:00,41.026833333333336,142.9275,25.22,3.5,,,,,,,,,,,,,,,30,,False,False,2025-12-08 15:50:17,2025-12-08 15:50:17.030000+00:00,41.027612,142.928434,25.59,3.5
J2025120900575558,2025-12-08 15:57:55.580000+00:00,40.889,143.13883333333334,20.12,4.9,4.6,113.0,15.0,335.0,70.0,206.0,13.0,185.0,32.0,65.0,34.0,61.0,105.0,87.0,34,103.0,True,True,2025-12-08 15:57:56,2025-12-08 15:57:55.580000+00:00,40.889636,143.138053,20.26,4.9
J2025120900585878,2025-12-08 15:58:58.780000+00:00,40.89416666666666,143.092,15.5,3.9,,,,,,,,,,,,,,,16,,False,False,2025-12-08 15:58:59,2025-12-08 15:58:58.780000+00:00,40.8946,143.092155,15.69,3.9
J2025120901012330,2025-12-08 16:01:23.300000+00:00,41.2205,143.06683333333334,20.7,3.5,,,,,,,,,,,,,,,30,,False,False,2025-12-08 16:01:23,2025-12-08 16:01:23.320000+00:00,41.220846,143.067057,20.14,3.5
J2025120901081062,2025-12-08 16:08:10.620000+00:00,40.98016666666667,142.113,55.77,3.7,,119.0,24.0,309.0,66.0,211.0,4.0,201.0,21.0,80.0,32.0,69.0,94.0,96.0,38,80.0,True,True,2025-12-08 16:08:11,2025-12-08 16:08:10.630000+00:00,40.980965,142.111165,55.82,3.7
J2025120901184301,2025-12-08 16:18:43.010000+00:00,40.9005,143.14366666666666,18.48,4.0,,,,,,,,,,,,,,,33,,False,False,2025-12-08 16:18:43,2025-12-08 16:18:43.020000+00:00,40.900399,143.144352,18.27,4.0
J2025120901205627,2025-12-08 16:20:56.270000+00:00,41.16483333333333,143.2595,17.06,3.7,,,,,,,,,,,,,,,30,,False,False,2025-12-08 16:20:56,2025-12-08 16:20:56.280000+00:00,41.164205,143.259277,16.7,3.7
J2025120901215759,2025-12-08 16:21:57.590000+00:00,40.989,143.1805,18.17,3.7,,,,,,,,,,,,,,,30,,False,False,2025-12-08 16:21:58,2025-12-08 16:21:57.600000+00:00,40.987712,143.180225,18.27,3.7
J2025120901290288,2025-12-08 16:29:02.880000+00:00,40.931,143.03616666666667,18.69,3.5,,,,,,,,,,,,,,,32,,False,False,2025-12-08 16:29:03,2025-12-08 16:29:02.870000+00:00,40.930839,143.036963,18.63,3.5
J2025120902124411,2025-12-08 17:12:44.110000+00:00,41.06433333333333,142.9375,26.04,4.1,4.2,,,,,,,,,,,,,,31,,False,False,2025-12-08 17:12:44,2025-12-08 17:12:44.120000+00:00,41.062004,142.937826,25.96,4.1
J2025120902161558,2025-12-08 17:16:15.580000+00:00,42.92766666666667,145.44933333333333,44.3,4.1,3.6,,,,,,,,,,,,,,39,,False,False,2025-12-08 17:16:16,,,,,
J2025120902582677,2025-12-08 17:58:26.770000+00:00,40.989666666666665,143.15316666666666,21.16,4.4,4.4,,,,,,,,,,,,,,35,,False,False,2025-12-08 17:58:27,2025-12-08 17:58:26.760000+00:00,40.990348,143.153304,21.2,4.4
J2025120903535291,2025-12-08 18:53:52.910000+00:00,40.88016666666667,143.15183333333334,16.56,3.5,,,,,,,,,,,,,,,31,,False,False,2025-12-08 18:53:53,2025-12-08 18:53:52.920000+00:00,40.880229,143.151628,16.68,3.5
J2025120903562953,2025-12-08 18:56:29.530000+00:00,40.95033333333333,143.12783333333334,19.15,6.1,6.0,88.0,10.0,247.0,79.0,357.0,4.0,183.0,35.0,97.0,355.0,55.0,85.0,95.0,33,93.0,True,True,2025-12-08 18:56:30,2025-12-08 18:56:29.520000+00:00,40.95085,143.128711,19.08,6.1
J2025120904011085,2025-12-08 19:01:10.850000+00:00,40.94016666666667,143.195,17.51,4.8,,,,,,,,,,,,,,,34,,False,False,2025-12-08 19:01:11,2025-12-08 19:01:10.840000+00:00,40.941707,143.196045,17.55,4.8
J2025120904042714,2025-12-08 19:04:27.140000+00:00,40.96633333333333,143.1265,20.06,3.7,,,,,,,,,,,,,,,31,,False,False,2025-12-08 19:04:27,2025-12-08 19:04:27.140000+00:00,40.967179,143.12723,20.02,3.7
J2025120904144184,2025-12-08 19:14:41.840000+00:00,40.96416666666666,143.13,20.88,4.0,,,,,,,,,,,,,,,34,,False,False,2025-12-08 19:14:42,2025-12-08 19:14:41.840000+00:00,40.965243,143.129411,20.88,4.0
J2025120904154184,2025-12-08 19:15:41.840000+00:00,40.98483333333333,143.141,20.28,3.6,,,,,,,,,,,,,,,28,,False,False,2025-12-08 19:15:42,2025-12-08 19:15:41.840000+00:00,40.985099,143.139811,20.53,3.6
J2025120904453162,2025-12-08 19:45:31.620000+00:00,40.891333333333336,143.113,19.99,3.8,,,,,,,,,,,,,,,32,,False,False,2025-12-08 19:45:32,2025-12-08 19:45:31.620000+00:00,40.890658,143.112126,20.11,3.8
J2025120905432258,2025-12-08 20:43:22.580000+00:00,40.89833333333333,143.21583333333334,15.72,3.5,,,,,,,,,,,,,,,31,,False,False,2025-12-08 20:43:23,2025-12-08 20:43:22.600000+00:00,40.898486,143.216829,15.43,3.5
J2025120906243103,2025-12-08 21:24:31.030000+00:00,41.035,143.14116666666666,22.06,3.6,,,,,,,,,,,,,,,35,,False,False,2025-12-08 21:24:31,2025-12-08 21:24:31.040000+00:00,41.035612,143.141683,21.87,3.6
J2025120906254092,2025-12-08 21:25:40.920000+00:00,40.86683333333333,143.151,13.47,3.5,,,,,,,,,,,,,,,24,,False,False,2025-12-08 21:25:41,2025-12-08 21:25:40.920000+00:00,40.866772,143.150146,13.83,3.5
J2025120906312554,2025-12-08 21:31:25.540000+00:00,39.15,142.34583333333333,45.6,3.7,,,,,,,,,,,,,,,37,,False,False,2025-12-08 21:31:26,2025-12-08 21:31:26.320000+00:00,41.291585,142.376986,48.66,3.3
J2025120906320487,2025-12-08 21:32:04.870000+00:00,41.15566666666667,142.62216666666666,38.01,3.5,,,,,,,,,,,,,,,37,,False,False,2025-12-08 21:32:05,2025-12-08 21:32:04.880000+00:00,41.155595,142.622998,38.06,3.5
J2025120906524271,2025-12-08 21:52:42.710000+00:00,40.943333333333335,143.301,14.64,6.6,6.5,,,,,,,,,,,,,,34,,False,False,2025-12-08 21:52:43,2025-12-08 21:52:42.720000+00:00,40.944531,143.300505,14.8,6.6
J2025120907071657,2025-12-08 22:07:16.570000+00:00,41.00066666666667,143.22116666666668,19.42,4.7,,,,,,,,,,,,,,,36,,False,False,2025-12-08 22:07:17,2025-12-08 22:07:16.560000+00:00,41.000142,143.220378,19.43,4.7
J2025120907091323,2025-12-08 22:09:13.230000+00:00,41.01766666666666,142.522,41.62,3.9,,,,,,,,,,,,,,,25,,False,False,2025-12-08 22:09:13,2025-12-08 22:09:13.260000+00:00,41.018026,142.520898,41.39,3.9
J2025120907392894,2025-12-08 22:39:28.940000+00:00,41.1565,142.615,39.53,3.7,,,,,,,,,,,,,,,38,,False,False,2025-12-08 22:39:29,2025-12-08 22:39:28.960000+00:00,41.155815,142.615365,39.38,3.7
J2025120908030994,2025-12-08 23:03:09.940000+00:00,40.864333333333335,143.18166666666667,14.38,3.5,,,,,,,,,,,,,,,34,,False,False,2025-12-08 23:03:10,2025-12-08 23:03:09.920000+00:00,40.864242,143.181657,14.12,3.5
J2025120908302277,2025-12-08 23:30:22.770000+00:00,40.87433333333333,143.18383333333333,16.7,3.7,,,,,,,,,,,,,,,32,,False,False,2025-12-08 23:30:23,2025-12-08 23:30:22.760000+00:00,40.873877,143.183626,16.54,3.7
J2025120908305894,2025-12-08 23:30:58.940000+00:00,40.80166666666667,143.33066666666667,754.0,3.5,,,,,,,,,,,,,,,15,,False,False,2025-12-08 23:30:59,2025-12-08 23:30:58.940000+00:00,40.802482,143.329476,7.58,3.5
J2025120908590563,2025-12-08 23:59:05.630000+00:00,40.813833333333335,142.92333333333335,26.23,5.4,5.4,,,,,,,,,,,,,,40,,False,False,2025-12-08 23:59:06,2025-12-08 23:59:05.640000+00:00,40.814425,142.922396,26.02,5.4
J2025120909090467,2025-12-09 00:09:04.670000+00:00,40.957166666666666,143.1125,21.69,3.9,,,,,,,,,,,,,,,33,,False,False,2025-12-09 00:09:05,2025-12-09 00:09:04.670000+00:00,40.957214,143.112809,21.81,3.9
J2025120909182715,2025-12-09 00:18:27.150000+00:00,41.15616666666666,142.25633333333334,52.22,4.4,4.6,109.0,22.0,310.0,67.0,202.0,7.0,185.0,24.0,71.0,25.0,67.0,98.0,95.0,40,148.0,True,True,2025-12-09 00:18:27,2025-12-09 00:18:27.140000+00:00,41.157605,142.260059,52.17,4.4
J2025120913472621,2025-12-09 04:47:26.210000+00:00,41.155166666666666,142.61083333333335,40.32,3.9,4.1,,,,,,,,,,,,,,40,,False,False,2025-12-09 04:47:26,2025-12-09 04:47:26.210000+00:00,41.154183,142.611572,40.3,3.9
J2025120914154775,2025-12-09 05:15:47.750000+00:00,41.216166666666666,143.07483333333334,23.97,4.4,4.3,,,,,,,,,,,,,,37,,False,False,2025-12-09 05:15:48,2025-12-09 05:15:47.750000+00:00,41.216504,143.075163,24.18,4.4
J2025120914482455,2025-12-09 05:48:24.550000+00:00,40.8495,143.00383333333335,20.5,3.7,,,,,,,,,,,,,,,35,,False,False,2025-12-09 05:48:25,2025-12-09 05:48:24.540000+00:00,40.84788,143.004167,20.57,3.7
J2025120917403053,2025-12-09 08:40:30.530000+00:00,41.07783333333333,142.981,25.02,3.5,,,,,,,,,,,,,,,40,,False,False,2025-12-09 08:40:31,2025-12-09 08:40:30.530000+00:00,41.077787,142.980469,24.94,3.5
J2025120918094599,2025-12-09 09:09:45.990000+00:00,41.268,142.41933333333333,46.93,5.3,5.2,116.0,21.0,319.0,67.0,209.0,8.0,191.0,25.0,70.0,33.0,67.0,99.0,91.0,40,234.0,True,True,2025-12-09 09:09:46,2025-12-09 09:09:45.980000+00:00,41.267261,142.41984,47.0,5.3
J2025120918200217,2025-12-09 09:20:02.170000+00:00,41.20933333333333,143.04916666666668,28.22,4.4,4.3,,,,,,,,,,,,,,39,,False,False,2025-12-09 09:20:02,2025-12-09 09:20:02.190000+00:00,41.211186,143.048307,27.88,4.4
