line_id,segment_id,global_segment_id,line_segment_count,line_total_length_km,segment_length_km,start_x_km,start_y_km,end_x_km,end_y_km,mid_x_km,mid_y_km,start_lon,start_lat,end_lon,end_lat,mid_lon,mid_lat,along_line_start_km,along_line_end_km,along_line_mid_km,raw_azimuth_deg,strike_deg
762,0,797,2,1.7131734681890753,0.8504166661409727,-4.9723495590313425,3.21471604495653,-4.386601110012924,2.598187651025769,-4.679475334522133,2.90645184799115,-117.598378236866,35.76918072860782,-117.59189718791728,35.76362693677033,-117.59513759974304,35.766403876996925,0.0,0.8565867340945377,0.42829336704726884,313.5334693904764,136.4665306095236
762,1,798,2,1.7131734681890753,0.8520205279342761,-4.386601110012924,2.598187651025769,-3.853572848389022,1.9334923431353013,-4.120086979200973,2.265839997080535,-117.59189718791728,35.76362693677033,-117.585999749689,35.75763847153831,-117.58894835829244,35.760632741058714,0.8565867340945377,1.7131734681890753,1.2848801011418065,308.72660312076914,141.2733968792309
763,0,799,1,0.3029618324321624,0.30287734752211665,-3.546531271641854,0.47134391538200765,-3.3823400081150403,0.21683278276989307,-3.464435639878447,0.3440883490759504,-117.582598264598,35.744461704743905,-117.580781994693,35.7421684443183,-117.58169011661835,35.743315078070516,0.0,0.3029618324321624,0.1514809162160812,302.8270368846464,147.17296311535355
764,0,800,2,1.063855560357763,0.5252357704346925,-3.2999896872440337,0.1630285949808826,-2.9702896037554503,-0.2458362598204883,-3.1351396454997422,-0.04140383241980285,-117.579871385256,35.74168380146631,-117.57622503816862,35.73799986363691,-117.57804816970778,35.73984184665553,0.0,0.5319277801788815,0.26596389008944077,308.88197974691576,141.11802025308424
764,1,801,2,1.063855560357763,0.5309196113559758,-2.9702896037554503,-0.2458362598204883,-2.599498336903988,-0.6258224045008807,-2.784893970329719,-0.4358293321606845,-117.57622503816862,35.73799986363691,-117.572124899445,35.73457619853281,-117.57417492491956,35.736288048802145,0.5319277801788815,1.063855560357763,0.7978916702683223,314.2983255130643,135.7016744869357
765,0,802,1,0.18364970730112992,0.18204921650396377,-1.8100326543506282,-0.38275400724204306,-1.6964884682033705,-0.5250552195413906,-1.7532605612769994,-0.45390461339171684,-117.563398680505,35.736768677332606,-117.56214322602898,35.7354863565102,-117.56277094823403,35.736127518593726,0.0,0.18364970730112992,0.09182485365056496,308.58687055732423,141.41312944267574
766,0,803,1,0.9537745452759391,0.9489117441561681,-1.582453591202214,-0.5366260251016948,-0.9303121889518446,-1.225933713778111,-1.2563828900770293,-0.8812798694399029,-117.56088264541799,35.735382261782,-117.553672991915,35.729170542786406,-117.55727767868326,35.73227645710282,0.0,0.9537745452759391,0.47688727263796954,313.4129649510563,136.5870350489437
767,0,804,1,0.15373050651014722,0.15373050651014722,2.4998443276653117,-7.268282586335798,2.5964192358100737,-7.38789176553496,2.548131781737693,-7.328087175935378,-117.51577733525599,35.6747094163065,-117.51471097852898,35.673631149857705,-117.51524415330567,35.6741702842875,0.0,0.15373050651014722,0.07686525325507361,308.91811882813295,141.08188117186702
768,0,805,1,0.7697346096016161,0.7667806662940926,2.6337088634011723,-8.021899288001048,2.232351130120436,-8.675248015816571,2.433029996760804,-8.34857365190881,-117.51430116646601,35.66791684768441,-117.518735900641,35.6620293100047,-117.51651861502238,35.66497310001703,0.0,0.7697346096016161,0.38486730480080805,238.43723672714273,31.562763272857268
769,0,806,1,0.4756945706615726,0.47478369738546516,0.9714202197002855,-10.275576194377976,0.6747347992920415,-10.64624764002789,0.8230775094961635,-10.460911917202932,-117.53266355907601,35.6476078302372,-117.53593987562502,35.6442672643228,-117.53430175147493,35.64593755867075,0.0,0.4756945706615726,0.2378472853307863,231.32622033389666,38.67377966610334
770,0,807,1,0.32129819848208474,0.32052543485721413,0.34495634103458406,-11.06690205042728,0.1487265816584472,-11.320339293005379,0.24684146134651563,-11.19362067171633,-117.539581324119,35.64047612907021,-117.541747951007,35.638191978776796,-117.54066465298935,35.63933405891152,0.0,0.32129819848208474,0.16064909924104237,232.25032792994384,37.749672070056164
771,0,808,1,0.20840789155339856,0.2084078915533986,-0.562166496810497,-11.381892060167264,-0.754413081753536,-11.462360065234321,-0.6582897892820165,-11.422126062700793,-117.549596681642,35.63763706200091,-117.55171913293202,35.636911685026305,-117.55065791208557,35.637274378206754,0.0,0.20840789155339856,0.10420394577669928,202.71255865800785,67.28744134199215
772,0,809,1,0.3895697391007612,0.38904321600865627,3.073638849277675,-7.311533338951359,3.2344618050635394,-6.957286813471354,3.1540503271706073,-7.134410076211356,-117.50943950792698,35.6743179827888,-117.507661682241,35.677510229813294,-117.5085506128017,35.67591410980107,0.0,0.3895697391007612,0.1947848695503806,65.58261742056152,24.41738257943851
