event_id,event_time,latitude,longitude,depth_km,magnitude,x_km,y_km,elapsed_minutes,elapsed_hours,time_bin,nearest_line_id,nearest_segment_id,global_segment_id,segment_strike_deg,segment_mid_x_km,segment_mid_y_km,distance_to_segment_km,along_line_position_km,assigned_to_segment
1469,2019-07-05 03:48:11.390000+00:00,35.80203279518505,-117.51598889702012,4.359618500000001,1.36,2.476744901850365,6.858770185061348,614.3725,10.239541666666666,20,810,0,848,144.5366894425032,-4.060424901448693,4.951585929228788,6.730771785052133,0.5057688487279585,False
1494,2019-07-05 03:59:54.800000+00:00,35.71693379518505,-117.43980273831228,2.67572306,1.54,9.373071073840723,-2.5787488117714954,626.096,10.434933333333332,20,665,0,697,19.944944606585068,4.944430648029568,-3.0368331602857217,4.41221968099211,0.0,False
1547,2019-07-05 04:22:55.410000+00:00,35.54099379518505,-117.4580280870982,4.359618500000001,0.8,7.740912020691372,-22.101253386924924,649.1061666666667,10.818436111111112,21,650,0,681,133.2540316963938,9.764162539812308,-19.02108720256031,3.6480394909603895,0.5445475815494463,False
1551,2019-07-05 04:24:12.430000+00:00,35.60498679518505,-117.68604367589442,2.2982982200000004,0.77,-12.92602554186444,-14.99513318832254,650.3898333333333,10.839830555555556,21,613,0,624,49.24518553697174,-10.073249067865325,-18.1072184857578,4.2197953999583495,0.32100343445991636,False
1552,2019-07-05 04:24:45.460000+00:00,35.79510279518505,-117.44355239452004,9.48388652,0.84,9.024954425350897,6.0940989374283925,650.9403333333333,10.849005555555555,21,845,0,885,23.295200616106555,4.909921750658841,-2.8004014197291647,9.592811878857066,0.4151024398071448,False
1593,2019-07-05 04:43:22.880000+00:00,35.76694979518505,-117.5082233548896,10.95729503,0.96,3.180057221893016,2.9663596058919395,669.564,11.1594,22,209,0,212,131.24048094587266,-0.8527152690272805,-1.295694075148306,5.866262498776277,0.07508450030233724,False
1698,2019-07-05 05:25:47.420000+00:00,35.67695579518505,-117.617298853982,18.73805327,1.02,-6.690967202025976,-7.016872321147221,711.973,11.866216666666666,23,284,0,288,41.356398730929705,-2.8093479848052514,-8.356789852373481,4.0578051556051475,0.0,False
1717,2019-07-05 05:32:47.820000+00:00,35.72148279518505,-117.44322106687414,2.04426227,0.9,9.06324921084184,-2.074341239580657,718.9796666666666,11.982994444444444,23,845,0,885,23.295200616106555,4.909921750658841,-2.8004014197291647,4.106304888948863,0.4151024398071448,False
1816,2019-07-05 06:17:34.500000+00:00,35.85280179518505,-117.46214358357136,4.7370433400000005,0.52,7.339069496772766,12.494581493916195,763.7576666666666,12.729294444444443,25,810,0,848,144.5366894425032,-4.060424901448693,4.951585929228788,13.66277577656794,0.5057688487279585,False
1821,2019-07-05 06:20:03.360000+00:00,35.74733679518505,-117.43656693564029,8.961298280000001,0.96,9.66218870038892,0.7949002167409959,766.2386666666666,12.770644444444445,25,845,0,885,23.295200616106555,4.909921750658841,-2.8004014197291647,5.779483086237276,0.4151024398071448,False
1854,2019-07-05 06:34:38.300000+00:00,35.49266579518505,-117.42509763119996,2.48701064,0.87,10.73360079373761,-27.460151981853866,780.821,13.013683333333336,26,262,0,265,75.33713125005279,15.641996670987659,-23.951369383417287,5.880497097775877,0.0,False
1856,2019-07-05 06:35:00.140000+00:00,35.53128879518505,-117.4282253924393,5.295922430000001,1.27,10.44478188804688,-23.175268982402876,781.185,13.019749999999998,26,650,0,681,133.2540316963938,9.764162539812308,-19.02108720256031,3.996818934474034,0.5445475815494463,False
1902,2019-07-05 06:53:53.790000+00:00,35.833497795185046,-117.44804718073748,6.762072770000001,1.02,8.614496556532007,10.353832604971108,800.0791666666667,13.334652777777778,26,845,0,885,23.295200616106555,4.909921750658841,-2.8004014197291647,13.460217607517553,0.4151024398071448,False
1940,2019-07-05 07:10:07.390000+00:00,35.72752079518505,-117.66455950309644,1.7466773,0.76,-10.96254502728882,-1.402258297490014,816.3058333333333,13.605097222222222,27,973,2,1015,1.1063565388642473,-13.902323217118937,-0.3741760777630888,3.0073028874059156,2.6538899222503374,False
1941,2019-07-05 07:10:34.680000+00:00,35.56518379518505,-117.50812682000546,1.6813537700000003,1.07,3.196824915360664,-19.420144013339943,816.7606666666667,13.612677777777778,27,562,0,569,67.72324225481444,0.5947521675642246,-17.23755125356837,3.3206492952568385,0.339516051379414,False
1959,2019-07-05 07:17:39.940000+00:00,35.68771379518505,-117.61568862958976,2.42894528,0.86,-6.544314687374278,-5.823347323678409,823.8483333333334,13.730805555555555,27,284,0,288,41.356398730929705,-2.8093479848052514,-8.356789852373481,4.498390576731525,0.0,False
2016,2019-07-05 07:41:30.210000+00:00,35.76813379518505,-117.443176440611,5.811252500000001,1.22,9.061998427574524,3.1017899111201443,847.6861666666666,14.128102777777777,28,845,0,885,23.295200616106555,4.909921750658841,-2.8004014197291647,7.0133293302159325,0.4151024398071448,False
2053,2019-07-05 07:55:37.630000+00:00,35.77607679518505,-117.52704701581254,5.0418864800000005,1.29,1.4776982315180844,3.9785967670853166,861.8098333333332,14.36349722222222,28,247,0,250,130.1299875353236,-2.425679511310673,0.5311366939718003,5.2030529160167065,0.06647128218832647,False
2165,2019-07-05 08:41:18.980000+00:00,35.57183279518505,-117.50414029668482,1.3111871000000002,1.15,3.55793347425397,-18.682293614532338,907.499,15.124983333333336,30,545,0,552,23.898864729596568,1.5967669809685265,-16.258391549809218,3.044922356440203,0.0,False
2174,2019-07-05 08:45:50.020000+00:00,35.82500179518505,-117.48966456375145,5.12898452,0.67,4.854764491858458,9.40829246913882,912.0163333333334,15.200272222222225,30,810,0,848,144.5366894425032,-4.060424901448693,4.951585929228788,9.931094520461691,0.5057688487279585,False
