interval_id,r_km,azimuth_center_deg,K_value,L_value
0,12.0,7.5,935.25705573715,5.254030455643672
0,12.0,12.5,896.2880117481021,4.890747023368576
0,12.0,17.5,1247.0094076495334,7.923238256343751
0,12.0,22.5,1675.6688915290606,11.095063848024626
0,12.0,27.5,1208.0403636604856,7.609466863283007
0,12.0,32.5,1636.6998475400126,10.82493684958381
0,12.0,37.5,1948.452199452396,12.904047820429689
0,12.0,42.5,4481.440058740511,25.76885853500437
0,12.0,47.5,3818.966310926696,22.865666948601564
0,12.0,52.5,3195.4616071019295,19.892742441836013
0,12.0,57.5,2104.328375408588,13.881045683465512
0,12.0,62.5,2143.2974193976356,14.119585709319235
0,12.0,67.5,2299.1735953538273,15.052720481568088
0,12.0,72.5,1519.792715572869,9.994659495362825
0,12.0,77.5,1130.1022756823897,6.966357761797713
0,12.0,82.5,1948.452199452396,12.904047820429689
0,12.0,87.5,1363.9165396166773,8.836221310246593
0,12.0,92.5,1636.6998475400126,10.82493684958381
0,12.0,97.5,1441.854627594773,9.423271981732018
0,12.0,102.5,1636.6998475400126,10.82493684958381
0,12.0,107.5,1792.5760234962042,11.887123519060825
0,12.0,112.5,1714.6379355181084,11.362067676067948
0,12.0,117.5,1714.6379355181084,11.362067676067948
0,12.0,122.5,2065.35933141954,13.640286537259755
0,12.0,127.5,2494.018815299067,16.17571374851183
0,12.0,132.5,2922.678299178594,18.501104844962143
0,12.0,137.5,2377.1116833319234,15.507419896594147
0,12.0,142.5,2377.1116833319234,15.507419896594147
0,12.0,147.5,1948.452199452396,12.904047820429689
0,12.0,152.5,1597.7308035509648,10.551574451258254
0,12.0,157.5,1792.5760234962042,11.887123519060825
0,12.0,162.5,1480.823671583821,9.710845546871479
0,12.0,167.5,1558.7617595619167,10.274857536554507
0,12.0,172.5,1013.1951437152459,5.95856427663329
0,12.0,177.5,1247.0094076495334,7.923238256343751
1,0.5,2.5,36.75837772548703,2.920607406602015
1,0.5,7.5,0.0,-0.5
1,0.5,12.5,73.51675545097406,4.337469385970429
1,0.5,17.5,36.75837772548703,2.920607406602015
1,0.5,22.5,36.75837772548703,2.920607406602015
1,0.5,27.5,0.0,-0.5
1,0.5,32.5,36.75837772548703,2.920607406602015
1,0.5,37.5,0.0,-0.5
1,0.5,42.5,36.75837772548703,2.920607406602015
1,0.5,47.5,0.0,-0.5
1,0.5,52.5,36.75837772548703,2.920607406602015
1,0.5,57.5,36.75837772548703,2.920607406602015
1,0.5,62.5,0.0,-0.5
1,0.5,67.5,147.03351090194812,6.34121481320403
1,0.5,72.5,110.27513317646108,5.424665820981103
1,0.5,77.5,0.0,-0.5
1,0.5,82.5,36.75837772548703,2.920607406602015
1,0.5,87.5,36.75837772548703,2.920607406602015
1,0.5,92.5,36.75837772548703,2.920607406602015
1,0.5,97.5,73.51675545097406,4.337469385970429
1,0.5,102.5,36.75837772548703,2.920607406602015
1,0.5,107.5,0.0,-0.5
1,0.5,112.5,36.75837772548703,2.920607406602015
1,0.5,117.5,36.75837772548703,2.920607406602015
1,0.5,122.5,0.0,-0.5
1,0.5,127.5,36.75837772548703,2.920607406602015
1,0.5,132.5,36.75837772548703,2.920607406602015
1,0.5,137.5,36.75837772548703,2.920607406602015
1,0.5,142.5,0.0,-0.5
1,0.5,147.5,36.75837772548703,2.920607406602015
1,0.5,152.5,36.75837772548703,2.920607406602015
1,0.5,157.5,0.0,-0.5
1,0.5,162.5,0.0,-0.5
1,0.5,167.5,0.0,-0.5
1,0.5,172.5,73.51675545097406,4.337469385970429
