ot,lat,lon,dep,mag,source_day,ot_utc
2019-07-04T17:41:43.601000Z,35.63025,-117.57274,5.11,2.81,20190704,2019-07-04T17:41:43.601000Z
2019-07-04T17:41:52.934000Z,35.5681,-117.90075,6.09,3.07,20190704,2019-07-04T17:41:52.934000Z
2019-07-04T17:42:21.219000Z,35.5808,-117.62831,13.54,3.21,20190704,2019-07-04T17:42:21.219000Z
2019-07-04T17:42:53.721000Z,35.73614,-117.54901,10.23,3.36,20190704,2019-07-04T17:42:53.721000Z
2019-07-04T17:43:29.086000Z,35.65913,-117.52475,13.11,3.63,20190704,2019-07-04T17:43:29.086000Z
2019-07-04T17:43:48.890000Z,35.74673,-117.52623,7.13,3.16,20190704,2019-07-04T17:43:48.890000Z
2019-07-04T17:44:23.604000Z,35.75963,-117.49749,5.33,2.55,20190704,2019-07-04T17:44:23.604000Z
2019-07-04T17:44:32.628000Z,35.68686,-117.49854,4.88,4.02,20190704,2019-07-04T17:44:32.628000Z
2019-07-04T17:45:05.506000Z,35.69723,-117.48485,2.96,3.21,20190704,2019-07-04T17:45:05.506000Z
2019-07-04T17:45:23.511000Z,35.70428,-117.53088,4.99,3.07,20190704,2019-07-04T17:45:23.511000Z
2019-07-04T17:45:28.963000Z,35.71967,-117.52562,0.0,3.18,20190704,2019-07-04T17:45:28.963000Z
2019-07-04T17:45:36.055000Z,35.53838,-117.2963,0.0,2.83,20190704,2019-07-04T17:45:36.055000Z
2019-07-04T17:45:37.566000Z,35.24165,-117.54872,3.25,3.19,20190704,2019-07-04T17:45:37.566000Z
2019-07-04T17:46:03.181000Z,35.64567,-117.58678,13.63,3.07,20190704,2019-07-04T17:46:03.181000Z
2019-07-04T17:46:19.990000Z,35.65873,-117.52208,11.22,2.88,20190704,2019-07-04T17:46:19.990000Z
2019-07-04T17:46:29.598000Z,36.26027,-117.36528,0.0,2.68,20190704,2019-07-04T17:46:29.598000Z
2019-07-04T17:46:49.536000Z,35.64039,-117.59956,13.67,3.24,20190704,2019-07-04T17:46:49.536000Z
2019-07-04T17:47:17.519000Z,35.74882,-117.52927,7.1,3.76,20190704,2019-07-04T17:47:17.519000Z
2019-07-04T17:47:40.701000Z,35.73602,-117.53785,6.09,3.05,20190704,2019-07-04T17:47:40.701000Z
2019-07-04T17:47:54.663000Z,35.73349,-117.55178,7.91,3.77,20190704,2019-07-04T17:47:54.663000Z
2019-07-04T17:48:02.331000Z,35.63786,-117.52594,11.58,3.35,20190704,2019-07-04T17:48:02.331000Z
2019-07-04T17:48:15.292000Z,35.72768,-117.48576,4.91,3.11,20190704,2019-07-04T17:48:15.292000Z
2019-07-04T17:48:23.862000Z,35.6695,-117.50504,5.96,3.11,20190704,2019-07-04T17:48:23.862000Z
2019-07-04T17:48:57.493000Z,35.63143,-117.57235,0.0,2.68,20190704,2019-07-04T17:48:57.493000Z
2019-07-04T17:49:18.680000Z,35.69852,-117.46264,30.0,2.47,20190704,2019-07-04T17:49:18.680000Z
2019-07-04T17:49:36.254000Z,35.78209,-117.56668,6.17,2.62,20190704,2019-07-04T17:49:36.254000Z
2019-07-04T17:49:37.855000Z,35.71027,-117.42172,10.66,2.51,20190704,2019-07-04T17:49:37.855000Z
2019-07-04T17:49:56.365000Z,35.55931,-117.61689,0.0,2.55,20190704,2019-07-04T17:49:56.365000Z
2019-07-04T17:50:00.806000Z,35.93706,-117.88902,26.89,2.84,20190704,2019-07-04T17:50:00.806000Z
2019-07-04T17:50:13.887000Z,35.70321,-117.46069,7.11,2.16,20190704,2019-07-04T17:50:13.887000Z
2019-07-04T17:50:22.904000Z,35.70222,-117.65603,0.0,2.22,20190704,2019-07-04T17:50:22.904000Z
2019-07-04T17:50:35.454000Z,35.62753,-117.58547,15.79,2.27,20190704,2019-07-04T17:50:35.454000Z
2019-07-04T17:50:46.449000Z,35.74548,-117.46807,21.51,2.8,20190704,2019-07-04T17:50:46.449000Z
2019-07-04T17:50:48.678000Z,35.67921,-117.51071,3.62,2.85,20190704,2019-07-04T17:50:48.678000Z
2019-07-04T17:51:13.533000Z,35.79146,-117.57393,3.89,2.26,20190704,2019-07-04T17:51:13.533000Z
2019-07-04T17:51:20.157000Z,35.70207,-117.5125,2.26,2.39,20190704,2019-07-04T17:51:20.157000Z
2019-07-04T17:51:45.882000Z,35.68139,-117.50376,11.81,3.67,20190704,2019-07-04T17:51:45.882000Z
2019-07-04T17:52:17.486000Z,35.72816,-117.06577,18.93,3.03,20190704,2019-07-04T17:52:17.486000Z
2019-07-04T17:52:41.470000Z,35.72891,-117.50993,7.01,2.97,20190704,2019-07-04T17:52:41.470000Z
2019-07-04T17:53:04.218000Z,35.76126,-117.55469,8.42,2.19,20190704,2019-07-04T17:53:04.218000Z
2019-07-04T17:53:14.843000Z,35.70179,-117.47432,3.2,2.41,20190704,2019-07-04T17:53:14.843000Z
