event_id,event_seq,source_day,original_ot_str,original_lat,original_lon,original_dep,original_mag,phase_file,batch_index,batch_label,original_ot,was_selected,hypodd_original_ot_str,hypodd_original_lat,hypodd_original_lon,hypodd_original_dep,hypodd_original_mag,hypodd_original_time_abs_diff_s,reloc_ot_str,reloc_lat,reloc_lon,reloc_dep,reloc_mag,reloc_time_abs_diff_s,was_relocated,horizontal_shift_km,depth_change_km,day
493,80352,20190717,2019-07-17T01:58:10.636000Z,35.81803,-117.554,0.0,0.62,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190717.dat,14,day_20190717,2019-07-17T01:58:10.636000Z,True,2019-07-17T01:58:10.630000Z,35.818001,-117.554001,1.0,0.62,0.006,,,,,,,False,,,
497,80356,20190717,2019-07-17T01:59:12.079000Z,35.75762,-117.49083,0.67,0.08,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190717.dat,14,day_20190717,2019-07-17T01:59:12.079000Z,True,,,,,,,,,,,,,False,,,
499,80358,20190717,2019-07-17T01:59:25.427000Z,35.66806,-117.47201,3.13,0.56,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190717.dat,14,day_20190717,2019-07-17T01:59:25.427000Z,True,,,,,,,,,,,,,False,,,
503,80362,20190717,2019-07-17T02:00:10.246000Z,35.95941,-117.48562,4.68,1.15,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190717.dat,14,day_20190717,2019-07-17T02:00:10.246000Z,True,,,,,,,,,,,,,False,,,
511,80370,20190717,2019-07-17T02:01:51.899000Z,35.96145,-117.65745,0.0,0.69,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190717.dat,14,day_20190717,2019-07-17T02:01:51.899000Z,True,,,,,,,,,,,,,False,,,
512,80371,20190717,2019-07-17T02:01:58.840000Z,35.90443,-117.98882,5.6,1.01,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190717.dat,14,day_20190717,2019-07-17T02:01:58.840000Z,True,,,,,,,,,,,,,False,,,
513,80372,20190717,2019-07-17T02:02:04.948000Z,36.12881,-117.86902,6.09,0.37,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190717.dat,14,day_20190717,2019-07-17T02:02:04.948000Z,True,,,,,,,,,,,,,False,,,
518,80377,20190717,2019-07-17T02:03:29.420000Z,35.9465,-117.67623,5.51,1.24,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190717.dat,14,day_20190717,2019-07-17T02:03:29.420000Z,True,2019-07-17T02:03:29.420000Z,35.946499,-117.676201,5.51,1.24,0.0,,,,,,,False,,,
519,80378,20190717,2019-07-17T02:03:56.458000Z,36.11758,-117.85486,0.0,0.77,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190717.dat,14,day_20190717,2019-07-17T02:03:56.458000Z,True,,,,,,,,,,,,,False,,,
523,80382,20190717,2019-07-17T02:05:19.909000Z,35.88142,-117.5704,15.61,0.94,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190717.dat,14,day_20190717,2019-07-17T02:05:19.909000Z,True,,,,,,,,,,,,,False,,,
526,80385,20190717,2019-07-17T02:06:01.141000Z,35.96114,-117.70206,23.8,0.92,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190717.dat,14,day_20190717,2019-07-17T02:06:01.141000Z,True,,,,,,,,,,,,,False,,,
527,80386,20190717,2019-07-17T02:06:08.816000Z,35.94138,-117.40002,0.0,0.49,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190717.dat,14,day_20190717,2019-07-17T02:06:08.816000Z,True,,,,,,,,,,,,,False,,,
529,80388,20190717,2019-07-17T02:06:54.203000Z,35.8233,-117.56106,6.04,0.3,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190717.dat,14,day_20190717,2019-07-17T02:06:54.203000Z,True,,,,,,,,,,,,,False,,,
531,80390,20190717,2019-07-17T02:07:19.391000Z,35.99028,-117.41732,4.47,1.05,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190717.dat,14,day_20190717,2019-07-17T02:07:19.391000Z,True,2019-07-17T02:07:29.330000Z,36.104801,-117.8741,8.43,1.1,9.939,,,,,,,False,,,
533,80392,20190717,2019-07-17T02:07:29.330000Z,36.10481,-117.87409,8.43,1.1,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190717.dat,14,day_20190717,2019-07-17T02:07:29.330000Z,True,,,,,,,,,,,,,False,,,
534,80393,20190717,2019-07-17T02:07:29.446000Z,35.80441,-117.66313,10.5,0.42,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190717.dat,14,day_20190717,2019-07-17T02:07:29.446000Z,True,,,,,,,,,,,,,False,,,
537,80396,20190717,2019-07-17T02:08:03.716000Z,35.61499,-117.44179,7.32,0.76,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190717.dat,14,day_20190717,2019-07-17T02:08:03.716000Z,True,,,,,,,,,,,,,False,,,
539,80398,20190717,2019-07-17T02:08:22.302000Z,35.68135,-117.49869,10.0,0.52,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190717.dat,14,day_20190717,2019-07-17T02:08:22.302000Z,True,,,,,,,,,,,,,False,,,
542,80401,20190717,2019-07-17T02:09:21.264000Z,35.92737,-117.60514,0.0,0.4,<CASE_ROOT>/catalog_construction/01_step3_association_Gamma/exp_run/outputs/01_gamma_association_location_magnitude/phase_20190717.dat,14,day_20190717,2019-07-17T02:09:21.264000Z,True,,,,,,,,,,,,,False,,,
