datetime,lat,lon,dep,mag,time_rel_days,time_rel_sec,radial_distance_km,depth_rel_km,abs_depth_rel_km,is_post,is_pre,mainshock,radius_km,time_window_days,depth_strategy,mag_threshold,sequence_id,mag_threshold_label
2025-09-16 06:16:55.350000+00:00,39.605632,143.284326,11.81,1.9,-54.074119097222216,-4672003.89,29.461447956459583,-4.15,4.15,False,True,M1,50.0,90.0,all,,323827,all
2025-09-16 08:02:00.830000+00:00,39.39517,143.304622,14.73,3.2,-54.00113900462963,-4665698.41,17.298262504006935,-1.2300000000000004,1.2300000000000004,False,True,M1,50.0,90.0,all,,323828,all
2025-09-16 10:13:01.210000+00:00,39.377759,143.406462,11.65,0.9,-53.91016238425926,-4657838.03,8.978954320134243,-4.3100000000000005,4.3100000000000005,False,True,M1,50.0,90.0,all,,323829,all
2025-09-16 12:41:49.820000+00:00,39.367452,143.412191,12.87,1.2,-53.80682199074074,-4648909.42,8.957859520434825,-3.0900000000000016,3.0900000000000016,False,True,M1,50.0,90.0,all,,323830,all
2025-09-18 23:20:54.280000+00:00,39.200387,143.6236,8.5,1.4,-51.36302037037037,-4437764.96,24.71619829144557,-7.460000000000001,7.460000000000001,False,True,M1,50.0,90.0,all,,323831,all
2025-09-20 16:25:22.960000+00:00,39.38291,143.277881,12.33,1.2,-49.651577314814816,-4289896.28,19.70333618933289,-3.630000000000001,3.630000000000001,False,True,M1,50.0,90.0,all,,323832,all
2025-09-20 22:26:17.320000+00:00,39.392957,143.550049,9.91,1.2,-49.40094814814815,-4268241.92,3.9749190222587703,-6.050000000000001,6.050000000000001,False,True,M1,50.0,90.0,all,,323833,all
2025-09-28 15:40:17.940000+00:00,39.500887,143.321289,7.73,1.1,-41.68288541666666,-3601401.3,19.207937070856524,-8.23,8.23,False,True,M1,50.0,90.0,all,,323834,all
2025-09-28 16:07:34.610000+00:00,39.500419,143.321224,8.08,1.0,-41.66394247685185,-3599764.63,19.183168980054585,-7.880000000000001,7.880000000000001,False,True,M1,50.0,90.0,all,,323835,all
2025-09-30 11:41:40.610000+00:00,39.407699,143.570492,9.05,1.4,-39.84859525462963,-3442918.63,5.59219762857447,-6.91,6.91,False,True,M1,50.0,90.0,all,,323836,all
