mainshock,radius_km,time_window_days,depth_strategy,mag_threshold,n_total,n_pre,n_post,duration_pre_days,duration_post_days,pre_rate,post_rate,rate_ratio,moving_rate_max,moving_rate_median,post_omori_c,post_omori_k,post_omori_p,post_omori_r2,post_omori_fit_ok,radial_q25_km,radial_q50_km,radial_q75_km,depth_q25_km,depth_q50_km,depth_q75_km,mag_q25,mag_q50,mag_q75,mecha_events,mecha_available
M3,50.0,90.0,all,2.0,1213,240,972,90.0,90.0,2.6666666666666665,10.8,4.050000000000001,109.85714285714286,0.7857142857142857,,,,,False,18.30457842851583,28.49159833305277,39.870510406581865,11.48,13.24,15.21,2.2,2.4,2.9,26,True
M3,50.0,90.0,all,2.5,599,125,473,90.0,90.0,1.3888888888888888,5.255555555555556,3.784,54.57142857142857,0.2857142857142857,,,,,False,18.60482669140914,29.043419020315245,39.63694840824829,11.945,13.48,15.48,2.6,2.9,3.4,26,True
M3,50.0,90.0,mainshock_window,,3654,876,2777,90.0,90.0,9.733333333333333,30.855555555555554,3.170091324200913,271.0,3.7142857142857135,,,,,False,16.827283959447172,26.58538123566893,38.869805006617085,10.6425,12.83,14.81,1.3,1.65,2.1750000000000003,26,True
M3,50.0,90.0,mainshock_window,1.2,3251,764,2486,90.0,90.0,8.488888888888889,27.622222222222224,3.253926701570681,250.28571428571428,3.3571428571428568,,,,,False,17.123107479764986,26.9707476278196,39.23730180862755,10.47,12.8,14.81,1.5,1.7,2.2,26,True
M3,50.0,90.0,mainshock_window,1.5,2444,529,1914,90.0,90.0,5.877777777777778,21.266666666666666,3.6181474480151214,199.28571428571428,2.428571428571429,,,,,False,17.52005981467221,27.644620709428946,39.7162378552368,10.6325,12.9,14.865,1.6,1.9,2.4,26,True
M3,50.0,90.0,mainshock_window,2.0,1213,240,972,90.0,90.0,2.6666666666666665,10.8,4.050000000000001,109.85714285714286,0.7857142857142857,,,,,False,18.30457842851583,28.49159833305277,39.870510406581865,11.48,13.24,15.21,2.2,2.4,2.9,26,True
M3,50.0,90.0,mainshock_window,2.5,599,125,473,90.0,90.0,1.3888888888888888,5.255555555555556,3.784,54.57142857142857,0.2857142857142857,,,,,False,18.60482669140914,29.043419020315245,39.63694840824829,11.945,13.48,15.48,2.6,2.9,3.4,26,True
M3,50.0,90.0,stratified,,3504,850,2653,90.0,90.0,9.444444444444445,29.47777777777777,3.121176470588235,260.1428571428572,3.4285714285714284,,,,,False,16.218052693067307,26.16021753218276,38.26596131337607,10.4275,12.71,14.39,1.4,1.7,2.2,26,True
M3,50.0,90.0,stratified,1.2,3136,745,2390,90.0,90.0,8.277777777777779,26.55555555555556,3.208053691275168,241.8571428571429,3.071428571428571,,,,,False,16.54382079716813,26.62543247498721,38.78512181953165,10.2775,12.71,14.4525,1.5,1.7,2.2,26,True
M3,50.0,90.0,stratified,1.5,2353,515,1837,90.0,90.0,5.722222222222222,20.41111111111111,3.566990291262136,191.8571428571429,2.071428571428571,,,,,False,17.105313920319368,27.125102944602755,39.40730800353025,10.39,12.78,14.53,1.6,1.9,2.4,26,True
M3,50.0,90.0,stratified,2.0,1171,230,940,90.0,90.0,2.555555555555556,10.444444444444445,4.086956521739131,106.71428571428572,0.6428571428571428,,,,,False,17.7202308204521,27.970275036363173,39.50822840794712,11.36,13.17,15.005,2.2,2.4,2.9,26,True
M3,50.0,90.0,stratified,2.5,579,120,458,90.0,90.0,1.3333333333333333,5.088888888888889,3.8166666666666655,53.142857142857146,0.2857142857142857,,,,,False,18.35458609808562,28.76501536301709,39.46026380963036,11.855,13.44,15.21,2.6,2.9,3.4,26,True
