node_id,x_km,y_km,n_total,n_ge_mc,mean_mag_ge_mc,b_value,b_boot_mean,b_boot_std,b_ci_low,b_ci_high,reliability_class,valid_flag,window_name,radius_km,longitude,latitude,along_km,across_km,along_bin
2440,2.0,5.0,617,169,2.0904142011834317,0.7293989310971388,0.73053271715346,0.052401604789814774,0.6360628445418857,0.8307458133712959,robust,1.0,post_separator,5.0,-117.52145972696724,35.76652895480714,5.102805652937377,-4.099149532879839,"(5.0, 6.0]"
2383,1.0,4.0,863,238,2.1000840336134456,0.7177424254772161,0.7211440858637852,0.04631407057404708,0.6339847971070939,0.8172297265791955,robust,1.0,post_separator,5.0,-117.53251940894259,35.75751778319662,5.182945039504417,-2.6872084297453425,"(5.0, 6.0]"
2326,0.0,3.0,885,242,2.107438016528926,0.7091239769285937,0.7116622127332903,0.047174656795339776,0.628959597709548,0.8071898993957,robust,1.0,post_separator,5.0,-117.54357659758901,35.74850558189486,5.263084426071457,-1.2752673266108459,"(5.0, 6.0]"
2269,-1.0,2.0,892,244,2.113688524590164,0.7019598144170206,0.7050374332697483,0.046852914497274877,0.6195354550266549,0.8029614648622551,robust,1.0,post_separator,5.0,-117.55463129401333,35.7394923514643,5.343223812638497,0.13667377652365031,"(5.0, 6.0]"
2212,-2.0,1.0,866,242,2.1155371900826445,0.6998685797468666,0.700740020616521,0.04304789124155736,0.6246046923720485,0.7889046209935437,robust,1.0,post_separator,5.0,-117.56568349932219,35.73047809246716,5.4233631992055376,1.548614879658147,"(5.0, 6.0]"
2155,-3.0,0.0,743,213,2.0884037558685447,0.7318701265508337,0.7346186457390891,0.05257171921756788,0.6407564493074549,0.8390221273779462,robust,1.0,post_separator,5.0,-117.57673321462202,35.72146280546531,5.503502585772577,2.960555982792643,"(5.0, 6.0]"
2098,-4.0,-1.0,496,137,2.062043795620438,0.7658923089495461,0.7720292210365856,0.07068983124554173,0.6461660970564513,0.9129154204055148,robust,1.0,post_separator,5.0,-117.58778044101891,35.712446491020366,5.583641972339617,4.372497085927139,"(5.0, 6.0]"
2441,3.0,5.0,346,77,2.1023376623376624,0.7150791212776731,0.723115347953592,0.08025813764658381,0.5826891390043714,0.8905702162398591,moderately_uncertain,1.0,post_separator,5.0,-117.51040129235923,35.766526414877966,5.7687065112211044,-4.8451897777306066,"(5.0, 6.0]"
2384,2.0,4.0,785,217,2.1009677419354835,0.7166957114187285,0.7203889468713071,0.04999839792463214,0.6277280300953442,0.8216637474308228,robust,1.0,post_separator,5.0,-117.52146222057719,35.757516259519655,5.848845897788146,-3.4332486745961104,"(5.0, 6.0]"
2327,1.0,3.0,878,240,2.097916666666667,0.7203225684642737,0.723065489996372,0.04687300118919719,0.6393110348324496,0.8291145421471524,robust,1.0,post_separator,5.0,-117.5325206552849,35.74850507409603,5.928985284355186,-2.021307571461614,"(5.0, 6.0]"
2270,0.0,2.0,896,243,2.098230452674897,0.7199478739467898,0.7227235360641837,0.0454914195324343,0.6366957379581131,0.815740532693416,robust,1.0,post_separator,5.0,-117.54357659758901,35.739492859169665,6.009124670922225,-0.6093664683271176,"(6.0, 7.0]"
