time,latitude,longitude,depth_km,magnitude,event_id,phase,pre_M1_sensitivity
2020-01-02 04:37:38.050,40.37,142.238,39.2,1.1,77,pre_M1_reference,pre_M1_reference_7d
2020-01-02 05:13:50.640,38.137,141.323,61.0,1.8,78,pre_M1_reference,pre_M1_reference_7d
2020-01-02 06:08:18.190,39.074,142.373,33.9,2.4,79,pre_M1_reference,pre_M1_reference_7d
2020-01-02 06:45:05.330,38.441,141.985,34.7,1.1,80,pre_M1_reference,pre_M1_reference_7d
2020-01-02 06:52:36.630,38.381,142.092,51.9,2.0,81,pre_M1_reference,pre_M1_reference_7d
2020-01-02 07:41:18.430,40.182,141.151,10.7,0.2,82,pre_M1_reference,pre_M1_reference_7d
2020-01-02 07:42:06.700,39.876,142.029,12.4,1.0,83,pre_M1_reference,pre_M1_reference_7d
2020-01-02 08:07:24.260,39.874,142.024,11.7,0.4,84,pre_M1_reference,pre_M1_reference_7d
2020-01-02 09:11:35.020,39.53,142.753,23.4,1.4,85,pre_M1_reference,pre_M1_reference_7d
2020-01-02 10:32:33.790,40.279,145.21,45.0,3.1,86,pre_M1_reference,pre_M1_reference_7d
2020-01-02 10:51:52.960,39.0,142.139,49.5,0.6,87,pre_M1_reference,pre_M1_reference_7d
2020-01-02 11:00:33.080,39.116,142.09,41.7,0.5,88,pre_M1_reference,pre_M1_reference_7d
2020-01-02 12:03:13.250,39.453,142.512,32.8,1.3,89,pre_M1_reference,pre_M1_reference_7d
2020-01-02 12:19:04.140,38.184,142.719,16.0,1.8,90,pre_M1_reference,pre_M1_reference_7d
2020-01-02 12:52:48.650,38.124,142.04,43.6,1.1,91,pre_M1_reference,pre_M1_reference_7d
2020-01-02 12:59:44.870,41.037,143.026,22.0,3.0,92,pre_M1_reference,pre_M1_reference_7d
2020-01-02 13:05:30.020,38.786,141.735,52.2,0.7,93,pre_M1_reference,pre_M1_reference_7d
2020-01-02 13:12:49.920,39.456,142.539,31.8,1.5,94,pre_M1_reference,pre_M1_reference_7d
2020-01-02 13:13:44.250,38.322,142.167,31.5,1.2,95,pre_M1_reference,pre_M1_reference_7d
2020-01-02 13:26:17.510,39.02,140.393,4.7,0.6,96,pre_M1_reference,pre_M1_reference_7d
2020-01-02 13:46:25.280,41.855,141.368,91.6,1.1,97,pre_M1_reference,pre_M1_reference_7d
2020-01-02 13:58:09.250,41.093,143.835,49.0,1.8,98,pre_M1_reference,pre_M1_reference_7d
2020-01-02 14:03:44.900,41.848,141.686,68.3,1.2,99,pre_M1_reference,pre_M1_reference_7d
2020-01-02 14:05:56.800,39.46,142.526,31.4,1.5,100,pre_M1_reference,pre_M1_reference_7d
2020-01-02 14:14:28.960,38.547,142.047,36.4,0.8,101,pre_M1_reference,pre_M1_reference_7d
2020-01-02 14:59:55.130,38.34,142.126,33.1,2.0,102,pre_M1_reference,pre_M1_reference_7d
2020-01-02 15:09:09.430,38.338,142.356,30.5,1.5,103,pre_M1_reference,pre_M1_reference_7d
2020-01-02 16:13:02.520,38.706,142.196,37.5,1.2,104,pre_M1_reference,pre_M1_reference_7d
2020-01-02 16:13:34.280,39.201,142.391,34.7,0.8,105,pre_M1_reference,pre_M1_reference_7d
2020-01-02 16:31:40.300,38.714,141.574,56.0,0.8,106,pre_M1_reference,pre_M1_reference_7d
2020-01-02 16:47:33.950,39.353,141.207,10.5,2.0,107,pre_M1_reference,pre_M1_reference_7d
2020-01-02 17:11:50.970,40.919,141.78,98.9,1.0,108,pre_M1_reference,pre_M1_reference_7d
2020-01-02 18:12:46.470,41.725,143.393,32.3,1.2,109,pre_M1_reference,pre_M1_reference_7d
2020-01-02 19:03:08.210,38.891,142.368,39.0,0.6,110,pre_M1_reference,pre_M1_reference_7d
2020-01-02 19:35:42.940,38.8,142.368,31.0,0.9,111,pre_M1_reference,pre_M1_reference_7d
2020-01-02 19:43:28.020,38.946,140.876,7.9,0.1,112,pre_M1_reference,pre_M1_reference_7d
