time,latitude,longitude,depth_km,magnitude,event_id,dist_m1_km,dist_m2_km,dist_m3_km,x_from_m1_km,y_from_m1_km,projected_km,projected_clamped_km,perp_km,axis_fraction,between_endpoints,local_union,m1_core,m3_core,m1_extended,m3_extended,endpoint_overlap_core,endpoint_overlap_extended,m2_related,corridor_20,corridor_noncore_20,off_corridor_20,corridor_30,corridor_noncore_30,off_corridor_30,days_since_start,days_since_m1,days_until_m3,spatial_category_30
2026-02-12 16:26:20.730000+00:00,39.035567,144.447152,27.66,1.5,17808,90.66219166969115,282.8146408821691,142.53173221205967,81.08223430526797,-40.51796254200007,-77.05310449638435,0.0,90.64234114633898,-1.3479263158402621,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,256.6754841435185,95.34909131944444,66.64348761574074,outside_local_union
2026-02-12 16:44:14.510000+00:00,40.938525,143.068018,16.03,2.4,17809,174.8770460650728,65.58713033895125,122.16066191357876,-37.34115003874869,169.89971534999972,164.20612575916167,57.16418144737493,121.46851800957033,2.8725352415013417,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,256.68791215277776,95.3615193287037,66.63105960648149,outside_local_union
2026-02-12 18:08:10.520000+00:00,40.84067,142.972201,7.33,1.5,17810,166.30925975820162,59.2185981083382,112.1460259105346,-45.52441424728524,159.0794965800002,159.29322806998303,57.16418144737493,111.5112917143011,2.786591603985926,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,256.7461993055556,95.41980648148149,66.5727724537037,outside_local_union
2026-02-12 18:14:05.960000+00:00,40.893368,143.061312,13.02,1.2,17811,170.1034793920973,65.4921258449375,117.18749619276328,-37.92419175430611,164.90652523200015,160.26250765185637,57.16418144737493,116.52295864598541,2.803547669083537,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,256.7503131944444,95.42392037037037,66.56865856481481,outside_local_union
2026-02-12 20:27:03.360000+00:00,39.529915,143.519548,12.71,2.4,17812,14.264227493289495,191.03130888972098,46.54778482096877,1.0783663919820192,14.144073210000172,11.471909259505427,11.471909259505427,8.343439278071996,0.20068352190202202,True,True,True,False,True,True,False,True,False,True,False,False,True,False,False,256.84264421296297,95.51625138888889,66.4763275462963,M1_endpoint
2026-02-12 20:47:10.740000+00:00,39.413965,142.130208,43.54,0.6,17813,118.29234397758296,173.31972624415292,99.99024471246344,-118.41905900778217,1.3230179099996076,63.29603649680724,57.16418144737493,100.27978521527093,1.1072674338051576,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,256.85661851851853,95.53022569444444,66.46235324074074,outside_local_union
2026-02-12 20:49:42.040000+00:00,40.832857,143.09764,1.04,4.5,17814,162.86677640375459,69.68665516380791,110.29307654192196,-34.84850372093997,158.21558191799957,152.9530947450754,57.16418144737493,109.66975559331738,2.6756806600280507,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,256.8583696759259,95.53197685185185,66.46060208333333,outside_local_union
2026-02-12 20:54:20.960000+00:00,40.828569,143.103467,0.93,2.3,17815,162.29578721512033,70.27077019787994,109.79526019320096,-34.35353877309143,157.74144060600005,152.2896954090211,57.16418144737493,109.17527096089782,2.6640755024056153,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,256.86159791666665,95.53520509259259,66.45737384259259,outside_local_union
2026-02-12 20:58:48.560000+00:00,40.832129,143.099674,0.98,3.0,17816,162.75084735875197,69.87141667607611,110.20447729614838,-34.675536473871716,158.1350840460001,152.79377501490507,57.16418144737493,109.58183753967577,2.672893604810318,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,256.86469513888886,95.53830231481481,66.45427662037036,outside_local_union
2026-02-12 21:04:47.440000+00:00,40.834184,143.109798,0.94,1.8,17817,162.79326012378405,70.65288511497239,110.3983354263171,-33.81317254167552,158.36231361599994,152.53442948354353,57.16418144737493,109.77561224495925,2.6683567510533845,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,256.86884884259257,95.54245601851852,66.45012291666667,outside_local_union
2026-02-12 21:19:59.880000+00:00,40.818774,142.99349,11.51,1.8,17818,163.47787906239046,61.57786148233212,109.49303645403971,-43.71924003060443,156.65836827599963,156.2848838973522,57.16418144737493,108.87224172910379,2.73396521983311,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,256.8794094907407,95.55301666666666,66.43956226851851,outside_local_union
2026-02-12 21:28:57.480000+00:00,41.814286,144.324756,15.8,3.1,17819,276.97046297741036,194.21713029799312,240.30503437634349,69.11001938095787,266.7361121640002,190.73692481875028,57.16418144737493,239.55260715267568,3.3366510284826134,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,256.88563171296295,95.55923888888888,66.4333400462963,outside_local_union
2026-02-12 21:39:02.600000+00:00,40.837533,143.098031,1.0,2.2,17820,163.36741115066988,69.6061758523117,110.81097783439537,-34.814021113103806,158.73262594199994,153.37504867487797,57.16418144737493,110.1847903349348,2.683062099228593,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,256.8926354166667,95.5662425925926,66.42633634259259,outside_local_union
2026-02-12 22:03:11.160000+00:00,41.519214,142.052067,55.67,1.8,17821,265.64997516562175,64.38822180814915,208.472115412824,-123.2300297042814,234.10882083599967,263.9463029921577,57.16418144737493,207.56631504527334,4.617337226024052,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,256.90940115740744,95.58300833333334,66.40957060185185,outside_local_union
2026-02-12 22:12:00.240000+00:00,40.834611,143.097217,1.1,2.2,17822,163.06489534480104,69.6092429829788,110.48954500751266,-34.88406346866741,158.40952871400015,153.1368321575113,57.16418144737493,109.86508541192559,2.678894865283575,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,256.91552476851854,95.58913194444445,66.40344699074075,outside_local_union
2026-02-12 22:17:04.480000+00:00,40.517635,142.320394,42.48,0.8,17823,160.05074112132948,50.152609122960186,103.41870459152189,-101.24861558199649,123.36022448999972,158.1476864123075,57.16418144737493,103.22792597418123,2.7665521032238956,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,256.9190460648148,95.59265324074074,66.39992569444445,outside_local_union
2026-02-12 22:34:22.760000+00:00,41.143099,142.034538,51.99,0.8,17824,230.39750965220964,28.822830534841785,173.0294099717734,-125.06315406806038,192.52028082599983,229.51259592541612,57.16418144737493,172.43200201657635,4.014972140145211,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,256.93106319444445,95.60467037037037,66.38790856481481,outside_local_union
2026-02-12 22:36:46.740000+00:00,39.650175,142.108333,47.95,2.0,17825,123.0932881279877,147.3251487702148,92.15873137398985,-120.09654171732984,27.441702449999585,86.40638462261872,57.16418144737493,92.54874125998137,1.5115476586009373,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,256.93272962962965,95.60633680555556,66.38624212962964,outside_local_union
2026-02-12 22:58:06.320000+00:00,40.948507,143.058512,14.37,1.4,17826,176.13394754509756,64.73829484296105,123.32030398472332,-38.14695392727774,171.00346501799982,165.56857660807168,57.16418144737493,122.62110125188785,2.8963692370981176,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,256.94753958333337,95.62114675925926,66.37143217592593,outside_local_union
2026-02-12 23:31:53.320000+00:00,40.836605,143.100895,1.07,2.2,17827,163.2149508242045,69.86358103436145,110.69720349233768,-34.570455279603074,158.63001326999975,153.1598427279066,57.16418144737493,110.07191761993073,2.679297400049449,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,256.9710002314815,95.6446074074074,66.34797152777779,outside_local_union
2026-02-13 00:01:46.490000+00:00,40.842029,143.109863,6.4,2.0,17828,163.6451576970929,70.47567586980477,111.2698848226001,-33.805688885852874,159.22976664599952,153.26879173704947,57.16418144737493,110.64229202968326,2.6812032964759234,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,256.9917545138889,95.66536168981482,66.32721724537038,outside_local_union
2026-02-13 00:15:12.730000+00:00,40.83783,143.112386,6.45,1.6,17829,163.14429361339103,70.77964700050913,110.79578081285453,-33.591959593365374,158.7654664199995,152.7614169067112,57.16418144737493,110.17111240703724,2.6723275491549305,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,257.0010859953704,95.6746931712963,66.3178857638889,outside_local_union
2026-02-13 00:18:43.970000+00:00,40.839417,143.100309,6.1,1.4,17830,163.53094169521887,69.74923774031977,111.01172989758665,-34.6196237409901,158.9409473579996,153.45029285621015,57.16418144737493,110.38462740619316,2.6843783811979494,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,257.00353090277775,95.6771380787037,66.31544085648147,outside_local_union
2026-02-13 00:21:36.410000+00:00,40.973018,142.943978,19.4,1.2,17831,181.11663281371108,55.07691359625935,127.05011260641302,-47.88019957743023,173.71374433200023,172.98525581486615,57.16418144737493,126.3313144858524,3.0261127061552617,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,257.0055267361111,95.67913391203703,66.31344502314815,outside_local_union
2026-02-13 00:24:34.510000+00:00,39.430367,142.566227,29.84,0.9,17832,80.87743525637892,172.60188259603143,68.22217250635221,-80.90717434426858,3.136652657999537,45.14588331175362,45.14588331175362,67.21353041071666,0.7897582396647227,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,257.0075880787037,95.68119525462963,66.31138368055555,outside_local_union
2026-02-13 00:32:11.650000+00:00,41.235881,142.684245,36.33,1.0,17833,215.51551567374267,44.60478597360601,160.05749910900087,-69.83250903887661,202.77955769399978,209.24819699080643,57.16418144737493,159.18815338193465,3.6604774474631343,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,257.0128790509259,95.68648622685186,66.30609270833334,outside_local_union
2026-02-13 00:51:41.230000+00:00,39.202433,142.412581,25.08,1.0,17834,96.74721864952993,196.60790027363478,95.57408393995414,-94.2745270739335,-22.066921458000202,30.712927176362168,30.712927176362168,91.82239150613995,0.5372757275399166,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,257.02641585648144,95.70002303240742,66.29255590277778,outside_local_union
2026-02-13 01:01:52.360000+00:00,40.834436,143.118083,6.33,1.5,17835,162.67600370828805,71.32775957359439,110.40312922974032,-33.10782236058385,158.3901782639995,152.18783625924024,57.16418144737493,109.78130050467036,2.6622936322344373,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,257.0334891203704,95.7070962962963,66.2854826388889,outside_local_union
2026-02-13 01:03:39.970000+00:00,40.83016,143.093327,6.1,1.4,17836,162.6528857211946,69.39969925408643,110.010828070562,-35.21636447128295,157.9173638399998,152.89240760180954,57.16418144737493,109.38871563898093,2.674619031194587,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,257.0347346064815,95.70834178240742,66.28423715277778,outside_local_union
2026-02-13 01:29:30.760000+00:00,39.534961,143.331738,8.56,2.9,17837,21.09308985379579,182.30734622701698,37.271679316946184,-15.061348282603396,14.702029614000184,20.420138345465755,20.420138345465755,5.100180076512767,0.3572191156846081,True,True,True,False,True,True,False,True,False,True,False,False,True,False,False,257.0526835648148,95.72629074074074,66.26628819444444,M1_endpoint
2026-02-13 02:01:50.340000+00:00,41.073767,142.896663,29.39,0.9,17838,192.97462013215346,52.39947891092141,138.72578437277295,-51.86536842499471,184.8539642579995,184.55893527033476,57.16418144737493,137.9435654796958,3.228576542117354,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,257.0751324074074,95.74873958333333,66.24383935185185,outside_local_union
