event_time,latitude,longitude,depth_km,magnitude,event_id,x_km,y_km,nearest_segment_id,nearest_fault_id,nearest_fault_distance_km,nearest_point_x_km,nearest_point_y_km,segment_fraction,segment_length_km,distance_along_segment_km,nearest_segment_strike_deg,segment_midpoint_distance_km
2019-07-04 17:39:34.940000+00:00,35.68612679518505,-117.48213451514764,9.78147149,4.04,49,6.143157847960767,-5.9753067120622525,162357,12743,0.2350869190008441,6.0739374315127845,-5.7506416426097955,1.0,0.4300778985537098,0.4300778985537098,126.09030957457271,0.4271786169351092
2019-07-04 17:40:01.960000+00:00,35.72417979518505,-117.56103626170596,6.5733603500000015,3.98,50,-0.998523520815642,-1.75525950565052,1011,263,0.35271493941624404,-1.0740061548915487,-1.4107160389581919,0.0,0.027507880775897883,0.0,155.73168235564566,0.3661837435313517
2019-07-04 17:40:18+00:00,35.70671979518505,-117.4937740008517,9.63630809,4.55,51,5.08824739573441,-3.6911099722205942,20615,1551,0.20855265971677012,4.94432923974406,-3.540173640440349,1.0,0.08175243066390132,0.08175243066390132,60.62437171116507,0.22054495048790684
2019-07-04 17:41:21+00:00,35.73904479518505,-117.53262733602214,4.49026556,3.46,52,1.5715276290806932,-0.1058448028299757,165570,13087,2.0976063488236005,0.3032585623405217,-1.7766068951025682,1.0,0.08783477801286946,0.08783477801286946,120.49455509747884,2.1014316181488253
2019-07-04 17:41:43.360000+00:00,35.61189179518505,-117.58173917190378,6.6604583900000005,2.81,53,-2.8756791039965566,-14.213525541909634,773,195,0.059740878943916914,-2.83679994466504,-14.25888393238666,0.15526643187360048,0.08186395654259011,0.012710724431423457,49.39831292153671,0.06607126293091636
2019-07-04 17:42:21.480000+00:00,35.57485179518505,-117.63260751317428,8.816134880000002,3.21,54,-7.487979311740623,-18.320484353389013,162251,12712,0.5965720862076612,-7.100037175672424,-17.867274519972963,0.0,0.47654118817889324,0.0,47.57313041338034,0.8335689434086476
2019-07-04 17:42:53.820000+00:00,35.72963279518505,-117.551848655711,6.950785190000001,3.36,55,-0.16724869766558415,-1.1502822256316014,18305,1063,0.14954339078438725,-0.2706008006639547,-1.2583635308286898,0.33815718636736936,0.05044277405567945,0.0170575865472335,133.71865967220972,0.14976606212883853
2019-07-04 17:43:29.200000+00:00,35.65521879518505,-117.52899928808988,9.839536850000002,3.63,56,1.9017099593082534,-9.406559929647036,17940,995,0.2363604242962134,2.084467152540937,-9.556446748597862,0.7796736841718994,0.07403921568936482,0.057726428069724965,39.35661133838407,0.23726572145448668
2019-07-04 17:43:48.940000+00:00,35.74395579518505,-117.53507669112088,5.593507400000001,3.16,57,1.3498765687912078,0.4390148747836048,18307,1063,2.335538933320001,-0.18728444383538992,-1.3193588426935137,1.0,0.04558119749240671,0.04558119749240671,120.7284954033205,2.339772672817651
2019-07-04 17:44:32.580000+00:00,35.68564679518505,-117.49931448053552,3.53944529,4.02,58,4.5880615793503186,-6.02950357751422,162185,12693,0.0702667587426932,4.6185347023411785,-6.092818711245325,1.0,0.02638754461026177,0.02638754461026177,71.41282569539598,0.0730829706689319
2019-07-04 17:45:05.640000+00:00,35.69487979518505,-117.47712214645765,4.766076020000001,3.21,59,6.5961545055680855,-5.003807440382899,162357,12743,0.9111259239597316,6.059446947845764,-5.740078753687455,0.9583057390098783,0.4300778985537098,0.41214611840532833,126.09030957457271,0.9322025989200604
