fault_id,n_vertices,min_lon,max_lon,min_lat,max_lat,min_x_km,max_x_km,min_y_km,max_y_km,mean_strike_deg
88,4,-117.371193682442,-117.371161882415,35.5703402240222,35.5703968606267,16.208847672944817,16.21171892671637,-18.809443940349936,-18.80315480488629,24.53671368025486
89,3,-117.377890716084,-117.377889347315,35.5788236538885,35.5788307198619,15.600113064648257,15.600235758772559,-17.86928270351413,-17.868498508214948,8.867103096850665
90,13,-117.377871470592,-117.377835639803,35.5787591275318,35.57880462963,15.601861182807433,15.605112594797495,-17.876433244985662,-17.871390409992728,152.97631485801773
91,9,-117.377813495796,-117.377790312173,35.5786844379365,35.5787467924306,15.607127292220445,15.60923103174191,-17.884713923780335,-17.87779830318131,172.54188134233527
92,8,-117.377893548948,-117.37788906223,35.5787305093056,35.5787774719029,15.599874377245143,15.600273382918267,-17.879617652239865,-17.874406428068493,4.031759489360567
93,6,-117.377974046365,-117.377949909461,35.5787551920985,35.5787836007826,15.592567727124184,15.594761026956919,-17.876888018073924,-17.873739873923167,144.6572565497307
94,11,-117.377945881397,-117.37792002319,35.5786872887874,35.5787556336656,15.59512604789039,15.597481287076896,-17.884417577738578,-17.87683838612979,163.75976926102763
95,6,-117.377915417762,-117.377901473774,35.578686307627,35.5787018110398,15.597900752691002,15.599161636922005,-17.88452535249787,-17.882803016513503,36.25204456457885
96,5,-117.377910913058,-117.377902423458,35.5786966273475,35.5787174097807,15.598307059179465,15.599072528278176,-17.88337965224733,-17.881072469085524,18.35747590613922
97,3,-117.377916564398,-117.37791546093,35.5786954681214,35.5787061997314,15.597792958893475,15.597895061508694,-17.883508991960213,-17.882318482719473,175.1014120325232
98,5,-117.377911678381,-117.3779101945,35.5786731514448,35.5786930516431,15.598242247358458,15.598372884045189,-17.88598445220063,-17.883776266647992,3.384617130579246
99,4,-117.377864567396,-117.37785922902,35.5786975050859,35.5787150940264,15.602504280537614,15.602991570851682,-17.883274056912537,-17.881323391759274,165.96061369735844
100,5,-117.377858148035,-117.377853341159,35.5786749078208,35.5786910668393,15.60309080251075,15.603529639798564,-17.885780314116378,-17.883988216056164,166.2108282405604
