bin_id,stage,start_time,end_time,end_inclusive,page,subplot_index,event_count,centroid_x_km,centroid_y_km,principal_strike_deg,major_spread_km,minor_spread_km,elongation_ratio,median_nearest_fault_distance_km,q25_nearest_fault_distance_km,q75_nearest_fault_distance_km,dominant_local_fault_strike_deg,angular_misfit_deg,fraction_within_0.25km,fraction_within_0.5km,fraction_within_1.0km,fraction_within_2.0km,fraction_within_5.0km,along_strike_min_km,along_strike_max_km,along_strike_range_km,newly_activated_range_km,is_sparse_for_orientation,cumulative_occupied_range_km,cumulative_occupied_bin_count,reference_along_axis_strike_deg,reference_origin_x_km,reference_origin_y_km
10,stage2,2019-07-05 01:33:49.040000+00:00,2019-07-05 03:33:49.040000+00:00,False,2,2,291,0.8072365830859083,-7.577289130639068,26.567346862811558,7.029906826171124,4.200691697099948,1.673511729276489,0.48811164907743343,0.1907650108335447,1.0495762479032995,29.160449586389287,2.5931027235777293,0.29896907216494845,0.5051546391752577,0.7422680412371134,0.9140893470790378,0.9759450171821306,-24.12872255340058,14.296754815967127,38.425477369367705,0.0,False,50.0,22,147.65393146491562,5.075194124527454,-3.969588203591513
11,stage2,2019-07-05 03:33:49.040000+00:00,2019-07-05 05:33:49.040000+00:00,False,2,3,287,0.8684479049928585,-7.456764768429401,24.095808459393602,6.922862469761716,4.298565954356969,1.610505118048682,0.5282287770915656,0.21098588449925884,1.1442217076494288,24.298368985633942,0.20256052624034737,0.30313588850174217,0.4738675958188153,0.6829268292682927,0.9024390243902439,0.9825783972125436,-23.135576541619656,20.01066357579799,43.14624011741765,0.0,False,50.0,22,147.65393146491562,5.075194124527454,-3.969588203591513
12,stage2,2019-07-05 05:33:49.040000+00:00,2019-07-05 07:33:49.040000+00:00,False,2,4,280,1.520693340727443,-6.718346611370131,8.239878712045005,6.489613470095926,4.267753814536531,1.520615703743606,0.6001592940205811,0.2123903533706297,1.11747236765742,30.71658667247209,22.476707960427092,0.2892857142857143,0.45,0.7178571428571429,0.9107142857142857,0.9821428571428571,-26.01615507301082,25.499605217152208,51.51576029016303,2.0,False,54.0,23,147.65393146491562,5.075194124527454,-3.969588203591513
13,stage2,2019-07-05 07:33:49.040000+00:00,2019-07-05 09:33:49.040000+00:00,False,2,5,283,0.9346657688351481,-7.36425884155154,19.210023183191,6.795707544827917,4.219682901477825,1.6104782523937786,0.4905872267974773,0.19881428905497917,1.0137563049491598,31.635377228251667,12.425354045060658,0.31802120141342755,0.5053003533568905,0.7455830388692579,0.9293286219081273,0.9858657243816255,-27.167364722435615,21.735381323028424,48.90274604546404,0.0,False,54.0,23,147.65393146491562,5.075194124527454,-3.969588203591513
14,stage2,2019-07-05 09:33:49.040000+00:00,2019-07-05 11:33:49.040000+00:00,False,2,6,276,0.5482708599290257,-5.870919527569475,17.392052582770933,6.902784413320139,4.337366986211712,1.5914688416414313,0.6173080811303469,0.1992208770394688,1.2464024131577651,178.8195739805683,18.572478602202636,0.2971014492753623,0.44565217391304346,0.6702898550724637,0.8913043478260869,0.9855072463768116,-24.69948346949131,11.687816306050719,36.387299775542026,0.0,False,54.0,23,147.65393146491562,5.075194124527454,-3.969588203591513
15,stage2,2019-07-05 11:33:49.040000+00:00,2019-07-05 13:33:49.040000+00:00,False,2,7,306,-0.4966384902705454,-3.147336270904411,179.5111026089569,7.047683285953168,3.6100129419754627,1.9522598392948007,0.8256677892975968,0.3047865774614764,1.4115931569564981,138.44811231529388,41.062990293663006,0.21895424836601307,0.40522875816993464,0.5947712418300654,0.8496732026143791,0.9967320261437909,-23.135576541619656,20.01066357579799,43.14624011741765,0.0,False,54.0,23,147.65393146491562,5.075194124527454,-3.969588203591513
16,stage2,2019-07-05 13:33:49.040000+00:00,2019-07-05 15:33:49.040000+00:00,False,3,0,283,-0.44518158157536586,-4.717998903482402,7.170430570258311,7.280624608296581,3.9242195375891824,1.8553051220904382,0.5531502380783572,0.17878635531678652,1.1932315193007754,9.371330970801935,2.200900400543617,0.31448763250883394,0.4628975265017668,0.696113074204947,0.8939929328621908,0.9964664310954063,-15.316587840033378,13.013599925286233,28.33018776531961,0.0,False,54.0,23,147.65393146491562,5.075194124527454,-3.969588203591513
17,stage2,2019-07-05 15:33:49.040000+00:00,2019-07-05 17:33:49.040000+00:00,False,3,1,314,-0.09195856428144293,-5.90765723091216,14.018435910914384,7.236517184890527,3.9969708016042014,1.8105003874399381,0.7004818178520757,0.23513613090312907,1.1935148896857486,174.6204078127555,19.398028098158875,0.25796178343949044,0.42356687898089174,0.6719745222929936,0.8821656050955414,1.0,-15.769248326269363,11.426806145347058,27.19605447161642,0.0,False,54.0,23,147.65393146491562,5.075194124527454,-3.969588203591513
18,stage2,2019-07-05 17:33:49.040000+00:00,2019-07-05 19:33:49.040000+00:00,False,3,2,287,0.0583045230462337,-5.870065421554059,6.343703067964434,7.382443444702291,4.222783522510217,1.748241037066903,0.574034008287259,0.2120819780827852,1.2447437250043414,21.343272778452164,14.999569710487734,0.27526132404181186,0.4529616724738676,0.6794425087108014,0.8954703832752613,0.9930313588850174,-27.228713708937757,18.503241843972596,45.73195555291035,38.0,False,54.0,25,147.65393146491562,5.075194124527454,-3.969588203591513
19,stage2,2019-07-05 19:33:49.040000+00:00,2019-07-05 21:33:49.040000+00:00,False,3,3,283,0.18833752170912912,-6.662723923283942,10.166469386344007,7.799860362861796,4.254615897373625,1.8332701590469425,0.7356856406882389,0.24897964693346208,1.7211099332705933,18.227984203186363,8.061514816842362,0.2508833922261484,0.37809187279151946,0.5901060070671378,0.7985865724381626,0.9893992932862191,-27.36667148791878,21.96612000211463,49.33279149003341,0.0,False,54.0,25,147.65393146491562,5.075194124527454,-3.969588203591513
20,stage2,2019-07-05 21:33:49.040000+00:00,2019-07-05 23:33:49.040000+00:00,False,3,4,279,-0.2800717245577417,-6.70619355462002,7.802581752047875,7.762269925006835,4.519111962065051,1.7176538200792424,0.6716174903079543,0.22174839028559457,1.4902558241263564,10.1916915482393,2.38910979619142,0.27956989247311825,0.43727598566308246,0.6344086021505376,0.8458781362007168,0.992831541218638,-17.83579218962381,16.856766274776643,34.69255846440045,0.0,False,54.0,25,147.65393146491562,5.075194124527454,-3.969588203591513
21,stage2,2019-07-05 23:33:49.040000+00:00,2019-07-06 01:33:49.040000+00:00,False,3,5,229,0.26406879574888026,-4.121093411634302,177.0591220557355,6.796299646999385,4.116847764002984,1.6508503681931286,0.5705163958941559,0.180640893173081,1.4144966937515668,153.22440983207272,23.834712223662763,0.29694323144104806,0.48034934497816595,0.6593886462882096,0.8864628820960698,0.982532751091703,-27.70827222001361,16.626714372945134,44.33498659295874,0.0,False,54.0,25,147.65393146491562,5.075194124527454,-3.969588203591513
22,stage2,2019-07-06 01:33:49.040000+00:00,2019-07-06 03:19:53.040000+00:00,True,3,6,214,0.6916592038537027,-6.17911151560059,15.792144353489006,7.11664735887532,4.256949162726857,1.671771751748296,0.4965325493127736,0.18278581384828824,1.1531154144378426,6.466090886884406,9.326053466604606,0.3177570093457944,0.5046728971962616,0.6822429906542056,0.9205607476635514,0.985981308411215,-13.493762429390019,19.963023247445506,33.45678567683552,0.0,False,54.0,25,147.65393146491562,5.075194124527454,-3.969588203591513
