family_name,figure_dir_name,file_prefix,page_number,panel_position,figure_filename,window_family,stage_label,global_window_id,window_index,window_label,start_time,end_time,duration_hours
whole_sequence_2h,figures_whole_sequence_2h,whole_sequence_2h,2,6,whole_sequence_2h_page_002.png,whole_sequence,2h_mainshock64_to_mainshock71_plus_1day,13,13,whole_sequence_2h_mainshock64_to_mainshock71_plus_1day_0013,2019-07-05T19:33:49.040000Z,2019-07-05T21:33:49.040000Z,2.0
whole_sequence_2h,figures_whole_sequence_2h,whole_sequence_2h,2,7,whole_sequence_2h_page_002.png,whole_sequence,2h_mainshock64_to_mainshock71_plus_1day,14,14,whole_sequence_2h_mainshock64_to_mainshock71_plus_1day_0014,2019-07-05T21:33:49.040000Z,2019-07-05T23:33:49.040000Z,2.0
whole_sequence_2h,figures_whole_sequence_2h,whole_sequence_2h,2,8,whole_sequence_2h_page_002.png,whole_sequence,2h_mainshock64_to_mainshock71_plus_1day,15,15,whole_sequence_2h_mainshock64_to_mainshock71_plus_1day_0015,2019-07-05T23:33:49.040000Z,2019-07-06T01:33:49.040000Z,2.0
whole_sequence_2h,figures_whole_sequence_2h,whole_sequence_2h,3,1,whole_sequence_2h_page_003.png,whole_sequence,2h_mainshock64_to_mainshock71_plus_1day,16,16,whole_sequence_2h_mainshock64_to_mainshock71_plus_1day_0016,2019-07-06T01:33:49.040000Z,2019-07-06T03:33:49.040000Z,2.0
whole_sequence_2h,figures_whole_sequence_2h,whole_sequence_2h,3,2,whole_sequence_2h_page_003.png,whole_sequence,2h_mainshock64_to_mainshock71_plus_1day,17,17,whole_sequence_2h_mainshock64_to_mainshock71_plus_1day_0017,2019-07-06T03:33:49.040000Z,2019-07-06T05:33:49.040000Z,2.0
whole_sequence_2h,figures_whole_sequence_2h,whole_sequence_2h,3,3,whole_sequence_2h_page_003.png,whole_sequence,2h_mainshock64_to_mainshock71_plus_1day,18,18,whole_sequence_2h_mainshock64_to_mainshock71_plus_1day_0018,2019-07-06T05:33:49.040000Z,2019-07-06T07:33:49.040000Z,2.0
whole_sequence_2h,figures_whole_sequence_2h,whole_sequence_2h,3,4,whole_sequence_2h_page_003.png,whole_sequence,2h_mainshock64_to_mainshock71_plus_1day,19,19,whole_sequence_2h_mainshock64_to_mainshock71_plus_1day_0019,2019-07-06T07:33:49.040000Z,2019-07-06T09:33:49.040000Z,2.0
whole_sequence_2h,figures_whole_sequence_2h,whole_sequence_2h,3,5,whole_sequence_2h_page_003.png,whole_sequence,2h_mainshock64_to_mainshock71_plus_1day,20,20,whole_sequence_2h_mainshock64_to_mainshock71_plus_1day_0020,2019-07-06T09:33:49.040000Z,2019-07-06T11:33:49.040000Z,2.0
whole_sequence_2h,figures_whole_sequence_2h,whole_sequence_2h,3,6,whole_sequence_2h_page_003.png,whole_sequence,2h_mainshock64_to_mainshock71_plus_1day,21,21,whole_sequence_2h_mainshock64_to_mainshock71_plus_1day_0021,2019-07-06T11:33:49.040000Z,2019-07-06T13:33:49.040000Z,2.0
whole_sequence_2h,figures_whole_sequence_2h,whole_sequence_2h,3,7,whole_sequence_2h_page_003.png,whole_sequence,2h_mainshock64_to_mainshock71_plus_1day,22,22,whole_sequence_2h_mainshock64_to_mainshock71_plus_1day_0022,2019-07-06T13:33:49.040000Z,2019-07-06T15:33:49.040000Z,2.0
whole_sequence_2h,figures_whole_sequence_2h,whole_sequence_2h,3,8,whole_sequence_2h_page_003.png,whole_sequence,2h_mainshock64_to_mainshock71_plus_1day,23,23,whole_sequence_2h_mainshock64_to_mainshock71_plus_1day_0023,2019-07-06T15:33:49.040000Z,2019-07-06T17:33:49.040000Z,2.0
whole_sequence_2h,figures_whole_sequence_2h,whole_sequence_2h,4,1,whole_sequence_2h_page_004.png,whole_sequence,2h_mainshock64_to_mainshock71_plus_1day,24,24,whole_sequence_2h_mainshock64_to_mainshock71_plus_1day_0024,2019-07-06T17:33:49.040000Z,2019-07-06T19:33:49.040000Z,2.0
whole_sequence_2h,figures_whole_sequence_2h,whole_sequence_2h,4,2,whole_sequence_2h_page_004.png,whole_sequence,2h_mainshock64_to_mainshock71_plus_1day,25,25,whole_sequence_2h_mainshock64_to_mainshock71_plus_1day_0025,2019-07-06T19:33:49.040000Z,2019-07-06T21:33:49.040000Z,2.0
whole_sequence_2h,figures_whole_sequence_2h,whole_sequence_2h,4,3,whole_sequence_2h_page_004.png,whole_sequence,2h_mainshock64_to_mainshock71_plus_1day,26,26,whole_sequence_2h_mainshock64_to_mainshock71_plus_1day_0026,2019-07-06T21:33:49.040000Z,2019-07-06T23:33:49.040000Z,2.0
whole_sequence_2h,figures_whole_sequence_2h,whole_sequence_2h,4,4,whole_sequence_2h_page_004.png,whole_sequence,2h_mainshock64_to_mainshock71_plus_1day,27,27,whole_sequence_2h_mainshock64_to_mainshock71_plus_1day_0027,2019-07-06T23:33:49.040000Z,2019-07-07T01:33:49.040000Z,2.0
whole_sequence_2h,figures_whole_sequence_2h,whole_sequence_2h,4,5,whole_sequence_2h_page_004.png,whole_sequence,2h_mainshock64_to_mainshock71_plus_1day,28,28,whole_sequence_2h_mainshock64_to_mainshock71_plus_1day_0028,2019-07-07T01:33:49.040000Z,2019-07-07T03:19:53.040000Z,2.0
whole_sequence_6h,figures_whole_sequence_6h,whole_sequence_6h,1,1,whole_sequence_6h_page_001.png,whole_sequence,6h_mainshock71_plus_1day_to_plus_5days,29,0,whole_sequence_6h_mainshock71_plus_1day_to_plus_5days_0000,2019-07-07T03:19:53.040000Z,2019-07-07T09:19:53.040000Z,6.0
whole_sequence_6h,figures_whole_sequence_6h,whole_sequence_6h,1,2,whole_sequence_6h_page_001.png,whole_sequence,6h_mainshock71_plus_1day_to_plus_5days,30,1,whole_sequence_6h_mainshock71_plus_1day_to_plus_5days_0001,2019-07-07T09:19:53.040000Z,2019-07-07T15:19:53.040000Z,6.0
whole_sequence_6h,figures_whole_sequence_6h,whole_sequence_6h,1,3,whole_sequence_6h_page_001.png,whole_sequence,6h_mainshock71_plus_1day_to_plus_5days,31,2,whole_sequence_6h_mainshock71_plus_1day_to_plus_5days_0002,2019-07-07T15:19:53.040000Z,2019-07-07T21:19:53.040000Z,6.0
whole_sequence_6h,figures_whole_sequence_6h,whole_sequence_6h,1,4,whole_sequence_6h_page_001.png,whole_sequence,6h_mainshock71_plus_1day_to_plus_5days,32,3,whole_sequence_6h_mainshock71_plus_1day_to_plus_5days_0003,2019-07-07T21:19:53.040000Z,2019-07-08T03:19:53.040000Z,6.0
whole_sequence_6h,figures_whole_sequence_6h,whole_sequence_6h,1,5,whole_sequence_6h_page_001.png,whole_sequence,6h_mainshock71_plus_1day_to_plus_5days,33,4,whole_sequence_6h_mainshock71_plus_1day_to_plus_5days_0004,2019-07-08T03:19:53.040000Z,2019-07-08T09:19:53.040000Z,6.0
whole_sequence_6h,figures_whole_sequence_6h,whole_sequence_6h,1,6,whole_sequence_6h_page_001.png,whole_sequence,6h_mainshock71_plus_1day_to_plus_5days,34,5,whole_sequence_6h_mainshock71_plus_1day_to_plus_5days_0005,2019-07-08T09:19:53.040000Z,2019-07-08T15:19:53.040000Z,6.0
whole_sequence_6h,figures_whole_sequence_6h,whole_sequence_6h,1,7,whole_sequence_6h_page_001.png,whole_sequence,6h_mainshock71_plus_1day_to_plus_5days,35,6,whole_sequence_6h_mainshock71_plus_1day_to_plus_5days_0006,2019-07-08T15:19:53.040000Z,2019-07-08T21:19:53.040000Z,6.0
whole_sequence_6h,figures_whole_sequence_6h,whole_sequence_6h,1,8,whole_sequence_6h_page_001.png,whole_sequence,6h_mainshock71_plus_1day_to_plus_5days,36,7,whole_sequence_6h_mainshock71_plus_1day_to_plus_5days_0007,2019-07-08T21:19:53.040000Z,2019-07-09T03:19:53.040000Z,6.0
whole_sequence_6h,figures_whole_sequence_6h,whole_sequence_6h,2,1,whole_sequence_6h_page_002.png,whole_sequence,6h_mainshock71_plus_1day_to_plus_5days,37,8,whole_sequence_6h_mainshock71_plus_1day_to_plus_5days_0008,2019-07-09T03:19:53.040000Z,2019-07-09T09:19:53.040000Z,6.0
whole_sequence_6h,figures_whole_sequence_6h,whole_sequence_6h,2,2,whole_sequence_6h_page_002.png,whole_sequence,6h_mainshock71_plus_1day_to_plus_5days,38,9,whole_sequence_6h_mainshock71_plus_1day_to_plus_5days_0009,2019-07-09T09:19:53.040000Z,2019-07-09T15:19:53.040000Z,6.0
whole_sequence_6h,figures_whole_sequence_6h,whole_sequence_6h,2,3,whole_sequence_6h_page_002.png,whole_sequence,6h_mainshock71_plus_1day_to_plus_5days,39,10,whole_sequence_6h_mainshock71_plus_1day_to_plus_5days_0010,2019-07-09T15:19:53.040000Z,2019-07-09T21:19:53.040000Z,6.0
whole_sequence_6h,figures_whole_sequence_6h,whole_sequence_6h,2,4,whole_sequence_6h_page_002.png,whole_sequence,6h_mainshock71_plus_1day_to_plus_5days,40,11,whole_sequence_6h_mainshock71_plus_1day_to_plus_5days_0011,2019-07-09T21:19:53.040000Z,2019-07-10T03:19:53.040000Z,6.0
whole_sequence_6h,figures_whole_sequence_6h,whole_sequence_6h,2,5,whole_sequence_6h_page_002.png,whole_sequence,6h_mainshock71_plus_1day_to_plus_5days,41,12,whole_sequence_6h_mainshock71_plus_1day_to_plus_5days_0012,2019-07-10T03:19:53.040000Z,2019-07-10T09:19:53.040000Z,6.0
whole_sequence_6h,figures_whole_sequence_6h,whole_sequence_6h,2,6,whole_sequence_6h_page_002.png,whole_sequence,6h_mainshock71_plus_1day_to_plus_5days,42,13,whole_sequence_6h_mainshock71_plus_1day_to_plus_5days_0013,2019-07-10T09:19:53.040000Z,2019-07-10T15:19:53.040000Z,6.0
whole_sequence_6h,figures_whole_sequence_6h,whole_sequence_6h,2,7,whole_sequence_6h_page_002.png,whole_sequence,6h_mainshock71_plus_1day_to_plus_5days,43,14,whole_sequence_6h_mainshock71_plus_1day_to_plus_5days_0014,2019-07-10T15:19:53.040000Z,2019-07-10T21:19:53.040000Z,6.0
whole_sequence_6h,figures_whole_sequence_6h,whole_sequence_6h,2,8,whole_sequence_6h_page_002.png,whole_sequence,6h_mainshock71_plus_1day_to_plus_5days,44,15,whole_sequence_6h_mainshock71_plus_1day_to_plus_5days_0015,2019-07-10T21:19:53.040000Z,2019-07-11T03:19:53.040000Z,6.0
