event_time,latitude,longitude,depth_km,magnitude,elapsed_hr_since_64,x_km,y_km
2019-07-05 23:32:41.760000+00:00,35.66866679518505,-117.50906225665996,4.381393010000001,0.87,29.98131111111111,3.15944786166144,-1.7007638529677818
2019-07-05 23:33:13.120000+00:00,35.65967379518505,-117.4617636088827,9.68711528,0.77,29.990022222222223,7.442669803929649,-2.6960100152318387
2019-07-05 23:33:28.660000+00:00,35.60906779518505,-117.55372796902594,8.19193226,2.08,29.994338888888887,-0.8852131475780232,-8.313928352346391
2019-07-05 23:33:56.380000+00:00,35.67643479518505,-117.4982308164305,4.896723080000001,1.67,30.002038888888887,4.139717994336189,-0.8384790105141978
2019-07-05 23:34:05.360000+00:00,35.70376179518505,-117.4770577873507,3.08218058,1.19,30.004533333333335,6.054458568260828,2.1946395217213137
2019-07-05 23:34:42.320000+00:00,35.644435795185046,-117.53865851192644,5.985448580000001,0.55,30.0148,0.47996768804316714,-4.389805647117844
2019-07-05 23:35:10.320000+00:00,35.74931879518505,-117.5596950790007,5.557216550000001,1.9,30.022577777777776,-1.4233797829781054,7.247420064323428
2019-07-05 23:35:25.400000+00:00,35.56275479518505,-117.60725664590488,7.212079310000001,2.52,30.026766666666667,-5.738570616600003,-13.450614678882191
2019-07-05 23:36:01.480000+00:00,35.72442479518505,-117.54604527940609,3.96767732,1.7,30.03678888888889,-0.1888388237324393,4.4852158649451574
2019-07-05 23:36:38.600000+00:00,35.67035579518505,-117.5784713783529,8.35887017,1.03,30.0471,-3.12474180342947,-1.5133766699061546
2019-07-05 23:36:51.280000+00:00,35.70920179518505,-117.47662718002026,2.66846489,1.3,30.050622222222223,6.093014491008547,2.798253518707548
2019-07-05 23:37:24.200000+00:00,35.69633179518505,-117.4782782512095,3.07492241,1.69,30.05976666666667,5.944558378263629,1.3701808986774107
2019-07-05 23:37:58.040000+00:00,35.55872579518505,-117.626803357169,0.70875899,0.84,30.069166666666668,-7.511028507122801,-13.89631870984801
2019-07-05 23:38:22.220000+00:00,35.73076379518505,-117.5412687374444,3.84428843,1.01,30.07588333333333,0.24330592645791088,5.18855433615967
2019-07-05 23:38:54.180000+00:00,35.72541279518505,-117.54541935078676,3.98945183,1.37,30.08476111111111,-0.13220546304344857,4.594837304327418
