interval_index,interval_label,start_time,end_time,event_count_reference,event_count_actual,convex_status,convex_area_m2,convex_perimeter_m,convex_centroid_distance_to_mainshock71_m,convex_nearest_fault_distance_m,convex_fault_points_within_3km,convex_compactness,convex_major_axis_m,convex_minor_axis_m,convex_orientation_deg,hours_since_mainshock64_start,alpha_status,alpha_area_m2,alpha_perimeter_m,alpha_centroid_distance_to_mainshock71_m,alpha_nearest_fault_distance_m,alpha_fault_points_within_3km,alpha_compactness,alpha_major_axis_m,alpha_minor_axis_m,alpha_orientation_deg,component_count,accepted_triangle_count,hotspot_longitude,hotspot_latitude,step_distance_m,cumulative_path_length_m,hotspot_distance_to_mainshock71_m,hotspot_nearest_fault_distance_m,hotspot_fault_points_within_3km,peak_density,convex_area_change_m2,alpha_area_change_m2,convex_distance_change_to_mainshock71_m,alpha_distance_change_to_mainshock71_m,hotspot_distance_change_to_mainshock71_m,alpha_component_count_change,convex_area_ratio_to_previous,alpha_area_ratio_to_previous,process_flag,near_complex_fault_zone
11,morphology_1h_11,2019-07-05T03:33:49.040000+0000,2019-07-05T04:33:49.040000+0000,138,138,ok,856418627.9851213,116184.97956967416,9884.612827719751,2614.640719473144,54,0.797252697193661,35923.46158329427,29008.00805811149,81.57333732641837,10.0,ok,1487749.172317009,17939.397577472588,11871.6191604544,339.4709100021987,555,0.05809300894973963,17892.05962476243,8520.933921714,77.45764741740169,8,25,,,,,,,,,438818069.6732888,-888747.4748469433,-1137.642147269511,-1524.1371678952419,,-3.0,2.0508081489335863,0.6260262029371887,bifurcation,True
12,morphology_1h_12,2019-07-05T04:33:49.040000+0000,2019-07-05T05:33:49.040000+0000,149,149,ok,477437098.92236674,90873.46214167766,14102.29474476778,1511.4728466409517,237,0.7265271994583634,33940.65455216455,22390.952449379016,74.06939749908159,11.0,ok,3164091.2759078527,21777.479390591052,11830.359988376991,108.87595253387715,520,0.08383852798677481,17541.042495717327,7665.319924659128,71.3136146455189,8,62,,,,,,,,,-378981529.0627545,1676342.1035908437,4217.6819170480285,-41.25917207740895,,0.0,0.5574809833896576,2.126763929554148,defocusing;bifurcation,True
13,morphology_1h_13,2019-07-05T05:33:49.040000+0000,2019-07-05T06:33:49.040000+0000,131,131,ok,573348228.174102,95875.95449136864,10749.519716115647,432.42110297588926,513,0.7838066387535222,35421.53035525152,19169.22010208564,94.13092324912554,12.0,ok,1204460.2164974797,16476.776167460426,12784.57550743886,505.2897842194316,563,0.055751664731096946,7913.828213340504,6154.034393975017,150.21242780742614,8,28,,,,,,,,,95911129.25173521,-1959631.059410373,-3352.775028652133,954.2155190618687,,0.0,1.2008874665756353,0.38066544592709056,bifurcation,True
14,morphology_1h_14,2019-07-05T06:33:49.040000+0000,2019-07-05T07:33:49.040000+0000,149,149,ok,748871709.1981255,120380.96256630748,8697.166536535105,463.68332862168364,384,0.649384121094191,49145.71708861132,21349.509823154287,99.24141445137337,13.0,ok,1542152.7069794799,18993.594126117376,13676.629141418616,295.03300525534564,547,0.05371838381381576,10459.64638136615,5622.779009509815,71.50051965447591,10,37,,,,,,,,,175523481.02402353,337692.49048200017,-2052.353179580541,892.0536339797563,,2.0,1.3061376531728364,1.2803683225536464,defocusing;bifurcation,True
15,morphology_1h_15,2019-07-05T07:33:49.040000+0000,2019-07-05T08:33:49.040000+0000,142,142,ok,389123043.53504616,76799.54046169629,11985.015358925306,170.2127695520587,485,0.8290478003407636,26091.38637678161,18693.007810038038,74.74172917524999,14.0,ok,1759557.6197093916,18530.22172905603,12746.64915872268,153.9564510570322,528,0.06439499666904401,19050.088372641658,7843.771851512505,65.46635815878136,10,47,,,,,,,,,-359748665.6630793,217404.91272991174,3287.8488223902004,-929.979982695937,,0.0,0.5196124232703491,1.1409749577626003,bifurcation,True
16,morphology_1h_16,2019-07-05T08:33:49.040000+0000,2019-07-05T09:33:49.040000+0000,141,141,ok,834648309.1757756,116940.70080983473,7636.4498955192885,911.4649826311025,441,0.7669763942770913,46902.17090623218,25508.674839142488,111.26155589853909,15.0,ok,1320404.6836317068,19925.55681436714,12967.117777466785,987.8934140901001,575,0.04179227251897007,20136.979323807504,9019.935932250632,73.23799738432155,11,36,,,,,,,,,445525265.6407295,-439152.93607768486,-4348.565463406017,220.4686187441057,,1.0,2.1449470110875186,0.750418553414457,bifurcation,True
17,morphology_1h_17,2019-07-05T09:33:49.040000+0000,2019-07-05T10:33:49.040000+0000,139,139,ok,585356464.9568193,106807.15698125442,9401.90658765014,5055.551446787181,0,0.6448067470910983,41042.69358347036,25153.42142497831,84.4634816228459,16.0,ok,1935096.392929177,21082.967414999646,12241.542426794433,290.9574805106092,545,0.054707767474160944,19246.07551157904,8466.070165611081,73.28247539073573,10,40,,,,,,,,,-249291844.21895635,614691.7092974703,1765.4566921308524,-725.5753506723522,,-1.0,0.7013210935931389,1.4655328149903193,defocusing;bifurcation,True
18,morphology_1h_18,2019-07-05T10:33:49.040000+0000,2019-07-05T11:33:49.040000+0000,137,137,ok,714768759.0577987,107320.03051453778,7500.57697895439,1656.3999291429216,440,0.779854982597344,35728.08980033511,28100.305449059393,85.9936509175497,17.0,ok,2687835.809061242,16895.294261802246,4173.846668280409,603.3950074557665,470,0.11832624405178337,12464.043504028476,3023.5611455372505,118.3604321269678,7,56,,,,,,,,,129412294.10097945,752739.4161320648,-1901.3296086957507,-8067.6957585140235,,-3.0,1.2210828817112764,1.3889932402760747,defocusing;bifurcation,True
19,morphology_1h_19,2019-07-05T11:33:49.040000+0000,2019-07-05T12:33:49.040000+0000,157,157,ok,642382592.842458,107669.40646070434,10859.745390337683,1310.1483551368992,329,0.6963362271546564,41643.556315602786,18751.867545306533,99.78165760663597,18.0,ok,4230354.425244083,24084.236047111364,4031.7024017434987,968.2814529196397,411,0.09164755193230043,17849.155042978306,11740.434925790441,136.36857322585388,8,107,,,,,,,,,-72386166.21534073,1542518.616182841,3359.1684113832926,-142.14426653691044,,1.0,0.8987278538715662,1.5738887066623253,defocusing;bifurcation,True
20,morphology_1h_20,2019-07-05T12:33:49.040000+0000,2019-07-05T13:33:49.040000+0000,149,149,ok,301032132.24119776,70873.91951583118,10985.167859028754,1302.8877021513931,204,0.7530950909464526,27293.268704819453,15324.476685961139,92.13379022552681,19.0,ok,3839439.499573026,21711.240050746484,3984.1585632136075,618.7156729762012,439,0.10235485190129352,15454.634317967722,6302.198816832228,91.69003171030232,6,76,,,,,,,,,-341350460.60126024,-390914.92567105684,125.42246869107112,-47.54383852989122,,-2.0,0.46861813441919464,0.907592866607506,bifurcation,True
