event_time,latitude,longitude,depth_km,magnitude,event_time_raw,within_intermainshock_window,x_m,y_m
2019-07-05T01:43:17.080000+0000,35.59939179518505,-117.5989742741108,6.762072770000001,2.24,2019-07-05 01:43:17.080000+00:00,True,445743.84492191434,3939681.7228106363
2019-07-05T01:44:38.930000+0000,35.73250179518505,-117.5450618630524,3.62654333,1.22,2019-07-05 01:44:38.930000+00:00,True,450709.2671197156,3954416.5788751435
2019-07-05T01:45:00.320000+0000,35.59263679518505,-117.583592789174,5.789477990000001,0.92,2019-07-05 01:45:00.320000+00:00,True,447132.7011770961,3938924.162075596
2019-07-05T01:45:20.470000+0000,35.66361679518505,-117.47203389286663,7.14675578,1.26,2019-07-05 01:45:20.470000+00:00,True,457276.61486879835,3946742.2935651448
2019-07-05T01:45:44.950000+0000,35.88350679518505,-117.69834381767988,6.43545512,0.6,2019-07-05 01:45:44.950000+00:00,True,436967.0031169796,3971252.943260392
2019-07-05T01:45:53.650000+0000,35.59077779518505,-117.59102265574606,6.37738976,2.48,2019-07-05 01:45:53.650000+00:00,True,446458.3887236061,3938721.997936695
2019-07-05T01:47:02.570000+0000,35.68072779518505,-117.48193112588086,9.21533423,2.34,2019-07-05 01:47:02.570000+00:00,True,456390.12684032344,3948644.419479022
2019-07-05T01:47:41.390000+0000,35.68042579518505,-117.4805391041098,6.587876690000001,1.16,2019-07-05 01:47:41.390000+00:00,True,456515.9277740687,3948610.307559285
2019-07-05T01:48:15.240000+0000,35.64282079518505,-117.60885739571384,7.495147940000001,1.04,2019-07-05 01:48:15.240000+00:00,True,444878.4157018851,3944503.910843923
2019-07-05T01:48:29.140000+0000,35.69185579518505,-117.47848992832084,8.88145841,1.01,2019-07-05 01:48:29.140000+00:00,True,456707.5353992386,3949877.104342095
2019-07-05T01:48:53.930000+0000,35.57325279518505,-117.6323303985076,5.72415446,1.11,2019-07-05 01:48:53.930000+00:00,True,442703.7296127714,3936801.56794854
2019-07-05T01:49:05.010000+0000,35.66776779518505,-117.51167419189092,8.85242573,1.5,2019-07-05 01:49:05.010000+00:00,True,453691.1728428254,3947220.637864903
2019-07-05T01:49:23.160000+0000,35.67594979518505,-117.5193817814746,5.3031806,1.29,2019-07-05 01:49:23.160000+00:00,True,452998.39214520156,3948131.7635108116
2019-07-05T01:49:47.720000+0000,35.69887079518505,-117.50579343439902,3.45234725,1.13,2019-07-05 01:49:47.720000+00:00,True,454241.17607020837,3950667.520749736
2019-07-05T01:50:15.320000+0000,35.69194579518505,-117.48803593481254,6.072546620000001,1.25,2019-07-05 01:50:15.320000+00:00,True,455843.8816927273,3949891.3365795347
2019-07-05T01:50:33.230000+0000,35.63327079518505,-117.57799670870182,9.54921005,1.15,2019-07-05 01:50:33.230000+00:00,True,447666.1266145743,3943427.85932517
2019-07-05T01:50:46.630000+0000,35.57362679518505,-117.62297142532688,7.074174080000001,1.71,2019-07-05 01:50:46.630000+00:00,True,443552.0315660309,3936837.6433029817
2019-07-05T01:51:55.310000+0000,35.71153379518505,-117.46619434838075,3.54670346,2.03,2019-07-05 01:51:55.310000+00:00,True,457830.37722956366,3952054.2460132465
2019-07-05T01:52:28.720000+0000,35.66327079518505,-117.4509238679447,8.322579320000001,1.31,2019-07-05 01:52:28.720000+00:00,True,459187.10218279384,3946694.946441606
2019-07-05T01:52:51.100000+0000,35.68496279518505,-117.4947084312147,3.83703026,2.09,2019-07-05 01:52:51.100000+00:00,True,455236.2669679211,3949119.8715035175
2019-07-05T01:53:42.550000+0000,35.67680479518505,-117.48263884309846,9.02662181,0.78,2019-07-05 01:53:42.550000+00:00,True,456323.94743286015,3948209.6341932267
2019-07-05T01:54:03.340000+0000,35.78706279518505,-117.65540081174832,4.591879940000001,0.46,2019-07-05 01:54:03.340000+00:00,True,440771.4830695953,3960529.1246634456
2019-07-05T01:54:16.370000+0000,35.56712079518505,-117.60737895885649,5.353987790000001,1.04,2019-07-05 01:54:16.370000+00:00,True,444960.44590106007,3936107.245957645
2019-07-05T01:54:39.580000+0000,35.73302179518505,-117.52201490063574,5.179791710000001,1.59,2019-07-05 01:54:39.580000+00:00,True,452793.7630630242,3954462.918052181
2019-07-05T01:55:00.840000+0000,35.52501079518505,-117.59533094325349,9.20081789,1.25,2019-07-05 01:55:00.840000+00:00,True,446024.01503634325,3931430.2368498184
2019-07-05T01:55:24.170000+0000,35.71913079518505,-117.53382989698638,5.295922430000001,1.08,2019-07-05 01:55:24.170000+00:00,True,451716.931410259,3952928.0015819487
2019-07-05T01:55:36.340000+0000,35.74524179518505,-117.53108978412168,5.7459289700000005,1.03,2019-07-05 01:55:36.340000+00:00,True,451980.44459842425,3955822.659017841
2019-07-05T01:55:59.950000+0000,35.69228779518505,-117.48074395948125,2.1313603100000003,1.59,2019-07-05 01:55:59.950000+00:00,True,456503.82981992693,3949926.0135649047
2019-07-05T01:56:11.640000+0000,35.66170479518505,-117.5294887551531,3.09669692,1.61,2019-07-05 01:56:11.640000+00:00,True,452075.2364746067,3946556.7328434843
2019-07-05T01:56:32.270000+0000,35.72761879518505,-117.54673751017762,4.766076020000001,1.37,2019-07-05 01:56:32.270000+00:00,True,450554.71644538734,3953875.8424613914
2019-07-05T01:56:56.950000+0000,35.63144379518505,-117.5627295773072,11.16778196,1.51,2019-07-05 01:56:56.950000+00:00,True,449047.3220161147,3943217.2102443017
2019-07-05T01:57:48.980000+0000,35.68201279518505,-117.47674721851968,5.81851067,1.37,2019-07-05 01:57:48.980000+00:00,True,456859.91303782567,3948784.6497106315
