node_id,x_km,y_km,n_total,n_ge_mc,mean_mag_ge_mc,b_value,b_boot_mean,b_boot_std,b_ci_low,b_ci_high,reliability_class,valid_flag,window_name,radius_km,longitude,latitude,is_low_abs,is_low_q20,dist_to_mw71_km,dist_to_mw64_km
2159,1.0,0.0,1519,544,2.1581433823529412,0.6549028361895189,0.6547174583503965,0.025439522387609173,0.607415040071716,0.7051798274701044,robust,1.0,full_interevent,5.0,-117.53252439153752,35.72146686561311,True,False,8.167140131033625,3.983615859087422
2160,2.0,0.0,1735,649,2.1476117103235746,0.6654714817910977,0.6665547822863632,0.026823454979361137,0.6135754987990768,0.7184923784754205,robust,1.0,full_interevent,5.0,-117.52147218576638,35.72146534305765,True,False,8.866474174676833,3.1434746271838327
2161,3.0,0.0,1787,668,2.1320359281437127,0.6817425245837575,0.682356387609685,0.026223115289036522,0.6359690936535969,0.7365816201865351,robust,1.0,full_interevent,5.0,-117.510419980556,35.72146280546531,True,False,9.619072234913434,2.427688231780236
2162,4.0,0.0,1676,632,2.1266772151898734,0.6875259570233334,0.6876083306004642,0.025574590160980393,0.6400272564667494,0.7424653000963501,robust,1.0,full_interevent,5.0,-117.4993677761867,35.72145925283626,True,False,10.41339219614597,1.9763369069316004
2163,5.0,0.0,1402,531,2.109378531073446,0.7068842089004147,0.7092051114265091,0.028614926384208945,0.6571861378665557,0.7655586560907833,robust,1.0,full_interevent,5.0,-117.48831557293889,35.72145468517072,True,False,11.240592662356603,1.9794304707858976
2164,6.0,0.0,1142,434,2.1348617511520738,0.6787317434137965,0.6808343383366035,0.031582237126210305,0.6174506509568782,0.7400098553874825,robust,1.0,full_interevent,5.0,-117.4772633710929,35.721449102468966,True,False,12.093928632636146,2.435237649111765
2165,7.0,0.0,904,359,2.1550696378830083,0.6579525204281957,0.6617744491166717,0.03005179309063699,0.6083855308908689,0.7220034883340137,robust,1.0,full_interevent,5.0,-117.46621117092911,35.72144250473137,True,False,12.968241829236826,3.153192005988077
2166,8.0,0.0,635,261,2.145172413793104,0.6679681768864648,0.670794815705534,0.039965045534892954,0.5957760802382656,0.7481411128722086,robust,1.0,full_interevent,5.0,-117.4551589727279,35.72143489195831,True,False,13.859562854283643,3.99435316986403
2167,9.0,0.0,453,188,2.1427659574468083,0.6704496846593149,0.6738457365279328,0.046897070100315186,0.5898089658910676,0.7603534826336262,robust,1.0,full_interevent,5.0,-117.44410677676962,35.721426264150274,True,False,14.764811847162505,4.895619946909537
2168,10.0,0.0,303,131,2.1521374045801527,0.6608883908848927,0.661757826419242,0.05044226320421972,0.5676020532331003,0.7667050462487268,robust,1.0,full_interevent,5.0,-117.43305458333464,35.7214166213078,True,False,15.681576937680138,5.829179366219078
2169,11.0,0.0,177,75,2.1190666666666664,0.6959103972384125,0.7059272203790904,0.07209887017523776,0.5837408007040702,0.86186791045435,moderately_uncertain,1.0,full_interevent,5.0,-117.42200239270329,35.72140596343148,True,False,16.60795115667953,6.781708450127443
2207,-7.0,1.0,199,68,2.233235294117647,0.5882873460044047,0.6004902106372895,0.06746759516949719,0.4817467180929574,0.7417989646086937,moderately_uncertain,1.0,full_interevent,5.0,-117.62095073892773,35.730455249937215,True,True,5.6789210757536575,11.857426394346533
2208,-6.0,1.0,500,175,2.196342857142857,0.6192327725022941,0.6209915755219098,0.04611669216358571,0.5379444479756021,0.717609990192265,robust,1.0,full_interevent,5.0,-117.60989729381187,35.73046184888921,True,True,5.3068192879454985,10.890858465535283
2209,-5.0,1.0,825,282,2.1999645390070923,0.616051528655518,0.6189476632099409,0.03769443409446741,0.55198718560093,0.6971976124420761,robust,1.0,full_interevent,5.0,-117.59884384701284,35.730467432618525,True,True,5.106321310413365,9.930913126963565
2210,-4.0,1.0,1101,386,2.1745854922279797,0.6390579064297617,0.6386221086804557,0.03199902875234633,0.5827541680785115,0.7002234224964617,robust,1.0,full_interevent,5.0,-117.58779039881124,35.7304720011248,True,True,5.097715536929552,8.979714525210307
2211,-3.0,1.0,1288,452,2.1584734513274335,0.6545770309789252,0.6573580623822597,0.032352250667704585,0.5984475191642313,0.7265730397719461,robust,1.0,full_interevent,5.0,-117.57673694948751,35.730475554407754,True,False,5.281939990734867,8.040367552124012
2212,-2.0,1.0,1404,484,2.1625206611570245,0.6506082990007861,0.6521213351062802,0.026577848196207267,0.5979580037598506,0.7044057442419064,robust,1.0,full_interevent,5.0,-117.56568349932219,35.73047809246716,True,False,5.640130888197147,7.1175661424551855
2213,-1.0,1.0,1458,497,2.1472635814889336,0.6658266600012838,0.6661692080191272,0.028990637607119115,0.611188078949215,0.7269348993798944,robust,1.0,full_interevent,5.0,-117.55463004859585,35.73047961530287,True,False,6.141926636346842,6.218680343223964
2214,0.0,1.0,1498,516,2.1493217054263565,0.6637323480202528,0.6636758905023554,0.026473603266514167,0.6143566596283925,0.7199484540887784,robust,1.0,full_interevent,5.0,-117.54357659758901,35.73048012291478,True,False,6.755401481521148,5.355765363622256
2215,1.0,1.0,1494,533,2.148874296435272,0.6641865023153471,0.6663287246138575,0.02827215037728927,0.6129952822105922,0.7230749807867932,robust,1.0,full_interevent,5.0,-117.53252314658216,35.73047961530287,True,False,7.453028615724578,4.549336220719628
2216,2.0,1.0,1467,537,2.1548603351955307,0.6581612179713168,0.6607862647474846,0.025574982562194964,0.608342462324876,0.7096541853482314,robust,1.0,full_interevent,5.0,-117.52146969585583,35.73047809246716,True,False,8.213392838351318,3.8351919727866637
2217,3.0,1.0,1621,606,2.152013201320132,0.6610133267195044,0.6627681126097713,0.025344004507489238,0.6174007932785811,0.7172231822577991,robust,1.0,full_interevent,5.0,-117.51041624569051,35.730475554407754,True,False,9.020643451957959,3.2742838739338067
2218,4.0,1.0,1437,550,2.133945454545455,0.6797050965989084,0.6816223898741312,0.027837208653540165,0.6307008670962794,0.7397008310881193,robust,1.0,full_interevent,5.0,-117.49936279636678,35.7304720011248,True,False,9.863275047245885,2.9551941232478605
2219,5.0,1.0,1205,463,2.118552915766739,0.6964837641232589,0.6980867290825413,0.030291816362013398,0.6409833418905381,0.7602237044533977,robust,1.0,full_interevent,5.0,-117.48830934816517,35.730467432618525,True,False,10.732957701765837,2.957263891683393
2220,6.0,1.0,895,349,2.14189111747851,0.6713563846665114,0.6733126154466695,0.03168757426449553,0.6116157411446684,0.7366233130797519,robust,1.0,full_interevent,5.0,-117.47725590136615,35.73046184888921,True,False,11.623621096636189,3.279885233362613
2221,7.0,1.0,667,268,2.1276119402985074,0.6865100928988528,0.6864904788839451,0.03669613350056023,0.615049329811295,0.7562628417981729,robust,1.0,full_interevent,5.0,-117.46620245625029,35.730455249937215,True,False,12.530792224294409,3.843160751647768
2222,8.0,1.0,455,195,2.1414358974358976,0.6718291537117456,0.6753047063547541,0.04558756000636534,0.5965845260729322,0.7734506794475584,robust,1.0,full_interevent,5.0,-117.45514901309808,35.730447635762935,True,False,13.451131556070235,4.558741271664971
2223,9.0,1.0,320,140,2.1451428571428566,0.6679985439074413,0.6741305719933327,0.05326337859295036,0.577709945136168,0.7924643093228675,robust,1.0,full_interevent,5.0,-117.44409557219004,35.730439006366844,True,False,14.382111336969261,5.366037588477858
2224,10.0,1.0,224,91,2.0938461538461532,0.7252187880208452,0.7315815783275602,0.06875274627113469,0.6096350727776148,0.8831512655454008,moderately_uncertain,1.0,full_interevent,5.0,-117.43304213380671,35.730429361749486,True,False,15.321792090981102,6.229494106260394
2225,11.0,1.0,106,39,2.1084615384615386,0.7079408482435451,0.7241276116241174,0.11028715737651697,0.5419828575725233,0.9481362499373361,exploratory,1.0,full_interevent,5.0,-117.42198869822862,35.73041870191147,True,False,16.26866617917776,7.128733003760815
2263,-7.0,2.0,298,91,2.1875824175824174,0.6270654161554292,0.6335993230750617,0.056301163909727815,0.5378040373029613,0.747905996614487,moderately_uncertain,1.0,full_interevent,5.0,-117.62095945684122,35.73946798161334,True,True,4.805788406859852,12.14190369891495
2264,-6.0,2.0,594,194,2.1895876288659792,0.6252551353560732,0.6263477721507745,0.043065833413123575,0.5491665329763449,0.7201725877128037,robust,1.0,full_interevent,5.0,-117.60990476631116,35.739474581780115,True,True,4.359792263603835,11.199913519875958
2265,-5.0,2.0,878,287,2.186620209059233,0.6279378135783438,0.632451733755398,0.036715088745708044,0.5651157930284718,0.7056931062444531,robust,1.0,full_interevent,5.0,-117.59885007409702,35.739480166537305,True,True,4.113389715557127,10.268899662168092
2266,-4.0,2.0,1180,408,2.177279411764706,0.6365346431602785,0.6377537607955098,0.030406451721184436,0.5751024983691991,0.6964690600881613,robust,1.0,full_interevent,5.0,-117.5877953804795,35.73948473588458,True,True,4.102701710132292,9.352140807892688
2267,-3.0,2.0,1334,458,2.171899563318777,0.641593680122861,0.6423833072049905,0.027849025933629944,0.5884528574681702,0.6964789636940025,robust,1.0,full_interevent,5.0,-117.57674068573927,35.73948828982164,True,False,4.329474297486212,8.454275552028536
2268,-2.0,2.0,1401,478,2.167761506276151,0.645540028452498,0.6476901199025228,0.02906092584364415,0.591447190248163,0.705136078781939,robust,1.0,full_interevent,5.0,-117.56568599015698,35.739490828348266,True,False,4.759888030496623,7.5820190271855115
2269,-1.0,2.0,1449,495,2.1594545454545453,0.6536105214031702,0.6543647751147343,0.029015497931953026,0.6006563169895599,0.7144909703348117,robust,1.0,full_interevent,5.0,-117.55463129401333,35.7394923514643,True,False,5.344971509104265,6.745313183802427
2270,0.0,2.0,1472,503,2.1456461232604376,0.6674818559234148,0.6677370820988966,0.02905007962843416,0.6190381807443934,0.7324593223502288,robust,1.0,full_interevent,5.0,-117.54357659758901,35.739492859169665,True,False,6.0399426159035325,5.959151564321431
2271,1.0,2.0,1499,519,2.1479768786127167,0.6650993260679199,0.6674393497180976,0.02744811062225459,0.6121691343529333,0.7214900024424942,robust,1.0,full_interevent,5.0,-117.53252190116469,35.7394923514643,True,False,6.811247548994157,5.246305822722334
2272,2.0,2.0,1401,490,2.1604489795918367,0.6526337784297648,0.6538539332838468,0.02893102065537035,0.6012971017695251,0.7141425554753733,robust,1.0,full_interevent,5.0,-117.52146720502104,35.739490828348266,True,False,7.63578938577736,4.640685531740541
2273,3.0,2.0,1304,482,2.1668464730290458,0.6464192331697722,0.6454546907195031,0.027473526003017563,0.5955904481122855,0.7037678814383048,robust,1.0,full_interevent,5.0,-117.51041250943875,35.73948828982164,True,False,8.498086014757764,4.189057128218915
2274,4.0,2.0,1163,439,2.126514806378132,0.6877027704132868,0.6888355505745251,0.02929858060915961,0.6338502772345055,0.7474251357125518,robust,1.0,full_interevent,5.0,-117.49935781469851,35.73948473588458,True,False,9.38773946615972,3.9446719816047335
2275,5.0,2.0,940,365,2.125972602739726,0.6882937230832457,0.6896359357792887,0.03238310665560454,0.6285219248224516,0.7532875096879301,robust,1.0,full_interevent,5.0,-117.48830312108099,35.739480166537305,True,False,10.29766180522375,3.946222809400545
2276,6.0,2.0,677,272,2.1337132352941177,0.6799522194076123,0.6808207771875384,0.03855225857972869,0.6105917378401621,0.7607965536748483,robust,1.0,full_interevent,5.0,-117.47724842886686,35.739474581780115,True,False,11.222924085328001,4.193436762419203
2277,7.0,2.0,446,186,2.1186559139784946,0.6963687382241797,0.697963412416835,0.04708352450088447,0.6116511483277227,0.7964523245829157,robust,1.0,full_interevent,5.0,-117.4661937383368,35.73946798161334,True,False,12.160025139583663,4.6472733187735535
2278,8.0,2.0,293,123,2.123577235772358,0.6909166561999605,0.6961175291628433,0.0567467081287486,0.6014074161793045,0.8188450181139325,robust,1.0,full_interevent,5.0,-117.45513904977149,35.7394603660374,True,False,13.10642581963435,5.254463504332319
2279,9.0,2.0,217,90,2.082333333333333,0.7394344186775005,0.7478634482240634,0.06889186137125224,0.6170106423466932,0.8895734161563734,moderately_uncertain,1.0,full_interevent,5.0,-117.44408436345161,35.739451735052775,True,False,14.06024836679101,5.968385387802633
2280,10.0,2.0,130,49,2.16,0.6530744088770702,0.6653115383861322,0.08822869792167583,0.5176843290575915,0.8618023450254564,exploratory,1.0,full_interevent,5.0,-117.43302967965786,35.73944208865998,True,False,15.020078911447854,6.755283973032644
2318,-8.0,3.0,165,47,2.361276595744681,0.5013346592030661,0.509451250635436,0.061584374947071904,0.40614556641658633,0.6441252226297879,exploratory,1.0,full_interevent,5.0,-117.6320241124316,35.74847308278029,True,True,4.693492672638016,13.425380916425707
2319,-7.0,3.0,389,122,2.1743442622950817,0.6392848309869298,0.641426205177941,0.053251380885978035,0.5533067131251669,0.7538267143548538,robust,1.0,full_interevent,5.0,-117.62096817799089,35.748480699758346,True,False,3.9926256822269286,12.500123606192991
2320,-6.0,3.0,627,211,2.193649289099526,0.6216201586106309,0.62478843218032,0.04247639727960079,0.5488558638832192,0.7124536652050886,robust,1.0,full_interevent,5.0,-117.60991224158434,35.748487301140266,True,True,3.4428543693640803,11.587291641668427
2321,-5.0,3.0,864,279,2.2032258064516133,0.6132147091323525,0.6152732309110451,0.03828877710533338,0.5450319046671507,0.6937274478233268,robust,1.0,full_interevent,5.0,-117.59885630349277,35.74849288692565,True,True,3.1249692124756416,10.69006852214029
2322,-4.0,3.0,1136,380,2.178184210526316,0.6356916263750845,0.6365360030214602,0.031988584089566056,0.5789816338122089,0.7071102733330947,robust,1.0,full_interevent,5.0,-117.58780036399705,35.74849745711419,True,True,3.110887164329803,9.812736745018203
