time,latitude,longitude,depth_km,magnitude
2019-01-29 11:22:00.784000+00:00,36.00212,-117.87764,2.36,0.73
2019-01-29 12:15:29.160000+00:00,36.3425,-117.99267,3.99,0.92
2019-01-29 12:30:09.990000+00:00,36.08994,-117.83802,2.341,0.68
2019-01-29 13:24:54.070000+00:00,36.09005,-117.83777,2.341,0.42
2019-01-29 13:35:00.985000+00:00,36.02113,-117.77575,2.363,-0.11
2019-01-29 13:38:01.922000+00:00,36.2332,-118.31742,4.33,1.84
2019-01-29 15:10:48.181000+00:00,36.0212,-117.77622,2.294,0.65
2019-01-29 21:11:33.190000+00:00,35.36114,-118.10413,2.178,1.22
2019-01-30 22:52:26.966000+00:00,36.0854,-117.83863,2.296,1.55
2019-01-31 00:26:13.272000+00:00,36.08561,-117.83849,2.319,1.79
2019-01-31 01:16:40.186000+00:00,36.08558,-117.83823,2.487,0.52
2019-01-31 01:54:57.577000+00:00,36.02708,-117.80972,1.908,0.4
2019-01-31 03:13:36.491000+00:00,35.37365,-117.87178,6.431,3.17
2019-01-31 03:31:30.905000+00:00,35.37294,-117.87201,6.33,1.01
2019-01-31 04:11:54.368000+00:00,35.37224,-117.87119,6.223,0.91
2019-01-31 06:43:28.738000+00:00,35.37433,-117.87274,6.318,2.23
2019-01-31 07:37:14.643000+00:00,35.97689,-117.66924,3.557,0.7
2019-01-31 08:13:59.407000+00:00,36.08542,-117.83843,2.489,0.34
2019-01-31 13:40:10.789000+00:00,36.02117,-117.728,1.951,0.53
2019-01-31 22:37:00.293000+00:00,35.97429,-117.97164,3.494,0.02
2019-02-01 00:57:53.412000+00:00,35.98812,-117.92043,6.535,1.49
2019-02-01 01:23:23.629000+00:00,35.98843,-117.92002,6.621,0.34
2019-02-01 03:37:06.216000+00:00,35.98854,-117.92074,6.516,0.97
2019-02-01 03:52:55.231000+00:00,36.07246,-117.89151,3.785,1.13
2019-02-01 05:34:47.381000+00:00,35.37131,-117.86858,5.965,0.95
2019-02-01 05:35:02.330000+00:00,35.337,-117.83367,9.62,0.54
2019-02-01 06:53:51.454000+00:00,36.08545,-117.83886,2.435,0.57
