mag_bin,count_incremental,count_cumulative,count_incremental_ge_mc,count_cumulative_ge_mc,window_name
2.440000000000002,6,355,6,355,full_interevent
2.450000000000002,4,349,4,349,full_interevent
2.460000000000002,8,345,8,345,full_interevent
2.4700000000000024,7,337,7,337,full_interevent
2.480000000000002,5,330,5,330,full_interevent
2.490000000000002,7,325,7,325,full_interevent
2.500000000000002,4,318,4,318,full_interevent
2.5100000000000025,7,314,7,314,full_interevent
2.5200000000000022,4,307,4,307,full_interevent
2.530000000000002,6,303,6,303,full_interevent
2.5400000000000023,4,297,4,297,full_interevent
2.5500000000000025,5,293,5,293,full_interevent
2.5600000000000023,3,288,3,288,full_interevent
2.570000000000002,3,285,3,285,full_interevent
2.5800000000000023,4,282,4,282,full_interevent
2.5900000000000025,5,278,5,278,full_interevent
2.6000000000000023,3,273,3,273,full_interevent
2.610000000000002,5,270,5,270,full_interevent
2.6200000000000023,6,265,6,265,full_interevent
2.6300000000000026,0,259,0,259,full_interevent
2.6400000000000023,5,259,5,259,full_interevent
2.650000000000002,4,254,4,254,full_interevent
2.6600000000000024,3,250,3,250,full_interevent
2.6700000000000026,6,247,6,247,full_interevent
2.6800000000000024,6,241,6,241,full_interevent
2.690000000000002,3,235,3,235,full_interevent
2.7000000000000024,4,232,4,232,full_interevent
2.7100000000000026,1,228,1,228,full_interevent
2.7200000000000024,8,227,8,227,full_interevent
2.730000000000002,9,219,9,219,full_interevent
2.7400000000000024,2,210,2,210,full_interevent
2.7500000000000027,3,208,3,208,full_interevent
2.7600000000000025,5,205,5,205,full_interevent
2.7700000000000022,5,200,5,200,full_interevent
2.7800000000000025,6,195,6,195,full_interevent
2.7900000000000027,3,189,3,189,full_interevent
2.8000000000000025,1,186,1,186,full_interevent
2.8100000000000023,1,185,1,185,full_interevent
2.8200000000000025,2,184,2,184,full_interevent
2.8300000000000027,4,182,4,182,full_interevent
2.8400000000000025,2,178,2,178,full_interevent
2.8500000000000023,0,176,0,176,full_interevent
2.8600000000000025,3,176,3,176,full_interevent
2.8700000000000028,2,173,2,173,full_interevent
2.8800000000000026,1,171,1,171,full_interevent
2.8900000000000023,1,170,1,170,full_interevent
2.9000000000000026,1,169,1,169,full_interevent
2.910000000000003,2,168,2,168,full_interevent
2.9200000000000026,4,166,4,166,full_interevent
2.9300000000000024,3,162,3,162,full_interevent
2.9400000000000026,1,159,1,159,full_interevent
2.950000000000003,1,158,1,158,full_interevent
2.9600000000000026,3,157,3,157,full_interevent
2.9700000000000024,2,154,2,154,full_interevent
2.9800000000000026,2,152,2,152,full_interevent
2.990000000000003,6,150,6,150,full_interevent
3.0000000000000027,0,144,0,144,full_interevent
3.0100000000000025,2,144,2,144,full_interevent
3.0200000000000027,0,142,0,142,full_interevent
3.030000000000003,0,142,0,142,full_interevent
3.0400000000000027,3,142,3,142,full_interevent
