node_id,x_km,y_km,longitude,latitude,b_pre,b_pre_std,n_pre,valid_pre,b_post,b_post_std,n_post,valid_post,delta_b,combined_uncertainty
1649,-5.0,-9.0,-117.59878170306818,35.64033934956611,0.7910483488230051,0.05820232954360124,177,1.0,0.8933672633756005,0.13007072593055113,53,1.0,0.10231891455259534,0.14249878914714506
1650,-4.0,-9.0,-117.58774068364615,35.64034390967684,0.7372282871814461,0.053428378725080626,220,1.0,0.9881195551560229,0.1332062985266458,62,1.0,0.25089126797457684,0.14352180886666852
1651,-3.0,-9.0,-117.57669966310824,35.6403474564299,0.7098401858428941,0.04077440955291053,239,1.0,1.048436075161054,0.1403021350057471,65,1.0,0.33859588931815987,0.14610695247509395
1652,-2.0,-9.0,-117.56565864173344,35.640349989825125,0.6767807151049379,0.03788506714174344,252,1.0,1.0511259597422262,0.14658371235814416,82,1.0,0.37434524463728835,0.15140034029363855
1653,-1.0,-9.0,-117.5546176198007,35.640351509862306,0.6464334635948484,0.03271959545678212,303,1.0,1.028517836127415,0.12170141957729624,91,1.0,0.38208437253256655,0.12602304334519376
1654,0.0,-9.0,-117.54357659758901,35.64035201654137,0.6567780444661653,0.03514244196034098,312,1.0,1.1167572391797889,0.13806857695337418,90,1.0,0.4599791947136236,0.1424707800528436
1655,1.0,-9.0,-117.53253557537732,35.640351509862306,0.6615677599976996,0.037351319528870275,294,1.0,1.195560993715738,0.1415121630717487,86,1.0,0.5339932337180385,0.14635850972113973
1656,2.0,-9.0,-117.52149455344458,35.640349989825125,0.6392897989643935,0.03269268352813951,295,1.0,1.3160438845553086,0.151768866364664,88,1.0,0.6767540855909151,0.1552501219126295
1657,3.0,-9.0,-117.51045353206977,35.6403474564299,0.6275607933782861,0.03431800366461372,280,1.0,1.2323356891244832,0.15321215732302443,89,1.0,0.6047748957461971,0.15700856832383267
1658,4.0,-9.0,-117.49941251153187,35.64034390967684,0.6244483134828668,0.03527377261956272,268,1.0,1.1594204237967938,0.12377627754324574,95,1.0,0.534972110313927,0.12870433526994812
1659,5.0,-9.0,-117.48837149210983,35.64033934956611,0.5909401532299029,0.03318906347219015,254,1.0,1.142711275369975,0.12823393486942797,89,1.0,0.5517711221400722,0.13245926160996732
1660,6.0,-9.0,-117.47733047408266,35.64033377609803,0.5679663647931329,0.03856456162315039,199,1.0,1.088532091980683,0.13664832733669172,73,1.0,0.52056572718755,0.1419858823161705
1661,7.0,-9.0,-117.46628945772925,35.640327189272945,0.5591639622334816,0.05861833206934949,89,1.0,1.1220592775241347,0.20102367846790334,39,1.0,0.5628953152906531,0.2093958647140853
1704,-6.0,-8.0,-117.6098301659275,35.64934664421914,0.8112106495687165,0.08971743139310615,82,1.0,1.0109948032333762,0.1547503130559488,35,1.0,0.19978415366465974,0.17887670861990632
1705,-5.0,-8.0,-117.59878790709638,35.64935221871191,0.7401623252367912,0.06858243156844109,131,1.0,1.1145281828141613,0.15608802861189694,45,1.0,0.3743658575773702,0.1704905352088152
1706,-4.0,-8.0,-117.58774564686964,35.649356779661005,0.7100617045906018,0.054674053831569314,178,1.0,1.0188726848170127,0.15913939634883348,56,1.0,0.30881098022641085,0.168269425721515
1707,-3.0,-8.0,-117.57670338552641,35.64936032706614,0.6886206146964202,0.048937312232063275,208,1.0,1.0625426433272906,0.14309397143497884,67,1.0,0.37392202863087043,0.15123076799888635
1708,-2.0,-8.0,-117.5656611233458,35.64936286092713,0.6458638081481437,0.03644468839557441,264,1.0,1.0630491795840777,0.13832927722095562,82,1.0,0.41718537143593404,0.14304965658372798
1709,-1.0,-8.0,-117.55461886060696,35.64936438124378,0.6483272097882476,0.03417441535124935,306,1.0,1.0642466097534917,0.13353292862545107,91,1.0,0.4159193999652441,0.13783661956058527
1710,0.0,-8.0,-117.54357659758901,35.649364888015995,0.6572136806672315,0.035920588565788975,308,1.0,1.2048860472038436,0.1330218398860554,90,1.0,0.5476723665366121,0.1377864237491635
1711,1.0,-8.0,-117.53253433457105,35.64936438124378,0.6566594468032029,0.03714967186902765,314,1.0,1.1719759440362711,0.11489505726318544,106,1.0,0.5153164972330683,0.12075169689692598
1712,2.0,-8.0,-117.5214920718322,35.64936286092713,0.648432529976245,0.0329307430694252,334,1.0,1.2938746920130293,0.13006834915441678,107,1.0,0.6454421620367843,0.13417231193826754
1713,3.0,-8.0,-117.5104498096516,35.64936032706614,0.6192259585460387,0.03198912408095024,348,1.0,1.192119952712112,0.1207278395144829,115,1.0,0.5728939941660733,0.12489401624297768
1714,4.0,-8.0,-117.49940754830838,35.649356779661005,0.6121613683835966,0.032154541306888273,342,1.0,1.2172417911202251,0.11916413925971234,112,1.0,0.6050804227366285,0.12342611803084669
1715,5.0,-8.0,-117.48836528808164,35.64935221871191,0.6175439309907135,0.035649518837339224,322,1.0,1.169404297982855,0.1261338043434441,105,1.0,0.5518603669921415,0.13107488238211026
1716,6.0,-8.0,-117.47732302925051,35.64934664421914,0.6131317100618519,0.03352383179354991,286,1.0,1.115164147540447,0.12604309523699828,90,1.0,0.5020324374785952,0.1304251093733306
1717,7.0,-8.0,-117.4662807720941,35.64934005618306,0.5972360588206153,0.036539034570293394,207,1.0,1.166252481871983,0.15174544350194116,65,1.0,0.5690164230513678,0.1560826084832321
1761,-5.0,-7.0,-117.59879411342533,35.65836507434135,0.7067387846971475,0.0696846583143552,101,1.0,1.032278904354079,0.169273469527145,35,1.0,0.3255401196569315,0.18305589061853683
1762,-4.0,-7.0,-117.58775061193373,35.65836963612907,0.697211461264833,0.06118069103322535,143,1.0,1.1317120049596134,0.16798978632825962,48,1.0,0.4345005436947804,0.17878379475197773
1763,-3.0,-7.0,-117.57670710932503,35.658373184186495,0.6515355303265217,0.042551426056656495,191,1.0,1.1364007376447927,0.15289226263181627,60,1.0,0.484865207318271,0.15870308072665568
1764,-2.0,-7.0,-117.56566360587848,35.658375718513376,0.6395952058129051,0.036699885090966826,274,1.0,1.197046975329971,0.15047060971249424,82,1.0,0.557451769517066,0.15488152230960262
1765,-1.0,-7.0,-117.55462010187338,35.65837723910957,0.6589537961307685,0.03661824352511387,300,1.0,1.1801480486501401,0.1421437642790745,90,1.0,0.5211942525193716,0.1467846908989137
1766,0.0,-7.0,-117.54357659758901,35.65837774597498,0.6557100239542022,0.03495444551699951,318,1.0,1.1686061091316478,0.125061098478661,104,1.0,0.5128960851774456,0.12985411666208443
1767,1.0,-7.0,-117.53253309330464,35.65837723910957,0.6395075695561493,0.029975949041349377,353,1.0,1.1946445316760073,0.11772492539451762,116,1.0,0.555136962119858,0.12148133840254771
1768,2.0,-7.0,-117.52148958929953,35.658375718513376,0.6300610969466486,0.029523518665320946,380,1.0,1.2070663215870787,0.12254769773897338,121,1.0,0.5770052246404301,0.12605386299318372
1769,3.0,-7.0,-117.51044608585299,35.658373184186495,0.6127371589793488,0.026729544175118494,405,1.0,1.1680180999795573,0.10511386781351105,129,1.0,0.5552809410002085,0.10845918005648893
1770,4.0,-7.0,-117.49940258324429,35.65836963612907,0.5967182894783287,0.02874949144258577,410,1.0,1.177498277560183,0.11649457094771244,128,1.0,0.5807799880818543,0.11998965921486285
1771,5.0,-7.0,-117.48835908175269,35.65836507434135,0.5982881790686916,0.027901693870055415,391,1.0,1.1131077057184187,0.11073171733005667,122,1.0,0.5148195266497271,0.11419289708069351
1772,6.0,-7.0,-117.47731558165746,35.658359498823565,0.6045022087060982,0.02856651373589041,367,1.0,1.0999557177763932,0.11145419914484066,117,1.0,0.49545350907029506,0.11505687382351658
1773,7.0,-7.0,-117.46627208323793,35.65835290957612,0.602412073536491,0.03303550370775238,297,1.0,1.0703846356416893,0.11977147829056344,95,1.0,0.46797256210519833,0.12424391943725789
1774,8.0,-7.0,-117.45522858677332,35.65834530659938,0.5939475956007277,0.04551725913613271,150,1.0,1.0900965911226188,0.16520646828030364,50,1.0,0.49614899552189107,0.17136218381228932
1818,-4.0,-6.0,-117.58775557883926,35.66738247907961,0.7025192152858407,0.07175350055300582,97,1.0,1.084042388526058,0.20259692905346657,32,1.0,0.38152317324021723,0.21492808216588538
1819,-3.0,-6.0,-117.57671083450471,35.66738602778951,0.6367898369361524,0.04343425509738766,167,1.0,1.1384743550277996,0.16803103011891068,51,1.0,0.5016845180916472,0.17355391553833413
1820,-2.0,-6.0,-117.56566608933186,35.66738856258246,0.6522315344786607,0.03899554489089577,256,1.0,1.1341588979667765,0.145627854495315,77,1.0,0.4819273634881158,0.15075849736000457
1821,-1.0,-6.0,-117.55462134360015,35.667390083458294,0.6317235125644893,0.03286198860440195,307,1.0,1.1503687656715162,0.13361571626614238,95,1.0,0.5186452531070269,0.1375974924493543
1822,0.0,-6.0,-117.54357659758901,35.667390590416915,0.6153121958753288,0.030530599375036934,345,1.0,1.169923249393542,0.11997648012947021,111,1.0,0.5546110535182133,0.12380013442018618
1823,1.0,-6.0,-117.53253185157787,35.667390083458294,0.6141781097348671,0.027637893155337503,383,1.0,1.2216860211343616,0.11434647419032674,123,1.0,0.6075079113994946,0.11763914866159526
1824,2.0,-6.0,-117.52148710584616,35.66738856258246,0.6227286450016191,0.027783228782072202,424,1.0,1.1848354972686514,0.10833898663567408,136,1.0,0.5621068522670324,0.11184473088528459
1825,3.0,-6.0,-117.51044236067331,35.66738602778951,0.5977638050034505,0.024604881161413128,470,1.0,1.1541134757530902,0.10028000327115245,146,1.0,0.5563496707496397,0.10325443928969645
