mainshock,radius_km,time_window_days,depth_strategy,mag_threshold,n_total,n_post,rate_ratio,moving_rate_max,post_omori_p,radial_iqr_km,depth_iqr_km,baseline_rate_ratio,baseline_moving_rate_max,baseline_post_omori_p,rate_ratio_delta,sparse_flag
M1,44.0,30.0,all,,3156,2615,4.842592592592593,275.7142857142857,0.5527774596276611,,,5.408496732026144,271.0,0.6383674259945586,-0.5659041394335516,False
M1,44.0,30.0,all,1.2,3034,2523,4.947058823529411,268.0,0.5637167183010661,,,5.408496732026144,271.0,0.6383674259945586,-0.46143790849673305,False
M1,44.0,30.0,all,1.5,2478,2084,5.302798982188295,233.8571428571429,0.6222250489426768,,,5.408496732026144,271.0,0.6383674259945586,-0.10569774983784885,False
M1,44.0,30.0,all,2.0,1232,1046,5.654054054054054,131.85714285714286,0.79996670307667,,,5.408496732026144,271.0,0.6383674259945586,0.24555732202790992,False
M1,44.0,30.0,all,2.5,603,498,4.788461538461538,67.85714285714286,0.9371683554401729,,,5.408496732026144,271.0,0.6383674259945586,-0.6200351935646058,False
M1,44.0,30.0,mainshock_window,,3156,2615,4.842592592592593,275.7142857142857,0.5527774596276611,,,5.408496732026144,271.0,0.6383674259945586,-0.5659041394335516,False
M1,44.0,30.0,mainshock_window,1.2,3034,2523,4.947058823529411,268.0,0.5637167183010661,,,5.408496732026144,271.0,0.6383674259945586,-0.46143790849673305,False
M1,44.0,30.0,mainshock_window,1.5,2478,2084,5.302798982188295,233.8571428571429,0.6222250489426768,,,5.408496732026144,271.0,0.6383674259945586,-0.10569774983784885,False
M1,44.0,30.0,mainshock_window,2.0,1232,1046,5.654054054054054,131.85714285714286,0.79996670307667,,,5.408496732026144,271.0,0.6383674259945586,0.24555732202790992,False
M1,44.0,30.0,mainshock_window,2.5,603,498,4.788461538461538,67.85714285714286,0.9371683554401729,,,5.408496732026144,271.0,0.6383674259945586,-0.6200351935646058,False
M1,44.0,30.0,stratified,,3151,2610,4.833333333333333,275.2857142857143,0.5527624341990771,,,5.408496732026144,271.0,0.6383674259945586,-0.5751633986928111,False
M1,44.0,30.0,stratified,1.2,3029,2518,4.9372549019607845,267.57142857142856,0.5637190339779432,,,5.408496732026144,271.0,0.6383674259945586,-0.4712418300653596,False
M1,44.0,30.0,stratified,1.5,2474,2080,5.2926208651399484,233.42857142857144,0.6220857281894149,,,5.408496732026144,271.0,0.6383674259945586,-0.11587586688619567,False
M1,44.0,30.0,stratified,2.0,1230,1044,5.643243243243242,131.57142857142858,0.7995357319774887,,,5.408496732026144,271.0,0.6383674259945586,0.23474651121709744,False
M1,44.0,30.0,stratified,2.5,603,498,4.788461538461538,67.85714285714286,0.9371683554401729,,,5.408496732026144,271.0,0.6383674259945586,-0.6200351935646058,False
M1,44.0,60.0,all,,3544,2977,5.259717314487633,278.0,0.6131688210497458,,,5.408496732026144,271.0,0.6383674259945586,-0.14877941753851154,False
M1,44.0,60.0,all,1.2,3388,2855,5.366541353383458,269.85714285714283,0.6254928642231095,,,5.408496732026144,271.0,0.6383674259945586,-0.04195537864268584,False
M1,44.0,60.0,all,1.5,2731,2325,5.7407407407407405,234.7142857142857,0.6816750237783888,,,5.408496732026144,271.0,0.6383674259945586,0.33224400871459636,False
M1,44.0,60.0,all,2.0,1323,1131,5.921465968586388,132.0,0.8461358952853218,,,5.408496732026144,271.0,0.6383674259945586,0.5129692365602443,False
M1,44.0,60.0,all,2.5,644,533,4.845454545454546,66.14285714285714,0.961146296102104,,,5.408496732026144,271.0,0.6383674259945586,-0.5630421865715984,False
M1,44.0,60.0,mainshock_window,,3544,2977,5.259717314487633,278.0,0.6131688210497458,,,5.408496732026144,271.0,0.6383674259945586,-0.14877941753851154,False
M1,44.0,60.0,mainshock_window,1.2,3388,2855,5.366541353383458,269.85714285714283,0.6254928642231095,,,5.408496732026144,271.0,0.6383674259945586,-0.04195537864268584,False
M1,44.0,60.0,mainshock_window,1.5,2731,2325,5.7407407407407405,234.7142857142857,0.6816750237783888,,,5.408496732026144,271.0,0.6383674259945586,0.33224400871459636,False
M1,44.0,60.0,mainshock_window,2.0,1323,1131,5.921465968586388,132.0,0.8461358952853218,,,5.408496732026144,271.0,0.6383674259945586,0.5129692365602443,False
M1,44.0,60.0,mainshock_window,2.5,644,533,4.845454545454546,66.14285714285714,0.961146296102104,,,5.408496732026144,271.0,0.6383674259945586,-0.5630421865715984,False
