interval_id,start,end,elapsed_start_hr,elapsed_end_hr,event_count,convex_valid,alpha_valid,convex_area_km2,convex_perimeter_km,convex_centroid_x_km,convex_centroid_y_km,convex_centroid_distance_to_main71_km,alpha_area_km2,alpha_perimeter_km,alpha_centroid_x_km,alpha_centroid_y_km,alpha_centroid_distance_to_main71_km,alpha_component_count,status
M_11,2019-07-05 03:33:49.040000+00:00,2019-07-05 04:33:49.040000+00:00,10.0,11.0,138,True,True,857.0479226860002,116.22731467986252,-3.5945255212471183,0.38074789493758576,9.888231562311606,32.0475933283303,78.16829357353964,-0.17537286233137192,-1.8685880231788041,12.826186010004179,8,ok
M_12,2019-07-05 04:33:49.040000+00:00,2019-07-05 05:33:49.040000+00:00,11.0,12.0,149,True,True,477.78897329650886,90.90700238870758,-0.98121543394898,-3.4472188972945133,14.107480493810852,29.23561618270835,63.183181251528055,1.6270685718870705,-0.35462751762752026,12.194768783273739,6,ok
M_13,2019-07-05 05:33:49.040000+00:00,2019-07-05 06:33:49.040000+00:00,12.0,13.0,131,True,True,573.7750512056452,95.9115052875033,0.46712620007711914,0.6563570368818065,10.753473269993728,24.216909486822793,66.7471835702991,2.6394353547860776,0.946632067523502,11.667027190321221,8,ok
M_14,2019-07-05 06:33:49.040000+00:00,2019-07-05 07:33:49.040000+00:00,13.0,14.0,149,True,True,749.424869281357,120.42538369367928,-0.6902386558629805,2.3747223660129824,8.700371949622209,33.386040980437464,76.33192919319121,2.2952619649448596,0.5180505317085302,11.811955491863422,7,ok
M_15,2019-07-05 07:33:49.040000+00:00,2019-07-05 08:33:49.040000+00:00,14.0,15.0,142,True,True,389.4112385602198,76.82788180393194,-0.5784586793056369,-1.1224244802799703,11.989394786743734,29.557292193461933,83.10213460133868,1.0972267821068042,-0.9983973856380536,12.515254205197175,6,ok
M_16,2019-07-05 08:33:49.040000+00:00,2019-07-05 09:33:49.040000+00:00,15.0,16.0,141,True,True,835.258666685042,116.98352097236906,-2.7531812809876874,2.7793456204574776,7.63939806203294,30.903739659155093,72.096625155988,0.9466693791443064,-1.1713225020095048,12.605839907378433,5,ok
M_17,2019-07-05 09:33:49.040000+00:00,2019-07-05 10:33:49.040000+00:00,16.0,17.0,139,True,True,585.7863146659483,106.84562905461758,-6.667604543618489,1.101136256236964,9.405305211355461,34.979282327276835,76.71345698916272,1.1204162222580878,-1.017883834080702,12.542975489685432,5,ok
M_18,2019-07-05 10:33:49.040000+00:00,2019-07-05 11:33:49.040000+00:00,17.0,18.0,137,True,True,715.2950756876019,107.3591159315142,-3.6135714207499388,2.7746589084922872,7.5033056383905175,26.531630436101054,61.00645971969695,0.22982112874164606,1.650052953425496,9.763478365255366,5,ok
M_19,2019-07-05 11:33:49.040000+00:00,2019-07-05 12:33:49.040000+00:00,18.0,19.0,157,True,True,642.8587496053067,107.70899690927338,-1.40880151747029,-0.2033274286097263,10.86377606970247,25.879418070579142,60.82034275084176,0.4378624530727782,4.196340032942862,7.750592103584039,7,ok
M_20,2019-07-05 12:33:49.040000+00:00,2019-07-05 13:33:49.040000+00:00,19.0,20.0,149,True,True,301.2544456485162,70.89995647930327,-1.8602164189080208,-0.45220738314141096,10.98921069287199,26.427505632979578,72.035932255938,-0.30282775578735577,2.580758666811822,8.691456736300713,8,ok
M_21,2019-07-05 13:33:49.040000+00:00,2019-07-05 14:33:49.040000+00:00,20.0,21.0,135,True,True,523.8124077807737,100.40691243890294,-4.386647174196105,-3.589789559369627,13.824163423727539,27.638637977616135,58.19672879877304,0.805721297669196,1.3332521347774422,10.322502207763629,8,ok
M_22,2019-07-05 14:33:49.040000+00:00,2019-07-05 15:33:49.040000+00:00,21.0,22.0,148,True,True,343.4715596796353,77.00345319034804,-2.7878120573659286,0.8612500689700805,9.514403762640194,24.409201668061314,72.46824434854155,-0.6112343089051745,1.1151597649378324,9.883224869860847,8,ok
M_23,2019-07-05 15:33:49.040000+00:00,2019-07-05 16:33:49.040000+00:00,22.0,23.0,162,True,True,323.8615144238436,72.96129972232174,-1.1458354270665738,-0.4372064960333023,11.16298825977098,34.128669987499066,89.13978758448071,0.5863870811412977,-0.20367789125224978,11.577215546921288,9,ok
M_24,2019-07-05 16:33:49.040000+00:00,2019-07-05 17:33:49.040000+00:00,23.0,24.0,152,True,True,463.0216350512997,86.09429209325015,-5.479750357574655,0.25753241223220075,10.032754830790262,29.29480810071184,75.34103860495316,0.6948259471034595,1.4848673583224656,10.135624705857266,9,ok
M_25,2019-07-05 17:33:49.040000+00:00,2019-07-05 18:33:49.040000+00:00,24.0,25.0,146,True,True,757.278622974788,116.08313934767158,-3.7399929949580266,0.3673403034484874,9.890503788887974,28.55420522311817,76.27420305007229,0.2296038135734349,1.6445604459896273,9.768204377632344,8,ok
M_26,2019-07-05 18:33:49.040000+00:00,2019-07-05 19:33:49.040000+00:00,25.0,26.0,141,True,True,360.32823373810135,80.27699268986842,-0.3793402753925732,3.20865498178775,8.105550878727989,35.207965686483945,87.10226255133638,-0.03534226020220786,0.0038087264088530887,11.13116351480552,10,ok
M_27,2019-07-05 19:33:49.040000+00:00,2019-07-05 20:33:49.040000+00:00,26.0,27.0,142,True,True,638.9444353521753,117.33688715973217,-2.670698484404677,-1.0695438472590286,11.43867155621026,32.28061819229276,70.15151251118773,0.427883492420173,1.3405288262781774,10.13001320117657,7,ok
M_28,2019-07-05 20:33:49.040000+00:00,2019-07-05 21:33:49.040000+00:00,27.0,28.0,141,True,True,498.72363896603514,90.72152013542932,-3.8479608796329323,-1.5994181932219276,11.847643169358722,28.79536765864902,70.91354131554978,1.1410538948657698,1.414602493111277,10.427400792593268,8,ok
M_29,2019-07-05 21:33:49.040000+00:00,2019-07-05 22:33:49.040000+00:00,28.0,29.0,144,True,True,687.0162933282726,105.02495353844016,-1.435202565480562,-1.2841997777818712,11.899373112820328,26.761995994123836,78.30772713532929,0.9334820171035977,-0.894262447168047,12.349997900114468,11,ok
M_30,2019-07-05 22:33:49.040000+00:00,2019-07-05 23:33:49.040000+00:00,29.0,30.0,135,True,True,486.4778439183161,87.52744494684492,-4.027652450657159,-2.983481898062932,13.223680890553554,30.723047014544704,85.53469315195468,0.06103584596797123,-0.5410838333174395,11.670627465518798,6,ok
M_31,2019-07-05 23:33:49.040000+00:00,2019-07-06 00:33:49.040000+00:00,30.0,31.0,116,True,True,432.73566088587637,87.02894780214538,-0.18871466708530146,0.5415496509912028,10.576733366171302,28.14188439896591,72.28012352677797,0.5820133815487738,2.822412405101079,8.942742740656314,9,ok
M_32,2019-07-06 00:33:49.040000+00:00,2019-07-06 01:33:49.040000+00:00,31.0,32.0,113,True,True,586.9584497068511,111.75594075345434,-4.453956080560548,6.520894856348267,3.7135758003626145,27.847719833997072,75.2084058620792,-0.8598721580944302,2.5291288531758114,8.488581331632448,12,ok
M_33,2019-07-06 01:33:49.040000+00:00,2019-07-06 02:33:49.040000+00:00,32.0,33.0,118,True,True,454.7442617434106,90.38291140266668,-1.7006718521288942,-4.227491343767954,14.715560070332062,25.138683861240768,81.5324513944565,0.4527183815687153,1.680514544633523,9.845136700796909,7,ok
M_34,2019-07-06 02:33:49.040000+00:00,2019-07-06 03:19:53.040000+00:00,33.0,33.76777777777778,96,True,True,588.8502532158263,104.46506334626088,-2.8519690269233373,-8.480225767762624,18.780264155865776,16.8795348484551,55.350297765761376,0.19848423034770965,1.7235482544882188,9.683933251897574,9,ok
