interval_id_kde,stage,start,end,elapsed_start_hr_kde,elapsed_end_hr_kde,event_count_kde,status_kde,hotspot_x_km,hotspot_y_km,hotspot_lon,hotspot_lat,peak_density,distance_to_main71_km,distance_to_main64_km,high_density_area_km2,high_density_patch_count,kde_array_path,hotspot_step_km,distance_to_main71_change_km,interval_id_geom,elapsed_start_hr_geom,elapsed_end_hr_geom,event_count_geom,convex_valid,alpha_valid,convex_area_km2,convex_perimeter_km,convex_centroid_x_km,convex_centroid_y_km,convex_centroid_distance_to_main71_km,alpha_area_km2,alpha_perimeter_km,alpha_centroid_x_km,alpha_centroid_y_km,alpha_centroid_distance_to_main71_km,alpha_component_count,status_geom,interval_id,interpretation_label
,,2019-07-04 20:33:49.040000+00:00,2019-07-04 21:33:49.040000+00:00,,,,,,,,,,,,,,,,,M_04,3.0,4.0,135.0,True,True,596.5368494888072,98.50682972055498,-4.412871264107418,2.2619322799033825,7.972402178087893,32.88540292819869,77.16788944941855,0.9477820295768494,-1.6391723581090238,13.03112796240306,7.0,ok,M_04,fragmented
S1_08,Stage1,2019-07-04 21:03:49.040000+00:00,2019-07-04 21:33:49.040000+00:00,3.5,4.0,68.0,ok,2.803985175267588,-1.0681427373359078,-117.51298611182591,35.67436957624626,0.013609766523902094,13.414728456379377,3.7336783990096976,0.0,0.0,,3.817341103852582,-0.00127301357639098,,,,,,,,,,,,,,,,,,,S1_08,focusing
S2_01,Stage2,2019-07-04 21:33:49.040000+00:00,2019-07-04 23:33:49.040000+00:00,0.0,2.0,270.0,ok,5.282703166228195,1.1468442529095952,-117.48559238047082,35.694322675253574,0.016045614290196755,13.294956136110157,1.3309877959030842,0.800672848276182,1.0,,,,,,,,,,,,,,,,,,,,,,S2_01,mixed
,,2019-07-04 21:33:49.040000+00:00,2019-07-04 22:33:49.040000+00:00,,,,,,,,,,,,,,,,,M_05,4.0,5.0,132.0,True,True,474.3250950640724,86.03741239759297,-3.5797069284755048,-1.1155835679128643,11.381094493718065,30.187154584912975,66.08435250762538,1.2835173040046752,-0.7566930698234602,12.3834940687177,5.0,ok,M_05,fragmented
,,2019-07-04 22:33:49.040000+00:00,2019-07-04 23:33:49.040000+00:00,,,,,,,,,,,,,,,,,M_06,5.0,6.0,138.0,True,True,609.1389618352421,100.14825739021096,-5.687383696081002,3.9478360775216164,6.412660482332216,25.567438048771194,62.29167521331854,1.786816759649404,-0.033264127664372575,11.998662441012025,6.0,ok,M_06,fragmented
,,2019-07-04 23:33:49.040000+00:00,2019-07-05 00:33:49.040000+00:00,,,,,,,,,,,,,,,,,M_07,6.0,7.0,137.0,True,True,710.6070385954378,110.66509820844499,-5.807103859886501,-1.5933675322246807,11.908570316849165,33.35450936020724,66.22740207932509,0.37129437514321684,0.14039950057039843,11.17404344181817,4.0,ok,M_07,fragmented
S2_02,Stage2,2019-07-04 23:33:49.040000+00:00,2019-07-05 01:33:49.040000+00:00,2.0,4.0,284.0,ok,4.043344170747893,-0.23752261599384283,-117.49929234262343,35.68185150574102,0.01030842597577845,13.465323680990949,2.527956995864181,0.0,0.0,,1.8580856673995017,0.17036754488079175,,,,,,,,,,,,,,,,,,,S2_02,defocusing
,,2019-07-05 00:33:49.040000+00:00,2019-07-05 01:33:49.040000+00:00,,,,,,,,,,,,,,,,,M_08,7.0,8.0,147.0,True,True,823.3604506479301,117.47426116584846,-3.4874568739267446,1.5896811508853386,8.694973746327818,28.06203821889582,76.61546262522099,1.3269151029316881,-0.1507642839232176,11.869944531908727,12.0,ok,M_08,fragmented
,,2019-07-05 01:33:49.040000+00:00,2019-07-05 02:33:49.040000+00:00,,,,,,,,,,,,,,,,,M_09,8.0,9.0,139.0,True,True,823.6431737819133,123.9846838627369,-6.689764743960097,-2.242885208257415,12.681698243949764,32.723752445614,72.25990623788255,1.0385801282079987,-1.0028124827555656,12.493474803061869,5.0,ok,M_09,fragmented
S2_03,Stage2,2019-07-05 01:33:49.040000+00:00,2019-07-05 03:33:49.040000+00:00,4.0,6.0,291.0,ok,4.043344170747893,-0.23752261599384283,-117.49929234262343,35.68185150574102,0.012316088327383588,13.465323680990949,2.527956995864181,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,S2_03,mixed
,,2019-07-05 02:33:49.040000+00:00,2019-07-05 03:33:49.040000+00:00,,,,,,,,,,,,,,,,,M_10,9.0,10.0,152.0,True,True,417.9079137917364,84.2406457447897,-1.8772626919011226,-0.4943341739815106,11.026235617272677,26.724260062598496,80.86453340345992,0.834519219449389,-1.9887364577675903,13.305266528104253,10.0,ok,M_10,fragmented
,,2019-07-05 03:33:49.040000+00:00,2019-07-05 04:33:49.040000+00:00,,,,,,,,,,,,,,,,,M_11,10.0,11.0,138.0,True,True,857.0479226860002,116.22731467986252,-3.5945255212471183,0.38074789493758576,9.888231562311606,32.0475933283303,78.16829357353964,-0.17537286233137192,-1.8685880231788041,12.826186010004179,8.0,ok,M_11,fragmented
S2_04,Stage2,2019-07-05 03:33:49.040000+00:00,2019-07-05 05:33:49.040000+00:00,6.0,8.0,287.0,ok,4.663023668488044,0.31622413156753026,-117.49244369696257,35.68683958581042,0.013326141878820653,13.44987636706932,1.9319323964002952,0.0,0.0,,0.831046412876131,-0.015447313921628236,,,,,,,,,,,,,,,,,,,S2_04,focusing
,,2019-07-05 04:33:49.040000+00:00,2019-07-05 05:33:49.040000+00:00,,,,,,,,,,,,,,,,,M_12,11.0,12.0,149.0,True,True,477.78897329650886,90.90700238870758,-0.98121543394898,-3.4472188972945133,14.107480493810852,29.23561618270835,63.183181251528055,1.6270685718870705,-0.35462751762752026,12.194768783273739,6.0,ok,M_12,fragmented
S2_05,Stage2,2019-07-05 05:33:49.040000+00:00,2019-07-05 07:33:49.040000+00:00,8.0,10.0,280.0,ok,3.0105450078476395,-1.3450161111165961,-117.51070554728906,35.67187355548625,0.011875271681938217,13.75928789441909,3.8962901295424737,0.0,0.0,,2.343161297859181,0.30941152734976995,,,,,,,,,,,,,,,,,,,S2_05,defocusing
,,2019-07-05 05:33:49.040000+00:00,2019-07-05 06:33:49.040000+00:00,,,,,,,,,,,,,,,,,M_13,12.0,13.0,131.0,True,True,573.7750512056452,95.9115052875033,0.46712620007711914,0.6563570368818065,10.753473269993728,24.216909486822793,66.7471835702991,2.6394353547860776,0.946632067523502,11.667027190321221,8.0,ok,M_13,fragmented
,,2019-07-05 06:33:49.040000+00:00,2019-07-05 07:33:49.040000+00:00,,,,,,,,,,,,,,,,,M_14,13.0,14.0,149.0,True,True,749.424869281357,120.42538369367928,-0.6902386558629805,2.3747223660129824,8.700371949622209,33.386040980437464,76.33192919319121,2.2952619649448596,0.5180505317085302,11.811955491863422,7.0,ok,M_14,fragmented
S2_06,Stage2,2019-07-05 07:33:49.040000+00:00,2019-07-05 09:33:49.040000+00:00,10.0,12.0,283.0,ok,4.249904003327941,-0.23752261599384283,-117.4970105300731,35.68185063756518,0.013677556469795888,13.596126029270106,2.4965664275790838,0.0,0.0,,1.6620928257522667,-0.16316186514898412,,,,,,,,,,,,,,,,,,,S2_06,focusing
,,2019-07-05 07:33:49.040000+00:00,2019-07-05 08:33:49.040000+00:00,,,,,,,,,,,,,,,,,M_15,14.0,15.0,142.0,True,True,389.4112385602198,76.82788180393194,-0.5784586793056369,-1.1224244802799703,11.989394786743734,29.557292193461933,83.10213460133868,1.0972267821068042,-0.9983973856380536,12.515254205197175,6.0,ok,M_15,fragmented
,,2019-07-05 08:33:49.040000+00:00,2019-07-05 09:33:49.040000+00:00,,,,,,,,,,,,,,,,,M_16,15.0,16.0,141.0,True,True,835.258666685042,116.98352097236906,-2.7531812809876874,2.7793456204574776,7.63939806203294,30.903739659155093,72.096625155988,0.9466693791443064,-1.1713225020095048,12.605839907378433,5.0,ok,M_16,fragmented
,,2019-07-05 09:33:49.040000+00:00,2019-07-05 10:33:49.040000+00:00,,,,,,,,,,,,,,,,,M_17,16.0,17.0,139.0,True,True,585.7863146659483,106.84562905461758,-6.667604543618489,1.101136256236964,9.405305211355461,34.979282327276835,76.71345698916272,1.1204162222580878,-1.017883834080702,12.542975489685432,5.0,ok,M_17,fragmented
S2_07,Stage2,2019-07-05 09:33:49.040000+00:00,2019-07-05 11:33:49.040000+00:00,12.0,14.0,276.0,ok,-1.9468909740735754,7.238058476084724,-117.5654830235495,35.74923352644446,0.011477226151071659,3.8861057064225966,8.177744688153089,0.0,0.0,,9.71002475054473,-9.710020322847509,,,,,,,,,,,,,,,,,,,S2_07,focusing
,,2019-07-05 10:33:49.040000+00:00,2019-07-05 11:33:49.040000+00:00,,,,,,,,,,,,,,,,,M_18,17.0,18.0,137.0,True,True,715.2950756876019,107.3591159315142,-3.6135714207499388,2.7746589084922872,7.5033056383905175,26.531630436101054,61.00645971969695,0.22982112874164606,1.650052953425496,9.763478365255366,5.0,ok,M_18,fragmented
,,2019-07-05 11:33:49.040000+00:00,2019-07-05 12:33:49.040000+00:00,,,,,,,,,,,,,,,,,M_19,18.0,19.0,157.0,True,True,642.8587496053067,107.70899690927338,-1.40880151747029,-0.2033274286097263,10.86377606970247,25.879418070579142,60.82034275084176,0.4378624530727782,4.196340032942862,7.750592103584039,7.0,ok,M_19,fragmented
S2_08,Stage2,2019-07-05 11:33:49.040000+00:00,2019-07-05 13:33:49.040000+00:00,14.0,16.0,306.0,ok,-2.153450806653627,7.791805223646094,-117.56776824316363,35.75422385583856,0.0257830862727606,3.3332294923360504,8.685123400947713,9.493692343846158,1.0,,0.5910181256698428,-0.5528762140865462,,,,,,,,,,,,,,,,,,,S2_08,mixed
,,2019-07-05 12:33:49.040000+00:00,2019-07-05 13:33:49.040000+00:00,,,,,,,,,,,,,,,,,M_20,19.0,20.0,149.0,True,True,301.2544456485162,70.89995647930327,-1.8602164189080208,-0.45220738314141096,10.98921069287199,26.427505632979578,72.035932255938,-0.30282775578735577,2.580758666811822,8.691456736300713,8.0,ok,M_20,fragmented
,,2019-07-05 13:33:49.040000+00:00,2019-07-05 14:33:49.040000+00:00,,,,,,,,,,,,,,,,,M_21,20.0,21.0,135.0,True,True,523.8124077807737,100.40691243890294,-4.386647174196105,-3.589789559369627,13.824163423727539,27.638637977616135,58.19672879877304,0.805721297669196,1.3332521347774422,10.322502207763629,8.0,ok,M_21,fragmented
S2_09,Stage2,2019-07-05 13:33:49.040000+00:00,2019-07-05 15:33:49.040000+00:00,16.0,18.0,283.0,ok,-1.7403311414935274,7.238058476084724,-117.56319928960451,35.74923391297158,0.016155460894873224,4.020800267878507,8.015179449128603,1.086627436946247,1.0,,0.6908714194238953,0.6875707755424569,,,,,,,,,,,,,,,,,,,S2_09,defocusing
,,2019-07-05 14:33:49.040000+00:00,2019-07-05 15:33:49.040000+00:00,,,,,,,,,,,,,,,,,M_22,21.0,22.0,148.0,True,True,343.4715596796353,77.00345319034804,-2.7878120573659286,0.8612500689700805,9.514403762640194,24.409201668061314,72.46824434854155,-0.6112343089051745,1.1151597649378324,9.883224869860847,8.0,ok,M_22,fragmented
S2_10,Stage2,2019-07-05 15:33:49.040000+00:00,2019-07-05 17:33:49.040000+00:00,18.0,20.0,314.0,ok,-1.9468909740735754,7.238058476084724,-117.5654830235495,35.74923352644446,0.011812833301511616,3.8861057064225966,8.177744688153089,0.0,0.0,,0.20655983258004795,-0.13469456145591074,,,,,,,,,,,,,,,,,,,S2_10,focusing
,,2019-07-05 15:33:49.040000+00:00,2019-07-05 16:33:49.040000+00:00,,,,,,,,,,,,,,,,,M_23,22.0,23.0,162.0,True,True,323.8615144238436,72.96129972232174,-1.1458354270665738,-0.4372064960333023,11.16298825977098,34.128669987499066,89.13978758448071,0.5863870811412977,-0.20367789125224978,11.577215546921288,9.0,ok,M_23,fragmented
,,2019-07-05 16:33:49.040000+00:00,2019-07-05 17:33:49.040000+00:00,,,,,,,,,,,,,,,,,M_24,23.0,24.0,152.0,True,True,463.0216350512997,86.09429209325015,-5.479750357574655,0.25753241223220075,10.032754830790262,29.29480810071184,75.34103860495316,0.6948259471034595,1.4848673583224656,10.135624705857266,9.0,ok,M_24,fragmented
S2_11,Stage2,2019-07-05 17:33:49.040000+00:00,2019-07-05 19:33:49.040000+00:00,20.0,22.0,287.0,ok,-1.533771308913476,7.238058476084724,-117.56091555563867,35.749234256191876,0.009714677837503141,4.161392309759378,7.854681976230603,0.0,0.0,,0.41311966516009946,0.2752866033367818,,,,,,,,,,,,,,,,,,,S2_11,defocusing
,,2019-07-05 17:33:49.040000+00:00,2019-07-05 18:33:49.040000+00:00,,,,,,,,,,,,,,,,,M_25,24.0,25.0,146.0,True,True,757.278622974788,116.08313934767158,-3.7399929949580266,0.3673403034484874,9.890503788887974,28.55420522311817,76.27420305007229,0.2296038135734349,1.6445604459896273,9.768204377632344,8.0,ok,M_25,fragmented
,,2019-07-05 18:33:49.040000+00:00,2019-07-05 19:33:49.040000+00:00,,,,,,,,,,,,,,,,,M_26,25.0,26.0,141.0,True,True,360.32823373810135,80.27699268986842,-0.3793402753925732,3.20865498178775,8.105550878727989,35.207965686483945,87.10226255133638,-0.03534226020220786,0.0038087264088530887,11.13116351480552,10.0,ok,M_26,fragmented
,,2019-07-05 19:33:49.040000+00:00,2019-07-05 20:33:49.040000+00:00,,,,,,,,,,,,,,,,,M_27,26.0,27.0,142.0,True,True,638.9444353521753,117.33688715973217,-2.670698484404677,-1.0695438472590286,11.43867155621026,32.28061819229276,70.15151251118773,0.427883492420173,1.3405288262781774,10.13001320117657,7.0,ok,M_27,fragmented
S2_12,Stage2,2019-07-05 19:33:49.040000+00:00,2019-07-05 21:33:49.040000+00:00,22.0,24.0,283.0,ok,3.217104840427691,-1.3450161111165961,-117.5084240186614,35.67187290367961,0.011154605506226715,13.87195137271946,3.8205607551237097,0.0,0.0,,9.810198446302698,9.710559062960082,,,,,,,,,,,,,,,,,,,S2_12,defocusing
,,2019-07-05 20:33:49.040000+00:00,2019-07-05 21:33:49.040000+00:00,,,,,,,,,,,,,,,,,M_28,27.0,28.0,141.0,True,True,498.72363896603514,90.72152013542932,-3.8479608796329323,-1.5994181932219276,11.847643169358722,28.79536765864902,70.91354131554978,1.1410538948657698,1.414602493111277,10.427400792593268,8.0,ok,M_28,fragmented
,,2019-07-05 21:33:49.040000+00:00,2019-07-05 22:33:49.040000+00:00,,,,,,,,,,,,,,,,,M_29,28.0,29.0,144.0,True,True,687.0162933282726,105.02495353844016,-1.435202565480562,-1.2841997777818712,11.899373112820328,26.761995994123836,78.30772713532929,0.9334820171035977,-0.894262447168047,12.349997900114468,11.0,ok,M_29,fragmented
S2_13,Stage2,2019-07-05 21:33:49.040000+00:00,2019-07-05 23:33:49.040000+00:00,24.0,26.0,279.0,ok,4.043344170747893,-0.23752261599384283,-117.49929234262343,35.68185150574102,0.008166465084833369,13.465323680990949,2.527956995864181,0.0,0.0,,1.3817428388478041,-0.4066276917285112,,,,,,,,,,,,,,,,,,,S2_13,focusing
,,2019-07-05 22:33:49.040000+00:00,2019-07-05 23:33:49.040000+00:00,,,,,,,,,,,,,,,,,M_30,29.0,30.0,135.0,True,True,486.4778439183161,87.52744494684492,-4.027652450657159,-2.983481898062932,13.223680890553554,30.723047014544704,85.53469315195468,0.06103584596797123,-0.5410838333174395,11.670627465518798,6.0,ok,M_30,fragmented
,,2019-07-05 23:33:49.040000+00:00,2019-07-06 00:33:49.040000+00:00,,,,,,,,,,,,,,,,,M_31,30.0,31.0,116.0,True,True,432.73566088587637,87.02894780214538,-0.18871466708530146,0.5415496509912028,10.576733366171302,28.14188439896591,72.28012352677797,0.5820133815487738,2.822412405101079,8.942742740656314,9.0,ok,M_31,fragmented
S2_14,Stage2,2019-07-05 23:33:49.040000+00:00,2019-07-06 01:33:49.040000+00:00,26.0,28.0,229.0,ok,-0.9140918111733249,6.130564980961971,-117.55406309274306,35.73925349471476,0.013134225766262442,5.398470764431239,6.688078029963613,0.0,0.0,,8.070236127731931,-8.06685291655971,,,,,,,,,,,,,,,,,,,S2_14,focusing
,,2019-07-06 00:33:49.040000+00:00,2019-07-06 01:33:49.040000+00:00,,,,,,,,,,,,,,,,,M_32,31.0,32.0,113.0,True,True,586.9584497068511,111.75594075345434,-4.453956080560548,6.520894856348267,3.7135758003626145,27.847719833997072,75.2084058620792,-0.8598721580944302,2.5291288531758114,8.488581331632448,12.0,ok,M_32,fragmented
S2_15,Stage2,2019-07-06 01:33:49.040000+00:00,2019-07-06 03:19:53.040000+00:00,28.0,29.767777777777777,214.0,ok,-0.9140918111733249,5.853691607181283,-117.55406277759958,35.73675810929755,0.010931052188146015,5.611826067793347,6.531047033548118,0.0,0.0,,0.2768733737806883,0.21335530336210784,,,,,,,,,,,,,,,,,,,S2_15,defocusing
,,2019-07-06 01:33:49.040000+00:00,2019-07-06 02:33:49.040000+00:00,,,,,,,,,,,,,,,,,M_33,32.0,33.0,118.0,True,True,454.7442617434106,90.38291140266668,-1.7006718521288942,-4.227491343767954,14.715560070332062,25.138683861240768,81.5324513944565,0.4527183815687153,1.680514544633523,9.845136700796909,7.0,ok,M_33,fragmented
,,2019-07-06 02:33:49.040000+00:00,2019-07-06 03:19:53.040000+00:00,,,,,,,,,,,,,,,,,M_34,33.0,33.76777777777778,96.0,True,True,588.8502532158263,104.46506334626088,-2.8519690269233373,-8.480225767762624,18.780264155865776,16.8795348484551,55.350297765761376,0.19848423034770965,1.7235482544882188,9.683933251897574,9.0,ok,M_34,fragmented
