interval_id,geometry_type,component_id,vertex_id,longitude,latitude,elapsed_mid_hr
M_13,convex,1,2,-117.63170287075587,35.565891795185046,12.5
M_13,convex,1,3,-117.51957521891602,35.52886379518504,12.5
M_13,convex,1,4,-117.44832024030067,35.55709479518505,12.5
M_13,convex,1,5,-117.43376146071213,35.67149879518505,12.5
M_13,convex,1,6,-117.43656693564029,35.74733679518505,12.5
M_13,convex,1,7,-117.46214358357138,35.852801795185044,12.5
M_13,alpha,1,0,-117.60322007872206,35.56879279518505,12.5
M_13,alpha,1,1,-117.59986749417013,35.574586795185056,12.5
M_13,alpha,1,2,-117.60316307291498,35.56871179518505,12.5
M_13,alpha,1,3,-117.60522178409416,35.56468279518505,12.5
M_13,alpha,1,4,-117.60322007872206,35.56879279518505,12.5
M_13,alpha,2,0,-117.58572566828144,35.604880795185046,12.5
M_13,alpha,2,1,-117.58506695006147,35.608803795185054,12.5
M_13,alpha,2,2,-117.58050202721394,35.60987779518505,12.5
M_13,alpha,2,3,-117.58572566828144,35.604880795185046,12.5
M_13,alpha,3,0,-117.57417955489124,35.617221795185046,12.5
M_13,alpha,3,1,-117.56141879558537,35.620570795185046,12.5
M_13,alpha,3,2,-117.56533352161836,35.61675879518506,12.5
M_13,alpha,3,3,-117.56895448971161,35.61631479518503,12.5
M_13,alpha,3,4,-117.58050202721394,35.60987779518505,12.5
M_13,alpha,3,5,-117.57417955489124,35.617221795185046,12.5
M_13,alpha,4,0,-117.58154613597804,35.63921079518505,12.5
M_13,alpha,4,1,-117.59450035956489,35.62841579518505,12.5
M_13,alpha,4,2,-117.59615275904774,35.63397079518505,12.5
M_13,alpha,4,3,-117.58154613597804,35.63921079518505,12.5
M_13,alpha,5,0,-117.5748716791424,35.632859795185055,12.5
M_13,alpha,5,1,-117.58154613597804,35.63921079518505,12.5
M_13,alpha,5,2,-117.57698840240573,35.64291379518505,12.5
M_13,alpha,5,3,-117.5748716791424,35.632859795185055,12.5
M_13,alpha,6,0,-117.51943793334767,35.66417879518505,12.5
M_13,alpha,6,1,-117.53087243520406,35.67114479518505,12.5
M_13,alpha,6,2,-117.52900856274888,35.672914795185044,12.5
M_13,alpha,6,3,-117.51192766363971,35.674314795185055,12.5
M_13,alpha,6,4,-117.50597085160348,35.67692279518505,12.5
M_13,alpha,6,5,-117.50216199266428,35.67887979518505,12.5
M_13,alpha,6,6,-117.50549195270094,35.69219379518505,12.5
M_13,alpha,6,7,-117.50445002519434,35.69319879518505,12.5
M_13,alpha,6,8,-117.50175670399416,35.70260679518505,12.5
M_13,alpha,6,9,-117.50069041123753,35.69854979518506,12.5
M_13,alpha,6,10,-117.48434104834976,35.69351979518505,12.5
M_13,alpha,6,11,-117.47854746961102,35.69935879518505,12.5
M_13,alpha,6,12,-117.48182613556445,35.69472879518506,12.5
M_13,alpha,6,13,-117.4758033593275,35.683965795185046,12.5
M_13,alpha,6,14,-117.47431407513028,35.68002379518504,12.5
M_13,alpha,6,15,-117.46086124815845,35.668548795185046,12.5
M_13,alpha,6,16,-117.4627484835095,35.657932795185054,12.5
M_13,alpha,6,17,-117.46486439148478,35.65665479518505,12.5
M_13,alpha,6,18,-117.46874594415242,35.664328795185064,12.5
M_13,alpha,6,19,-117.47658337712801,35.67033879518505,12.5
M_13,alpha,6,20,-117.4899304249721,35.67100279518504,12.5
M_13,alpha,6,21,-117.49548848975152,35.67190179518505,12.5
M_13,alpha,6,22,-117.50307355100276,35.67275179518506,12.5
M_13,alpha,6,23,-117.51242292218288,35.66402379518505,12.5
M_13,alpha,6,24,-117.51261737974806,35.65649179518504,12.5
M_13,alpha,6,25,-117.51614914013852,35.65316379518506,12.5
M_13,alpha,6,26,-117.53055375208052,35.64777279518504,12.5
M_13,alpha,6,27,-117.5280458939114,35.63584579518504,12.5
M_13,alpha,6,28,-117.54302814856804,35.63938579518504,12.5
M_13,alpha,6,29,-117.53465455438412,35.64502579518505,12.5
M_13,alpha,6,30,-117.53042317145544,35.65359879518505,12.5
M_13,alpha,6,31,-117.51943793334767,35.66417879518505,12.5
M_13,alpha,7,0,-117.45923536340044,35.69788679518505,12.5
M_13,alpha,7,1,-117.47618763464229,35.70164579518506,12.5
M_13,alpha,7,2,-117.47854746961102,35.69935879518505,12.5
M_13,alpha,7,3,-117.4772046998806,35.702549795185035,12.5
M_13,alpha,7,4,-117.47290016240562,35.70895779518505,12.5
M_13,alpha,7,5,-117.46818050499077,35.71370279518505,12.5
M_13,alpha,7,6,-117.46293126109367,35.71032479518506,12.5
M_13,alpha,7,7,-117.45923536340044,35.69788679518505,12.5
M_13,alpha,8,0,-117.52970360984006,35.71515479518505,12.5
M_13,alpha,8,1,-117.53762193988983,35.71972479518506,12.5
M_13,alpha,8,2,-117.54006394783508,35.71983479518504,12.5
M_13,alpha,8,3,-117.55623402216112,35.720863795185046,12.5
M_13,alpha,8,4,-117.55722708861717,35.72178379518504,12.5
M_13,alpha,8,5,-117.55424836610372,35.72562479518505,12.5
M_13,alpha,8,6,-117.55295621659063,35.73739279518506,12.5
M_13,alpha,8,7,-117.55527541099714,35.74008179518505,12.5
M_13,alpha,8,8,-117.56458583026269,35.745879795185054,12.5
M_13,alpha,8,9,-117.55731066777902,35.757456795185064,12.5
M_13,alpha,8,10,-117.55363996095518,35.74768679518505,12.5
M_13,alpha,8,11,-117.5438333445533,35.73916279518506,12.5
M_13,alpha,8,12,-117.53068197392601,35.73403579518506,12.5
M_13,alpha,8,13,-117.5235772742086,35.73818979518505,12.5
M_13,alpha,8,14,-117.52244636125437,35.73939379518505,12.5
M_13,alpha,8,15,-117.51532501187356,35.73456079518505,12.5
M_13,alpha,8,16,-117.52093177654216,35.73130479518504,12.5
M_13,alpha,8,17,-117.51779781464994,35.71799079518505,12.5
M_13,alpha,8,18,-117.51764377998332,35.71751079518505,12.5
M_13,alpha,8,19,-117.52970360984006,35.71515479518505,12.5
M_14,convex,1,0,-117.44804718073748,35.833497795185046,13.5
M_14,convex,1,1,-117.70246330160671,35.90387579518505,13.5
M_14,convex,1,2,-117.6332502625543,35.57135679518505,13.5
M_14,convex,1,3,-117.63120706359494,35.568581795185054,13.5
