series_label,window_label,radius_km,mc_mode,exploratory,matched_center_time,hours_since_mw64,time_mismatch_hours,delta_b,delta_b_ci_low,delta_b_ci_high,delta_b_ci_width,joint_reliability_label,mw71_b,mw64_b,mw71_n_ge_mc,mw64_n_ge_mc,mw71_center_time,mw64_center_time
5km_exploratory_fixed,exploratory_N50_step10,5,fixed,True,2019-07-05 17:44:35.760000+00:00,24.179644444444445,0.04854444444444184,-0.0848377884534397,-0.8178708768426004,0.8864568422933522,1.7043277191359527,highly_unreliable,0.6948859955327824,0.7797237839862221,9,15,2019-07-05 17:44:35.760000+00:00,2019-07-05 17:41:41+00:00
5km_exploratory_fixed,exploratory_N50_step10,5,fixed,True,2019-07-05 18:08:43.800000+00:00,24.581877777777777,0.06232222222222461,-0.10021750486897585,-1.018659338366145,0.7738905552763404,1.7925498936424855,highly_unreliable,0.6764848333349998,0.7767023382039756,10,12,2019-07-05 18:08:43.800000+00:00,2019-07-05 18:04:59.440000+00:00
5km_exploratory_fixed,exploratory_N50_step10,5,fixed,True,2019-07-05 18:20:24.320000+00:00,24.776466666666668,0.06293333333333351,-0.02658274897460189,-0.8955034063768287,1.625403849255532,2.520907255632361,highly_unreliable,0.7078297250646483,0.7344124740392501,7,11,2019-07-05 18:20:24.320000+00:00,2019-07-05 18:16:37.760000+00:00
5km_exploratory_fixed,exploratory_N50_step10,5,fixed,True,2019-07-05 18:48:13.560000+00:00,25.240144444444446,0.008077777777778294,-0.7910266202354261,-5.463678352316554,0.5346579917445818,5.998336344061136,highly_unreliable,0.6197987709012613,1.4108253911366875,7,7,2019-07-05 18:48:13.560000+00:00,2019-07-05 18:47:44.480000+00:00
5km_exploratory_fixed,exploratory_N50_step10,5,fixed,True,2019-07-05 19:07:07.600000+00:00,25.555155555555555,0.01836666666666531,-0.19344997771997008,-3.3300250832079374,2.121203637563475,5.451228720771413,highly_unreliable,1.14294617807818,1.33639615579815,6,7,2019-07-05 19:07:07.600000+00:00,2019-07-05 19:08:13.720000+00:00
5km_exploratory_fixed,exploratory_N50_step10,5,fixed,True,2019-07-05 19:20:06.580000+00:00,25.771538888888887,0.004472222222222655,-0.5941410626189993,-2.844989615160762,1.8497699382284507,4.694759553389213,highly_unreliable,1.0800064090433956,1.674147471662395,7,9,2019-07-05 19:20:06.580000+00:00,2019-07-05 19:20:22.680000+00:00
5km_exploratory_fixed,exploratory_N50_step10,5,fixed,True,2019-07-05 19:56:30.520000+00:00,26.37818888888889,0.02506666666666746,-0.613407480940716,-2.505698325980975,0.8424304542102188,3.3481287801911934,highly_unreliable,1.1399459744093934,1.7533534553501093,10,11,2019-07-05 19:56:30.520000+00:00,2019-07-05 19:58:00.760000+00:00
5km_exploratory_fixed,exploratory_N50_step10,5,fixed,True,2019-07-05 20:23:40.440000+00:00,26.830944444444444,0.014577777777777357,-0.8344598451663254,-4.683833783143632,0.834681341616887,5.518515124760519,highly_unreliable,1.1399459744093934,1.9744058195757188,10,8,2019-07-05 20:23:40.440000+00:00,2019-07-05 20:22:47.960000+00:00
5km_exploratory_fixed,exploratory_N50_step10,5,fixed,True,2019-07-05 20:50:37.480000+00:00,27.28012222222222,0.036338888888888476,0.24466284004431849,-1.1432485502084437,1.4501766787264327,2.5934252289348763,highly_unreliable,1.0026131109953402,0.7579502709510217,11,10,2019-07-05 20:50:37.480000+00:00,2019-07-05 20:48:26.660000+00:00
5km_exploratory_fixed,exploratory_N50_step10,5,fixed,True,2019-07-05 21:26:36.120000+00:00,27.879744444444444,0.04944444444444329,0.19875890922295414,-0.5020878459622566,0.95845115846852,1.4605390044307767,highly_unreliable,0.8469716620149912,0.648212752792037,9,12,2019-07-05 21:26:36.120000+00:00,2019-07-05 21:23:38.120000+00:00
5km_exploratory_fixed,exploratory_N50_step10,5,fixed,True,2019-07-05 22:47:02.520000+00:00,29.22041111111111,0.047122222222220955,-0.2234626752771416,-1.4328280475626307,0.5227264985830171,1.9555545461456478,highly_unreliable,0.6023598392238112,0.8258225145009528,10,11,2019-07-05 22:47:02.520000+00:00,2019-07-05 22:44:12.880000+00:00
5km_exploratory_fixed,exploratory_N50_step10,5,fixed,True,2019-07-05 23:00:43.160000+00:00,29.448366666666665,0.041744444444443474,-0.3206002007665224,-1.584295203002046,0.6016497346208113,2.1859449376228572,highly_unreliable,0.6074147712193165,0.9280149719858389,8,10,2019-07-05 23:00:43.160000+00:00,2019-07-05 23:03:13.440000+00:00
5km_exploratory_fixed,exploratory_N50_step10,5,fixed,True,2019-07-05 23:19:07.740000+00:00,29.755194444444445,0.020416666666669414,-0.504651758000467,-1.4909133458843529,0.047828944442538046,1.538742290326891,highly_unreliable,0.471331970915157,0.975983728915624,14,11,2019-07-05 23:19:07.740000+00:00,2019-07-05 23:17:54.240000+00:00
5km_exploratory_fixed,exploratory_N50_step10,5,fixed,True,2019-07-05 23:54:17.200000+00:00,30.341155555555556,0.04262222222222434,-0.5629167588836664,-1.3053408851624,-0.07605146256873718,1.2292894225936628,highly_unreliable,0.481338861773435,1.0442556206571014,11,11,2019-07-05 23:54:17.200000+00:00,2019-07-05 23:56:50.640000+00:00
5km_exploratory_fixed,exploratory_N50_step10,5,fixed,True,2019-07-06 01:19:50.300000+00:00,31.767016666666667,0.016124999999998835,-0.2673292713596337,-2.0337143116267145,2.1841727595595377,4.217887071186253,highly_unreliable,0.7524057942535599,1.0197350656131936,9,11,2019-07-06 01:19:50.300000+00:00,2019-07-06 01:18:52.250000+00:00
