station_code,station_number,latitude,longitude,elevation_m,matched
N.520S,6672,41.6095,142.478667,-1165.0,True
N.521S,6673,41.424833,142.219333,-1189.0,True
N.522S,6674,41.198833,142.027167,-1029.0,True
N.523S,6675,40.954,141.876167,-529.0,True
N.604S,6679,,,,False
N.605S,6680,41.371667,145.605333,-6680.0,True
N.606S,6681,40.899833,145.392833,-6012.0,True
N.607S,6682,40.536,144.938167,-6160.0,True
N.608S,6683,40.031833,144.808833,-5900.0,True
N.609S,6684,39.517167,144.719167,-6054.0,True
N.610S,6685,39.007167,144.5915,-6160.0,True
N.611S,6686,38.499,144.453667,-6118.0,True
N.612S,6687,37.987833,144.335667,-6111.0,True
N.613S,6688,37.486167,144.175667,-6174.0,True
N.AGWH,1596,43.084167,140.819833,-77.0,True
N.AJSH,2083,40.761833,140.312167,-112.0,True
N.AMAH,1573,42.648667,141.864167,-145.0,True
N.ANIH,2068,39.981833,140.407167,44.0,True
N.ANNH,1554,,,,False
N.ANSH,1550,43.114167,144.122833,-76.0,True
N.ASBH,1611,41.985833,140.308333,-18.0,True
N.ASRH,2026,40.139167,140.952833,207.0,True
N.ATKH,2105,37.731667,139.882167,229.0,True
N.AYEH,1526,43.382167,143.898333,224.0,True
N.AYWH,1528,43.270833,143.431667,-2.0,True
N.BEEH,1577,43.503833,142.600667,242.0,True
N.BKWH,1549,43.39,144.802167,-129.0,True
N.BREH,1563,42.706167,142.405333,120.0,True
N.BRWH,1565,42.703167,142.229667,-18.0,True
N.CCNH,1598,42.950167,140.8225,138.0,True
N.CHKH,2055,39.071833,140.3185,74.0,True
N.CTSH,1572,42.888,141.639833,-244.0,True
N.FBRH,1594,43.234167,140.622833,-73.0,True
N.FGTH,2045,38.710667,140.374333,-99.0,True
N.FRNH,1500,43.369667,142.340833,94.0,True
N.FSTH,2056,40.318833,140.234167,-76.0,True
N.FSWH,2006,38.865333,141.351167,18.0,True
N.HBTH,1524,43.121333,143.618667,-36.0,True
N.HHEH,2072,40.579333,141.445167,-142.0,True
N.HMNH,2009,39.455833,141.000167,119.0,True
N.HMSH,2023,39.343333,141.047333,-52.0,True
N.HNKH,1589,43.208333,145.116833,-226.0,True
N.HNRH,2063,39.174,140.712833,178.0,True
N.HOBH,1575,42.871333,142.1285,71.0,True
N.ICEH,2004,38.969,141.001333,16.0,True
N.IHEH,2017,40.081167,141.1915,328.0,True
N.IW2H,2115,39.0095,140.864,115.0,True
N.IWNH,2028,,,,False
N.IWZH,2018,39.802,141.652,209.0,True
N.KAIH,1607,41.837333,140.633167,-352.0,True
N.KAKH,2110,38.515833,141.342167,-202.0,True
N.KANH,2020,39.644167,141.597667,201.0,True
N.KASH,2021,39.463,141.6775,451.0,True
N.KGSH,2001,39.197833,141.011833,48.0,True
N.KHEH,2016,40.153333,141.4245,264.0,True
N.KHYH,1609,42.485167,139.967833,53.0,True
N.KI2H,2823,36.880833,140.6545,293.0,True
N.KJNH,2014,40.268667,141.783167,74.0,True
N.KJSH,2008,40.086167,141.712,139.0,True
N.KKWH,2034,38.920667,141.637667,-38.0,True
N.KMBH,1602,42.768,140.976667,184.0,True
