mainshock,radius_km,time_window_days,depth_strategy,mag_threshold,n_total,n_pre,n_post,duration_pre_days,duration_post_days,pre_rate,post_rate,rate_ratio,moving_rate_max,moving_rate_median,post_omori_c,post_omori_k,post_omori_p,post_omori_r2,post_omori_fit_ok,radial_q25_km,radial_q50_km,radial_q75_km,depth_q25_km,depth_q50_km,depth_q75_km,mag_q25,mag_q50,mag_q75,mecha_events,mecha_available
M1,30.0,60.0,mainshock_window,1.5,2261,392,1868,60.0,60.0,6.533333333333333,31.133333333333333,4.76530612244898,199.71428571428572,5.571428571428571,0.01,179.09402973807212,0.7225814613581448,0.9302006813517439,True,10.221922779265697,15.599349515663063,21.93823003168108,9.59,11.44,12.99,1.7,1.9,2.4,6,True
M1,30.0,60.0,mainshock_window,2.0,1121,186,934,60.0,60.0,3.1,15.566666666666666,5.021505376344086,114.71428571428571,2.0,0.01,100.06771061063897,0.886481161475677,0.9556460093723007,True,10.477643761672994,16.101972936277146,22.204200482208606,10.38,12.32,13.82,2.2,2.4,3.0,6,True
M1,30.0,60.0,mainshock_window,2.5,553,108,444,60.0,60.0,1.8,7.4,4.111111111111112,58.142857142857146,1.0,0.01,48.797786760492684,1.0035838657424858,0.9739264173018191,True,9.553878041823832,15.727689803774265,21.604846089259375,10.93,12.77,14.19,2.7,3.0,3.5,6,True
M1,30.0,60.0,stratified,,2877,543,2333,60.0,60.0,9.05,38.88333333333333,4.296500920810312,235.42857142857142,8.142857142857142,0.01,209.49929824047248,0.6602128046373527,0.9250754010357656,True,9.864665518068831,15.239895160855019,21.826973164340423,9.48,11.28,12.77,1.5,1.8,2.3,6,True
M1,30.0,60.0,stratified,1.2,2764,512,2251,60.0,60.0,8.533333333333333,37.516666666666666,4.396484375,228.28571428571428,7.857142857142857,0.01,204.50135873628315,0.6699957797454514,0.9259791783477971,True,9.9072952686088,15.368827428107306,21.910990288383648,9.4975,11.3,12.7925,1.5,1.8,2.3,6,True
M1,30.0,60.0,stratified,1.5,2257,392,1864,60.0,60.0,6.533333333333333,31.066666666666666,4.755102040816326,199.28571428571428,5.571428571428571,0.01,178.6959859296859,0.7222298010348742,0.9304518051029362,True,10.216580977531917,15.562293844722973,21.924430408235562,9.59,11.44,12.98,1.7,1.9,2.4,6,True
M1,30.0,60.0,stratified,2.0,1119,186,932,60.0,60.0,3.1,15.533333333333333,5.010752688172043,114.42857142857143,2.0,0.01,99.87076362190474,0.8859031208633504,0.9558265642906495,True,10.459382482642393,16.09920513135241,22.187997789799308,10.375,12.32,13.815000000000001,2.2,2.4,3.0,6,True
M1,30.0,60.0,stratified,2.5,553,108,444,60.0,60.0,1.8,7.4,4.111111111111112,58.142857142857146,1.0,0.01,48.797786760492684,1.0035838657424858,0.9739264173018191,True,9.553878041823832,15.727689803774265,21.604846089259375,10.93,12.77,14.19,2.7,3.0,3.5,6,True
M1,30.0,90.0,all,,3060,562,2497,90.0,90.0,6.2444444444444445,27.744444444444444,4.443060498220641,232.14285714285714,4.714285714285714,0.01,204.1763114915779,0.6909388674323492,0.9323318917793656,True,9.945144332363892,15.494427629586651,21.895553316118516,9.477500000000001,11.28,12.7625,1.5,1.8,2.2,6,True
M1,30.0,90.0,all,1.2,2935,528,2406,90.0,90.0,5.866666666666666,26.733333333333334,4.5568181818181825,225.57142857142858,4.571428571428571,0.01,199.49150852519097,0.700128791568374,0.9335063306258458,True,10.011263916593688,15.517140201501055,21.943489407783737,9.495000000000001,11.3,12.795,1.5,1.8,2.3,6,True
M1,30.0,90.0,all,1.5,2382,400,1981,90.0,90.0,4.444444444444445,22.011111111111113,4.952500000000001,198.14285714285714,3.2142857142857144,0.01,174.7431291806138,0.7501667797695244,0.9383453835644061,True,10.276326940340454,15.69751846295204,21.952318784781497,9.62,11.45,12.9875,1.7,1.9,2.4,6,True
M1,30.0,90.0,all,2.0,1166,188,977,90.0,90.0,2.088888888888889,10.855555555555556,5.196808510638298,113.71428571428571,1.1428571428571428,0.01,99.27775987629587,0.902029067370246,0.9632817328691006,True,10.573616341758752,16.33779086748865,22.27251850186925,10.4225,12.34,13.835,2.2,2.4,3.0,6,True
M1,30.0,90.0,all,2.5,566,108,457,90.0,90.0,1.2,5.0777777777777775,4.231481481481482,59.714285714285715,0.42857142857142855,0.01,48.103953061704665,1.0144073929088848,0.9786982318547579,True,9.62747737325544,15.840690058185148,21.64086700513444,10.9525,12.76,14.18,2.7,3.0,3.5,6,True
M1,30.0,90.0,mainshock_window,,3057,560,2496,90.0,90.0,6.222222222222222,27.733333333333334,4.457142857142857,232.14285714285714,4.714285714285714,0.01,204.12683717163793,0.6911460336892028,0.9322413006070183,True,9.956157476423646,15.496205862384762,21.89503330938424,9.47,11.27,12.76,1.5,1.8,2.2,6,True
M1,30.0,90.0,mainshock_window,1.2,2933,526,2406,90.0,90.0,5.844444444444444,26.733333333333334,4.574144486692016,225.57142857142858,4.571428571428571,0.01,199.49150852519097,0.700128791568374,0.9335063306258458,True,10.017302348366174,15.519985600292303,21.94874878388639,9.49,11.3,12.79,1.5,1.8,2.3,6,True
M1,30.0,90.0,mainshock_window,1.5,2381,399,1981,90.0,90.0,4.433333333333334,22.011111111111113,4.964912280701754,198.14285714285714,3.2142857142857144,0.01,174.7431291806138,0.7501667797695244,0.9383453835644061,True,10.277758700289063,15.727689803774265,21.953508785079865,9.62,11.45,12.98,1.7,1.9,2.4,6,True
M1,30.0,90.0,mainshock_window,2.0,1166,188,977,90.0,90.0,2.088888888888889,10.855555555555556,5.196808510638298,113.71428571428571,1.1428571428571428,0.01,99.27775987629587,0.902029067370246,0.9632817328691006,True,10.573616341758752,16.33779086748865,22.27251850186925,10.4225,12.34,13.835,2.2,2.4,3.0,6,True
M1,30.0,90.0,mainshock_window,2.5,566,108,457,90.0,90.0,1.2,5.0777777777777775,4.231481481481482,59.714285714285715,0.42857142857142855,0.01,48.103953061704665,1.0144073929088848,0.9786982318547579,True,9.62747737325544,15.840690058185148,21.64086700513444,10.9525,12.76,14.18,2.7,3.0,3.5,6,True
M1,30.0,90.0,stratified,,3052,560,2491,90.0,90.0,6.222222222222222,27.677777777777777,4.448214285714285,231.71428571428572,4.714285714285714,0.01,203.61916067394284,0.6909067911940292,0.9322787020725667,True,9.945144332363892,15.484155415057991,21.872824008450944,9.47,11.27,12.7425,1.5,1.8,2.2,6,True
M1,30.0,90.0,stratified,1.2,2928,526,2401,90.0,90.0,5.844444444444444,26.677777777777777,4.564638783269962,225.14285714285714,4.571428571428571,0.01,198.99081991902884,0.6998971737934533,0.933558985653068,True,10.011657809988732,15.506001197058326,21.9256459576489,9.4875,11.3,12.79,1.5,1.8,2.3,6,True
M1,30.0,90.0,stratified,1.5,2377,399,1977,90.0,90.0,4.433333333333334,21.966666666666665,4.954887218045112,197.71428571428572,3.2142857142857144,0.01,174.31665227933954,0.7498589773345948,0.9384222758745018,True,10.275849687024252,15.6559220129882,21.93579318280708,9.61,11.45,12.97,1.7,1.9,2.4,6,True
M1,30.0,90.0,stratified,2.0,1164,188,975,90.0,90.0,2.088888888888889,10.833333333333334,5.1861702127659575,113.42857142857143,1.1428571428571428,0.01,99.05729403069984,0.9015133335497425,0.9634030676434375,True,10.568506732707059,16.291607744092325,22.243487224870155,10.42,12.34,13.82,2.2,2.4,3.0,6,True
M1,30.0,90.0,stratified,2.5,566,108,457,90.0,90.0,1.2,5.0777777777777775,4.231481481481482,59.714285714285715,0.42857142857142855,0.01,48.103953061704665,1.0144073929088848,0.9786982318547579,True,9.62747737325544,15.840690058185148,21.64086700513444,10.9525,12.76,14.18,2.7,3.0,3.5,6,True
M1,44.0,7.0,all,,2233,509,1723,7.0,7.0,72.71428571428571,246.14285714285714,3.3850687622789786,250.28571428571428,246.28571428571428,,,,,False,9.486605095990258,16.006348984834503,23.864959557942047,9.72,11.63,12.99,1.6,1.8,2.4,6,True
M1,44.0,7.0,all,1.2,2161,481,1679,7.0,7.0,68.71428571428571,239.85714285714286,3.490644490644491,244.42857142857142,240.0,,,,,False,9.607711576338518,16.247134647264946,23.985107969399277,9.71,11.63,13.0,1.6,1.9,2.4,6,True
M1,44.0,7.0,all,1.5,1844,373,1470,7.0,7.0,53.285714285714285,210.0,3.941018766756032,216.42857142857142,210.14285714285714,,,,,False,9.871019480080173,16.635806328920978,24.052238336133854,9.7975,11.715,13.13,1.7,2.0,2.5,6,True
M1,44.0,7.0,all,2.0,991,175,815,7.0,7.0,25.0,116.42857142857143,4.6571428571428575,124.28571428571429,116.57142857142857,,,,,False,10.568488347020324,17.181520493603,23.951462061316832,10.25,12.34,13.765,2.2,2.5,3.1,6,True
