stage,interval_index,interval_label,start_time,end_time,duration_hours,event_count_actual,area_m2,perimeter_m,centroid_x_m,centroid_y_m,centroid_distance_to_mainshock71_m,nearest_fault_distance_m,fault_points_within_3km,compactness,major_axis_m,minor_axis_m,orientation_deg,component_count,geometry_status,centroid_longitude,centroid_latitude,hull_vertex_count,hours_since_mainshock64_start,hours_since_mainshock64_end
morphology_1h,11,morphology_1h_11,2019-07-05T03:33:49.040000+00:00,2019-07-05T04:33:49.040000+00:00,1.0,138,856418627.9851213,116184.97956967416,447188.1794047935,3949437.2159450166,9884.612827719751,2614.640719473144,54,0.797252697193661,35923.46158329427,29008.00805811149,81.57333732641837,1,ok,-117.58366926022461,35.687425627657014,5,10.0,11.0
morphology_1h,12,morphology_1h_12,2019-07-05T04:33:49.040000+00:00,2019-07-05T05:33:49.040000+00:00,1.0,149,477437098.92236674,90873.46214167766,449779.3568910256,3945596.2589386064,14102.29474476778,1511.4728466409517,237,0.7265271994583634,33940.65455216455,22390.952449379016,74.06939749908159,1,ok,-117.55479346017951,35.65293093030044,7,11.0,12.0
morphology_1h,13,morphology_1h_13,2019-07-05T05:33:49.040000+00:00,2019-07-05T06:33:49.040000+00:00,1.0,131,573348228.174102,95875.95449136864,451249.8597101175,3949690.230808317,10749.519716115647,432.42110297588926,513,0.7838066387535222,35421.53035525152,19169.22010208564,94.13092324912554,1,ok,-117.53879729804133,35.689916073420164,7,12.0,13.0
morphology_1h,14,morphology_1h_14,2019-07-05T06:33:49.040000+00:00,2019-07-05T07:33:49.040000+00:00,1.0,149,748871709.1981255,120380.96256630748,450102.5563639807,3951414.403975536,8697.166536535105,463.68332862168364,384,0.649384121094191,49145.71708861132,21349.509823154287,99.24141445137337,1,ok,-117.55158407131758,35.70540376536915,5,13.0,14.0
morphology_1h,15,morphology_1h_15,2019-07-05T07:33:49.040000+00:00,2019-07-05T08:33:49.040000+00:00,1.0,142,389123043.53504616,76799.54046169629,450194.7946127218,3947917.8877411187,11985.015358925306,170.2127695520587,485,0.8290478003407636,26091.38637678161,18693.007810038038,74.74172917524999,1,ok,-117.55034788760352,35.67388386583314,8,14.0,15.0
morphology_1h,16,morphology_1h_16,2019-07-05T08:33:49.040000+00:00,2019-07-05T09:33:49.040000+00:00,1.0,141,834648309.1757756,116940.70080983473,448042.4496473749,3951830.3740089154,7636.4498955192885,911.4649826311025,441,0.7669763942770913,46902.17090623218,25508.674839142488,111.26155589853909,1,ok,-117.57438312234764,35.70904760830687,8,15.0,16.0
morphology_1h,17,morphology_1h_17,2019-07-05T09:33:49.040000+00:00,2019-07-05T10:33:49.040000+00:00,1.0,139,585356464.9568193,106807.15698125442,444120.35429472633,3950174.3127214657,9401.90658765014,5055.551446787181,0,0.6448067470910983,41042.69358347036,25153.42142497831,84.4634816228459,1,ok,-117.61762397281792,35.69390205661301,8,16.0,17.0
morphology_1h,18,morphology_1h_18,2019-07-05T10:33:49.040000+00:00,2019-07-05T11:33:49.040000+00:00,1.0,137,714768759.0577987,107320.03051453778,447182.41491701134,3951830.301575427,7500.57697895439,1656.3999291429216,440,0.779854982597344,35728.08980033511,28100.305449059393,85.9936509175497,1,ok,-117.58389023716579,35.70900120788534,7,17.0,18.0
morphology_1h,19,morphology_1h_19,2019-07-05T11:33:49.040000+00:00,2019-07-05T12:33:49.040000+00:00,1.0,157,642382592.842458,107669.40646070434,449369.93232682144,3948841.32320285,10859.745390337683,1310.1483551368992,329,0.6963362271546564,41643.556315602786,18751.867545306533,99.78165760663597,1,ok,-117.55952035223618,35.68216755233704,6,18.0,19.0
morphology_1h,20,morphology_1h_20,2019-07-05T12:33:49.040000+00:00,2019-07-05T13:33:49.040000+00:00,1.0,149,301032132.24119776,70873.91951583118,448917.26900259446,3948594.992936674,10985.167859028754,1302.8877021513931,204,0.7530950909464526,27293.268704819453,15324.476685961139,92.13379022552681,1,ok,-117.56450694133851,35.67992329080931,10,19.0,20.0
morphology_1h,21,morphology_1h_21,2019-07-05T13:33:49.040000+00:00,2019-07-05T14:33:49.040000+00:00,1.0,135,523430026.5690813,100370.5913844035,446374.39403126156,3945472.434629024,13819.256820739178,2331.3908711843405,31,0.6529133224346608,39503.4762235766,22004.03610635581,67.92289677001963,1,ok,-117.59239850676056,35.65163538853821,6,20.0,21.0
morphology_1h,22,morphology_1h_22,2019-07-05T14:33:49.040000+00:00,2019-07-05T15:33:49.040000+00:00,1.0,148,343217919.6661272,76975.24995770706,447997.33204384195,3949913.0736073614,9510.921150341472,2097.577403379645,254,0.7279098612412178,30304.140827995976,16090.956508535386,93.26167186819646,1,ok,-117.57475779566484,35.691758962369406,9,21.0,22.0
morphology_1h,23,morphology_1h_23,2019-07-05T15:33:49.040000+00:00,2019-07-05T16:33:49.040000+00:00,1.0,162,323621580.9322066,72934.44522465265,449631.45129099244,3948606.0177957225,11158.890148557688,958.3873221511087,414,0.7645078893318843,26552.91530285263,17755.115004164603,90.93710365831055,1,ok,-117.55661565534514,35.680059435790476,10,22.0,23.0
morphology_1h,24,morphology_1h_24,2019-07-05T16:33:49.040000+00:00,2019-07-05T17:33:49.040000+00:00,1.0,152,462685305.75052106,86063.0551672643,445303.0104407405,3949324.4731631423,10029.114178368362,3701.2378695853663,0,0.7849862559743711,27021.298601170656,23066.12338299116,131.61410124184596,1,ok,-117.60449520921442,35.68630633722696,8,23.0,24.0
morphology_1h,25,morphology_1h_25,2019-07-05T17:33:49.040000+00:00,2019-07-05T18:33:49.040000+00:00,1.0,146,756727096.9785944,116040.7819102786,447042.6736865509,3949424.8063795366,9886.697507058969,2663.5002259468442,52,0.7062002329742071,48292.337774420106,21452.128400530455,127.91965127292121,1,ok,-117.58527647789283,35.68730593667215,9,24.0,25.0
morphology_1h,26,morphology_1h_26,2019-07-05T18:33:49.040000+00:00,2019-07-05T19:33:49.040000+00:00,1.0,141,360061107.271544,80247.34970362292,450417.87060160533,3952246.196739702,8102.614533811771,1053.2658277862533,371,0.7026267510604541,30062.971705036125,15345.919101703355,87.47679867069905,1,ok,-117.54814996294698,35.71291910467701,7,25.0,26.0
morphology_1h,27,morphology_1h_27,2019-07-05T19:33:49.040000+00:00,2019-07-05T20:33:49.040000+00:00,1.0,142,638470367.6997306,117294.05791706976,448103.7687010604,3947982.458719921,11434.403512314815,940.4475715902024,59,0.583174582333693,44254.65197094044,22281.400124261912,7.252272108225753,1,ok,-117.57345688864913,35.67435821160376,4,26.0,27.0
morphology_1h,28,morphology_1h_28,2019-07-05T20:33:49.040000+00:00,2019-07-05T21:33:49.040000+00:00,1.0,141,498357596.7544308,90688.45379577967,446923.91108448175,3947459.2080197763,11843.312815282845,1352.7745465012322,57,0.7614597502825836,29057.97615692123,21775.500634302516,79.39806672745146,1,ok,-117.58645927968259,35.66957780446428,10,27.0,28.0
morphology_1h,29,morphology_1h_29,2019-07-05T21:33:49.040000+00:00,2019-07-05T22:33:49.040000+00:00,1.0,144,686508268.1476495,104986.38007999976,449337.4447490761,3947760.934923876,11895.007886843312,386.17553059110634,267,0.7826898701670769,31914.95688118891,30035.176917895013,79.73992376669833,1,ok,-117.55981132672112,35.6724251050663,9,28.0,29.0
morphology_1h,30,morphology_1h_30,2019-07-05T22:33:49.040000+00:00,2019-07-05T23:33:49.040000+00:00,1.0,135,486121678.0145113,87495.61803213286,446736.5733984062,3946076.624744738,13218.889345498741,1700.5260176515626,56,0.7979620658945874,28064.891918401194,24174.61007942729,59.18170337162701,1,ok,-117.58843768048293,35.6571023713445,8,29.0,30.0
morphology_1h,31,morphology_1h_31,2019-07-05T23:33:49.040000+00:00,2019-07-06T00:33:49.040000+00:00,1.0,116,432414415.63839537,86996.7754456502,450593.65960723686,3949579.075282764,10572.879641125779,623.9427367035062,551,0.7179657324925183,31502.72400610655,15087.561723322664,82.99039014059684,1,ok,-117.54604264295793,35.68888121797732,6,30.0,31.0
morphology_1h,32,morphology_1h_32,2019-07-06T00:33:49.040000+00:00,2019-07-06T01:33:49.040000+00:00,1.0,113,586527952.6704665,111715.47447197756,446363.18266370415,3955579.947925864,3712.057672379681,343.88352198634266,419,0.5905707180472604,39979.09879722252,27057.285852253677,147.36690862334672,1,ok,-117.5931968786,35.742763264352554,5,31.0,32.0
morphology_1h,33,morphology_1h_33,2019-07-06T01:33:49.040000+00:00,2019-07-06T02:33:49.040000+00:00,1.0,118,454406438.9595317,90349.72972956055,449055.9133375652,3944820.227556665,14710.204524897348,1450.9688154343946,896,0.6995207881015818,34373.74251742773,17153.478125685495,81.52859815423739,1,ok,-117.56273601211002,35.645897124637315,5,32.0,33.0
morphology_1h,34,morphology_1h_34,2019-07-06T02:33:49.040000+00:00,2019-07-06T03:19:53.040000+00:00,0.7677777777777778,96,588414783.2286127,104426.95517735787,447881.5150234061,3940575.3970226147,18773.513118854797,590.4944809550843,5270,0.6780601303658607,40512.982252483926,23747.48873604075,69.03899818938402,1,ok,-117.57543370588103,35.607564218288985,8,33.0,33.76777777777778
