interval_label,geometry_type,component_index,ring_type,point_order,x_m,y_m,longitude,latitude
morphology_1h_25,alpha_shape,8,exterior,2,448189.4174900961,3956847.22934415,-117.57308243840373,35.75428679518505
morphology_1h_25,alpha_shape,8,exterior,3,448221.1127137092,3956731.0264190254,-117.57272436272501,35.75324079518506
morphology_1h_25,alpha_shape,8,exterior,4,447832.880789718,3956140.791132022,-117.576979976289,35.74789879518506
morphology_1h_26,alpha_shape,0,exterior,0,446400.3685352078,3939628.617065476,-117.59172324230316,35.59894879518505
morphology_1h_26,alpha_shape,0,exterior,1,446477.70477511047,3939365.399334622,-117.5908520722196,35.59657979518505
morphology_1h_26,alpha_shape,0,exterior,2,445831.086661157,3939607.656817289,-117.59800622650731,35.59872879518504
morphology_1h_26,alpha_shape,0,exterior,3,446051.7664489887,3940017.4741444495,-117.59559749269029,35.60243579518504
morphology_1h_26,alpha_shape,0,exterior,4,446723.335123295,3940015.653487321,-117.58818349412655,35.60245579518506
morphology_1h_26,alpha_shape,0,exterior,5,446400.3685352078,3939628.617065476,-117.59172324230316,35.59894879518505
morphology_1h_26,alpha_shape,1,exterior,0,446635.6509434088,3940519.834761563,-117.58918482026205,35.60699679518505
morphology_1h_26,alpha_shape,1,exterior,1,447240.1400268026,3940160.205029489,-117.58248758971166,35.603786795185044
morphology_1h_26,alpha_shape,1,exterior,2,446723.335123295,3940015.653487321,-117.58818349412655,35.60245579518506
morphology_1h_26,alpha_shape,1,exterior,3,446635.6509434088,3940519.834761563,-117.58918482026205,35.60699679518505
morphology_1h_26,alpha_shape,2,exterior,0,451115.174069616,3954074.4906974775,-117.54055264161948,35.72943779518504
morphology_1h_26,alpha_shape,2,exterior,1,451615.5511605129,3954473.369377961,-117.53504390330998,35.733058795185045
morphology_1h_26,alpha_shape,2,exterior,2,451583.70515830175,3953750.491658959,-117.53535243221411,35.726539795185055
morphology_1h_26,alpha_shape,2,exterior,3,451308.8195598693,3953960.95860897,-117.53840456834588,35.72842379518505
morphology_1h_26,alpha_shape,2,exterior,4,450904.9069009422,3953843.6183384648,-117.54286349045152,35.72734579518505
morphology_1h_26,alpha_shape,2,exterior,5,450819.33582518913,3954352.3030099375,-117.54384082156733,35.731927795185044
morphology_1h_26,alpha_shape,2,exterior,6,451115.174069616,3954074.4906974775,-117.54055264161948,35.72943779518504
morphology_1h_26,alpha_shape,3,exterior,0,452606.7310824236,3953878.17689452,-117.52404851899304,35.72774079518504
morphology_1h_26,alpha_shape,3,exterior,1,452449.79999751184,3953857.8318320047,-117.52578250519188,35.72754979518505
morphology_1h_26,alpha_shape,3,exterior,2,452477.8214069556,3954281.8179647103,-117.52549778152884,35.73137379518505
morphology_1h_26,alpha_shape,3,exterior,3,452735.80368760286,3954498.941049932,-117.522657923909,35.73334379518505
morphology_1h_26,alpha_shape,3,exterior,4,452606.7310824236,3953878.17689452,-117.52404851899304,35.72774079518504
morphology_1h_26,alpha_shape,4,exterior,0,448330.6218873945,3956452.433079515,-117.57149518143024,35.75073479518504
morphology_1h_26,alpha_shape,4,exterior,1,448155.0530441213,3955986.725432706,-117.57340687705607,35.74652679518505
morphology_1h_26,alpha_shape,4,exterior,2,448025.4153002329,3956099.9526964766,-117.57484795039521,35.74754079518505
morphology_1h_26,alpha_shape,4,exterior,3,447774.8096090411,3956276.450031289,-117.57763106453385,35.74911879518505
morphology_1h_26,alpha_shape,4,exterior,4,448330.6218873945,3956452.433079515,-117.57149518143024,35.75073479518504
morphology_1h_26,alpha_shape,5,exterior,0,448995.30128528335,3956618.28490328,-117.56415429211434,35.75226479518504
morphology_1h_26,alpha_shape,5,exterior,1,449412.0284478145,3956028.267972753,-117.5595079088793,35.74696679518505
morphology_1h_26,alpha_shape,5,exterior,2,449013.3498636361,3956040.422905,-117.56391791531637,35.74705579518504
morphology_1h_26,alpha_shape,5,exterior,3,448995.30128528335,3956618.28490328,-117.56415429211434,35.75226479518504
morphology_1h_26,alpha_shape,6,exterior,0,448330.6218873945,3956452.433079515,-117.57149518143024,35.75073479518504
morphology_1h_26,alpha_shape,6,exterior,1,448310.9987932862,3957125.472402325,-117.57175562038152,35.75680179518504
morphology_1h_26,alpha_shape,6,exterior,2,448665.7778539399,3957034.0126947328,-117.56782556205931,35.75599579518506
morphology_1h_26,alpha_shape,6,exterior,3,448995.30128528335,3956618.28490328,-117.56415429211434,35.75226479518504
morphology_1h_26,alpha_shape,6,exterior,4,448330.6218873945,3956452.433079515,-117.57149518143024,35.75073479518504
morphology_1h_27,alpha_shape,0,exterior,0,445096.5775380258,3936422.2874077065,-117.60589816303536,35.56996879518505
morphology_1h_27,alpha_shape,0,exterior,1,445255.9005313609,3935812.9520177497,-117.60409876983024,35.56448379518503
morphology_1h_27,alpha_shape,0,exterior,2,444964.3904750456,3935655.0300366585,-117.60730466661806,35.563043795185045
morphology_1h_27,alpha_shape,0,exterior,3,444654.9554733422,3936077.52472484,-117.61074793842586,35.56683579518505
morphology_1h_27,alpha_shape,0,exterior,4,445096.5775380258,3936422.2874077065,-117.60589816303536,35.56996879518505
morphology_1h_27,alpha_shape,1,exterior,0,443120.7606042072,3936273.059888997,-117.62769105857649,35.568511795185046
morphology_1h_27,alpha_shape,1,exterior,1,442848.64864385856,3935934.072299788,-117.63066983835567,35.56543979518504
morphology_1h_27,alpha_shape,1,exterior,2,442816.7136667388,3935900.0046001975,-117.6310198162064,35.56513079518505
morphology_1h_27,alpha_shape,1,exterior,3,442641.3351659213,3936267.1440022048,-117.6329810527695,35.56843079518506
morphology_1h_27,alpha_shape,1,exterior,4,443120.7606042072,3936273.059888997,-117.62769105857649,35.568511795185046
morphology_1h_27,alpha_shape,2,exterior,0,453277.8666998455,3946078.733201325,-117.51617444894552,35.65745279518505
morphology_1h_27,alpha_shape,2,exterior,1,452783.7101552757,3946249.153364497,-117.52164355789677,35.65896579518504
morphology_1h_27,alpha_shape,2,exterior,2,453124.8550753119,3946680.242242028,-117.51789983898969,35.662868795185055
morphology_1h_27,alpha_shape,2,exterior,3,453442.229719016,3946949.313684166,-117.51440901481736,35.66530979518505
morphology_1h_27,alpha_shape,2,exterior,4,453680.4125202092,3947292.898212508,-117.51179723879235,35.66841879518505
morphology_1h_27,alpha_shape,2,exterior,5,453547.0296762532,3947700.6446024654,-117.51329450322656,35.67208879518503
morphology_1h_27,alpha_shape,2,exterior,6,453895.3775607809,3947259.727311168,-117.50942021797114,35.66812979518504
morphology_1h_27,alpha_shape,2,exterior,7,453831.4451935561,3946865.09831548,-117.51010396144018,35.66456879518504
morphology_1h_27,alpha_shape,2,exterior,8,453777.9899018275,3946343.753113,-117.51066462270973,35.659865795185056
morphology_1h_27,alpha_shape,2,exterior,9,453585.6211497103,3946041.40835973,-117.51277242575934,35.65713079518504
morphology_1h_27,alpha_shape,2,exterior,10,453530.5370740463,3945786.707567375,-117.51336626022636,35.65483179518504
morphology_1h_27,alpha_shape,2,exterior,11,453277.8666998455,3946078.733201325,-117.51617444894552,35.65745279518505
morphology_1h_27,alpha_shape,3,exterior,0,455593.3637408619,3948356.330912229,-117.49071993607974,35.67809479518504
morphology_1h_27,alpha_shape,3,exterior,1,455348.3552343245,3948111.9973133584,-117.49341377650157,35.675880795185044
morphology_1h_27,alpha_shape,3,exterior,2,455146.1474834846,3948322.86221524,-117.49565991286994,35.67777279518504
morphology_1h_27,alpha_shape,3,exterior,3,454956.7136974141,3949022.460474992,-117.49779236697036,35.68407179518505
morphology_1h_27,alpha_shape,3,exterior,4,455368.7709170653,3948651.7073423816,-117.49321812732266,35.68074779518505
morphology_1h_27,alpha_shape,3,exterior,5,455593.3637408619,3948356.330912229,-117.49071993607974,35.67809479518504
morphology_1h_27,alpha_shape,4,exterior,0,451123.8437373104,3954852.06537552,-117.54050414834845,35.736448795185034
morphology_1h_27,alpha_shape,4,exterior,1,451062.80727575725,3954322.562567274,-117.54114680306564,35.73167179518504
morphology_1h_27,alpha_shape,4,exterior,2,450991.7332280594,3954109.0006003887,-117.54191966366014,35.729742795185054
morphology_1h_27,alpha_shape,4,exterior,3,451401.27979543805,3953632.810411486,-117.53736235490501,35.72546979518504
morphology_1h_27,alpha_shape,4,exterior,4,450887.1213096027,3953287.7022566,-117.54302612827551,35.72233279518505
morphology_1h_27,alpha_shape,4,exterior,5,450320.54271074745,3953055.273085399,-117.54927597484917,35.72020879518505
morphology_1h_27,alpha_shape,4,exterior,6,450737.8422023761,3953444.6972266273,-117.54468622999076,35.723740795185044
morphology_1h_27,alpha_shape,4,exterior,7,450757.40638081,3953663.9776249263,-117.54448337289523,35.725718795185045
morphology_1h_27,alpha_shape,4,exterior,8,450975.3427901413,3954072.045673248,-117.54209863952387,35.729408795185044
morphology_1h_27,alpha_shape,4,exterior,9,450694.6866069112,3954429.304170714,-117.54522387129177,35.73261579518505
morphology_1h_27,alpha_shape,4,exterior,10,450496.6905948667,3955094.6755010416,-117.54745430421136,35.73860479518504
morphology_1h_27,alpha_shape,4,exterior,11,451026.7767765414,3954878.776609797,-117.54157916540869,35.73668479518505
morphology_1h_27,alpha_shape,4,exterior,12,451265.2879056311,3955020.432038707,-117.538950258593,35.73797379518504
morphology_1h_27,alpha_shape,4,exterior,13,451123.8437373104,3954852.06537552,-117.54050414834845,35.736448795185034
morphology_1h_27,alpha_shape,5,exterior,0,449634.3121416121,3954988.504472877,-117.55698423184434,35.73760379518505
morphology_1h_27,alpha_shape,5,exterior,1,449471.36787162727,3955327.0566872335,-117.55880745192049,35.74064779518504
morphology_1h_27,alpha_shape,5,exterior,2,449436.5002030005,3955397.686502876,-117.55919749783413,35.74128279518506
morphology_1h_27,alpha_shape,5,exterior,3,449557.6916998153,3955369.378538874,-117.55785547982998,35.74103379518505
morphology_1h_27,alpha_shape,5,exterior,4,450179.13561137137,3955555.4195952415,-117.5509946034047,35.74274279518505
morphology_1h_27,alpha_shape,5,exterior,5,450496.6905948667,3955094.6755010416,-117.54745430421136,35.73860479518504
morphology_1h_27,alpha_shape,5,exterior,6,450053.90681301214,3955005.098356383,-117.55234524420648,35.73777479518505
morphology_1h_27,alpha_shape,5,exterior,7,449634.3121416121,3954988.504472877,-117.55698423184434,35.73760379518505
morphology_1h_27,alpha_shape,6,exterior,0,448948.8252435578,3957632.6530155856,-117.56473295371626,35.76140779518505
morphology_1h_27,alpha_shape,6,exterior,1,449064.5592967838,3957286.263320297,-117.56343072813168,35.75829079518505
morphology_1h_27,alpha_shape,6,exterior,2,448620.8067865321,3957531.618867897,-117.56835488655112,35.76047979518505
morphology_1h_27,alpha_shape,6,exterior,3,448948.8252435578,3957632.6530155856,-117.56473295371626,35.76140779518505
morphology_1h_27,alpha_shape,7,exterior,0,450082.8755004001,3958888.521994199,-117.55226677768086,35.77278879518505
morphology_1h_27,alpha_shape,7,exterior,1,449568.046735654,3959166.730702168,-117.55797995743484,35.77527079518506
morphology_1h_27,alpha_shape,7,exterior,2,449808.2304032349,3959235.797951453,-117.555327003427,35.77590579518503
morphology_1h_27,alpha_shape,7,exterior,3,450426.8345775592,3959089.233198746,-117.54847390999561,35.77461579518505
morphology_1h_27,alpha_shape,7,exterior,4,450082.8755004001,3958888.521994199,-117.55226677768086,35.77278879518505
morphology_1h_28,alpha_shape,0,exterior,0,444856.8975037973,3935934.971888836,-117.6085098471008,35.56556179518504
morphology_1h_28,alpha_shape,0,exterior,1,445099.4919977445,3936171.8282259535,-117.60584900115242,35.56771079518506
morphology_1h_28,alpha_shape,0,exterior,2,445241.06396735465,3936040.96876442,-117.60427791713526,35.56653879518505
morphology_1h_28,alpha_shape,0,exterior,3,445142.340105312,3935811.8745489535,-117.6053517686834,35.564467795185045
morphology_1h_28,alpha_shape,0,exterior,4,445113.1969643303,3935639.5843340894,-117.605661657229,35.562912795185056
morphology_1h_28,alpha_shape,0,exterior,5,445019.297320806,3935474.569386256,-117.60668655022653,35.56141979518505
morphology_1h_28,alpha_shape,0,exterior,6,444766.0839623536,3935549.223895201,-117.6094855974557,35.56207879518505
morphology_1h_28,alpha_shape,0,exterior,7,444762.97089651576,3935765.8559243274,-117.60953473743228,35.564031795185066
morphology_1h_28,alpha_shape,0,exterior,8,444856.8975037973,3935934.971888836,-117.6085098471008,35.56556179518504
morphology_1h_28,alpha_shape,1,exterior,0,450897.5584392176,3944287.217964797,-117.54236127799958,35.64118479518505
morphology_1h_28,alpha_shape,1,exterior,1,450701.6214142195,3943756.140535178,-117.54449293282634,35.63638679518505
morphology_1h_28,alpha_shape,1,exterior,2,450496.2296174854,3944325.043858284,-117.54679630109557,35.64150579518504
morphology_1h_28,alpha_shape,1,exterior,3,450897.5584392176,3944287.217964797,-117.54236127799958,35.64118479518505
morphology_1h_28,alpha_shape,2,exterior,0,453868.3289207622,3947015.193812781,-117.50970505904773,35.66592379518504
morphology_1h_28,alpha_shape,2,exterior,1,453511.23867683,3946764.393665784,-117.51363589495548,35.66364579518505
morphology_1h_28,alpha_shape,2,exterior,2,452928.7082246423,3946368.059969909,-117.52004863560063,35.66004479518506
morphology_1h_28,alpha_shape,2,exterior,3,453085.27891397534,3947005.7586147096,-117.51835605025916,35.66580179518505
morphology_1h_28,alpha_shape,2,exterior,4,453072.6064835189,3947109.640039639,-117.51850211768745,35.66673779518504
morphology_1h_28,alpha_shape,2,exterior,5,453380.6064433351,3947144.1777801104,-117.51510114117278,35.667063795185044
morphology_1h_28,alpha_shape,2,exterior,6,453710.59937603096,3947284.6443881015,-117.511463233533,35.668345795185054
morphology_1h_28,alpha_shape,2,exterior,7,453750.1590143815,3947673.410240933,-117.51104848622064,35.671852795185046
morphology_1h_28,alpha_shape,2,exterior,8,453730.345510888,3947252.487795919,-117.51124321271183,35.66805679518505
morphology_1h_28,alpha_shape,2,exterior,9,453795.9365672189,3947123.931476987,-117.51051112943006,35.66690079518505
morphology_1h_28,alpha_shape,2,exterior,10,454481.6613327346,3947255.3761430527,-117.50294221710656,35.66811779518504
morphology_1h_28,alpha_shape,2,exterior,11,453868.3289207622,3947015.193812781,-117.50970505904773,35.66592379518504
morphology_1h_28,alpha_shape,3,exterior,0,453714.0453727301,3948235.4835528415,-117.51147985131517,35.676918795185045
morphology_1h_28,alpha_shape,3,exterior,1,454391.6929831791,3948254.052888256,-117.50399286565852,35.67711779518504
morphology_1h_28,alpha_shape,3,exterior,2,454662.0304823538,3948420.148582401,-117.50101497449931,35.67862779518505
morphology_1h_28,alpha_shape,3,exterior,3,454887.5790931778,3948156.359449165,-117.49850780381746,35.67625979518505
morphology_1h_28,alpha_shape,3,exterior,4,454589.3948689284,3947745.39261364,-117.5017795357978,35.67254079518505
morphology_1h_28,alpha_shape,3,exterior,5,454038.7690603261,3947938.215700039,-117.5078746592436,35.674253795185045
morphology_1h_28,alpha_shape,3,exterior,6,453750.1590143815,3947673.410240933,-117.51104848622064,35.671852795185046
morphology_1h_28,alpha_shape,3,exterior,7,453714.0453727301,3948235.4835528415,-117.51147985131517,35.676918795185045
morphology_1h_28,alpha_shape,4,exterior,0,457399.42234453687,3951993.970164653,-117.470955307805,35.710971795185046
