stage,interval_index,interval_label,start_time,end_time,duration_hours,event_count_actual,area_m2,perimeter_m,centroid_x_m,centroid_y_m,centroid_distance_to_mainshock71_m,nearest_fault_distance_m,fault_points_within_3km,compactness,major_axis_m,minor_axis_m,orientation_deg,component_count,geometry_status,centroid_longitude,centroid_latitude,accepted_triangle_count,hours_since_mainshock64_start,hours_since_mainshock64_end
morphology_1h,11,morphology_1h_11,2019-07-05T03:33:49.040000+00:00,2019-07-05T04:33:49.040000+00:00,1.0,138,1487749.172317009,17939.397577472588,453621.42754928814,3949856.6699679317,11871.6191604544,339.4709100021987,555,0.05809300894973963,17892.05962476243,8520.933921714,77.45764741740169,8,ok,-117.51259677208576,35.69153115256707,25,10.0,11.0
morphology_1h,12,morphology_1h_12,2019-07-05T04:33:49.040000+00:00,2019-07-05T05:33:49.040000+00:00,1.0,149,3164091.2759078527,21777.479390591052,452480.69009000255,3949133.9695792915,11830.359988376991,108.87595253387715,520,0.08383852798677481,17541.042495717327,7665.319924659128,71.3136146455189,8,ok,-117.52516153513005,35.68496091728265,62,11.0,12.0
morphology_1h,13,morphology_1h_13,2019-07-05T05:33:49.040000+00:00,2019-07-05T06:33:49.040000+00:00,1.0,131,1204460.2164974797,16476.776167460426,454191.6536133815,3949143.428125634,12784.57550743886,505.2897842194316,563,0.055751664731096946,7913.828213340504,6154.034393975017,150.21242780742614,8,ok,-117.50625396607525,35.6851271920507,28,12.0,13.0
morphology_1h,14,morphology_1h_14,2019-07-05T06:33:49.040000+00:00,2019-07-05T07:33:49.040000+00:00,1.0,149,1542152.7069794799,18993.594126117376,454186.28344948636,3948036.662139852,13676.629141418616,295.03300525534564,547,0.05371838381381576,10459.64638136615,5622.779009509815,71.50051965447591,10,ok,-117.50625027791457,35.67514826054881,37,13.0,14.0
morphology_1h,15,morphology_1h_15,2019-07-05T07:33:49.040000+00:00,2019-07-05T08:33:49.040000+00:00,1.0,142,1759557.6197093916,18530.22172905603,453090.0090466731,3948431.8006900446,12746.64915872268,153.9564510570322,528,0.06439499666904401,19050.088372641658,7843.771851512505,65.46635815878136,10,ok,-117.51838691931468,35.67865931095305,47,14.0,15.0
morphology_1h,16,morphology_1h_16,2019-07-05T08:33:49.040000+00:00,2019-07-05T09:33:49.040000+00:00,1.0,141,1320404.6836317068,19925.55681436714,450628.425830518,3947027.7643482666,12967.117777466785,987.8934140901001,575,0.04179227251897007,20136.979323807504,9019.935932250632,73.23799738432155,11,ok,-117.54550184933711,35.6658802915102,36,15.0,16.0
morphology_1h,17,morphology_1h_17,2019-07-05T09:33:49.040000+00:00,2019-07-05T10:33:49.040000+00:00,1.0,139,1935096.392929177,21082.967414999646,453086.2300684031,3949026.9033090975,12241.542426794433,290.9574805106092,545,0.054707767474160944,19246.07551157904,8466.070165611081,73.28247539073573,10,ok,-117.51846338740003,35.68402460797811,40,16.0,17.0
morphology_1h,18,morphology_1h_18,2019-07-05T10:33:49.040000+00:00,2019-07-05T11:33:49.040000+00:00,1.0,137,2687835.809061242,16895.294261802246,449021.15519056446,3956030.550788843,4173.846668280409,603.3950074557665,470,0.11832624405178337,12464.043504028476,3023.5611455372505,118.3604321269678,7,ok,-117.56383096358596,35.74696719391665,56,17.0,18.0
morphology_1h,19,morphology_1h_19,2019-07-05T11:33:49.040000+00:00,2019-07-05T12:33:49.040000+00:00,1.0,157,4230354.425244083,24084.236047111364,449224.6281019699,3956399.097731674,4031.7024017434987,968.2814529196397,411,0.09164755193230043,17849.155042978306,11740.434925790441,136.36857322585388,8,ok,-117.56160397257534,35.75030049763244,107,18.0,19.0
morphology_1h,20,morphology_1h_20,2019-07-05T12:33:49.040000+00:00,2019-07-05T13:33:49.040000+00:00,1.0,149,3839439.499573026,21711.240050746484,448933.2049726144,3956203.3201812766,3984.1585632136075,618.7156729762012,439,0.10235485190129352,15454.634317967722,6302.198816832228,91.69003171030232,6,ok,-117.5648146639218,35.74852030001412,76,19.0,20.0
morphology_1h,21,morphology_1h_21,2019-07-05T13:33:49.040000+00:00,2019-07-05T14:33:49.040000+00:00,1.0,135,2465248.3799983817,19230.78829911613,448842.0443350622,3950569.474631423,9053.243969615818,1032.7212599945192,326,0.08376765773746916,22072.482220668116,8729.731966977593,76.29642980215078,7,ok,-117.56546382662027,35.69772126166749,52,20.0,21.0
morphology_1h,22,morphology_1h_22,2019-07-05T14:33:49.040000+00:00,2019-07-05T15:33:49.040000+00:00,1.0,148,2130648.4000755576,21218.37656961847,449683.48566718877,3952868.5515761273,7206.371920874913,921.4759965355393,453,0.0594699189872623,21528.312256065423,11295.094112330928,142.40728706025334,10,ok,-117.55630753478998,35.71849297101928,53,21.0,22.0
