interval_label,geometry_type,component_index,ring_type,point_order,x_m,y_m,longitude,latitude
morphology_1h_05,convex_hull,0,exterior,2,435248.4471691581,3942770.6877620313,-117.71508122971164,35.62660979518505
morphology_1h_05,convex_hull,0,exterior,3,439326.14665046247,3964083.648184206,-117.67166312956182,35.81902079518503
morphology_1h_05,convex_hull,0,exterior,4,458342.4979081136,3952316.6884661024,-117.46054652080431,35.713921795185044
morphology_1h_05,convex_hull,0,exterior,5,460736.9096271985,3949741.483811282,-117.43394985229801,35.690801795185045
morphology_1h_05,convex_hull,0,exterior,6,459582.4987004197,3938759.3368444354,-117.44615772464762,35.59173779518505
morphology_1h_05,convex_hull,0,exterior,7,443286.4936567909,3936472.4255887824,-117.62587618812954,35.570318795185045
morphology_1h_06,convex_hull,0,exterior,0,444212.6524515438,3935511.183613945,-117.61558957065171,35.561704795185044
morphology_1h_06,convex_hull,0,exterior,1,434833.325913572,3940610.5147664617,-117.71949082816316,35.60710679518505
morphology_1h_06,convex_hull,0,exterior,2,436646.5266422604,3973491.184141141,-117.70207228622724,35.90366479518505
morphology_1h_06,convex_hull,0,exterior,3,442853.3775438909,3971850.970900953,-117.63317523664746,35.88925979518503
morphology_1h_06,convex_hull,0,exterior,4,460102.47699063295,3952296.5152317975,-117.44108851293363,35.71381279518504
morphology_1h_06,convex_hull,0,exterior,5,458421.4921696257,3947584.0141378352,-117.45942844313022,35.67125479518506
morphology_1h_06,convex_hull,0,exterior,6,450636.9907981404,3939232.264766344,-117.54493000157866,35.59559579518505
morphology_1h_06,convex_hull,0,exterior,7,445881.5217879993,3935727.949272189,-117.59718971736316,35.56375179518505
morphology_1h_06,convex_hull,0,exterior,8,444212.6524515438,3935511.183613945,-117.61558957065171,35.561704795185044
morphology_1h_07,convex_hull,0,exterior,0,458438.54085708695,3932401.792974256,-117.45845861286172,35.53436879518505
morphology_1h_07,convex_hull,0,exterior,1,432568.3890616325,3933470.38802044,-117.74390020072326,35.54258079518504
morphology_1h_07,convex_hull,0,exterior,2,431490.5961370657,3935896.668762161,-117.75599476251915,35.56438179518505
morphology_1h_07,convex_hull,0,exterior,3,438140.9886134303,3970847.427992569,-117.68530655695034,35.87992579518506
morphology_1h_07,convex_hull,0,exterior,4,451012.2858001937,3960032.861807346,-117.54205452841931,35.78315279518505
morphology_1h_07,convex_hull,0,exterior,5,457140.0634787753,3951023.1768705216,-117.4737706751994,35.702207795185046
morphology_1h_07,convex_hull,0,exterior,6,457311.6833012234,3950718.5600503054,-117.47185747754824,35.69946879518504
morphology_1h_07,convex_hull,0,exterior,7,457432.70051433885,3950462.990793857,-117.47050631166887,35.69716979518505
morphology_1h_07,convex_hull,0,exterior,8,458212.8558698261,3947383.2429963504,-117.4617233120654,35.66943579518506
morphology_1h_07,convex_hull,0,exterior,9,458438.54085708695,3932401.792974256,-117.45845861286172,35.53436879518505
morphology_1h_08,convex_hull,0,exterior,0,450904.291509267,3926134.5263675232,-117.54118554960284,35.477516795185046
morphology_1h_08,convex_hull,0,exterior,1,436492.9988222332,3936593.048442544,-117.7008522365267,35.57099379518503
morphology_1h_08,convex_hull,0,exterior,2,435778.7862338761,3939950.1360470457,-117.7090004050104,35.60121479518506
morphology_1h_08,convex_hull,0,exterior,3,436129.5510388656,3953893.4124451783,-117.70623446162153,35.72694679518504
morphology_1h_08,convex_hull,0,exterior,4,437037.93515486113,3971416.266675289,-117.69757092523243,35.88498379518505
morphology_1h_08,convex_hull,0,exterior,5,459705.6877722273,3965732.409641529,-117.44615128511911,35.83493479518505
morphology_1h_08,convex_hull,0,exterior,6,460004.1514861916,3949222.133782608,-117.4420225124796,35.686089795185055
morphology_1h_08,convex_hull,0,exterior,7,450904.291509267,3926134.5263675232,-117.54118554960284,35.477516795185046
morphology_1h_09,convex_hull,0,exterior,0,428139.99315332016,3929530.994967775,-117.79240063769927,35.50675279518506
