source_row_index,event_time,latitude,longitude,depth_km,magnitude,t_days,x_km,y_km,along_strike_km,cross_strike_km,in_entire_corridor,north_35p70,south_35p70,on_split_35p70,north_35p72,south_35p72,on_split_35p72,north_35p74,south_35p74,on_split_35p74
1920,2019-07-05T06:59:55.320000Z,35.69903779518505,-117.50244844644892,6.021739430000001,2.23,0.5597949074074074,4.2282186773395285,-3.2672131675058163,30.4799321404625,0.918252148514025,True,False,True,False,False,True,False,False,True,False
1921,2019-07-05T07:00:38.370000Z,35.70901079518505,-117.45681916623174,2.86443548,0.73,0.5602931712962963,8.356855934585234,-2.157748005320035,32.41825603723307,4.728692939187639,False,False,False,False,False,False,False,False,False,False
1922,2019-07-05T07:01:05.850000Z,35.72746379518505,-117.54001549897778,4.526556410000001,2.35,0.5606112268518518,0.8279175386842325,-0.11421122565473257,25.861525463021035,0.5013722609908384,True,True,False,False,True,False,False,False,True,False
1923,2019-07-05T07:02:06.980000Z,35.62198279518505,-117.57066389707838,8.30806298,1.16,0.56131875,-1.9474936476308902,-11.817468214664107,32.70105748364691,-9.392561898015538,False,False,False,False,False,False,False,False,False,False
1924,2019-07-05T07:02:22.180000Z,35.72414379518505,-117.55904225910513,4.359618500000001,3.29,0.561494675925926,-0.8935255741878069,-0.48257190143533624,24.983312574612903,-1.0243400647606307,True,True,False,False,True,False,False,False,True,False
1925,2019-07-05T07:03:03.570000Z,35.59823179518505,-117.58902119082369,2.30555639,2.05,0.5619737268518519,-3.6115871193236764,-14.45216460830774,33.545349700005666,-12.39222901664809,False,False,False,False,False,False,False,False,False,False
1926,2019-07-05T07:03:55.700000Z,35.57873379518505,-117.61869179159606,8.61290612,1.28,0.5625770833333333,-6.301832567200502,-16.613997555822294,33.35158048322356,-15.838008428248477,False,False,False,False,False,False,False,False,False,False
1927,2019-07-05T07:04:23.440000Z,35.59502179518505,-117.58770296037304,5.179791710000001,0.96,0.5628981481481482,-3.4922701521895405,-14.808366714215035,33.889889458402614,-12.541924820806573,False,False,False,False,False,False,False,False,False,False
1928,2019-07-05T07:04:31.120000Z,35.71277079518505,-117.5361974376948,5.078177330000001,0.86,0.562987037037037,1.1735640404951386,-1.7444167731850042,27.30423886132199,-0.332665916657814,True,True,False,False,False,True,False,False,True,False
1929,2019-07-05T07:04:45.130000Z,35.68239579518505,-117.49538324613223,5.1435008600000005,1.29,0.5631491898148148,4.868666284773747,-5.113370113211239,32.280393443695566,0.15877357633118558,True,False,True,False,False,True,False,False,True,False
1930,2019-07-05T07:05:33.110000Z,35.65837179518505,-117.51501051512182,4.076549870000001,1.13,0.5637045138888889,3.092857784736975,-7.779698487590604,33.07343485291152,-2.945076960033629,True,False,True,False,False,True,False,False,True,False
1931,2019-07-05T07:05:46.250000Z,35.71886979518505,-117.56082387813524,5.978190410000001,1.2,0.5638565972222223,-1.0547900060548931,-1.0677247991459262,25.310229478355545,-1.5357454506648427,True,True,False,False,False,True,False,False,True,False
1932,2019-07-05T07:06:10.410000Z,35.67520579518505,-117.46752672785313,5.767703480000001,1.05,0.5641362268518518,7.3910078469609815,-5.9093829395374895,34.55979953570251,1.500470726859078,True,False,True,False,False,True,False,False,True,False
1933,2019-07-05T07:07:01.050000Z,35.66224179518505,-117.5212937938297,3.84428843,1.31,0.564722337962963,2.5237789366917616,-7.350491222275838,32.37367579858757,-3.0807489091723768,True,False,True,False,False,True,False,False,True,False
1934,2019-07-05T07:08:02.050000Z,35.65606479518505,-117.5161663490027,4.3378439900000005,0.9,0.5654283564814815,2.9882818924552943,-8.035702064175366,33.193693302348834,-3.1940987538783228,True,False,True,False,False,True,False,False,True,False
1935,2019-07-05T07:08:22.390000Z,35.66887879518505,-117.51577627193409,6.92901068,0.87,0.5656637731481481,3.023121455199099,-6.613941532685135,32.16048786824158,-2.2168048702553844,True,False,True,False,False,True,False,False,True,False
1936,2019-07-05T07:08:36.530000Z,35.634478795185046,-117.55454379558554,9.7306643,0.63,0.5658274305555555,-0.48706446803822256,-10.431210296779861,32.64820097262967,-7.37966085903087,False,False,False,False,False,False,False,False,False,False
1937,2019-07-05T07:08:57.710000Z,35.64133879518505,-117.54206028907984,6.2467427,0.6,0.5660725694444444,0.643611048839824,-9.670067546593483,32.83920905983281,-6.030112297010327,False,False,False,False,False,False,False,False,False,False
