origin_time,latitude,longitude,depth_km,magnitude,event_id,mainshock_id,mainshock_time,mainshock_latitude,mainshock_longitude,mainshock_depth_km,mainshock_magnitude,relative_time_seconds,relative_time_hours,relative_time_days,epicentral_distance_km,depth_diff_km,abs_depth_diff_km,hypocentral_distance_km,distance_band,within_30km,within_60km,within_100km,prepost_flag,magnitude_bin,is_m4plus,is_m5plus,is_m6plus,mag_to_mainshock_gap,is_mainshock_like_event,window_pm7d,window_pm14d,window_pm25d,overlap_mainshock_count_pm25d_100km,shared_across_mainshocks_pm25d_100km
2025-11-03 19:46:32.160000+00:00,39.363664,143.529883,12.47,1.5,EVT_000797,M1,2025-11-09 08:03:39.240000+00:00,39.402,143.507,15.9,6.9,-476227.08,-132.2853,-5.5118875,4.694575844027873,-3.4299999999999997,3.4299999999999997,5.814115784479185,0-30 km,True,True,True,pre,<4,False,False,False,5.4,False,True,True,True,1,False
2025-11-03 19:50:07.200000+00:00,39.359098,143.550667,11.12,1.5,EVT_000798,M1,2025-11-09 08:03:39.240000+00:00,39.402,143.507,15.9,6.9,-476012.04,-132.22556666666665,-5.509398611111111,6.069861581131497,-4.780000000000001,4.780000000000001,7.726035180744142,0-30 km,True,True,True,pre,<4,False,False,False,5.4,False,True,True,True,1,False
2025-11-03 19:54:04.720000+00:00,39.354085,143.550033,11.13,1.6,EVT_000799,M1,2025-11-09 08:03:39.240000+00:00,39.402,143.507,15.9,6.9,-475774.52,-132.1595888888889,-5.506649537037037,6.485923006929982,-4.77,4.77,8.051092922816359,0-30 km,True,True,True,pre,<4,False,False,False,5.300000000000001,False,True,True,True,1,False
2025-11-03 19:55:07.600000+00:00,39.358419,143.571403,10.7,2.0,EVT_000800,M1,2025-11-09 08:03:39.240000+00:00,39.402,143.507,15.9,6.9,-475711.64,-132.1421222222222,-5.50592175925926,7.356869292429183,-5.200000000000001,5.200000000000001,9.009080185340093,0-30 km,True,True,True,pre,<4,False,False,False,4.9,False,True,True,True,1,False
2025-11-03 20:09:20.460000+00:00,39.367782,143.541862,10.22,2.0,EVT_000801,M1,2025-11-09 08:03:39.240000+00:00,39.402,143.507,15.9,6.9,-474858.78,-131.90521666666666,-5.4960506944444445,4.842915752383357,-5.68,5.68,7.464330712440524,0-30 km,True,True,True,pre,<4,False,False,False,4.9,False,True,True,True,1,False
2025-11-03 20:17:06.760000+00:00,39.425903,142.683626,24.97,1.6,EVT_000802,M1,2025-11-09 08:03:39.240000+00:00,39.402,143.507,15.9,6.9,-474392.48,-131.77568888888888,-5.490653703703703,70.78315103775778,9.069999999999999,9.069999999999999,71.3618901854066,60-100 km,False,False,True,pre,<4,False,False,False,5.300000000000001,False,True,True,True,1,False
2025-11-03 20:28:19.120000+00:00,39.358606,143.578939,14.55,2.5,EVT_000803,M1,2025-11-09 08:03:39.240000+00:00,39.402,143.507,15.9,6.9,-473720.12,-131.5889222222222,-5.482871759259259,7.842984470169728,-1.3499999999999996,1.3499999999999996,7.958323026826917,0-30 km,True,True,True,pre,<4,False,False,False,4.4,False,True,True,True,1,False
2025-11-03 20:35:08.800000+00:00,39.362646,143.559001,11.85,2.2,EVT_000804,M1,2025-11-09 08:03:39.240000+00:00,39.402,143.507,15.9,6.9,-473310.44,-131.4751222222222,-5.478130092592592,6.254872626854949,-4.050000000000001,4.050000000000001,7.451572423198968,0-30 km,True,True,True,pre,<4,False,False,False,4.7,False,True,True,True,1,False
2025-11-03 20:41:38.600000+00:00,39.35745,143.550342,14.15,2.2,EVT_000805,M1,2025-11-09 08:03:39.240000+00:00,39.402,143.507,15.9,6.9,-472920.64,-131.36684444444444,-5.473618518518519,6.198113590130458,-1.75,1.75,6.440427942005086,0-30 km,True,True,True,pre,<4,False,False,False,4.7,False,True,True,True,1,False
2025-11-03 20:51:21+00:00,39.351135,143.553011,11.55,1.6,EVT_000806,M1,2025-11-09 08:03:39.240000+00:00,39.402,143.507,15.9,6.9,-472338.24,-131.20506666666665,-5.4668777777777775,6.901436082856263,-4.35,4.35,8.15796052979851,0-30 km,True,True,True,pre,<4,False,False,False,5.300000000000001,False,True,True,True,1,False
