mainshock_id,window_days,space_type,space_label,space_value_km,side,event_count,event_rate_per_day,m4plus_count,m4plus_rate_per_day,m5plus_count,m5plus_rate_per_day,m6plus_count,m6plus_rate_per_day,magbin_<4_count,magbin_4_5_count,magbin_5_6_count,magbin_ge6_count,largest_event_mag,largest_event_time,largest_event_distance_km,largest_event_depth_diff_km
M2,25,cumulative_radius,<=100 km,100.0,pre,139,5.56,1,0.04,0,0.0,0,0.0,138,1,0,0,4.8,2025-11-18 08:21:20.980000+00:00,28.132550047741386,-9.049999999999997
M2,25,cumulative_radius,<=100 km,100.0,post,5745,229.8,53,2.12,12,0.48,4,0.16,5692,41,8,4,6.9,2025-12-12 02:44:13.420000+00:00,57.32449271180654,-37.0
M3,7,cumulative_radius,<=30 km,30.0,pre,41,5.857142857142857,1,0.14285714285714285,1,0.14285714285714285,1,0.14285714285714285,40,0,0,1,7.7,2026-04-20 07:52:58.050000+00:00,0.1579404846486562,-0.08999999999999986
M3,7,cumulative_radius,<=30 km,30.0,post,1588,226.85714285714286,26,3.7142857142857144,5,0.7142857142857143,0,0.0,1562,21,5,0,5.5,2026-04-20 08:33:35.150000+00:00,29.952528671002213,-6.929999999999998
M3,7,cumulative_radius,<=60 km,60.0,pre,84,12.0,1,0.14285714285714285,1,0.14285714285714285,1,0.14285714285714285,83,0,0,1,7.7,2026-04-20 07:52:58.050000+00:00,0.1579404846486562,-0.08999999999999986
M3,7,cumulative_radius,<=60 km,60.0,post,2453,350.42857142857144,40,5.714285714285714,12,1.7142857142857142,0,0.0,2413,28,12,0,5.6,2026-04-20 12:56:46.650000+00:00,37.66050887988819,-7.429999999999998
M3,7,cumulative_radius,<=100 km,100.0,pre,202,28.857142857142858,1,0.14285714285714285,1,0.14285714285714285,1,0.14285714285714285,201,0,0,1,7.7,2026-04-20 07:52:58.050000+00:00,0.1579404846486562,-0.08999999999999986
M3,7,cumulative_radius,<=100 km,100.0,post,2959,422.7142857142857,43,6.142857142857143,12,1.7142857142857142,0,0.0,2916,31,12,0,5.6,2026-04-20 12:56:46.650000+00:00,37.66050887988819,-7.429999999999998
M3,14,cumulative_radius,<=30 km,30.0,pre,72,5.142857142857143,1,0.07142857142857142,1,0.07142857142857142,1,0.07142857142857142,71,0,0,1,7.7,2026-04-20 07:52:58.050000+00:00,0.1579404846486562,-0.08999999999999986
M3,14,cumulative_radius,<=30 km,30.0,post,1850,132.14285714285714,26,1.8571428571428572,5,0.35714285714285715,0,0.0,1824,21,5,0,5.5,2026-04-20 08:33:35.150000+00:00,29.952528671002213,-6.929999999999998
M3,14,cumulative_radius,<=60 km,60.0,pre,162,11.571428571428571,2,0.14285714285714285,1,0.07142857142857142,1,0.07142857142857142,160,1,0,1,7.7,2026-04-20 07:52:58.050000+00:00,0.1579404846486562,-0.08999999999999986
M3,14,cumulative_radius,<=60 km,60.0,post,3073,219.5,44,3.142857142857143,12,0.8571428571428571,0,0.0,3029,32,12,0,5.6,2026-04-20 12:56:46.650000+00:00,37.66050887988819,-7.429999999999998
M3,14,cumulative_radius,<=100 km,100.0,pre,360,25.714285714285715,2,0.14285714285714285,1,0.07142857142857142,1,0.07142857142857142,358,1,0,1,7.7,2026-04-20 07:52:58.050000+00:00,0.1579404846486562,-0.08999999999999986
M3,14,cumulative_radius,<=100 km,100.0,post,3773,269.5,47,3.357142857142857,12,0.8571428571428571,0,0.0,3726,35,12,0,5.6,2026-04-20 12:56:46.650000+00:00,37.66050887988819,-7.429999999999998
M3,25,cumulative_radius,<=30 km,30.0,pre,153,6.12,1,0.04,1,0.04,1,0.04,152,0,0,1,7.7,2026-04-20 07:52:58.050000+00:00,0.1579404846486562,-0.08999999999999986
M3,25,cumulative_radius,<=30 km,30.0,post,1850,74.0,26,1.04,5,0.2,0,0.0,1824,21,5,0,5.5,2026-04-20 08:33:35.150000+00:00,29.952528671002213,-6.929999999999998
M3,25,cumulative_radius,<=60 km,60.0,pre,654,26.16,14,0.56,3,0.12,2,0.08,640,11,1,2,7.7,2026-04-20 07:52:58.050000+00:00,0.1579404846486562,-0.08999999999999986
M3,25,cumulative_radius,<=60 km,60.0,post,3073,122.92,44,1.76,12,0.48,0,0.0,3029,32,12,0,5.6,2026-04-20 12:56:46.650000+00:00,37.66050887988819,-7.429999999999998
M3,25,cumulative_radius,<=100 km,100.0,pre,1077,43.08,17,0.68,3,0.12,2,0.08,1060,14,1,2,7.7,2026-04-20 07:52:58.050000+00:00,0.1579404846486562,-0.08999999999999986
M3,25,cumulative_radius,<=100 km,100.0,post,3773,150.92,47,1.88,12,0.48,0,0.0,3726,35,12,0,5.6,2026-04-20 12:56:46.650000+00:00,37.66050887988819,-7.429999999999998
