event_time,latitude,longitude,depth_km,magnitude,x_km,y_km,hours_since_64,hours_since_71,interval_id
2019-07-06 10:05:03.180000+00:00,35.68221679518505,-117.55282123322708,8.533066250000001,2.28,449.9761613236521,3948.843352351239,40.52059444444445,6.752816666666667,81
2019-07-06 10:05:19.850000+00:00,35.66993579518505,-117.54030434809084,5.3031806,3.06,451.1013123641378,3947.474961551549,40.525225,6.757447222222223,81
2019-07-06 10:06:08.050000+00:00,35.90462879518505,-117.69182735649304,4.0330008500000005,2.4,437.57177819034825,3973.591511548708,40.53861388888889,6.770836111111111,81
2019-07-06 10:06:44.030000+00:00,35.96728279518505,-117.8046569305136,6.5370695,2.17,427.44749431047825,3980.6188764532903,40.548608333333334,6.780830555555556,81
2019-07-06 10:06:49.710000+00:00,35.73064579518505,-117.56342872891672,3.95316098,2.61,449.047125776887,3954.2201108983973,40.55018611111112,6.782408333333333,81
2019-07-06 10:07:20.750000+00:00,35.56323079518505,-117.50387868002092,8.17015775,2.12,454.33732924226166,3935.622908131262,40.55880833333333,6.7910305555555555,81
2019-07-06 10:07:29.900000+00:00,35.984490795185046,-117.71097318925324,10.51454666,2.86,435.9086187709332,3982.46191034279,40.56135,6.793572222222222,81
2019-07-06 10:08:02.120000+00:00,35.86727079518505,-117.6856146359198,9.004847300000002,3.39,438.1033365435774,3969.4439963663817,40.570299999999996,6.802522222222223,81
2019-07-06 10:08:26.350000+00:00,35.78079279518505,-117.60850935743387,9.614533580000002,3.19,445.00479386079155,3959.8063692254195,40.57703055555555,6.809252777777778,81
2019-07-06 10:09:04.150000+00:00,35.88683079518505,-117.73226305973876,6.950785190000001,2.2,433.9081395092361,3971.6440307992893,40.58753055555555,6.8197527777777776,81
2019-07-06 10:09:17.700000+00:00,35.57022079518505,-117.51373518110312,9.27339959,3.62,453.44814545330945,3936.4027689795757,40.59129444444444,6.8235166666666665,81
2019-07-06 10:09:47.270000+00:00,35.91075679518505,-117.72470480324016,4.570105430000001,2.14,434.61001926668894,3974.292711292375,40.59950833333334,6.831730555555556,81
2019-07-06 10:10:20.380000+00:00,35.90188179518505,-117.72500515627348,5.978190410000001,2.73,434.5756126327614,3973.3085357468744,40.60870555555555,6.840927777777778,81
2019-07-06 10:10:33.200000+00:00,35.56479279518505,-117.3748187919788,3.54670346,2.13,466.0337627356163,3935.7439839256795,40.61226666666667,6.844488888888889,81
2019-07-06 10:11:00.100000+00:00,35.89598579518505,-117.7196097266256,6.950785190000001,2.84,435.05768746723464,3972.650978394717,40.61973888888889,6.851961111111112,81
2019-07-06 10:11:29.470000+00:00,35.65582079518505,-117.4554723314342,3.3507328700000003,1.75,458.77159091141704,3945.8705695536255,40.627897222222224,6.860119444444445,81
2019-07-06 10:12:17.800000+00:00,35.91812579518505,-117.73009334063848,3.84428843,1.75,434.1299137861169,3975.1136709753187,40.64132222222222,6.873544444444444,81
2019-07-06 10:12:38.070000+00:00,35.828769795185046,-117.66175983735457,6.457229630000001,1.93,440.22807098527335,3965.1588534265256,40.64695277777778,6.879175,81
2019-07-06 10:13:22.210000+00:00,35.79413079518505,-117.69253532405324,5.368504130000001,2.13,437.42113129098067,3961.3361452378185,40.65921388888889,6.89143611111111,81
2019-07-06 10:13:39.570000+00:00,35.67439579518505,-117.51808766947715,4.1273570600000005,2.02,453.11459530746015,3947.9587908798603,40.66403611111111,6.896258333333333,81
2019-07-06 10:13:48.090000+00:00,35.91578579518505,-117.70592316996834,5.412053150000001,2.14,436.3087412185895,3974.838096103641,40.666402777777776,6.898625,81
2019-07-06 10:14:01.590000+00:00,35.76347479518505,-117.58568110332908,7.008850550000001,2.57,447.0564868103907,3957.873019138005,40.67015277777777,6.902375,81
2019-07-06 10:14:20.220000+00:00,35.691749795185046,-117.54912792067508,4.483007390000001,1.85,450.3162776489718,3949.898787209796,40.675327777777774,6.9075500000000005,81
2019-07-06 10:14:27.940000+00:00,35.76051279518505,-117.58008988893948,1.68861194,2.09,447.559974578307,3957.5414924670636,40.67747222222222,6.909694444444445,81
2019-07-06 10:14:36.930000+00:00,35.56900879518505,-117.45558009420782,10.85568065,2.08,458.7172561432947,3936.242418226002,40.679969444444446,6.912191666666667,81
2019-07-06 10:15:00.900000+00:00,35.61629879518505,-117.4315684885618,5.02011197,3.01,460.91609371638987,3941.477464131477,40.68662777777777,6.91885,81
2019-07-06 10:15:52.010000+00:00,35.906911795185046,-117.73639952291389,6.449971460000001,1.74,433.5515737946407,3973.874131966057,40.700825,6.933047222222222,81
2019-07-06 10:15:58.730000+00:00,35.92904679518505,-117.63391013743288,3.25637666,2.04,442.8156856948425,3976.264378847716,40.70269166666667,6.934913888888889,81
2019-07-06 10:16:06.910000+00:00,35.64775179518505,-117.45945975056908,2.9079845,2.63,458.4064725574711,3944.9773220460584,40.70496388888889,6.937186111111111,81
2019-07-06 10:16:25.980000+00:00,35.554746795185046,-117.3996950720727,3.53944529,2.43,463.77493198604867,3934.638670710571,40.71026111111111,6.942483333333333,81
2019-07-06 10:16:48.120000+00:00,35.846136795185046,-117.55334609907048,2.04426227,2.27,450.0312898360711,3967.024299632686,40.71641111111111,6.948633333333333,81
2019-07-06 10:16:53.990000+00:00,35.561903795185046,-117.4037895849137,5.53544204,2.41,463.4070902335238,3935.4339476867954,40.71804166666667,6.950263888888889,81
2019-07-06 10:17:32.350000+00:00,35.91679479518505,-117.72947424355831,6.217710020000001,2.36,434.18466792384083,3974.965624507519,40.72869722222222,6.960919444444444,81
2019-07-06 10:17:37.560000+00:00,35.875388795185046,-117.71607622668142,5.412053150000001,2.34,435.35984195859555,3970.364114671189,40.73014444444444,6.962366666666667,81
2019-07-06 10:19:17.750000+00:00,35.88153679518505,-117.70993267424016,7.843540100000001,3.03,435.9193811746402,3971.041975818692,40.757974999999995,6.990197222222222,81
2019-07-06 10:19:29.430000+00:00,35.90949079518505,-117.7288307109344,6.0289976,2.47,434.2366853789786,3974.155061788411,40.76121944444445,6.993441666666667,81
2019-07-06 10:19:58.440000+00:00,35.87928679518505,-117.68942451043011,5.484634850000001,3.01,437.76877715871905,3970.7791670544484,40.76927777777777,7.0015,81
2019-07-06 10:20:29.390000+00:00,35.99885879518505,-117.63775624107085,10.41293228,2.18,442.5193479826416,3984.0099130504677,40.777875,7.010097222222222,81
2019-07-06 10:20:44.230000+00:00,35.91427579518505,-117.70275705984554,5.985448580000001,1.95,436.5932000151909,3974.6685534024155,40.78199722222222,7.014219444444444,81
2019-07-06 10:21:08.140000+00:00,35.69673479518505,-117.49916828028452,4.04025902,2.37,454.8393502790181,3950.427548783319,40.78863888888889,7.0208611111111106,81
2019-07-06 10:21:32.820000+00:00,35.87942879518505,-117.70728752076782,5.31043877,2.12,436.15645266298196,3970.8064360138887,40.795494444444444,7.027716666666667,81
2019-07-06 10:21:54.340000+00:00,35.78941479518505,-117.61579298220684,8.968556450000001,2.45,444.3525243501383,3960.7667706928364,40.801472222222216,7.0336944444444445,81
2019-07-06 10:22:23.660000+00:00,35.89155479518505,-117.72429640381618,5.6515727600000005,1.51,434.6310811616252,3972.162637014058,40.80961666666666,7.041838888888889,81
2019-07-06 10:22:35.520000+00:00,35.89469979518505,-117.71993463293002,6.37738976,1.88,435.02731442454666,3972.5085571233026,40.81291111111111,7.045133333333333,81
2019-07-06 10:22:47.590000+00:00,35.82571379518505,-117.64216261544748,3.89509562,1.82,441.9959449240061,3964.8081106040704,40.816263888888884,7.048486111111111,81
2019-07-06 10:22:55.510000+00:00,35.87890879518505,-117.71378948291182,4.81688321,3.06,435.5691201696568,3970.753026134226,40.81846388888889,7.050686111111111,81
2019-07-06 10:23:33.910000+00:00,35.747706795185046,-117.57117796240176,7.241111990000001,2.15,448.35734615919415,3956.116425226075,40.82913055555555,7.061352777777778,81
2019-07-06 10:23:42.730000+00:00,35.91382879518505,-117.70500302724784,5.165275370000001,2.28,436.3901947946461,3974.6204344656267,40.831580555555554,7.063802777777777,81
2019-07-06 10:23:45.010000+00:00,35.75830679518505,-117.94755372928954,20.37114152,2.32,414.3381613717793,3957.5556345832692,40.83221388888889,7.064436111111111,81
2019-07-06 10:24:22.080000+00:00,35.83867379518505,-117.6376145567495,13.998468260000005,1.88,442.4161237803216,3966.2428664500435,40.842511111111115,7.0747333333333335,81
2019-07-06 10:24:31.830000+00:00,35.72637379518505,-117.53387942022007,9.67985711,2.29,451.7168227315499,3953.731354568476,40.845219444444446,7.077441666666667,81
2019-07-06 10:25:06.700000+00:00,35.89326779518505,-117.69376252860414,4.29429497,3.37,437.3882048926627,3972.3326410503378,40.854905555555554,7.087127777777778,81
2019-07-06 10:25:23.570000+00:00,35.89846379518505,-117.72384990718488,5.81851067,3.32,434.67705534121353,3972.928653384894,40.85959166666667,7.091813888888889,81
2019-07-06 10:26:29.840000+00:00,35.90422179518505,-117.72370332682644,5.063660990000001,2.32,434.69501409195533,3973.5672073000387,40.878,7.110222222222222,81
2019-07-06 10:26:50.450000+00:00,35.67168979518505,-117.45419647447514,7.22659565,1.96,458.8952142429988,3947.630058377265,40.883725,7.115947222222222,81
2019-07-06 10:27:59+00:00,35.68462579518505,-117.54287740691544,9.82502051,3.36,450.8774464748104,3949.1055167880368,40.902766666666665,7.134988888888889,81
2019-07-06 10:28:42.670000+00:00,35.90428679518505,-117.72625033156432,6.1596446600000005,3.15,434.46522915342507,3973.5761223710942,40.91489722222222,7.147119444444445,81
2019-07-06 10:29:15.310000+00:00,35.66849179518505,-117.47638824405176,3.83703026,2.31,456.8851245693377,3947.284880056132,40.923963888888885,7.156186111111111,81
2019-07-06 10:29:30.220000+00:00,35.83040579518505,-117.70228695616412,10.57261202,2.37,436.56879806007896,3965.3658167255026,40.928105555555554,7.160327777777778,81
2019-07-06 10:30:06.150000+00:00,35.93032479518505,-117.68747523070364,3.5975106500000003,1.88,437.9845674487916,3976.4388265169255,40.938086111111105,7.170308333333334,81
2019-07-06 10:30:36.640000+00:00,35.77671979518505,-117.596521062386,7.444340750000001,1.86,446.08552186863125,3959.347960858277,40.946555555555555,7.1787777777777775,81
2019-07-06 10:30:40.230000+00:00,35.92413179518505,-117.7357487787821,6.0289976,1.83,433.6246819801122,3975.783661840866,40.94755277777778,7.179774999999999,81
2019-07-06 10:30:54.610000+00:00,35.816493795185046,-117.63142794615324,4.657203470000001,1.72,442.95898249448487,3963.779180545495,40.951547222222224,7.183769444444445,81
2019-07-06 10:31:11.550000+00:00,35.67173879518505,-117.47966047800598,3.42331457,1.94,456.5907312667443,3947.6464448377646,40.95625277777778,7.1884749999999995,81
2019-07-06 10:31:38.230000+00:00,35.777650795185046,-117.72583412982236,2.67572306,2.26,434.3985937127755,3959.5300751597956,40.96366388888889,7.19588611111111,81
2019-07-06 10:31:43.550000+00:00,35.646225795185046,-117.45165564074256,4.265262290000001,3.61,459.1121826832424,3944.8048007826364,40.96514166666667,7.197363888888888,81
2019-07-06 10:32:24.860000+00:00,35.76344179518505,-117.55397510094038,7.132239440000001,2.19,449.9226066786447,3957.8526991032195,40.97661666666667,7.208838888888889,81
2019-07-06 10:32:43.100000+00:00,35.71539979518505,-117.52027962753228,5.774961650000001,2.7,452.9403236879666,3952.507611108434,40.98168333333333,7.213905555555556,81
2019-07-06 10:33:07.360000+00:00,35.83004379518505,-117.61655292987416,10.25325254,2.24,444.31222251590094,3965.27349253391,40.988422222222226,7.220644444444444,81
2019-07-06 10:33:37.600000+00:00,35.88390079518505,-117.73001684636952,5.150759030000001,2.15,434.1084521937826,3971.3175322444654,40.99682222222222,7.229044444444445,81
2019-07-06 10:33:44.410000+00:00,35.71699879518505,-117.67196474300653,8.4241937,2.13,439.22132796947506,3952.768293347108,40.99871388888889,7.230936111111111,81
2019-07-06 10:34:32.560000+00:00,35.87994979518505,-117.7203325586976,5.368504130000001,2.64,434.97934429782464,3970.872821143344,41.01208888888888,7.244311111111111,82
2019-07-06 10:34:56.400000+00:00,35.91411379518505,-117.73303004803152,6.174161000000001,2.62,433.86161542531073,3974.670660997666,41.01871111111111,7.250933333333333,82
2019-07-06 10:35:17.790000+00:00,35.55657779518505,-117.35938020325734,6.943527020000001,3.36,467.42949672952193,3934.82766751488,41.024652777777774,7.256875,82
2019-07-06 10:35:50.030000+00:00,35.90877079518505,-117.7008436584408,7.001592380000001,2.31,436.76145994158975,3974.0567226251674,41.03360833333333,7.265830555555556,82
2019-07-06 10:36:10.310000+00:00,35.67828179518505,-117.52199394955892,2.98782437,2.86,452.7633754272905,3948.3916588324764,41.03924166666666,7.271463888888889,82
2019-07-06 10:36:26.240000+00:00,35.97022879518505,-117.27540114593324,5.455602170000001,3.17,475.16939371250277,3980.681451563162,41.04366666666667,7.275888888888889,82
2019-07-06 10:36:42.500000+00:00,35.68042979518505,-117.56470310439816,4.243487780000001,2.28,448.8998407948124,3948.651271588213,41.048183333333334,7.280405555555555,82
2019-07-06 10:37:08.790000+00:00,35.88466979518505,-117.69379490236685,5.862059690000001,3.15,437.3785133248012,3971.37901353023,41.05548611111111,7.287708333333334,82
2019-07-06 10:37:27.120000+00:00,35.56943979518505,-117.35113712510812,2.71927208,3.63,468.1816516656081,3936.2514625157783,41.06057777777777,7.292800000000001,82
2019-07-06 10:37:33.630000+00:00,35.88594379518505,-117.69610599514216,6.23948453,3.15,437.17091868688425,3971.5218024783953,41.06238611111111,7.294608333333334,82
2019-07-06 10:38:30.890000+00:00,35.91432479518505,-117.73085806341892,6.638683880000001,2.76,434.0577634237754,3974.6925956703185,41.078291666666665,7.310513888888888,82
2019-07-06 10:38:50.780000+00:00,35.79401279518505,-117.34832131549886,3.69912503,2.72,468.5251293847078,3961.1578114057693,41.083816666666664,7.316038888888889,82
2019-07-06 10:39:02.650000+00:00,35.88997979518505,-117.69286728909051,5.4483440000000005,2.66,437.46641557349704,3971.9673787528523,41.08711388888889,7.319336111111111,82
2019-07-06 10:39:42.600000+00:00,35.76389779518505,-117.55608313394838,9.30969044,1.96,449.7323329180558,3957.904353833225,41.09821111111111,7.330433333333334,82
