subset,phase_name,interpretable_window_count,window_count,phase_group,median_b_value,b_value_iqr,median_mc,mc_iqr,robust_windows,usable_with_caution_windows,exploratory_windows,not_interpretable_windows
combined_local,baseline_primary,4,4,baseline,0.7259620878149523,0.058691227237435806,1.2,0.050000000000000044,0.0,0.0,4.0,0.0
combined_local,baseline_sensitivity_M1minus7d,4,4,baseline,0.7259620878149523,0.058691227237435806,1.2,0.050000000000000044,0.0,0.0,4.0,0.0
combined_local,M1_related_primary,31,31,M1_related,0.7510794970184489,0.23833658472828367,1.5,0.3500000000000001,10.0,0.0,21.0,0.0
combined_local,M1_related_sens_M1minus7d_to_M1plus14d,28,28,M1_related,0.7175308754975029,0.22119545033278187,1.6,0.40000000000000013,8.0,0.0,20.0,0.0
combined_local,M1_related_sens_M1minus14d_to_M1plus28d,33,33,M1_related,0.7510794970184489,0.24463332475926058,1.5,0.40000000000000013,12.0,0.0,21.0,0.0
combined_local,middle_primary,14,14,middle,0.6933949039073625,0.04624291705662309,1.4,0.09999999999999987,5.0,0.0,9.0,0.0
combined_local,preM3_primary,8,8,preM3,0.5621653937184425,0.1903502953430274,1.25,0.15000000000000013,1.0,1.0,6.0,0.0
combined_local,preM3_sens_M3minus42d_to_M3,9,9,preM3,0.5542828974554407,0.15896474204196742,1.2,0.10000000000000009,1.0,1.0,7.0,0.0
combined_local,preM3_sens_M3minus28d_to_M3,8,8,preM3,0.5621653937184425,0.1903502953430274,1.25,0.15000000000000013,1.0,1.0,6.0,0.0
combined_local,full_M1_to_M3,48,48,full,0.7053784782824328,0.21441071225090869,1.5,0.20000000000000018,16.0,1.0,31.0,0.0
combined_local,postM3_context,30,30,postM3,0.7208607236566064,0.07965437177984092,1.5,0.17500000000000004,7.0,2.0,21.0,0.0
combined_local_m2aware,baseline_primary,4,4,baseline,0.7043469689223476,0.0262685488985287,1.15,0.125,0.0,1.0,3.0,0.0
combined_local_m2aware,baseline_sensitivity_M1minus7d,4,4,baseline,0.7043469689223476,0.0262685488985287,1.15,0.125,0.0,1.0,3.0,0.0
combined_local_m2aware,M1_related_primary,31,31,M1_related,0.7510794970184489,0.23833658472828367,1.5,0.3500000000000001,10.0,0.0,21.0,0.0
combined_local_m2aware,M1_related_sens_M1minus7d_to_M1plus14d,28,28,M1_related,0.7175308754975029,0.22119545033278187,1.6,0.40000000000000013,8.0,0.0,20.0,0.0
combined_local_m2aware,M1_related_sens_M1minus14d_to_M1plus28d,33,33,M1_related,0.7510794970184489,0.24463332475926058,1.5,0.40000000000000013,12.0,0.0,21.0,0.0
combined_local_m2aware,middle_primary,14,14,middle,0.6933949039073625,0.04483644597636993,1.4,0.09999999999999987,5.0,0.0,9.0,0.0
combined_local_m2aware,preM3_primary,8,8,preM3,0.5621653937184425,0.1903502953430274,1.25,0.15000000000000013,1.0,1.0,6.0,0.0
combined_local_m2aware,preM3_sens_M3minus42d_to_M3,9,9,preM3,0.5542828974554407,0.15896474204196742,1.2,0.10000000000000009,1.0,1.0,7.0,0.0
combined_local_m2aware,preM3_sens_M3minus28d_to_M3,8,8,preM3,0.5621653937184425,0.1903502953430274,1.25,0.15000000000000013,1.0,1.0,6.0,0.0
combined_local_m2aware,full_M1_to_M3,48,48,full,0.7053784782824328,0.22219526931084954,1.5,0.2250000000000001,16.0,1.0,31.0,0.0
combined_local_m2aware,postM3_context,30,30,postM3,0.7208607236566064,0.07965437177984092,1.5,0.17500000000000004,6.0,3.0,21.0,0.0
off_axis_20km,baseline_primary,2,2,baseline,0.712382259269629,0.03267156383103964,1.2,0.0,0.0,0.0,2.0,0.0
off_axis_20km,baseline_sensitivity_M1minus7d,2,2,baseline,0.712382259269629,0.03267156383103964,1.2,0.0,0.0,0.0,2.0,0.0
off_axis_20km,M1_related_primary,14,14,M1_related,0.7027439934806312,0.2657135779969525,1.5,0.07500000000000018,4.0,2.0,8.0,0.0
off_axis_20km,M1_related_sens_M1minus7d_to_M1plus14d,13,13,M1_related,0.6988609778074473,0.27514499032759276,1.5,0.10000000000000009,4.0,2.0,7.0,0.0
off_axis_20km,M1_related_sens_M1minus14d_to_M1plus28d,15,15,M1_related,0.7066270091538153,0.25628216566631223,1.5,0.10000000000000009,4.0,3.0,8.0,0.0
off_axis_20km,middle_primary,7,7,middle,0.7820010592617552,0.0412556342671504,1.3,0.09999999999999987,5.0,1.0,1.0,0.0
off_axis_20km,preM3_primary,3,3,preM3,0.5618584572249762,0.06564810383941178,1.3,0.1499999999999999,1.0,0.0,2.0,0.0
off_axis_20km,preM3_sens_M3minus42d_to_M3,3,3,preM3,0.5618584572249762,0.06564810383941178,1.3,0.1499999999999999,1.0,0.0,2.0,0.0
off_axis_20km,preM3_sens_M3minus28d_to_M3,3,3,preM3,0.5618584572249762,0.06564810383941178,1.3,0.1499999999999999,1.0,0.0,2.0,0.0
off_axis_20km,full_M1_to_M3,21,21,full,0.7788355240708398,0.17341991630015008,1.5,0.19999999999999996,10.0,1.0,10.0,0.0
off_axis_20km,postM3_context,12,12,postM3,0.7202461584574287,0.16768869270545228,1.5,0.20000000000000018,5.0,0.0,7.0,0.0
off_axis_30km,baseline_primary,2,2,baseline,0.6893899963767542,0.03727077088644937,1.2,0.0,0.0,0.0,2.0,0.0
off_axis_30km,baseline_sensitivity_M1minus7d,2,2,baseline,0.6893899963767542,0.03727077088644937,1.2,0.0,0.0,0.0,2.0,0.0
off_axis_30km,M1_related_primary,13,13,M1_related,0.747667489826358,0.25209671046515325,1.5,0.20000000000000018,4.0,0.0,9.0,0.0
off_axis_30km,M1_related_sens_M1minus7d_to_M1plus14d,12,12,M1_related,0.723031183815263,0.2597397905196779,1.5,0.125,4.0,0.0,8.0,0.0
off_axis_30km,M1_related_sens_M1minus14d_to_M1plus28d,14,14,M1_related,0.7722057256301387,0.24790851098539068,1.5,0.20000000000000018,4.0,1.0,9.0,0.0
off_axis_30km,middle_primary,6,6,middle,0.7962603858161494,0.039846500554552744,1.35,0.09999999999999987,3.0,2.0,1.0,0.0
off_axis_30km,preM3_primary,3,3,preM3,0.6174162893378569,0.06776006148595681,1.3,0.09999999999999987,1.0,0.0,2.0,0.0
off_axis_30km,preM3_sens_M3minus42d_to_M3,3,3,preM3,0.6174162893378569,0.06776006148595681,1.3,0.09999999999999987,1.0,0.0,2.0,0.0
