subset,phase_name,phase_group,event_count,largest_mag,second_largest_mag,third_largest_mag,gap_1_2,gap_2_3,count_M4plus,count_M5plus,count_M6plus,companions_within_0p5,companions_within_1p0
combined_local_m2aware,postM3_context,postM3,3186,5.6,5.6,5.5,0.0,0.09999999999999964,43,12,0,10,21
M1_extended,baseline_primary,baseline,299,3.9,3.9,3.6,0.0,0.2999999999999998,0,0,0,7,18
M1_extended,baseline_sensitivity_M1minus7d,baseline,313,3.9,3.9,3.6,0.0,0.2999999999999998,0,0,0,7,19
M1_extended,M1_related_primary,M1_related,3101,6.9,6.6,6.4,0.3000000000000007,0.1999999999999993,81,30,4,2,6
M1_extended,M1_related_sens_M1minus7d_to_M1plus14d,M1_related,2830,6.9,6.6,6.4,0.3000000000000007,0.1999999999999993,79,30,4,2,6
M1_extended,M1_related_sens_M1minus14d_to_M1plus28d,M1_related,3252,6.9,6.6,6.4,0.3000000000000007,0.1999999999999993,82,30,4,2,6
M1_extended,middle_primary,middle,1113,6.1,5.6,5.2,0.5,0.39999999999999947,17,4,1,1,2
M1_extended,preM3_primary,preM3,765,7.7,6.7,5.0,1.0,1.7000000000000002,14,3,2,0,1
M1_extended,preM3_sens_M3minus42d_to_M3,preM3,842,7.7,6.7,5.2,1.0,1.5,15,4,2,0,1
M1_extended,preM3_sens_M3minus28d_to_M3,preM3,712,7.7,6.7,5.0,1.0,1.7000000000000002,14,3,2,0,1
M1_extended,full_M1_to_M3,full,4434,7.7,6.9,6.7,0.7999999999999998,0.20000000000000018,93,30,7,0,2
M1_extended,postM3_context,postM3,2123,5.6,5.5,5.5,0.09999999999999964,0.0,31,8,0,7,15
M3_extended,baseline_primary,baseline,464,3.9,3.7,3.6,0.19999999999999973,0.10000000000000009,0,0,0,9,14
M3_extended,baseline_sensitivity_M1minus7d,baseline,479,3.9,3.7,3.6,0.19999999999999973,0.10000000000000009,0,0,0,9,15
M3_extended,M1_related_primary,M1_related,2007,6.9,6.6,6.4,0.3000000000000007,0.1999999999999993,71,25,4,2,6
M3_extended,M1_related_sens_M1minus7d_to_M1plus14d,M1_related,1840,6.9,6.6,6.4,0.3000000000000007,0.1999999999999993,70,25,4,2,6
M3_extended,M1_related_sens_M1minus14d_to_M1plus28d,M1_related,2118,6.9,6.6,6.4,0.3000000000000007,0.1999999999999993,72,25,4,2,6
M3_extended,middle_primary,middle,1033,6.1,6.1,5.6,0.0,0.5,18,5,2,2,3
M3_extended,preM3_primary,preM3,695,7.7,6.7,5.0,1.0,1.7000000000000002,14,3,2,0,1
M3_extended,preM3_sens_M3minus42d_to_M3,preM3,757,7.7,6.7,5.2,1.0,1.5,15,4,2,0,1
M3_extended,preM3_sens_M3minus28d_to_M3,preM3,661,7.7,6.7,5.0,1.0,1.7000000000000002,14,3,2,0,1
M3_extended,full_M1_to_M3,full,3357,7.7,6.9,6.7,0.7999999999999998,0.20000000000000018,84,27,8,0,2
M3_extended,postM3_context,postM3,3068,5.6,5.6,5.5,0.0,0.09999999999999964,43,12,0,10,21
along_axis_30km,baseline_primary,baseline,168,3.9,3.6,3.5,0.2999999999999998,0.10000000000000009,0,0,0,4,7
along_axis_30km,baseline_sensitivity_M1minus7d,baseline,178,3.9,3.6,3.5,0.2999999999999998,0.10000000000000009,0,0,0,4,7
along_axis_30km,M1_related_primary,M1_related,1829,6.9,6.6,6.4,0.3000000000000007,0.1999999999999993,62,24,4,2,6
along_axis_30km,M1_related_sens_M1minus7d_to_M1plus14d,M1_related,1676,6.9,6.6,6.4,0.3000000000000007,0.1999999999999993,61,24,4,2,6
along_axis_30km,M1_related_sens_M1minus14d_to_M1plus28d,M1_related,1930,6.9,6.6,6.4,0.3000000000000007,0.1999999999999993,63,24,4,2,6
along_axis_30km,middle_primary,middle,759,6.1,5.6,5.2,0.5,0.39999999999999947,16,4,1,1,2
along_axis_30km,preM3_primary,preM3,596,6.7,5.0,4.9,1.7000000000000002,0.09999999999999964,13,2,1,0,0
along_axis_30km,preM3_sens_M3minus42d_to_M3,preM3,653,6.7,5.2,5.0,1.5,0.20000000000000018,14,3,1,0,0
along_axis_30km,preM3_sens_M3minus28d_to_M3,preM3,571,6.7,5.0,4.9,1.7000000000000002,0.09999999999999964,13,2,1,0,0
along_axis_30km,full_M1_to_M3,full,2915,6.9,6.7,6.6,0.20000000000000018,0.10000000000000053,79,24,6,3,7
along_axis_30km,postM3_context,postM3,1795,5.6,5.5,5.5,0.09999999999999964,0.0,26,6,0,5,13
