event_id,time,mag,moment_proxy,within_60km_either_m1_m3,within_60km_m1,within_60km_m3,along_axis_30km,off_axis_30km,m2_related_flag,phase_primary
98,2025-06-04 05:41:05.380000+00:00,1.4,158489319246.11108,False,False,False,False,False,False,baseline_to_M1_minus14d
99,2025-06-04 06:15:35.710000+00:00,1.0,39810717055.34969,True,True,False,False,True,False,baseline_to_M1_minus14d
100,2025-06-04 07:25:09.760000+00:00,1.6,316227766016.83795,False,False,False,False,False,False,baseline_to_M1_minus14d
101,2025-06-04 07:27:21.610000+00:00,1.7,446683592150.9617,False,False,False,False,False,False,baseline_to_M1_minus14d
102,2025-06-04 07:50:46.600000+00:00,1.0,39810717055.34969,False,False,False,False,False,False,baseline_to_M1_minus14d
103,2025-06-04 08:20:44.140000+00:00,2.7,14125375446227.555,False,False,False,False,False,False,baseline_to_M1_minus14d
104,2025-06-04 09:12:36.600000+00:00,1.0,39810717055.34969,False,False,False,False,False,False,baseline_to_M1_minus14d
105,2025-06-04 09:15:37.690000+00:00,1.6,316227766016.83795,False,False,False,False,False,False,baseline_to_M1_minus14d
106,2025-06-04 10:46:01.750000+00:00,0.9,28183829312.644493,False,False,False,False,False,False,baseline_to_M1_minus14d
107,2025-06-04 11:08:21.800000+00:00,1.3,112201845430.19653,False,False,False,False,False,False,baseline_to_M1_minus14d
108,2025-06-04 13:31:40.020000+00:00,1.9,891250938133.744,False,False,False,False,False,False,baseline_to_M1_minus14d
109,2025-06-04 13:50:25.060000+00:00,1.5,223872113856.83377,False,False,False,False,False,False,baseline_to_M1_minus14d
110,2025-06-04 14:49:54.380000+00:00,1.2,79432823472.42789,False,False,False,False,False,False,baseline_to_M1_minus14d
111,2025-06-04 15:32:33.510000+00:00,1.4,158489319246.11108,False,False,False,False,False,False,baseline_to_M1_minus14d
112,2025-06-04 17:18:57.600000+00:00,1.1,56234132519.034904,False,False,False,False,False,False,baseline_to_M1_minus14d
113,2025-06-04 17:42:45.440000+00:00,0.6,10000000000.0,False,False,False,False,False,False,baseline_to_M1_minus14d
114,2025-06-04 18:32:57.280000+00:00,1.6,316227766016.83795,False,False,False,False,False,False,baseline_to_M1_minus14d
115,2025-06-04 19:13:21.640000+00:00,2.9,28183829312644.492,True,False,True,False,True,False,baseline_to_M1_minus14d
116,2025-06-04 19:26:20.240000+00:00,0.6,10000000000.0,False,False,False,False,False,False,baseline_to_M1_minus14d
117,2025-06-05 00:21:08.400000+00:00,0.8,19952623149.688828,False,False,False,False,False,False,baseline_to_M1_minus14d
118,2025-06-05 00:45:29.850000+00:00,1.0,39810717055.34969,False,False,False,False,False,False,baseline_to_M1_minus14d
119,2025-06-05 00:57:06.740000+00:00,1.1,56234132519.034904,False,False,False,False,False,False,baseline_to_M1_minus14d
120,2025-06-05 01:13:56.480000+00:00,1.1,56234132519.034904,False,False,False,False,False,False,baseline_to_M1_minus14d
121,2025-06-05 02:55:42.610000+00:00,0.7,14125375446.227497,False,False,False,False,False,False,baseline_to_M1_minus14d
122,2025-06-05 04:01:57.610000+00:00,1.4,158489319246.11108,False,False,False,False,False,False,baseline_to_M1_minus14d
123,2025-06-05 05:45:41.890000+00:00,1.2,79432823472.42789,False,False,False,False,False,False,baseline_to_M1_minus14d
124,2025-06-05 05:54:18.340000+00:00,1.2,79432823472.42789,False,False,False,False,False,False,baseline_to_M1_minus14d
