event_time,latitude,longitude,depth_km,magnitude
2019-07-24 14:51:25.720000+00:00,35.60472679518505,-117.40085465722107,7.422566240000001,0.22
2019-07-24 14:51:59.570000+00:00,35.55145479518505,-117.43389983624246,3.76444856,1.18
2019-07-24 14:52:32.890000+00:00,35.67722379518505,-117.54143587329871,7.023366890000001,1.35
2019-07-24 14:53:31.790000+00:00,35.62480679518505,-117.59246610008563,8.67822965,0.9
2019-07-24 14:53:38.020000+00:00,35.52852579518505,-117.38278319473174,6.754814600000001,1.66
2019-07-24 14:54:23.300000+00:00,35.938189795185046,-117.66406280483523,3.48137993,0.98
2019-07-24 14:55:12.740000+00:00,35.70384379518505,-117.50644479326884,5.615281910000001,0.41
2019-07-24 14:55:41.490000+00:00,35.781593795185046,-117.52218941546526,4.81688321,0.65
2019-07-24 14:56:07.800000+00:00,36.05912079518505,-117.33392766072323,4.054775360000001,0.92
2019-07-24 14:56:09.790000+00:00,35.63842979518505,-117.44736607979196,3.3434747,0.06
2019-07-24 14:56:20.790000+00:00,35.77777279518505,-117.73293113865957,3.26363483,0.48
2019-07-24 14:56:34.830000+00:00,35.72791979518505,-117.53747653192723,5.528183870000001,0.42
2019-07-24 14:56:46.460000+00:00,35.63129279518505,-117.44138356644808,7.662085850000001,0.09
2019-07-24 14:57:01.400000+00:00,35.65942579518505,-117.45751559102304,6.19593551,0.09
2019-07-24 14:57:17.460000+00:00,35.53961379518505,-117.48432998830107,2.21120018,0.65
2019-07-24 14:57:54.190000+00:00,35.708331795185046,-117.52520311721493,5.985448580000001,1.03
2019-07-24 14:58:26.980000+00:00,35.93928479518505,-117.66295588478604,3.5031544400000003,1.02
2019-07-24 14:58:46.170000+00:00,35.771909795185046,-117.60305571402628,1.34021978,0.63
2019-07-24 14:59:11.980000+00:00,35.95057179518505,-117.70902570915207,4.410425690000001,1.69
2019-07-24 14:59:59.530000+00:00,35.60212979518505,-117.60326347071597,4.61365445,1.86
2019-07-24 15:00:47.990000+00:00,35.67873779518505,-117.51944698242845,3.38702372,0.03
2019-07-24 15:01:18.380000+00:00,35.90651279518505,-117.71707149382713,3.99671,0.44
2019-07-24 15:01:39.310000+00:00,35.61001179518505,-117.44996003684031,4.2289714400000005,0.14
2019-07-24 15:02:16.790000+00:00,35.67696379518505,-117.47282485455862,5.412053150000001,0.41
2019-07-24 15:02:29.170000+00:00,35.77141379518505,-117.59790467810866,5.695121780000001,0.54
2019-07-24 15:02:41.220000+00:00,35.63718079518505,-117.46999798994193,7.393533560000001,0.22
2019-07-24 15:03:02.480000+00:00,35.67280479518505,-117.53857155482204,5.21608256,0.32
2019-07-24 15:03:38.330000+00:00,35.732973795185046,-117.55267089716646,8.41693553,0.99
2019-07-24 15:03:48.050000+00:00,35.58485779518505,-117.37744023092529,4.265262290000001,0.81
2019-07-24 15:04:00.800000+00:00,35.34219779518505,-117.8307029239953,8.03951069,0.97
2019-07-24 15:04:30.880000+00:00,35.66833279518505,-117.4841112325964,4.51204007,0.38
2019-07-24 15:04:51.690000+00:00,35.60155279518505,-117.48562842928163,6.5588440100000005,1.34
2019-07-24 15:05:36.280000+00:00,35.75230979518505,-117.59885529536986,8.641938800000002,0.54
2019-07-24 15:05:55.240000+00:00,35.68099179518505,-117.43648814491279,2.23297469,0.38
2019-07-24 15:06:17.910000+00:00,35.61624179518505,-117.47160748446572,6.56610218,0.29
2019-07-24 15:06:54.180000+00:00,35.767299795185046,-117.59757838022901,5.063660990000001,0.27
2019-07-24 15:07:09.480000+00:00,35.60208179518505,-117.58500146726905,5.20882439,1.56
2019-07-24 15:07:34.240000+00:00,35.64981879518505,-117.48738989934468,5.107210010000001,0.66
2019-07-24 15:08:01.960000+00:00,36.09543679518505,-117.79975133051994,5.375762300000001,0.74
2019-07-24 15:08:22.670000+00:00,35.67993779518505,-117.50246306893074,3.66283418,1.3
2019-07-24 15:09:43.780000+00:00,35.64356079518505,-117.49050544896181,8.10483422,0.7
2019-07-24 15:09:58.480000+00:00,35.61720979518505,-117.45796055402886,3.7063832,0.33
2019-07-24 15:10:08.090000+00:00,35.65335479518505,-117.48833415388908,6.00722309,0.59
2019-07-24 15:10:20.910000+00:00,35.68287179518505,-117.5517882804504,3.98945183,0.42
2019-07-24 15:10:45.950000+00:00,35.67322779518505,-117.53911658530458,5.02737014,0.62
2019-07-24 15:11:22.940000+00:00,35.58080879518505,-117.41941594043948,4.08380804,-0.05
2019-07-24 15:11:52.940000+00:00,35.59550179518505,-117.40639599483062,4.70075249,0.68
2019-07-24 15:12:12.480000+00:00,35.62446079518505,-117.43984507521141,4.2289714400000005,0.2
2019-07-24 15:12:44.470000+00:00,35.591591795185046,-117.42632571416863,4.93301393,-0.46
2019-07-24 15:12:55.900000+00:00,35.70713879518505,-117.54747703109659,7.364500880000001,0.62
2019-07-24 15:13:20.970000+00:00,35.66802779518505,-117.4743052106225,5.361245960000001,0.93
2019-07-24 15:13:50.600000+00:00,35.65969079518505,-117.46785061010698,8.961298280000001,1.34
2019-07-24 15:14:32.000000+00:00,35.34321079518505,-117.91232699581411,1.07892566,0.67
2019-07-24 15:14:45.650000+00:00,35.66196079518505,-117.44189077359098,6.50077865,0.36
