event_time,latitude,longitude,depth_km,magnitude,dist_mw64_km,dist_mw71_km,radius_km,raw_in_mw64,raw_in_mw71,raw_overlap,nearest_hypocenter,assigned_core
2019-07-04 17:41:43.360000+00:00,35.61189179518505,-117.58173917190378,6.6604583900000005,2.81,12.962635681676305,18.254964259188117,4,False,False,False,mw64,outside
2019-07-04 17:42:21.480000+00:00,35.57485179518505,-117.63260751317428,8.816134880000002,3.21,19.066040143419638,22.623225217083494,4,False,False,False,mw64,outside
2019-07-04 17:42:53.820000+00:00,35.72963279518505,-117.551848655711,6.950785190000001,3.36,5.9502358978448155,6.360763847081914,4,False,False,False,mw64,outside
2019-07-04 17:43:29.200000+00:00,35.65521879518505,-117.52899928808988,9.839536850000002,3.63,6.293015438610376,14.611934718914986,4,False,False,False,mw64,outside
2019-07-04 17:43:48.940000+00:00,35.74395579518505,-117.53507669112088,5.593507400000001,3.16,5.769653688044961,6.332586921956385,4,False,False,False,mw64,outside
2019-07-04 17:44:32.580000+00:00,35.68564679518505,-117.49931448053552,3.53944529,4.02,2.115936510368716,13.134231710315948,4,True,False,False,mw64,mw64
2019-07-04 17:45:05.640000+00:00,35.69487979518505,-117.47712214645765,4.766076020000001,3.21,1.838582309346723,13.818534974073012,4,True,False,False,mw64,mw64
2019-07-04 17:45:23.600000+00:00,35.70646379518505,-117.53111898237304,5.615281910000001,3.07,3.374444213825861,9.54175365440639,4,True,False,False,mw64,mw64
2019-07-04 17:45:28.760000+00:00,35.71193279518505,-117.54972337718884,0.97005311,3.18,5.120189577702329,8.128395635657006,4,False,False,False,mw64,outside
2019-07-04 17:46:03.260000+00:00,35.637526795185046,-117.60167101483177,10.7468081,3.07,12.239216385466339,15.40464938539028,4,False,False,False,mw64,outside
2019-07-04 17:46:20.160000+00:00,35.65781479518505,-117.52207447501245,4.99833746,2.88,5.741942377050735,14.611287801461872,4,False,False,False,mw64,outside
2019-07-04 17:46:49.500000+00:00,35.63425079518505,-117.60230577918657,11.01536039,3.24,12.507306087509338,15.770529843788323,4,False,False,False,mw64,outside
2019-07-04 17:47:17.540000+00:00,35.74410179518505,-117.536338701679,6.44271329,3.76,5.856165533912394,6.229527253010795,4,False,False,False,mw64,outside
2019-07-04 17:47:40.720000+00:00,35.72343579518505,-117.55573020795666,4.5338145800000005,3.05,5.983856830642122,6.749662971441136,4,False,False,False,mw64,outside
2019-07-04 17:47:54.600000+00:00,35.72312679518505,-117.55507018563394,4.6426871300000006,3.77,5.9158806958917705,6.809167750967701,4,False,False,False,mw64,outside
2019-07-04 17:48:15.360000+00:00,35.70904779518505,-117.5001051689028,6.19593551,3.11,0.7752263012811083,11.219034418164634,4,True,False,False,mw64,mw64
2019-07-04 17:48:24+00:00,35.64906679518505,-117.53344284521653,4.265262290000001,3.11,7.085079278888998,15.093398907244435,4,False,False,False,mw64,outside
2019-07-04 17:48:57.360000+00:00,35.61270979518505,-117.58391223067468,4.758817850000001,2.68,13.013282987229237,18.15454993877063,4,False,False,False,mw64,outside
2019-07-04 17:49:36+00:00,35.76567579518505,-117.5711622626578,4.649945300000001,2.62,9.760512854788402,2.2840568872195197,4,False,True,False,mw71,mw71
2019-07-04 17:50:13.640000+00:00,35.68669279518505,-117.47127855596212,9.5855009,2.16,2.8232956714611377,14.816052725905022,4,True,False,False,mw64,mw64
2019-07-04 17:50:35.880000+00:00,35.63626479518505,-117.60647192405062,10.9645532,2.27,12.670961016281785,15.572750966237546,4,False,False,False,mw64,outside
2019-07-04 17:50:46.620000+00:00,35.70494979518505,-117.4997958730938,15.892850630000002,2.8,0.5378553220637893,11.546448045285452,4,True,False,False,mw64,mw64
2019-07-04 17:50:48.680000+00:00,35.67456279518505,-117.49508168151252,2.0297459300000003,2.85,3.2898987475456543,14.330232078524451,4,True,False,False,mw64,mw64
2019-07-04 17:51:46.280000+00:00,35.67513279518505,-117.509184722592,6.972559700000001,3.67,3.5083173553207168,13.52780143361368,4,True,False,False,mw64,mw64
2019-07-04 17:52:41.420000+00:00,35.72128679518505,-117.51541405271608,6.508036820000001,2.97,2.7143082211666436,9.282693235930608,4,True,False,False,mw64,mw64
2019-07-04 17:53:14.740000+00:00,35.70113779518505,-117.47822159798308,2.545076,2.41,1.4604905465887228,13.297697678405296,4,True,False,False,mw64,mw64
