cell_id,time_bin_index_30min,time_bin_start_min,time_bin_end_min,event_count
1,12,360.0,390.0,0
1,13,390.0,420.0,0
1,14,420.0,450.0,0
1,15,450.0,480.0,0
1,16,480.0,510.0,0
1,17,510.0,540.0,0
1,18,540.0,570.0,0
1,19,570.0,600.0,0
1,20,600.0,630.0,0
1,21,630.0,660.0,0
1,22,660.0,690.0,0
1,23,690.0,720.0,0
1,24,720.0,750.0,0
1,25,750.0,780.0,0
1,26,780.0,810.0,0
1,27,810.0,840.0,0
1,28,840.0,870.0,0
1,29,870.0,900.0,0
1,30,900.0,930.0,0
1,31,930.0,960.0,0
1,32,960.0,990.0,0
1,33,990.0,1020.0,0
1,34,1020.0,1050.0,0
1,35,1050.0,1080.0,0
1,36,1080.0,1110.0,0
1,37,1110.0,1140.0,0
1,38,1140.0,1170.0,0
1,39,1170.0,1200.0,0
1,40,1200.0,1230.0,0
1,41,1230.0,1260.0,0
1,42,1260.0,1290.0,0
1,43,1290.0,1320.0,0
1,44,1320.0,1350.0,0
1,45,1350.0,1380.0,0
1,46,1380.0,1410.0,0
1,47,1410.0,1440.0,0
1,48,1440.0,1470.0,0
1,49,1470.0,1500.0,0
1,50,1500.0,1530.0,0
1,51,1530.0,1560.0,0
1,52,1560.0,1590.0,0
1,53,1590.0,1620.0,0
1,54,1620.0,1650.0,0
1,55,1650.0,1680.0,0
1,56,1680.0,1710.0,0
1,57,1710.0,1740.0,0
1,58,1740.0,1770.0,0
1,59,1770.0,1800.0,0
1,60,1800.0,1830.0,0
1,61,1830.0,1860.0,0
1,62,1860.0,1890.0,0
1,63,1890.0,1920.0,0
1,64,1920.0,1950.0,0
1,65,1950.0,1980.0,0
1,66,1980.0,2010.0,0
1,67,2010.0,2026.0666666666666,0
2,0,0.0,30.0,0
2,1,30.0,60.0,0
2,2,60.0,90.0,0
2,3,90.0,120.0,0
2,4,120.0,150.0,0
2,5,150.0,180.0,0
2,6,180.0,210.0,0
2,7,210.0,240.0,0
2,8,240.0,270.0,0
2,9,270.0,300.0,0
2,10,300.0,330.0,0
2,11,330.0,360.0,0
2,12,360.0,390.0,0
2,13,390.0,420.0,0
2,14,420.0,450.0,0
2,15,450.0,480.0,0
2,16,480.0,510.0,0
2,17,510.0,540.0,0
2,18,540.0,570.0,0
2,19,570.0,600.0,0
2,20,600.0,630.0,0
2,21,630.0,660.0,0
2,22,660.0,690.0,0
2,23,690.0,720.0,0
2,24,720.0,750.0,0
2,25,750.0,780.0,0
2,26,780.0,810.0,0
2,27,810.0,840.0,0
2,28,840.0,870.0,0
2,29,870.0,900.0,0
2,30,900.0,930.0,0
2,31,930.0,960.0,0
2,32,960.0,990.0,0
2,33,990.0,1020.0,0
2,34,1020.0,1050.0,0
2,35,1050.0,1080.0,0
2,36,1080.0,1110.0,0
2,37,1110.0,1140.0,0
2,38,1140.0,1170.0,0
2,39,1170.0,1200.0,0
2,40,1200.0,1230.0,0
2,41,1230.0,1260.0,0
2,42,1260.0,1290.0,0
2,43,1290.0,1320.0,0
2,44,1320.0,1350.0,0
2,45,1350.0,1380.0,0
2,46,1380.0,1410.0,0
2,47,1410.0,1440.0,0
2,48,1440.0,1470.0,0
2,49,1470.0,1500.0,0
2,50,1500.0,1530.0,0
2,51,1530.0,1560.0,0
2,52,1560.0,1590.0,0
2,53,1590.0,1620.0,0
2,54,1620.0,1650.0,0
2,55,1650.0,1680.0,0
2,56,1680.0,1710.0,0
2,57,1710.0,1740.0,0
2,58,1740.0,1770.0,0
2,59,1770.0,1800.0,0
2,60,1800.0,1830.0,0
2,61,1830.0,1860.0,0
2,62,1860.0,1890.0,0
2,63,1890.0,1920.0,0
2,64,1920.0,1950.0,0
2,65,1950.0,1980.0,0
2,66,1980.0,2010.0,0
2,67,2010.0,2026.0666666666666,0
3,0,0.0,30.0,0
3,1,30.0,60.0,0
3,2,60.0,90.0,0
3,3,90.0,120.0,0
3,4,120.0,150.0,0
3,5,150.0,180.0,0
