cell_id,ix,iy,x_left_km,x_right_km,y_bottom_km,y_top_km,x_center_km,y_center_km
128,47,1,451.5,452.0,3923.5,3924.0,451.75,3923.75
129,48,1,452.0,452.5,3923.5,3924.0,452.25,3923.75
130,49,1,452.5,453.0,3923.5,3924.0,452.75,3923.75
131,50,1,453.0,453.5,3923.5,3924.0,453.25,3923.75
132,51,1,453.5,454.0,3923.5,3924.0,453.75,3923.75
133,52,1,454.0,454.5,3923.5,3924.0,454.25,3923.75
134,53,1,454.5,455.0,3923.5,3924.0,454.75,3923.75
135,54,1,455.0,455.5,3923.5,3924.0,455.25,3923.75
136,55,1,455.5,456.0,3923.5,3924.0,455.75,3923.75
137,56,1,456.0,456.5,3923.5,3924.0,456.25,3923.75
138,57,1,456.5,457.0,3923.5,3924.0,456.75,3923.75
139,58,1,457.0,457.5,3923.5,3924.0,457.25,3923.75
140,59,1,457.5,458.0,3923.5,3924.0,457.75,3923.75
141,60,1,458.0,458.5,3923.5,3924.0,458.25,3923.75
142,61,1,458.5,459.0,3923.5,3924.0,458.75,3923.75
143,62,1,459.0,459.5,3923.5,3924.0,459.25,3923.75
144,63,1,459.5,460.0,3923.5,3924.0,459.75,3923.75
145,64,1,460.0,460.5,3923.5,3924.0,460.25,3923.75
146,65,1,460.5,461.0,3923.5,3924.0,460.75,3923.75
147,66,1,461.0,461.5,3923.5,3924.0,461.25,3923.75
148,67,1,461.5,462.0,3923.5,3924.0,461.75,3923.75
149,68,1,462.0,462.5,3923.5,3924.0,462.25,3923.75
150,69,1,462.5,463.0,3923.5,3924.0,462.75,3923.75
151,70,1,463.0,463.5,3923.5,3924.0,463.25,3923.75
152,71,1,463.5,464.0,3923.5,3924.0,463.75,3923.75
153,72,1,464.0,464.5,3923.5,3924.0,464.25,3923.75
154,73,1,464.5,465.0,3923.5,3924.0,464.75,3923.75
155,74,1,465.0,465.5,3923.5,3924.0,465.25,3923.75
156,75,1,465.5,466.0,3923.5,3924.0,465.75,3923.75
157,76,1,466.0,466.5,3923.5,3924.0,466.25,3923.75
158,77,1,466.5,467.0,3923.5,3924.0,466.75,3923.75
159,78,1,467.0,467.5,3923.5,3924.0,467.25,3923.75
160,79,1,467.5,468.0,3923.5,3924.0,467.75,3923.75
161,80,1,468.0,468.5,3923.5,3924.0,468.25,3923.75
162,0,2,428.0,428.5,3924.0,3924.5,428.25,3924.25
163,1,2,428.5,429.0,3924.0,3924.5,428.75,3924.25
164,2,2,429.0,429.5,3924.0,3924.5,429.25,3924.25
165,3,2,429.5,430.0,3924.0,3924.5,429.75,3924.25
166,4,2,430.0,430.5,3924.0,3924.5,430.25,3924.25
167,5,2,430.5,431.0,3924.0,3924.5,430.75,3924.25
168,6,2,431.0,431.5,3924.0,3924.5,431.25,3924.25
169,7,2,431.5,432.0,3924.0,3924.5,431.75,3924.25
170,8,2,432.0,432.5,3924.0,3924.5,432.25,3924.25
171,9,2,432.5,433.0,3924.0,3924.5,432.75,3924.25
172,10,2,433.0,433.5,3924.0,3924.5,433.25,3924.25
173,11,2,433.5,434.0,3924.0,3924.5,433.75,3924.25
174,12,2,434.0,434.5,3924.0,3924.5,434.25,3924.25
175,13,2,434.5,435.0,3924.0,3924.5,434.75,3924.25
176,14,2,435.0,435.5,3924.0,3924.5,435.25,3924.25
177,15,2,435.5,436.0,3924.0,3924.5,435.75,3924.25
178,16,2,436.0,436.5,3924.0,3924.5,436.25,3924.25
179,17,2,436.5,437.0,3924.0,3924.5,436.75,3924.25
180,18,2,437.0,437.5,3924.0,3924.5,437.25,3924.25
181,19,2,437.5,438.0,3924.0,3924.5,437.75,3924.25
182,20,2,438.0,438.5,3924.0,3924.5,438.25,3924.25
183,21,2,438.5,439.0,3924.0,3924.5,438.75,3924.25
184,22,2,439.0,439.5,3924.0,3924.5,439.25,3924.25
185,23,2,439.5,440.0,3924.0,3924.5,439.75,3924.25
186,24,2,440.0,440.5,3924.0,3924.5,440.25,3924.25
187,25,2,440.5,441.0,3924.0,3924.5,440.75,3924.25
188,26,2,441.0,441.5,3924.0,3924.5,441.25,3924.25
189,27,2,441.5,442.0,3924.0,3924.5,441.75,3924.25
190,28,2,442.0,442.5,3924.0,3924.5,442.25,3924.25
191,29,2,442.5,443.0,3924.0,3924.5,442.75,3924.25
192,30,2,443.0,443.5,3924.0,3924.5,443.25,3924.25
193,31,2,443.5,444.0,3924.0,3924.5,443.75,3924.25
194,32,2,444.0,444.5,3924.0,3924.5,444.25,3924.25
195,33,2,444.5,445.0,3924.0,3924.5,444.75,3924.25
196,34,2,445.0,445.5,3924.0,3924.5,445.25,3924.25
197,35,2,445.5,446.0,3924.0,3924.5,445.75,3924.25
198,36,2,446.0,446.5,3924.0,3924.5,446.25,3924.25
199,37,2,446.5,447.0,3924.0,3924.5,446.75,3924.25
200,38,2,447.0,447.5,3924.0,3924.5,447.25,3924.25
201,39,2,447.5,448.0,3924.0,3924.5,447.75,3924.25
202,40,2,448.0,448.5,3924.0,3924.5,448.25,3924.25
203,41,2,448.5,449.0,3924.0,3924.5,448.75,3924.25
204,42,2,449.0,449.5,3924.0,3924.5,449.25,3924.25
205,43,2,449.5,450.0,3924.0,3924.5,449.75,3924.25
206,44,2,450.0,450.5,3924.0,3924.5,450.25,3924.25
207,45,2,450.5,451.0,3924.0,3924.5,450.75,3924.25
208,46,2,451.0,451.5,3924.0,3924.5,451.25,3924.25
209,47,2,451.5,452.0,3924.0,3924.5,451.75,3924.25
210,48,2,452.0,452.5,3924.0,3924.5,452.25,3924.25
211,49,2,452.5,453.0,3924.0,3924.5,452.75,3924.25
212,50,2,453.0,453.5,3924.0,3924.5,453.25,3924.25
213,51,2,453.5,454.0,3924.0,3924.5,453.75,3924.25
214,52,2,454.0,454.5,3924.0,3924.5,454.25,3924.25
215,53,2,454.5,455.0,3924.0,3924.5,454.75,3924.25
216,54,2,455.0,455.5,3924.0,3924.5,455.25,3924.25
217,55,2,455.5,456.0,3924.0,3924.5,455.75,3924.25
218,56,2,456.0,456.5,3924.0,3924.5,456.25,3924.25
219,57,2,456.5,457.0,3924.0,3924.5,456.75,3924.25
220,58,2,457.0,457.5,3924.0,3924.5,457.25,3924.25
221,59,2,457.5,458.0,3924.0,3924.5,457.75,3924.25
222,60,2,458.0,458.5,3924.0,3924.5,458.25,3924.25
223,61,2,458.5,459.0,3924.0,3924.5,458.75,3924.25
224,62,2,459.0,459.5,3924.0,3924.5,459.25,3924.25
225,63,2,459.5,460.0,3924.0,3924.5,459.75,3924.25
226,64,2,460.0,460.5,3924.0,3924.5,460.25,3924.25
227,65,2,460.5,461.0,3924.0,3924.5,460.75,3924.25
