region,depth_bin,threshold,window_name,observed_count,n_random_windows,n_outside_windows,random_expected_mean,random_expected_median,random_expected_ci_low,random_expected_ci_high,random_ratio_mean,random_ratio_ci_low,random_ratio_ci_high,random_excess_mean,random_excess_ci_low,random_excess_ci_high,random_percentile,random_exceedance_fraction,outside_expected_mean,outside_expected_median,outside_expected_ci_low,outside_expected_ci_high,outside_ratio_mean,outside_ratio_ci_low,outside_ratio_ci_high,outside_excess_mean,outside_excess_ci_low,outside_excess_ci_high,outside_percentile,outside_exceedance_fraction,n_shifted_windows,active_shifted_mean,active_shifted_median,active_shifted_max,active_shifted_percentile
control_region,>=60 km,3.0,active_period,6,2122,1888,20.16075,20.0,12.0,27.0,0.3129445155528289,0.2222222222222222,0.5,-14.16075,-21.0,-6.0,0.0,1.0,19.8395,20.0,12.0,28.0,0.31754146331530925,0.21428571428571427,0.5,-13.8395,-22.0,-6.0,0.0,1.0,1,6.0,6.0,6.0,100.0
control_region,>=60 km,4.0,14D,0,2320,2093,0.19775,0.0,0.0,1.0,0.0,0.0,0.0,-0.19775,-1.0,0.0,81.37931034482759,1.0,0.19725,0.0,0.0,1.0,0.0,0.0,0.0,-0.19725,-1.0,0.0,82.65647396082178,1.0,29,0.06896551724137931,0.0,1.0,93.10344827586206
control_region,>=60 km,4.0,30D,0,2304,2070,0.42425,0.0,0.0,2.0,0.0,0.0,0.0,-0.42425,-2.0,0.0,64.453125,1.0,0.401,0.0,0.0,2.0,0.0,0.0,0.0,-0.401,-2.0,0.0,66.18357487922705,1.0,27,0.14814814814814814,0.0,1.0,85.18518518518519
control_region,>=60 km,4.0,7D,0,2327,2107,0.10575,0.0,0.0,1.0,0.0,0.0,0.0,-0.10575,-1.0,0.0,90.15900300816502,1.0,0.095,0.0,0.0,1.0,0.0,0.0,0.0,-0.095,-1.0,0.0,90.79259610821072,1.0,30,0.03333333333333333,0.0,1.0,96.66666666666667
control_region,>=60 km,4.0,active_period,1,2122,1888,3.20125,4.0,0.0,7.0,0.5549333333333334,0.14285714285714285,2.0,-2.20125,-6.0,1.0,26.060320452403392,0.9231856738925542,3.17575,4.0,0.0,7.0,0.57,0.14285714285714285,2.0,-2.17575,-6.0,1.0,28.177966101694917,0.9136652542372882,1,1.0,1.0,1.0,100.0
control_region,>=60 km,5.0,14D,0,2320,2093,0.01475,0.0,0.0,0.0,0.0,0.0,0.0,-0.01475,0.0,0.0,98.1896551724138,1.0,0.01125,0.0,0.0,0.0,0.0,0.0,0.0,-0.01125,0.0,0.0,98.66220735785953,1.0,29,0.06896551724137931,0.0,1.0,93.10344827586206
control_region,>=60 km,5.0,30D,0,2304,2070,0.04075,0.0,0.0,1.0,0.0,0.0,0.0,-0.04075,-1.0,0.0,96.09375,1.0,0.02975,0.0,0.0,1.0,0.0,0.0,0.0,-0.02975,-1.0,0.0,97.10144927536231,1.0,27,0.14814814814814814,0.0,1.0,85.18518518518519
control_region,>=60 km,5.0,7D,0,2327,2107,0.009,0.0,0.0,0.0,0.0,0.0,0.0,-0.009,0.0,0.0,99.09755049419854,1.0,0.00475,0.0,0.0,0.0,0.0,0.0,0.0,-0.00475,0.0,0.0,99.33554817275747,1.0,30,0.03333333333333333,0.0,1.0,96.66666666666667
control_region,>=60 km,5.0,active_period,1,2122,1888,0.23175,0.0,0.0,1.0,1.76825,1.0,2.0,0.76825,0.0,1.0,100.0,0.23374175306314798,0.187,0.0,0.0,1.0,1.813,1.0,2.0,0.813,0.0,1.0,100.0,0.19279661016949154,1,1.0,1.0,1.0,100.0
m1_m3_local_union,0-30 km,3.0,14D,1,2320,2093,4.92025,1.0,0.0,38.02500000000009,1.159119164736094,0.02629892037786775,2.0,-3.92025,-37.02499999999999,1.0,65.04310344827586,0.6086206896551725,1.49325,1.0,0.0,9.0,1.2480862882704964,0.1111111111111111,2.0,-0.49325,-8.0,1.0,70.37744863831821,0.5757286192068801,29,42.06896551724138,8.0,290.0,10.344827586206897
m1_m3_local_union,0-30 km,3.0,30D,1,2304,2070,12.0395,2.0,0.0,207.0,0.6988120156041964,0.004830917874396135,2.0,-11.0395,-206.0,1.0,38.45486111111111,0.8376736111111112,3.15775,2.0,0.0,19.0,0.7797239060612776,0.05263157894736842,2.0,-2.15775,-18.0,1.0,41.932367149758456,0.8193236714975846,27,81.37037037037037,26.0,321.0,3.7037037037037033
m1_m3_local_union,0-30 km,3.0,7D,0,2327,2107,2.87825,0.0,0.0,14.0,0.0,0.0,0.0,-2.87825,-14.0,0.0,59.51869359690589,1.0,0.8435,0.0,0.0,5.0,0.0,0.0,0.0,-0.8435,-5.0,0.0,64.07214048410061,1.0,30,21.033333333333335,3.5,250.0,10.0
m1_m3_local_union,0-30 km,3.0,active_period,637,2122,1888,57.3415,24.0,8.0,430.0500000000002,32.488963637784636,1.481223891042205,79.625,579.6585,206.95000000000002,629.0,98.91611687087654,0.011310084825636193,22.165,20.0,8.0,42.0,36.58198357097882,15.166666666666666,79.625,614.835,595.0,629.0,100.0,0.0,1,637.0,637.0,637.0,100.0
m1_m3_local_union,0-30 km,4.0,14D,0,2320,2093,0.91825,0.0,0.0,5.0,0.0,0.0,0.0,-0.91825,-5.0,0.0,82.67241379310344,1.0,0.169,0.0,0.0,2.0,0.0,0.0,0.0,-0.169,-2.0,0.0,89.34543717152414,1.0,29,9.344827586206897,2.0,71.0,13.793103448275861
m1_m3_local_union,0-30 km,4.0,30D,0,2304,2070,2.2595,0.0,0.0,34.0,0.0,0.0,0.0,-2.2595,-34.0,0.0,73.22048611111111,1.0,0.393,0.0,0.0,3.0,0.0,0.0,0.0,-0.393,-3.0,0.0,79.85507246376812,1.0,27,18.85185185185185,6.0,76.0,3.7037037037037033
m1_m3_local_union,0-30 km,4.0,7D,0,2327,2107,0.4935,0.0,0.0,2.0,0.0,0.0,0.0,-0.4935,-2.0,0.0,88.61194671250537,1.0,0.10025,0.0,0.0,2.0,0.0,0.0,0.0,-0.10025,-2.0,0.0,93.49786426198386,1.0,30,4.633333333333334,1.0,66.0,36.666666666666664
m1_m3_local_union,0-30 km,4.0,active_period,139,2122,1888,11.0555,3.0,0.0,105.0,94.09566984414337,1.3238095238095238,278.0,127.9445,34.0,139.0,99.10461828463714,0.013195098963242224,2.8445,2.0,0.0,7.0,99.61323303571427,19.857142857142858,278.0,136.1555,132.0,139.0,100.0,0.0,1,139.0,139.0,139.0,100.0
m1_m3_local_union,0-30 km,5.0,14D,0,2320,2093,0.30925,0.0,0.0,2.0,0.0,0.0,0.0,-0.30925,-2.0,0.0,92.41379310344827,1.0,0.034,0.0,0.0,1.0,0.0,0.0,0.0,-0.034,-1.0,0.0,96.5121834687052,1.0,29,2.9655172413793105,0.0,26.0,51.724137931034484
m1_m3_local_union,0-30 km,5.0,30D,0,2304,2070,0.6435,0.0,0.0,9.025000000000091,0.0,0.0,0.0,-0.6435,-9.024999999999991,0.0,86.84895833333334,1.0,0.06775,0.0,0.0,1.0,0.0,0.0,0.0,-0.06775,-1.0,0.0,92.7536231884058,1.0,27,5.925925925925926,1.0,28.0,29.629629629629626
m1_m3_local_union,0-30 km,5.0,7D,0,2327,2107,0.12625,0.0,0.0,1.0,0.0,0.0,0.0,-0.12625,-1.0,0.0,95.61667382896432,1.0,0.01825,0.0,0.0,0.0,0.0,0.0,0.0,-0.01825,0.0,0.0,98.19648789748457,1.0,30,1.4666666666666666,0.0,23.0,66.66666666666666
m1_m3_local_union,0-30 km,5.0,active_period,44,2122,1888,3.58725,1.0,0.0,34.0,58.96594329488054,1.2941176470588236,88.0,40.41275,10.0,44.0,99.10461828463714,0.014608859566446749,0.56475,1.0,0.0,2.0,64.086,22.0,88.0,43.43525,42.0,44.0,100.0,0.0,1,44.0,44.0,44.0,100.0
m1_m3_local_union,30-60 km,3.0,14D,0,2320,2093,0.10925,0.0,0.0,1.0,0.0,0.0,0.0,-0.10925,-1.0,0.0,92.93103448275862,1.0,0.08125,0.0,0.0,1.0,0.0,0.0,0.0,-0.08125,-1.0,0.0,93.50215002388916,1.0,29,0.13793103448275862,0.0,1.0,86.20689655172413
m1_m3_local_union,30-60 km,3.0,30D,0,2304,2070,0.26275,0.0,0.0,4.0,0.0,0.0,0.0,-0.26275,-4.0,0.0,85.76388888888889,1.0,0.2085,0.0,0.0,3.0,0.0,0.0,0.0,-0.2085,-3.0,0.0,87.05314009661835,1.0,27,0.25925925925925924,0.0,1.0,74.07407407407408
m1_m3_local_union,30-60 km,3.0,7D,0,2327,2107,0.06075,0.0,0.0,1.0,0.0,0.0,0.0,-0.06075,-1.0,0.0,96.26128061882252,1.0,0.048,0.0,0.0,1.0,0.0,0.0,0.0,-0.048,-1.0,0.0,96.53535832937827,1.0,30,0.06666666666666667,0.0,1.0,93.33333333333333
m1_m3_local_union,30-60 km,3.0,active_period,2,2122,1888,1.296,1.0,0.0,4.0,2.240791666666667,0.5,4.0,0.704,-2.0,2.0,85.81526861451461,0.3157398680490104,1.228,1.0,0.0,4.0,2.2707916666666668,0.5,4.0,0.772,-2.0,2.0,85.80508474576271,0.2791313559322034,1,2.0,2.0,2.0,100.0
m1_m3_local_union,30-60 km,4.0,14D,0,2320,2093,0.0375,0.0,0.0,0.0,0.0,0.0,0.0,-0.0375,0.0,0.0,97.80172413793103,1.0,0.02325,0.0,0.0,0.0,0.0,0.0,0.0,-0.02325,0.0,0.0,98.23220258002867,1.0,29,0.06896551724137931,0.0,1.0,93.10344827586206
m1_m3_local_union,30-60 km,4.0,30D,0,2304,2070,0.0705,0.0,0.0,1.0,0.0,0.0,0.0,-0.0705,-1.0,0.0,95.703125,1.0,0.06125,0.0,0.0,1.0,0.0,0.0,0.0,-0.06125,-1.0,0.0,96.66666666666667,1.0,27,0.18518518518518517,0.0,1.0,81.48148148148148
m1_m3_local_union,30-60 km,4.0,7D,0,2327,2107,0.01475,0.0,0.0,0.0,0.0,0.0,0.0,-0.01475,0.0,0.0,98.71078642028363,1.0,0.01475,0.0,0.0,0.0,0.0,0.0,0.0,-0.01475,0.0,0.0,98.90840056953014,1.0,30,0.03333333333333333,0.0,1.0,96.66666666666667
