Starting Ridgecrest fixed-window b-value contrast workflow
Reading interevent catalog: <REPO_ROOT>/examples/ridgecrest/data/catalog_TRACE/TRACE_ridgecrest_relocated.csv
Reading background catalog: <REPO_ROOT>/examples/ridgecrest/data/catalog_longterm/catalog_2year_background_before_64.csv
Reading mainshocks: <REPO_ROOT>/examples/ridgecrest/data/catalog_TRACE/main_shock_events.csv
Inferred delta_m interevent=0.01, background=0.01, common=0.01
Center separation = 11.998 km
Prepared 84 subset statistics rows and bootstrap tasks
Bootstrapping subsets with up to 64 workers and 2000 replicates each
bootstrap_worker subset=subset_0057 progress=1000/2000
bootstrap_worker subset=subset_0024 progress=1500/2000
bootstrap_worker subset=subset_0060 progress=500/2000
bootstrap_worker subset=subset_0035 progress=1500/2000
bootstrap_worker subset=subset_0036 progress=2000/2000
bootstrap_worker subset=subset_0063 progress=1000/2000
bootstrap_worker subset=subset_0041 progress=1500/2000
bootstrap_worker subset=subset_0064 progress=500/2000
bootstrap_worker subset=subset_0028 progress=1500/2000
bootstrap_worker subset=subset_0031 progress=1500/2000
bootstrap_worker subset=subset_0030 progress=1000/2000
bootstrap_worker subset=subset_0039 progress=2000/2000
bootstrap_worker subset=subset_0042 progress=1500/2000
bootstrap_worker subset=subset_0066 progress=1000/2000
bootstrap_worker subset=subset_0054 progress=1000/2000
bootstrap_worker subset=subset_0055 progress=1000/2000
bootstrap_worker subset=subset_0047 progress=1000/2000
bootstrap_worker subset=subset_0043 progress=1000/2000
bootstrap_worker subset=subset_0040 progress=1000/2000
bootstrap_worker subset=subset_0052 progress=1500/2000
bootstrap_worker subset=subset_0070 progress=1000/2000
bootstrap_worker subset=subset_0012 progress=1500/2000
bootstrap_worker subset=subset_0037 progress=1500/2000
bootstrap_worker subset=subset_0076 progress=500/2000
bootstrap_worker subset=subset_0067 progress=1000/2000
bootstrap_worker subset=subset_0074 progress=500/2000
bootstrap_worker subset=subset_0046 progress=1000/2000
bootstrap_worker subset=subset_0075 progress=500/2000
bootstrap_worker subset=subset_0061 progress=1000/2000
bootstrap_worker subset=subset_0048 progress=2000/2000
bootstrap_worker subset=subset_0053 progress=1000/2000
bootstrap_worker subset=subset_0071 progress=1000/2000
bootstrap_worker subset=subset_0062 progress=1500/2000
bootstrap_worker subset=subset_0027 progress=2000/2000
bootstrap_worker subset=subset_0017 progress=1500/2000
bootstrap_worker subset=subset_0065 progress=1000/2000
bootstrap_worker subset=subset_0059 progress=1000/2000
bootstrap_worker subset=subset_0045 progress=1500/2000
bootstrap_worker subset=subset_0079 progress=500/2000
bootstrap_worker subset=subset_0068 progress=1000/2000
bootstrap_worker subset=subset_0080 progress=500/2000
bootstrap_worker subset=subset_0051 progress=1500/2000
bootstrap_worker subset=subset_0077 progress=500/2000
bootstrap_worker subset=subset_0044 progress=1500/2000
bootstrap_worker subset=subset_0072 progress=1000/2000
bootstrap_worker subset=subset_0078 progress=500/2000
bootstrap_worker subset=subset_0056 progress=1500/2000
bootstrap_worker subset=subset_0081 progress=500/2000
bootstrap_worker subset=subset_0022 progress=1000/2000
bootstrap_worker subset=subset_0024 progress=2000/2000
bootstrap_worker subset=subset_0049 progress=1000/2000
bootstrap_worker subset=subset_0082 progress=500/2000
bootstrap_worker subset=subset_0069 progress=1000/2000
bootstrap_worker subset=subset_0035 progress=2000/2000
bootstrap_worker subset=subset_0032 progress=1500/2000
bootstrap_worker subset=subset_0073 progress=1000/2000
bootstrap_worker subset=subset_0057 progress=1500/2000
bootstrap_worker subset=subset_0041 progress=2000/2000
bootstrap_worker subset=subset_0028 progress=2000/2000
bootstrap_worker subset=subset_0064 progress=1000/2000
bootstrap_worker subset=subset_0083 progress=500/2000
bootstrap_worker subset=subset_0003 progress=1500/2000
bootstrap_worker subset=subset_0084 progress=500/2000
bootstrap_worker subset=subset_0033 progress=1000/2000
bootstrap_worker subset=subset_0030 progress=1500/2000
