cell_id,total_events,first_event_bin_index,first_event_count,onset_bin_index,onset_count,future_active_bins,window_cumulative_count,quality_flag,first_event_time_hr_from_64,onset_time_hr_from_64,onset_time_min_from_64
5230,33,3.0,2,3.0,2.0,3.0,4.0,robust,1.5,1.5,90.0
5231,18,0.0,1,,,,,ambiguous,0.0,,
5232,9,3.0,1,,,,,ambiguous,1.5,,
5233,2,24.0,1,,,,,insufficient_data,12.0,,
5234,2,8.0,1,,,,,insufficient_data,4.0,,
5235,0,,0,,,,,inactive,,,
5236,0,,0,,,,,inactive,,,
5237,2,7.0,1,,,,,insufficient_data,3.5,,
5238,0,,0,,,,,inactive,,,
5239,0,,0,,,,,inactive,,,
5240,1,18.0,1,,,,,insufficient_data,9.0,,
5241,1,34.0,1,,,,,insufficient_data,17.0,,
5242,0,,0,,,,,inactive,,,
5243,0,,0,,,,,inactive,,,
5244,0,,0,,,,,inactive,,,
5245,0,,0,,,,,inactive,,,
5246,0,,0,,,,,inactive,,,
5247,0,,0,,,,,inactive,,,
5248,0,,0,,,,,inactive,,,
5249,0,,0,,,,,inactive,,,
5250,0,,0,,,,,inactive,,,
5251,0,,0,,,,,inactive,,,
5252,0,,0,,,,,inactive,,,
5253,0,,0,,,,,inactive,,,
5254,0,,0,,,,,inactive,,,
5255,0,,0,,,,,inactive,,,
5256,0,,0,,,,,inactive,,,
5257,0,,0,,,,,inactive,,,
5258,0,,0,,,,,inactive,,,
5259,0,,0,,,,,inactive,,,
5260,0,,0,,,,,inactive,,,
5261,0,,0,,,,,inactive,,,
5262,0,,0,,,,,inactive,,,
5263,0,,0,,,,,inactive,,,
5264,0,,0,,,,,inactive,,,
5265,0,,0,,,,,inactive,,,
5266,0,,0,,,,,inactive,,,
5267,0,,0,,,,,inactive,,,
5268,0,,0,,,,,inactive,,,
5269,0,,0,,,,,inactive,,,
5270,0,,0,,,,,inactive,,,
5271,0,,0,,,,,inactive,,,
5272,0,,0,,,,,inactive,,,
5273,0,,0,,,,,inactive,,,
5274,0,,0,,,,,inactive,,,
5275,0,,0,,,,,inactive,,,
5276,0,,0,,,,,inactive,,,
5277,0,,0,,,,,inactive,,,
5278,0,,0,,,,,inactive,,,
5279,0,,0,,,,,inactive,,,
5280,0,,0,,,,,inactive,,,
5281,0,,0,,,,,inactive,,,
5282,0,,0,,,,,inactive,,,
5283,0,,0,,,,,inactive,,,
5284,0,,0,,,,,inactive,,,
5285,0,,0,,,,,inactive,,,
5286,0,,0,,,,,inactive,,,
5287,0,,0,,,,,inactive,,,
5288,0,,0,,,,,inactive,,,
5289,0,,0,,,,,inactive,,,
5290,0,,0,,,,,inactive,,,
5291,0,,0,,,,,inactive,,,
5292,0,,0,,,,,inactive,,,
5293,0,,0,,,,,inactive,,,
5294,0,,0,,,,,inactive,,,
5295,0,,0,,,,,inactive,,,
5296,0,,0,,,,,inactive,,,
5297,0,,0,,,,,inactive,,,
5298,0,,0,,,,,inactive,,,
5299,0,,0,,,,,inactive,,,
5300,0,,0,,,,,inactive,,,
5301,0,,0,,,,,inactive,,,
5302,2,10.0,1,,,,,insufficient_data,5.0,,
5303,1,57.0,1,,,,,insufficient_data,28.5,,
5304,3,55.0,1,,,,,ambiguous,27.5,,
5305,15,11.0,2,35.0,2.0,4.0,5.0,robust,5.5,17.5,1050.0
5306,15,11.0,1,41.0,1.0,2.0,3.0,robust,5.5,20.5,1230.0
5307,17,16.0,1,16.0,1.0,4.0,6.0,robust,8.0,8.0,480.0
5308,25,4.0,2,4.0,2.0,2.0,3.0,robust,2.0,2.0,120.0
5309,11,14.0,1,,,,,ambiguous,7.0,,
5310,11,0.0,1,10.0,1.0,2.0,3.0,robust,0.0,5.0,300.0
5311,10,1.0,1,53.0,2.0,2.0,3.0,robust,0.5,26.5,1590.0
5312,17,0.0,3,,,,,ambiguous,0.0,,
5313,3,5.0,1,,,,,ambiguous,2.5,,
5314,2,31.0,1,,,,,insufficient_data,15.5,,
5315,1,32.0,1,,,,,insufficient_data,16.0,,
5316,0,,0,,,,,inactive,,,
5317,0,,0,,,,,inactive,,,
5318,1,66.0,1,,,,,insufficient_data,33.0,,
5319,0,,0,,,,,inactive,,,
