lat0,lat1,lon0,lon1,observed_M3,expected_M3,obs_exp_ratio
39.953003000000024,40.15300300000003,143.65192099999985,143.85192099999983,0,0.0,
39.953003000000024,40.15300300000003,143.85192099999983,144.05192099999982,0,0.09125964010282776,0.0
39.953003000000024,40.15300300000003,144.05192099999982,144.2519209999998,0,0.18251928020565553,0.0
39.953003000000024,40.15300300000003,144.2519209999998,144.4519209999998,0,0.09125964010282776,0.0
39.953003000000024,40.15300300000003,144.4519209999998,144.6519209999998,0,0.18251928020565553,0.0
40.15300300000003,40.35300300000003,140.851921,141.051921,0,0.18251928020565553,0.0
40.15300300000003,40.35300300000003,141.051921,141.25192099999998,0,0.36503856041131105,0.0
40.15300300000003,40.35300300000003,141.25192099999998,141.45192099999997,0,0.18251928020565553,0.0
40.15300300000003,40.35300300000003,141.45192099999997,141.65192099999996,0,0.09125964010282776,0.0
40.15300300000003,40.35300300000003,141.65192099999996,141.85192099999995,0,0.09125964010282776,0.0
40.15300300000003,40.35300300000003,141.85192099999995,142.05192099999994,0,2.0989717223650386,0.0
40.15300300000003,40.35300300000003,142.05192099999994,142.25192099999992,0,1.3688946015424164,0.0
40.15300300000003,40.35300300000003,142.25192099999992,142.4519209999999,5,2.7377892030848328,1.8262910798122067
40.15300300000003,40.35300300000003,142.4519209999999,142.6519209999999,0,1.3688946015424164,0.0
40.15300300000003,40.35300300000003,142.6519209999999,142.8519209999999,13,1.916452442159383,6.7833668678739105
40.15300300000003,40.35300300000003,142.8519209999999,143.05192099999988,2,0.6388174807197944,3.1307847082494966
40.15300300000003,40.35300300000003,143.05192099999988,143.25192099999987,1,2.4640102827763495,0.40584246218049036
40.15300300000003,40.35300300000003,143.25192099999987,143.45192099999986,1,1.095115681233933,0.9131455399061034
40.15300300000003,40.35300300000003,143.45192099999986,143.65192099999985,0,0.2737789203084833,0.0
40.15300300000003,40.35300300000003,143.65192099999985,143.85192099999983,0,1.095115681233933,0.0
40.15300300000003,40.35300300000003,143.85192099999983,144.05192099999982,0,0.0,
40.15300300000003,40.35300300000003,144.05192099999982,144.2519209999998,4,0.45629820051413883,8.76619718309859
40.15300300000003,40.35300300000003,144.2519209999998,144.4519209999998,0,0.09125964010282776,0.0
40.15300300000003,40.35300300000003,144.4519209999998,144.6519209999998,0,0.18251928020565553,0.0
40.35300300000003,40.55300300000003,140.851921,141.051921,0,0.18251928020565553,0.0
40.35300300000003,40.55300300000003,141.051921,141.25192099999998,0,0.09125964010282776,0.0
40.35300300000003,40.55300300000003,141.25192099999998,141.45192099999997,0,0.2737789203084833,0.0
40.35300300000003,40.55300300000003,141.45192099999997,141.65192099999996,0,0.36503856041131105,0.0
40.35300300000003,40.55300300000003,141.65192099999996,141.85192099999995,0,0.09125964010282776,0.0
40.35300300000003,40.55300300000003,141.85192099999995,142.05192099999994,0,0.2737789203084833,0.0
40.35300300000003,40.55300300000003,142.05192099999994,142.25192099999992,5,2.4640102827763495,2.029212310902452
