event_id,event_time,latitude,longitude,depth_km,magnitude,dist_to_m64_km,dist_to_m71_km,radius_km,raw_in_m64,raw_in_m71,raw_in_both,exclusive_to_m64,exclusive_to_m71
interevent_0000091,2019-07-04 17:58:02.360000+00:00,35.70315979518505,-117.49990974390369,6.2612590400000006,3.49,0.5544531357545284,11.6802542429989,4.0,True,False,False,True,False
interevent_0000094,2019-07-04 17:59:38.520000+00:00,35.687477795185046,-117.5061666125707,8.46774272,2.19,2.1622158794115407,12.589033123072777,4.0,True,False,False,True,False
interevent_0000096,2019-07-04 17:59:59.640000+00:00,35.68788079518505,-117.486846641633,5.3394714500000005,2.49,1.9215625072344211,13.714082228923473,4.0,True,False,False,True,False
interevent_0000097,2019-07-04 18:00:12.420000+00:00,35.695993795185046,-117.49238122682443,4.7443015100000006,2.14,0.9221925189204878,12.723064361546442,4.0,True,False,False,True,False
interevent_0000099,2019-07-04 18:01:01.080000+00:00,35.67420479518505,-117.50386265571233,4.27977863,2.79,3.4486745567968264,13.891738939561034,4.0,True,False,False,True,False
interevent_0000101,2019-07-04 18:01:58.260000+00:00,35.70104379518505,-117.4938795911998,6.37738976,2.07,0.3513205613333174,12.237771543717518,4.0,True,False,False,True,False
interevent_0000102,2019-07-04 18:02:25.200000+00:00,35.70915779518505,-117.47179317684385,3.4087982300000004,2.45,2.076287748924283,13.240500498618559,4.0,True,False,False,True,False
interevent_0000106,2019-07-04 18:03:40.060000+00:00,35.72107979518505,-117.52082603776358,5.361245960000001,2.36,3.0710517045101846,8.938367433740506,4.0,True,False,False,True,False
interevent_0000108,2019-07-04 18:04:27.740000+00:00,35.70255779518505,-117.52495870045792,2.53055966,2.52,2.8149815294762472,10.224781187219593,4.0,True,False,False,True,False
interevent_0000109,2019-07-04 18:04:57.940000+00:00,35.720106795185046,-117.47539896748162,3.68460869,2.48,2.4330847728422174,12.314723447120267,4.0,True,False,False,True,False
interevent_0000111,2019-07-04 18:05:41.540000+00:00,35.716180795185046,-117.51818068393226,4.686236150000001,2.66,2.565918899731413,9.487890864021047,4.0,True,False,False,True,False
interevent_0000112,2019-07-04 18:05:55.680000+00:00,35.72808679518505,-117.5189215439944,8.07580154,2.69,3.4837171623732517,8.558887472781175,4.0,True,False,False,True,False
interevent_0000116,2019-07-04 18:08:14.980000+00:00,35.705193795185046,-117.46364689070496,1.1660237000000002,2.53,2.741848608115367,14.09750464224449,4.0,True,False,False,True,False
interevent_0000118,2019-07-04 18:08:44.920000+00:00,35.712713795185046,-117.46987243357914,3.40154006,3.36,2.371910147032636,13.169058979943864,4.0,True,False,False,True,False
