reference_id,source_file,raw_time,origin_time,latitude,longitude,depth_km,magnitude,event_id,has_origin_time,has_location,has_depth,has_magnitude,flag_time_parse_failed,flag_missing_location,flag_missing_depth,flag_missing_magnitude,flag_lat_out_of_bounds,flag_lon_out_of_bounds,flag_depth_out_of_bounds,flag_mag_out_of_bounds,flag_any_quality_issue,quality_status,duplicate_signature,flag_exact_duplicate_signature
M3,Snet_catalog_relocate.csv,2026-04-22T23:29:32.540000Z,2026-04-22 23:29:32.540000+00:00,39.877437,143.248356,8.71,1.8,CAT_023383,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1776900573000000000|39.8774|143.2484|8.71|1.8,False
M3,Snet_catalog_relocate.csv,2026-04-22T23:31:19.840000Z,2026-04-22 23:31:19.840000+00:00,39.803935,143.178011,13.13,1.7,CAT_023384,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1776900680000000000|39.8039|143.178|13.13|1.7,False
M3,Snet_catalog_relocate.csv,2026-04-22T23:38:39.680000Z,2026-04-22 23:38:39.680000+00:00,39.829427,143.298942,3.62,2.5,CAT_023385,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1776901120000000000|39.8294|143.2989|3.62|2.5,False
M3,Snet_catalog_relocate.csv,2026-04-22T23:47:58.360000Z,2026-04-22 23:47:58.360000+00:00,40.118917,143.334375,14.23,1.5,CAT_023389,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1776901678000000000|40.1189|143.3344|14.23|1.5,False
M3,Snet_catalog_relocate.csv,2026-04-22T23:52:25.940000Z,2026-04-22 23:52:25.940000+00:00,40.119071,143.336263,14.79,1.5,CAT_023391,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1776901946000000000|40.1191|143.3363|14.79|1.5,False
M3,Snet_catalog_relocate.csv,2026-04-22T23:54:14.380000Z,2026-04-22 23:54:14.380000+00:00,39.701945,143.225391,14.0,2.1,CAT_023392,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1776902054000000000|39.7019|143.2254|14.0|2.1,False
M3,Snet_catalog_relocate.csv,2026-04-22T23:55:55.720000Z,2026-04-22 23:55:55.720000+00:00,39.722335,143.206413,13.34,1.7,CAT_023393,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1776902156000000000|39.7223|143.2064|13.34|1.7,False
M3,Snet_catalog_relocate.csv,2026-04-22T23:56:47.080000Z,2026-04-22 23:56:47.080000+00:00,39.608565,143.249251,14.38,3.0,CAT_023394,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1776902207000000000|39.6086|143.2493|14.38|3.0,False
M3,Snet_catalog_relocate.csv,2026-04-22T23:58:53.160000Z,2026-04-22 23:58:53.160000+00:00,39.972786,142.858854,21.61,1.6,CAT_023395,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1776902333000000000|39.9728|142.8589|21.61|1.6,False
M3,Snet_catalog_relocate.csv,2026-04-23T00:07:57.950000Z,2026-04-23 00:07:57.950000+00:00,39.717859,143.439339,14.14,4.8,CAT_023397,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1776902878000000000|39.7179|143.4393|14.14|4.8,False
