mecha_id,event_code_x,catalog_event_id,time_diff_sec,horizontal_diff_km,depth_diff_km,mag_diff,match_score,event_code_y,mecha_time,mecha_lat,mecha_lon,mecha_depth_km,mecha_mag_1,mecha_mag_2,focal_mech_score,focal_mech_projection,m_method,m_source,n_mech_stations,has_focal_planes,has_axes,has_complete_mechanism,P_axis_azimuth,T_axis_azimuth,strike_plane1,dip_plane1,rake_plane1,strike_plane2,dip_plane2,rake_plane2,catalog_time,datetime,catalog_lat,catalog_lon,catalog_depth_km,catalog_mag,phase_primary,m2_related_flag,dist_m1_km,dist_m3_km,within_60km_either_m1_m3,within_60km_m1,within_60km_m3,within_30km_m1,within_30km_m3,along_axis_20km,along_axis_30km,off_axis_20km,off_axis_30km,within_both_60km,mag_bin,mechanism_detail_class,is_local_zone_match
206,J2025122601254913,14072,0.0,0.12627464865363044,0.18999999999999773,0.0,0.3000492973072603,J2025122601254913,2025-12-25 16:25:49.130000+00:00,41.18516666666667,142.59683333333334,42.58,4.5,4.4,95.0,LOW,I,JMAM,74.0,True,True,True,123.0,322.0,197.0,21.0,69.0,39.0,70.0,98.0,2025-12-25 16:25:49.130000+00:00,2025-12-25T16:25:49.130000Z,41.18575,142.598128,42.39,4.5,middle_M1plus21d_to_M3minus35d,True,212.79252447370973,156.7083917433997,False,False,False,False,False,False,False,False,False,False,4.5-4.9,complete_mechanism,False
61,J2025120823593570,8533,0.0,0.13648258041674094,0.12999999999999545,0.0,0.30546516083348074,J2025120823593570,2025-12-08 14:59:35.700000+00:00,41.05283333333333,142.47683333333333,40.88,3.5,,,,,,,False,False,False,,,,,,,,,2025-12-08 14:59:35.700000+00:00,2025-12-08T14:59:35.700000Z,41.052474,142.475277,41.01,3.5,middle_M1plus21d_to_M3minus35d,True,203.35020754306825,146.43831763519884,False,False,False,False,False,False,False,False,False,False,3.5-3.9,metadata_only,False
266,J2026021305494205,17814,0.01,0.021282683303678322,1.04,0.0,0.3125653666073567,J2026021305494205,2026-02-12 20:49:42.050000+00:00,40.83266666666667,143.09766666666667,0.0,4.5,4.4,,,,,,False,False,False,,,,,,,,,2026-02-12 20:49:42.040000+00:00,2026-02-12T20:49:42.040000Z,40.832857,143.09764,1.04,4.5,middle_M1plus21d_to_M3minus35d,False,162.8667764037546,110.29307654192196,False,False,False,False,False,False,False,False,False,False,4.5-4.9,metadata_only,False
297,J2026032711163910,20056,0.0,0.16022573915305416,0.00999999999999801,0.0,0.3229514783061078,J2026032711163910,2026-03-27 02:16:39.100000+00:00,39.2465,142.14383333333333,51.51,3.8,,95.0,LOW,I,JMAM,80.0,True,True,True,339.0,100.0,78.0,41.0,103.0,241.0,51.0,79.0,2026-03-27 02:16:39.100000+00:00,2026-03-27T02:16:39.100000Z,39.245117,142.143311,51.5,3.8,preM3_M3minus35d_to_M3,False,118.59082659347273,109.36156007138864,False,False,False,False,False,False,False,False,False,False,3.5-3.9,complete_mechanism,False
289,J2026031603565385,19399,0.01,0.15117644035597635,0.04999999999999716,0.0,0.324852880711952,J2026031603565385,2026-03-15 18:56:53.850000+00:00,41.38916666666667,142.68883333333332,39.5,4.9,4.9,94.0,LOW,I,JMAM,144.0,True,True,True,110.0,290.0,200.0,36.0,90.0,20.0,54.0,90.0,2026-03-15 18:56:53.840000+00:00,2026-03-15T18:56:53.840000Z,41.390287,142.68986,39.45,4.9,middle_M1plus21d_to_M3minus35d,False,231.66043019583464,176.61833352800997,False,False,False,False,False,False,False,False,False,False,4.5-4.9,complete_mechanism,False
74,J2025120901215759,8622,0.01,0.14506716173942188,0.09999999999999787,0.0,0.32513432347884325,J2025120901215759,2025-12-08 16:21:57.590000+00:00,40.989,143.1805,18.17,3.7,,,,,,,False,False,False,,,,,,,,,2025-12-08 16:21:57.600000+00:00,2025-12-08T16:21:57.600000Z,40.987712,143.180225,18.27,3.7,middle_M1plus21d_to_M3minus35d,False,178.49381218131717,127.41253268141152,False,False,False,False,False,False,False,False,False,False,3.5-3.9,metadata_only,False
202,J2025122409181845,13854,0.0,0.15408090240036626,0.0800000000000054,0.0,0.32816180480073387,J2025122409181845,2025-12-24 00:18:18.450000+00:00,41.17966666666667,142.6355,40.12,3.6,,,,,,,False,False,False,,,,,,,,,2025-12-24 00:18:18.450000+00:00,2025-12-24T00:18:18.450000Z,41.17926,142.63374,40.2,3.6,middle_M1plus21d_to_M3minus35d,True,211.0427734595685,155.13614037325777,False,False,False,False,False,False,False,False,False,False,3.5-3.9,metadata_only,False
91,J2025120906524271,8893,0.01,0.13951333687034598,0.16000000000000014,0.0,0.329026673740692,J2025120906524271,2025-12-08 21:52:42.710000+00:00,40.943333333333335,143.301,14.64,6.6,6.5,,,,,,False,False,False,,,,,,,,,2025-12-08 21:52:42.720000+00:00,2025-12-08T21:52:42.720000Z,40.944531,143.300505,14.8,6.6,middle_M1plus21d_to_M3minus35d,False,172.41641610694003,123.19669952664916,False,False,False,False,False,False,False,False,False,False,>=5.0,metadata_only,False
197,J2025122110290170,13466,0.0,0.15374644018340183,0.0899999999999963,0.0,0.32999288036680274,J2025122110290170,2025-12-21 01:29:01.700000+00:00,40.72433333333333,142.25366666666667,51.4,5.6,5.4,93.0,LOW,I,JMAM,235.0,True,True,True,104.0,292.0,189.0,23.0,83.0,16.0,67.0,93.0,2025-12-21 01:29:01.700000+00:00,2025-12-21T01:29:01.700000Z,40.724548,142.255469,51.31,5.6,middle_M1plus21d_to_M3minus35d,True,181.5730826100295,124.41131104523176,False,False,False,False,False,False,False,False,False,False,>=5.0,complete_mechanism,False
28,J2025111516570429,6817,0.02,0.13684550541503315,0.14999999999999858,0.0,0.33119101083006597,J2025111516570429,2025-11-15 07:57:04.290000+00:00,38.64233333333333,141.90533333333337,46.79,3.5,,98.0,LOW,I,JMAM,108.0,True,True,True,117.0,311.0,190.0,17.0,69.0,32.0,74.0,96.0,2025-11-15 07:57:04.270000+00:00,2025-11-15T07:57:04.270000Z,38.641715,141.903971,46.94,3.5,M1_related_M1minus14d_to_M1plus21d,False,162.24376796113515,171.62738389749774,False,False,False,False,False,False,False,False,False,False,3.5-3.9,complete_mechanism,False
253,J2026012609202260,16820,0.0,0.1620015680329339,0.03999999999999915,0.0,0.33400313606586757,J2026012609202260,2026-01-26 00:20:22.600000+00:00,39.680166666666665,142.12683333333334,47.87,4.1,4.1,98.0,LOW,I,JMAM,143.0,True,True,True,100.0,294.0,175.0,19.0,72.0,15.0,72.0,96.0,2026-01-26 00:20:22.600000+00:00,2026-01-26T00:20:22.600000Z,39.681099,142.128288,47.91,4.1,middle_M1plus21d_to_M3minus35d,False,122.2277954608618,89.73235299763606,False,False,False,False,False,False,False,False,False,False,4.0-4.4,complete_mechanism,False
246,J2026012102514124,16334,0.0,0.1651715114031433,0.030000000000001137,0.0,0.33784302280628686,J2026012102514124,2026-01-20 17:51:41.240000+00:00,41.489,142.0205,58.06,5.3,5.4,99.0,LOW,I,JMAM,116.0,True,True,True,116.0,298.0,204.0,17.0,87.0,27.0,73.0,91.0,2026-01-20 17:51:41.240000+00:00,2026-01-20T17:51:41.240000Z,41.490401,142.021159,58.03,5.3,middle_M1plus21d_to_M3minus35d,False,264.06230019373066,206.81452756684888,False,False,False,False,False,False,False,False,False,False,>=5.0,complete_mechanism,False
200,J2025122212220181,13632,0.0,0.04170337912953626,1.0199999999999996,0.0,0.3384067582590724,J2025122212220181,2025-12-22 03:22:01.810000+00:00,40.829,142.97483333333332,10.38,3.7,,,,,,,False,False,False,,,,,,,,,2025-12-22 03:22:01.810000+00:00,2025-12-22T03:22:01.810000Z,40.829321,142.974577,11.4,3.7,middle_M1plus21d_to_M3minus35d,True,165.0412804692696,110.86850568181951,False,False,False,False,False,False,False,False,False,False,3.5-3.9,metadata_only,False
67,J2025120900501705,8592,0.02,0.11677021543717435,0.370000000000001,0.0,0.34604043087434894,J2025120900501705,2025-12-08 15:50:17.050000+00:00,41.026833333333336,142.9275,25.22,3.5,,,,,,,False,False,False,,,,,,,,,2025-12-08 15:50:17.030000+00:00,2025-12-08T15:50:17.030000Z,41.027612,142.928434,25.59,3.5,middle_M1plus21d_to_M3minus35d,True,187.31538688271243,133.24560633802122,False,False,False,False,False,False,False,False,False,False,3.5-3.9,metadata_only,False
214,J2026010202522860,14935,0.0,0.15289590915468967,0.21000000000000085,0.0,0.35829181830937956,J2026010202522860,2026-01-01 17:52:28.600000+00:00,38.70966666666666,142.26516666666666,40.87,3.5,3.7,,,,,,False,False,False,,,,,,,,,2026-01-01 17:52:28.600000+00:00,2026-01-01T17:52:28.600000Z,38.711007,142.26556,41.08,3.5,middle_M1plus21d_to_M3minus35d,False,131.88379390239865,147.31891020679456,False,False,False,False,False,False,False,False,False,False,3.5-3.9,metadata_only,False
324,J2026042302463689,23306,0.01,0.16048211554027295,0.10999999999999943,0.0,0.35846423108054576,J2026042302463689,2026-04-22 17:46:36.890000+00:00,40.05233333333333,142.19833333333332,45.13,4.2,4.2,99.0,LOW,I,JMAM,152.0,True,True,True,112.0,305.0,188.0,18.0,73.0,26.0,72.0,96.0,2026-04-22 17:46:36.880000+00:00,2026-04-22T17:46:36.880000Z,40.053768,142.198128,45.24,4.2,post_M3_context,False,133.34451305635707,85.06295312581003,False,False,False,False,False,False,False,False,False,False,4.0-4.4,complete_mechanism,False
